The_Old_Path_(TOP)_Channel,Daniel_Razon
Black_Press,David_Holmes_Black
Famous_Writers_School,Phyllis_McGinley
Thomas_Productions,Paul_Junger_Witt
Gilt_Groupe,Kevin_P._Ryan
Cloud_Nine_Movies,Dayanidhi_Azhagiri
Rambhau_Mhalgi_Prabodhini,Ravindra_Sathe
ArcelorMittal,Lakshmi_Mittal
Constellation_Energy_Group,Mayo_A._Shattuck_III
Pita_Pit,Jack_Riggs
Netcordia,Betsy_Atkins
Zoës_Kitchen,Kevin_Miles_(CEO)
BiZZdesign,Henry_Franken
Laura_and_John_Arnold_Foundation,John_D._Arnold
Norwegian_News_Agency,Jon_Espen_Lohne
Command_Consulting_Group,W._Ralph_Basham
Norwegian_Forest_Owners_Association,Erik_Lahnstein
Azaleos,Patrick_Naughton
William_Morris_Endeavor,Patrick_Whitesell
DTEK,Maksym_Tymchenko
Sam_the_Record_Man,Jason_Sniderman
List_of_production_companies_owned_by_the_American_Broadcasting_Company,Brandon_Stoddard
Procter_&_Gamble,David_S._Taylor
Naftogaz,Andriy_Kobolyev
Henderson_Group,Richard_Gillingwater
Taçi_Oil,Rezart_Taçi
Fibabanka,Hüsnü_Özyeğin
Akbank,Suzan_Sabancı_Dinçer
Mandela_and_Tambo,Nelson_Mandela
E._V_.V._Cinema,Aryan_Rajesh
Chopard,Karl-Friedrich_Scheufele
Lifeway_Foods,Julie_Smolyansky
Irving_Oil,Arthur_Irving
Bodyarmor_SuperDrink,Richard_Sherman_(American_football)
LayerOne,Alexander_Muse
Edge_West_Productions,Philip_J_Day
The_Spaceship_Company,Burt_Rutan
Ashok_Leyland,Dheeraj_Hinduja
Splash_(Fashion),Salman_Khan
Liberty_Films,William_Wyler
Encom,Dan_Haigh
Mosfilm,Karen_Shakhnazarov
TransCanada_Corporation,Russ_Girling
Simple_Sugars,Mark_Cuban
Furness_Withy,"Christopher_Furness,_1st_Baron_Furness"
Full_Force_Fighting,Thomas_Denny_(fighter)
Ratzinger_Foundation,Camillo_Ruini
Abu_Dhabi_Investment_Authority,Khalifa_bin_Zayed_Al_Nahyan
Fullpower_Technologies,Philippe_Kahn
Bad_Robot_Productions,J._J._Abrams
Sidian_Bank,James_Mworia
Fog_Creek_Software,Joel_Spolsky
Melendez_Films,Steven_C._Melendez
High_Frequency_Economics,Carl_B._Weinberg
Center_for_Inquiry,Paul_Kurtz
World_View_Enterprises,Alan_Stern
Oyster_(company),Willem_Van_Lancker
Taratari_shipyard,Yves_Marre
Olo_(Online_Ordering),Noah_Glass_(Olo_Online_Ordering)
Fore_River_Shipyard,Thomas_A._Watson
O.S.C.A.,Ernesto_Maserati
Politico,Michael_Allen_(journalist)
Dubai_Holding,Mohammed_Al_Gergawi
The_Kraft_Group,Robert_Kraft
Nintendo_Entertainment_Analysis_&_Development,Katsuya_Eguchi
Analog_Devices,Ray_Stata
Paramount_Television_Service,Richard_H._Frank
Blue_Sky_Studios,Steve_Martino
Mastretta,Daniel_Mastretta
DB_Networks,Brett_Helm
Nissin_Foods,Koki_Ando
Forte_Group,"Charles_Forte,_Baron_Forte"
Free_(ISP),Xavier_Niel
Participant_Media,Jeffrey_Skoll
Tata_Teleservices,Cyrus_Pallonji_Mistry
Discovery_Limited,Adrian_Gore
Ensemble_Studios,Rick_Goodman
"American_Energy_Partners,_LP",Aubrey_McClendon
Ülker,Murat_Ülker
Richard_Dawkins_Foundation_for_Reason_and_Science,J._Anderson_Thomson
Orient_Electric,CK_Birla
Anglo-Amalgamated,Stuart_Levy_(producer)
John_Lysaght_and_Co.,William_Royse_Lysaght
Adani_Power,Gautam_Adani
ESOFT_Computer_Studies,Dayan_Rajapakse
Amara_Raja_Group,Ramachandra_Naidu_Galla
Brookfield_Property_Partners,Ric_Clark
Revision3,Jay_Adelson
Newcastle_and_District_Electric_Lighting_Company,Charles_Algernon_Parsons
MidBoss,Matt_Conn
World_Mission_Prayer_League,Lars_Olsen_Skrefsrud
Black_Isle_Studios,Darren_Monahan
Mahaka_Media,Erick_Thohir
Sohu,Charles_Zhang
Datamatics_Global_Services,Lalit_Surajmal_Kanodia
Edison_(company),Jean-Bernard_Lévy
1-800-Flowers,James_McCann_(businessman)
Sucré,Tariq_Hanna
TPG_Telecom,David_Teoh
Sime_Darby,Abdul_Ghani_Othman
StudentsFirst,Michelle_Rhee
Turan_Information_Agency,Mehman_Aliyev
WibiData,Christophe_Bisciglia
Honor_the_Earth,Amy_Ray
Darracq_and_Company_London,Alexandre_Darracq
DIC_Entertainment,Andy_Heyward
Starz_Inc.,Chris_Albrecht
BoB_and_Partners_Co._Ltd.,Manfred_Wong
Virgin_Films,Richard_Branson
Architecture_for_Humanity,Cameron_Sinclair
Reckitt_Benckiser,Rakesh_Kapoor
State_Grid_Corporation_of_China,Shu_Yinbiao
Six_Apart,Nobuhiro_Seki
Bird_Education_Society_for_Travel_&_Tourism,Ankur_Bhatia
Origin8Media,Michiko_Yamamoto
Fortissimo_Films,Wouter_Barendrecht
Makris_Group,Kostas_Makris
Recycled_Energy_Development,Tom_Casten
Comicraft,Richard_Starkings
Four_Seasons_Hotels_and_Resorts,Isadore_Sharp
Art_Instruction_Schools,Mort_Walker
Abank,Tuncay_Özilhan
Minx_(comics),Shelly_Bond
Bass_Pro_Shops,John_Morris_(businessman)
Muttpop,Jerry_Frissen
German_Institute_of_Global_and_Area_Studies,Amrita_Narlikar
Hobby_Lobby,David_Green_(entrepreneur)
Artificial_Intelligence_Center,C._Raymond_Perrault
Modi_Group,Krishan_Kumar_Modi
Clamp_(manga_artists),Satsuki_Igarashi
Stagecoach_Group,Brian_Souter
Office_Chérifien_des_Phosphates,Mostafa_Terrab
Hari_Om_Entertainment,Akshay_Kumar
Media_Molecule,Siobhan_Reddy
ZOE_Broadcasting_Network,Eddie_Villanueva
Arri,August_Arnold
Mary_Kay,Mary_Kay_Ash
Full_Moon_Features,Charles_Band
Naspers,Bob_van_Dijk
Techstars,Brad_Feld
Garanti_Bank,Ferit_Şahenk
Afrinvest,Godwin_Obaseki
Godrej_Industries_Ltd,Nisa_Godrej
Alta_Newspaper_Group,David_Radler
Brasserie_de_la_Couronne,Roger_Jaar
Flip_Skateboards,Geoff_Rowley
Team17,Deborah_Bestwick
Rev_Asia,Patrick_Grove
LumiQuest,Quest_Couch
IFIC_Bank,Salman_F_Rahman
Common_Crawl,Kurt_Bollacker
Teach_First,Brett_Wigdortz
BAWAG,Ewald_Nowotny
Mass_Rapid_Transit_Corporation_(Malaysia),Ali_Hamsa
Blue_Shift_Inc.,Jeff_King_(author)
Intel,Gordon_Moore
Magoosh,Mitch_Kapor
Courtaulds,Samuel_Courtauld_(industrialist)
Xinjiang_Production_and_Construction_Corps,Sun_Jinlong
ATV_(Turkey),Dinç_Bilgin
Vista_Equity_Partners,Robert_F._Smith_(investor)
HM_Capital_Partners,John_Muse_(businessman)
Softdisk,Tom_Hall
Babybjörn,Björn_Jakobson
Shearer's_Foods,CJ_Fraleigh
PulteGroup,Bill_Pulte
Birmingham_Small_Arms_Company,Bernard_Docker
NRDC_Equity_Partners,Richard_A._Baker_(businessman)
OpenSpirit_Corporation,Daniel_J._Piette
Barnes_family,John_Ross_Ewing_III
Credit_Karma,Kenneth_Lin_(entrepreneur)
Earwolf,Scott_Aukerman
Cain_Hoy_Stable,Braulio_Baeza
Happy_Madison_Productions,Tim_Herlihy
Independent_News,Jack_Liebowitz
Sequoia_Capital,Jim_Goetz
Prescient_Therapeutics,Paul_A._Hopper
Western_Union,Jack_M._Greenberg
Gatehouse_Bank,Fahed_Boodai
Axilor_Ventures,Tarun_Khanna
Australian_Broadcasting_Corporation,James_Spigelman
Rothschild_&_Co,David_René_de_Rothschild
Kohlberg_Kravis_Roberts,George_R._Roberts
Austrian_Research_Institute_for_Artificial_Intelligence,Paolo_Petta
De_La_Rue,Philip_Rogerson
Toby_Keith's_I_Love_This_Bar_&_Grill,Toby_Keith
Playground_Global,Peter_Barrett_(entrepreneur)
Lionel_Kiddie_City,Roy_Cohn
G_Adventures,Bruce_Poon_Tip
Mintons,Colin_Minton_Campbell
Samuel_Bronston_Productions,Samuel_Bronston
Professional_Karate_Association,Joe_Corley
Paizo_Publishing,Lisa_Stevens
Temasek_Holdings,Ho_Ching
COMSAT,Joseph_V._Charyk
Razorline,Clive_Barker
King_of_the_Dot,Organik_(musician)
Coca-Cola_Içecek,Tuncay_Özilhan
Bloomberg_L.P.,Michael_Bloomberg
Renco_Group,Ira_Rennert
Post_Office_Ltd,Tim_Parker
SUP_Media,Benjamin_Wegg-Prosser
The_Founder_Institute,Adeo_Ressi
Shire_(pharmaceutical_company),Susan_Kilsby
Ion_Storm,Jerry_O'Flaherty
OneID,Steve_Kirsch
Broadridge_Financial_Solutions,Richard_J._Daly
Sundstrand_Corporation,David_Sundstrand
Trussed_Concrete_Steel_Company,Albert_Kahn_(architect)
Kiva_(organization),Premal_Shah
AutoZone,William_C._Rhodes_(businessman)
Stone_Records,Mark_Stone_(baritone)
@Home_Network,William_Randolph_Hearst_III
Four_Per_Cent_Industrial_Dwellings_Company,Evelyn_Robert_de_Rothschild
Inversiones_y_Representaciones_Sociedad_Anónima_(IRSA),Eduardo_Elsztain
Build-A-Bear_Workshop,Victoria_Justice
L'Occitane_en_Provence,Olivier_Baussan
21st_Century_Fox,James_Murdoch
Iranian_Offshore_Oil_Company,Roknodin_Javadi
Eon_Productions,Barbara_Broccoli
Zara_Investment_Holding,Sabih_al-Masri
Acorn_Computers,James_G._Mitchell
Fosun,Liang_Xinjun
Tokenzone,Isaac_Arias
Sinitus,Urs_Meisterhans
MEDITECH,Neil_Pappalardo
Sri_Venkateswara_Cine_Chitra,B._V._S._N._Prasad
Massoud_Foundation,Ahmad_Massoud
Wallis_(retailer),Philip_Green
Spectrum_HoloByte,Gilman_Louie
Gilead_Sciences,John_C._Martin_(businessman)
Raj_Comics,Manoj_Gupta
Spurs_Sports_&_Entertainment,Gregg_Popovich
FWD.us,Mark_Zuckerberg
Clamp_(manga_artists),Mokona
"Artis,_LLC",Brian_Detter
Genre_Films,Simon_Kinberg
Catholic_Family_and_Human_Rights_Institute,Austin_Ruse
Game_Designers'_Workshop,John_Harshman
Triumph_Motor_Company,Siegfried_Bettmann
Sonae,Paulo_de_Azevedo
Piramal_Enterprises,Swati_Piramal
Krasny_Oktyabr_Closed_Joint-Stock_Company,Dmitry_Gerasimenko
Equity_Group_Holdings_Limited,James_Mwangi
Georgia_Tech_Research_Institute,Stephen_E._Cross
Avia_Solutions_Group,Gediminas_Žiemelis
Magnon%5CTBWA,Vineet_Bajpai
Creative_Technology_Limited,Sim_Wong_Hoo
Tappr,Brett_Hales
Reactrix_Systems,Robert_Hoffer
Indianapolis_Motor_Speedway_Radio_Network,Paul_Page
Rembrandt_Group,Johann_Rupert
Robert_F._Kennedy_Human_Rights,President_of_the_United_States
Sledgehammer_Games,Michael_Condrey
Yukos,Mikhail_Khodorkovsky
Combat_Zone_Wrestling,DJ_Hyde
Bloor_Homes,John_Bloor
OpenLink_Software,Kingsley_Uyi_Idehen
Rocket_Racing_League,Peter_Diamandis
Post_Carbon_Institute,Debbie_Cook
Famous_Studios,Shamus_Culhane
Nation_Broadcasting_Corporation,Manuel_V._Pangilinan
Atlas_Copco,Hans_Stråberg
Sagar_Films,Ramanand_Sagar
Greentree_Stable,Payne_Whitney
Selvarey_Rum,Bruno_Mars
Maryland_Jockey_Club,Charles_Carroll_of_Carrollton
Hughes_Tool_Company,Howard_Hughes
Carroll_Group,Anthony_Clarke_(businessman)
Friedman's_Inc.,Sterling_Brinkley
J.Crew,Jenna_Lyons
Americans_Elect,Daniel_Winslow
Digital_Telecommunications_Philippines,Manuel_V._Pangilinan
Michael_Hill_Jeweller,Michael_Hill_(entrepreneur)
Raw_Feed,Daniel_Myrick
Kakatiya_Sandbox,Naveen_Jha
Safra_National_Bank_of_New_York,Joseph_Safra
Eric_Miller_Animation_Studios,Eric_M._Miller
Romano's_Macaroni_Grill,Norman_E._Brinker
Refco,Phillip_R._Bennett
OpenAI,Ilya_Sutskever
Taylor_Corporation,Glen_Taylor
Gilly_Hicks,Mike_Jeffries_(CEO)
Kalyani_Group,Baba_Kalyani
Team_Ninja,Tomonobu_Itagaki
MathWorks,Cleve_Moler
Watsons_Personal_Care_Stores,Li_Ka-shing
CST_Brands,Kimberly_S._Bowers
R_Family_Vacations,Rosie_O'Donnell
Lycamobile,Subaskaran_Allirajah
Big_Robot,Jim_Rossignol
ProSport_Fitness_&_Services,Andrew_Leipus
Betfair,Gerald_Corbett
GlobalFoundries,Sanjay_Jha
Hyperion_Pictures,Chris_Young_(actor)
Bentley,Woolf_Barnato
E._W._Scripps_Company,Roy_W._Howard
Union_Square_Ventures,Fred_Wilson_(financier)
News_Corp,Rupert_Murdoch
Zodiac_Aerospace,Olivier_Zarrouati
Cain_Hoy_Stable,"Angel_Penna,_Sr."
Off_the_Kerb,Addison_Cresswell
Coventry_Climax,Henry_Pelham_Lee
Amuru_Sugar_Works_Limited,Mayur_Madhvani
Joey_Arrington__PerformanceRace_Engines_PlusShopHemi__1,Buddy_Arrington
Game_on_Nation,Steve_Shenbaum
Stangeland_Gruppen,Trygve_Stangeland
Pacific_Drilling,Idan_Ofer
Nissan,Trevor_Mann
Enel,Maria_Patrizia_Grieco
WWE,Stephanie_McMahon
Monkeystone_Games,Tom_Hall
Jim_Pattison_Group,Glen_Clark
Sempra_Energy,Debra_L._Reed
Bonheur_(company),Anette_S._Olsen
Centro_de_Estudios_e_Investigaciones_Técnicas_de_Gipuzkoa,Alejo_Avello
Liberty_Interactive,John_C._Malone
Omniscien_Technologies,Philipp_Koehn
Barnes_family,Christopher_Ewing
Jenni_Rivera_Fashion,Rosie_Rivera
Iron_Lore_Entertainment,Brian_Sullivan_(game_designer)
Marv_Films,Matthew_Vaughn
IProperty_Group,Patrick_Grove
Apple_Inc.,Tim_Cook
SEB_(bank),Annika_Falkengren
Bharat_Heavy_Electricals,Atul_Sobti
"Jumpstarter,_Inc",Andrew_Quintero
Myer,Sidney_Myer
Limak_Holding,Nihat_Özdemir
Ral_Partha_Enterprises,Tom_Meier
After_Hours_Press,Darren_Sanchez
Iron_Crown_Enterprises,Pete_Fenlon
Eternity_Comics,Scott_Mitchell_Rosenberg
Standard_Chartered_Uganda,Herman_Kasekende
Rockwell_Automation,Keith_Nosbusch
NRB_Bank,Iqbal_Ahmed
Overwaitea_Food_Group,Jim_Pattison
Linux_Game_Publishing,Michael_Simms_(software_developer)
Guardian_Royal_Exchange_Assurance,"Charles_Hambro,_Baron_Hambro"
Marimekko,Maija_Isola
SM_Prime_Holdings,Henry_Sy
Spiegel_(catalog),Lynn_Tilton
AVP_Research_Foundation,P._R._Krishna_Kumar
Nova_(eikaiwa),Masaki_Inayoshi
William_Beardmore_and_Company,"William_Beardmore,_1st_Baron_Invernairn"
Clinton_Foundation,Ira_Magaziner
Cbus,Steve_Bracks
Annapurna_Studios,Sumanth
General_Healthcare_Group,Peter_Gershon
Broadnet_Holdings_BV,Declan_Ganley
Canadian_Radio_Broadcasting_Commission,Hector_Charlesworth
Havas,Yannick_Bolloré
Mediaset,Pier_Silvio_Berlusconi
TVN_(Poland),Jim_Samples
Zojoi,Karl_Roelofs
Common_Crawl,Peter_Norvig
Aston_Martin,Marek_Reichman
CESC_Limited,Sanjiv_Goenka
Dynamix,Damon_Slye
Qatar_Petroleum,Mohammed_Saleh_Al_Sada
Tiffany_&_Co.,Frederic_Cumenal
Acne_Studios,Jonny_Johansson
Cystic_Fibrosis_Canada,Celine_Dion
Dodgeball_(service),Dennis_Crowley
Productora_de_Software,Jorge_Aramburo_Siegert
Machine_Shop_co.,Brad_Delson
Materials_Processing_Institute,Chris_McDonald_(MPI)
Sidhe_(game_developer),Mario_Wynands
Wärtsilä,Mikael_Lilius
Conservation_Services_Group,Steve_Thomas_(television)
"Alberta_Ranches,_Ltd.",Frank_M._McMahon
Radar_Networks,Nova_Spivack
Portalarium,Starr_Long
Randstad_Holding,Jacques_van_den_Broek
The_Trump_Organization,Donald_Trump
Kirloskar_Group,Sanjay_Kirloskar
Valve_Corporation,Gabe_Newell
Rising_Falcon_Cinema,Gregory_Cahill
Isle_of_Man_Post_Office,Graham_Cregeen
Regus,Mark_Dixon_(businessman)
Dimension_Films,Bob_Weinstein
Mylan,Heather_Bresch
Auer+Weber+Assoziierte,Carlo_Weber
Gibtelecom,Joseph_Garcia_(Gibraltarian_politician)
Cierva_Autogiro_Company,Juan_de_la_Cierva
United_Energy_Systems_of_Ukraine,Yulia_Tymoshenko
United_Western_Minerals_Company,Norman_Dike
NeoEdge_Networks,Steven_Woods
"Eden_Studios,_Inc.",C.J._Carella
SRI_International,William_A._Jeffrey
Fennada-Filmi,Matti_Kassila
Franchise_Pictures,Andrew_Stevens
Kaspersky_Lab,Eugene_Kaspersky
Atticus_Clothing,Tom_DeLonge
World_Wind_Energy_Association,Peter_Rae
SpaceX,Elon_Musk
Engineering_and_Research_Corporation,Fred_Weick
Mondi,Fred_Phaswana
ReNew_Power,Sumant_Sinha
The_Scotts_Miracle-Gro_Company,James_Hagedorn
FIMALAC,Marc_Ladreit_de_Lacharrière
Ammann_&_Whitney,Nick_Ivanoff
American_Express,Kenneth_Chenault
U-Haul,Leonard_Shoen
MillerCoors,Pete_Coors
Brooks_Brothers,Henry_Sands_Brooks
Institute_for_Research_in_Economics_and_Business_Administration,Victor_D._Norman
20th_Century_Fox_Television,Dana_Walden
Kaufmann's,Edgar_J._Kaufmann
Netscape,Marc_Andreessen
Digital_do_MaiN,Kazuhiko_Nishi
Mozilla_Corporation,Mitchell_Baker
Vossloh,Heinz_Hermann_Thiele
Reliance_Infrastructure,Anil_Ambani
Birmingham_Small_Arms_Company,Jack_Sangster
Cirque_du_Soleil,Daniel_Lamarre
Shoprite_(South_Africa),Christoffel_Wiese
Baugur_Group,Jón_Ásgeir_Jóhannesson
AltaVista,Paul_Flaherty
Big_Huge_Games,Grant_Kirkhope
Inspiration_Mars_Foundation,Jane_Poynter
"Narayana_Multispeciality_Hospital,_Ahmedabad",Devi_Shetty
Samsung_Electronics,Lee_Jae-yong_(businessman)
Dixons_Retail,Sebastian_James
Marvel_Productions,Tom_Tataranowicz
Dr._Reddy's_Laboratories,Kallam_Satish_Reddy
Kesoram_Industries_Ltd.,Basant_Kumar_Birla
Suez_(company),Gérard_Mestrallet
IHOP,Russell_Findlay
Nintendo_Entertainment_Analysis_&_Development,Shigeru_Miyamoto
Godrej_Industries_Ltd,Nadir_Godrej
Abbott_Medical_Optics,Michael_J._Lambert
Daimler_Company,Percy_Martin
Studio_100,Gert_Verhulst
Morton's_The_Steakhouse,Tilman_J._Fertitta
Sonali_Bank,Fazle_Kabir
Pacific_Arts_Corporation,Michael_Nesmith
Parallax_Studio,J._Allen_Williams
Piramal_Enterprises,Ajay_Piramal
Working_Dog_Productions,Santo_Cilauro
Grameen_America,Andrea_Jung
Viralytics,Paul_A._Hopper
"Manchester,_Sheffield_and_Lincolnshire_Railway",James_Joseph_Allport
Chanel,Karl_Lagerfeld
Tesco_International_operations,Richard_Broadbent
Fletcher_Challenge,Hugh_Fletcher
Spectrum_Aeronautical,Linden_Blue
Radical_Axis_(studio),Scott_Fry
Jack_Daniel's,Jack_Daniel
News_Corporation,Rupert_Murdoch
Arab_Commission_for_Human_Rights,Haytham_Manna
Manhasset_Stable,Joan_Whitney_Payson
Metal_Storm,Terence_James_O'Dwyer
Radio_Silence_Productions,Chad_Villella
StatPro_Group,Carl_Bacon
Empire_International_Pictures,Albert_Band
Shake_(company),Jon_Steinberg
1Sale_LLC,Ben_Federman
National_Insurance_Corporation,Martin_Aliker
Central_Organisation_for_Railway_Electrification,Suresh_Prabhu
Russian-American_Company,Alexander_Andreyevich_Baranov
Cascade_Investment,Bill_Gates
Mesa_Air_Group,Jonathan_G._Ornstein
Immediate_Music,Yoav_Goren
WinShape_Foundation,S._Truett_Cathy
Disney_Television_Animation,Eric_Coleman_(producer)
The_Learning_Company,Warren_Robinett
World_Series_of_Fighting:_Canada,Ray_Sefo
Media_Vision,Tim_Bratton
Emeraz,Obi_Mhondera
Maison_Margiela,John_Galliano
King_Salman_Center_for_Disability_Research,Sultan_bin_Turki_Al_Sedairy
Sinn_Féin_Printing_&_Publishing_Company,Seán_T._O'Kelly
Powell_and_Pressburger,Emeric_Pressburger
Svarog_Films,Nikolay_Suslov
Royal_Securities_Corporation,"Max_Aitken,_1st_Baron_Beaverbrook"
Messier_(automobile),George_Messier
Qualys,Philippe_Courtot
SIE_Worldwide_Studios,Shawn_Layden
GTRI_Electro-Optical_Systems_Laboratory,Gisele_Bennett
Sinclair_Research,Clive_Sinclair
Aquent,John_Chuang_(American_businessman)
Plum_Pictures,Galt_Niederhoffer
COGAM,Pedro_Zerolo
ABS-CBN,Charo_Santos-Concio
Didi_Dache,Liu_Qing_(businesswoman)
HCL_Technologies,Shiv_Nadar
Bob's_Discount_Furniture,Edmond_J._English
CityNews,Rick_Brace
East_West_Bank,Dominic_Ng
Radio_Mindanao_Network,Henry_Canoy
Eu_Yan_Sang,Richard_Eu
Bharat_Biotech_International,Krishna_Ella
Charter_School_Growth_Fund,Greg_Penner
Solar_Electric_Light_Fund,Roger_Enrico
Sonic_Team,Yuji_Naka
Trader_Joe's,Theo_Albrecht
CIMB,Nazir_Razak
Marvel_Entertainment,Joe_Quesada
Norwegian_Data_Protection_Authority,Bjørn_Erik_Thon
American_Foundation_for_Equal_Rights,Bruce_Cohen
The_Label_Life,Sussanne_Khan
Guglielmo_coffee,Daniele_Rossi
Tree_Aid,Jonathan_Dimbleby
Dodsal_Group,Rajen_A._Kilachand
W._W._Grainger,James_T._Ryan
Seven_Arts_Productions,Kenneth_Hyman
Wonderware,Dennis_Morin
Tata_Motors,Guenter_Butschek
Crawford_Productions,Dorothy_Crawford
Scomi,Shah_Hakim_Zain
Make_Poverty_History_Emirates,Anish_Kattukaran
Perella_Weinberg_Partners,Robert_K._Steel
Smule,Ge_Wang
Sledgehammer_Games,Glen_Schofield
Berenberg_Bank,Hans-Walter_Peters
Nelson_Aircraft,William_Hawley_Bowlus
Teneo,Doug_Band
Mohawk_Industries,Jeffrey_Lorberbaum
Venus_Records_&_Tapes,Girish_Jain
Cadbury,John_Cadbury
Vivid_Superhero,Steven_Hirsch
Citizens_Advice,Gillian_Guy
Wanxiang,Lu_Guanqiu
BuzzFeed,Jonah_Peretti
Geetha_Arts,Allu_Aravind
Honda_Racing_Corporation,Shuhei_Nakamoto
Canucks_Sports_&_Entertainment,Francesco_Aquilini
Mena_Media_Consulting,Karim_Bouzida
Caesars_Entertainment_Corporation,Mark_Frissora
Chris_Reeve_Knives,Chris_Reeve
Acceleron_Pharma,Kevin_McLaughlin
Reinet_Investments,Johann_Rupert
AMC_Networks,Josh_Sapan
Orion_Group_SA,Lucien_Ebata
Louis_Dreyfus_Company,Margarita_Louis-Dreyfus
Franco-Nevada,Pierre_Lassonde
Birmingham_International_Holdings,Vico_Hui
Thatgamecompany,Jenova_Chen
RegioJet,Radim_Jančura
ACE_Aviation_Holdings,Robert_Milton
ZeniMax_Online_Studios,Matt_Firor
Berggruen_Institute,Nathan_Gardels
Delphine_Software_International,Paul_Cuisset
Houston_Advanced_Research_Center,George_P._Mitchell
Sowind_Group,François-Henri_Pinault
Licensing_Executives_Society-Arab_Countries,Talal_Abu-Ghazaleh
Celgene,Robert_J._Hugin
Paramount_Television_Service,Barry_Diller
Shashi_Sumeet_Productions,Sumeet_Hukamchand_Mittal
Swallow_Airplane_Company,Emil_Matthew_Laird
Hologic,Stephen_P._MacMillan
Dubai_World,Ahmed_bin_Saeed_Al_Maktoum
Informa,"Stephen_Carter,_Baron_Carter_of_Barnes"
OTB_Group,Renzo_Rosso
Missing_People,John_Stapleton
Physics_Society_of_Iran,Reza_Mansouri
Siemens,Joe_Kaeser
Cain_Hoy_Stable,Eddie_Hayward
Gosport_Aircraft_Company,John_Cyril_Porte
ACME_Communications,Jamie_Kellner
Ducati,Rupert_Stadler
Telus,Darren_Entwistle
Switch.co,Craig_Walker_(businessman)
Hulman_&_Company,Mari_Hulman_George
Just_Marketing_International,Zak_Brown
Embassy_Row_(production_company),Michael_Davies_(television_producer)
Valle's_Steak_House,Richard_Valle
Adams_Filmi,Abel_Adams
Pixar,John_Lasseter
The_Sam_Bernstein_Law_Firm,Richard_H._Bernstein
Interval_Research_Corporation,David_Liddle
Airwolf_3D,Erick_Wolf
Max_Telecom,Daniel_Kupsin
Renault,Louis_Schweitzer_(businessman)
Zappos,Tony_Hsieh
B2B_CFO,Jerry_L._Mills
IBM_Internet_Security_Systems,Ginni_Rometty
Mandt_Bros._Productions,Michael_Mandt
Plain_Vanilla_Games,Þorsteinn_B._Friðriksson
"Rape,_Abuse_&_Incest_National_Network",Christina_Ricci
View_Askew_Productions,Scott_Mosier
Shutterstock,Jon_Oringer
Brandstätter_Group,Horst_Brandstätter
2929_Entertainment,Todd_Wagner
YOOX_Net-a-Porter_Group,Federico_Marchetti_(businessman)
Entertainment_One,Darren_Throop
Harpo_Productions,Sheri_Salata
3D_Systems,Chuck_Hull
Born_Uniqorn,Taryn_Manning
LowerMyBills.com,Matt_Coffin
Sing_Tao_News_Corporation,Charles_Ho
Excel_Entertainment,Ritesh_Sidhwani
People's_Bank_(Sri_Lanka),Hemasiri_Fernando
Dubai_Aerospace_Enterprise,Ahmed_bin_Saeed_Al_Maktoum
Niagara_Falls_Hydraulic_Power_and_Manufacturing_Company,Arthur_Schoellkopf
AnimEigo,Robert_Woodhead
Distil_Networks,Rami_Essaid
"Kuhn,_Loeb_&_Co.",John_M._Schiff
Mozilla_Corporation,Chris_Beard_(executive)
Dwyer_Brothers_Stable,Frank_McCabe
Safra_Group,Joseph_Safra
Pixar,Jim_Morris_(film_producer)
DFCU_Bank,Juma_Kisaame
Bodyarmor_SuperDrink,Dustin_Johnson
Caterham_Group,Tony_Fernandes
Digital5,Chot_Reyes
Lightstorm_Entertainment,Gale_Anne_Hurd
Warner_Communications,Steve_Ross_(Time_Warner_CEO)
Sabeel_Ecumenical_Liberation_Theology_Center,Naim_Ateek
Terrytoons,Paul_Terry_(cartoonist)
BNI_(organization),Ivan_Misner
Joyent,Bryan_Cantrill
Free_Knowledge_Foundation,Pablo_Machón
Center_for_the_Study_of_Carbon_Dioxide_and_Global_Change,Sherwood_B._Idso
Quikr,Pranay_Chulet
SCM_Holdings,Rinat_Akhmetov
3D_Systems,Vyomesh_Joshi
Boston_Garden-Arena_Corporation,Walter_A._Brown
Paragon_Software,Mark_E._Seremet
Xerox,Ursula_Burns
"Active_Network,_LLC",Darko_Dejanovic
Unibeton_Ready_Mix,Mohammed_Shehadeh
Lancia,John_Elkann
Acclaim_Games,Steven-Elliot_Altman
Fiat_Automobiles,John_Elkann
Philadelphia_Media_Holdings,Brian_Tierney
T._Y._Lin_International,Man-Chung_Tang
"Palm,_Inc.",Ed_Colligan
Interurban_Press,Mac_Sebree
Holy_Land_Foundation_for_Relief_and_Development,Ghassan_Elashi
GE_Capital_Aviation_Services,Norman_Liu
UPN,Dawn_Ostroff
Twentieth_Century_Motor_Car_Corporation,Liz_Carmichael
Wilson-Pilcher,Percy_Pilcher
City_Football_Group,Khaldoon_Al_Mubarak
Here_Media,Paul_Colichman
Itaú_Unibanco,Pedro_Moreira_Salles
Home_Finance_Company,Asare_Akuffo
Bruunshaab_Gamle_Papfabrik,Peter_Daniel_Bruun
Tiger_of_Sweden,John_Mark
Tommy_Hilfiger_(company),Tommy_Hilfiger
Ukrainian_Automobile_Corporation,Tariel_Vasadze
BBDO,Bruce_Fairchild_Barton
Shannon_&_Company,R._J._Adams
Boston_Scientific,John_Abele
