Clipse,Pharrell_Williams
Indian_School_of_Business,Adi_Godrej
New_Zealand_Defence_Force,Elizabeth_II
Virgin_Racing,Richard_Branson
Diddy_–_Dirty_Money,T.I.
Digg,Jay_Adelson
Legal_Branch,Elizabeth_II
Barbados_Defence_Force,Elizabeth_II
Hanchen_Group,Yunfeng_Han
Hershey_Entertainment_and_Resorts_Company,Milton_S._Hershey
AOL,Jim_Kimsey
G-Unit,Snoop_Dogg
Yola_(webhost),Vinny_Lingham
Washington_Wizards,Ted_Leonsis
Winchester_College,Charles_Sinclair_(businessman)
Enron_scandal,Byron_Dorgan
Sky_Italia,Rupert_Murdoch
Legendury_Beatz,Ice_Prince
2012–13_Cornish_Pirates_RFC_season,Tom_Duncan
Newsmax_Media,Christopher_Ruddy
Yaroslavl_Motor_Plant,Oleg_Deripaska
PrivatBank,Ihor_Kolomoyskyi
GAZ,Oleg_Deripaska
Royal_Army_Veterinary_Corps,"Anne,_Princess_Royal"
Heineken_International,Gerard_Adriaan_Heineken
Seattle_Seahawks,Paul_Allen
Intel,Robert_Noyce
Lululemon_Athletica,Chip_Wilson
Max_Elto,David_Guetta
Royal_Welsh_College_of_Music_&_Drama,"Charles,_Prince_of_Wales"
Manchester_City_F.C._Reserves_and_Academy,Khaldoon_Al_Mubarak
Macy's,Rowland_Hussey_Macy
"Losh,_Wilson_and_Bell",Thomas_Wilson_(poet)
The_Royal_Canadian_Dragoons,"Charles,_Prince_of_Wales"
Miramax,Bob_Weinstein
National_Union_(Israel),Ya'akov_Katz_(politician_born_1951)
Queens_Park_Rangers_F.C.,Lakshmi_Mittal
Indian_School_of_Business,Adi_Godrej
United_States_Navy,President_of_the_United_States
Fox_Animation_Studios,Don_Bluth
Section_Eight_Productions,Steven_Soderbergh
@WalmartLabs,Anand_Rajaraman
Rising_Tide_Records,Doug_Morris
Power_Corporation_of_Canada,Arthur_James_Nesbitt
McNeese_State_Cowboys_and_Cowgirls,Bruce_Hemphill
Kaiser_Broadcasting,Henry_J._Kaiser
Canon_Eagles,Fujio_Mitarai
Common_Computing_Security_Standards_Forum,Melih_Abdulhayoğlu
MSD_Capital,Michael_Dell
Anglo-Swedish_Society,"Prince_Philip,_Duke_of_Edinburgh"
7_Walkers,Willie_Nelson
SWV,Pharrell_Williams
Sakthi_Group,N._Mahalingam
Royal_College_of_Art,James_Dyson
BgC3,Bill_Gates
German_Film_Awards_2015,Ralf_Schmitz
National_Institute_of_Design,Anand_Mahindra
Far_East_Movement,Snoop_Dogg
Bomis,Jimmy_Wales
The_Orchard_(company),Richard_Gottehrer
Kontinental_Hockey_League,Dmitry_Chernyshenko
Prizeo,Todd_Wagner
Netvibes,Tariq_Krim
Cover_Drive,Jennifer_Lopez
Obi_Worldphone,John_Sculley
Edelbrock,Vic_Edelbrock
Polaroid_Corporation,Edwin_H._Land
Pertevniyal_S.K.,Tuncay_Özilhan
1st_Royal_Tank_Regiment,Elizabeth_II
San_Miguel_Beermen_(ABL),Ramon_S._Ang
Trackmasters,50_Cent
Trackmasters,50_Cent
BCC_Lions_FC,Aliko_Dangote
SAP_SE,Claus_Wellenreuther
Tool_(band),Justin_Chancellor
Little_Airplane_Productions,Josh_Selig
The_Ducks,Neil_Young
Las_Vegas_Sands,Sheldon_Adelson
7_Walkers,Willie_Nelson
Virgin_Money_UK,Richard_Branson
Malpaso_Productions,Irving_Leonard_(financial_adviser)
Trak_Auto,Robert_Haft
Golden_Corral,James_Maynard
The_Platinum_Brothers,Jennifer_Lopez
Lone_Signal,Pierre_Fabre_(businessman)
Take_6,Stevie_Wonder
Nissan,Den_Kenjirō
Magazine_Management,Martin_Goodman_(publisher)
Foyles,William_Foyle
TeamSite,Tim_Bray
Bloomin'_Brands,Chris_T._Sullivan
Reliance_Capital,Dhirubhai_Ambani
The_Originals_(band),Stevie_Wonder
The_Exclusives,Nicki_Minaj
Saban_Capital_Group,Haim_Saban
The_Hatchery_(company),Margaret_Loesch
The_Bomb_Squad,Ice_Cube
Gilt_Groupe,Dwight_Merriman
Revolt_(TV_network),Sean_Combs
Sinn_Féin,Arthur_Griffith
Marshall_Company,Frank_Marshall_(producer)
KKSE,Stan_Kroenke
Coursera,Daphne_Koller
Jungle_Brothers,Queen_Latifah
Arista_Nashville,Clive_Davis
Not_on_Our_Watch_(organization),George_Clooney
Da_Lench_Mob,Ice_Cube
Credit_Suisse,Alfred_Escher
KiK,Stefan_Heinig
Inter_Milan,Erick_Thohir
Nintendo_Software_Technology,Claude_Comair
JSW_Infrastructure,Sajjan_Jindal
Virgin_Records,Richard_Branson
List_of_assets_owned_by_Berkshire_Hathaway,Warren_Buffett
Union_Switch_&_Signal,George_Westinghouse
Ministry_of_Oil_and_Gas_(Oman),Mohammed_Al_Rumhi
FSN_Chicago,Fred_Eychaner
Anthropologie,Richard_Hayne
LoveFilm,Alex_Chesterman
Army_Air_Corps_(United_Kingdom),"Charles,_Prince_of_Wales"
Egyptian_Organization_for_Human_Rights,Hani_Shukrallah
Devolver_Digital,Mike_Wilson_(executive)
MBM_(automobile),Peter_Monteverdi
Gainax,Shinji_Higuchi
Johnson_Publishing_Company,John_H._Johnson
"Mayor's_Office_of_Film,_Theatre_&_Broadcasting",Katherine_Oliver
Tha_Dogg_Pound,Snoop_Dogg
Pandit_Deendayal_Petroleum_University,Mukesh_Ambani
Virgin_Money,Richard_Branson
Los_Lonely_Boys,Willie_Nelson
DGC_Records,David_Geffen
Fox_Television_Stations,Rupert_Murdoch
Seattle_Sounders_FC,Paul_Allen
Albertsons,Joe_Albertson
The_Exclusives,Nicki_Minaj
Abu_Dhabi_United_Group,Sulaiman_Al-Fahim
Koç_Holding,Vehbi_Koç
Summit_Entertainment,Arnon_Milchan
Global_Television_Network,Al_Bruner
Caterham_F1,Tony_Fernandes
The_Fireman_(band),Paul_McCartney
Focus_on_the_Family,James_Dobson
Disney_Publishing_Worldwide,Ahmet_Zappa
National_Film_and_Television_School,Nik_Powell
Caracol_TV_Internacional,Julio_Mario_Santo_Domingo
State_Farm_Insurance,George_J._Mecherle
Indian_Institute_of_Management_Sambalpur,Arundhati_Bhattacharya
JSW_Steel_Ltd,Sajjan_Jindal
Ovation_Guitar_Company,Charles_Kaman
Trans_TV,Chairul_Tanjung
II_D_Extreme,Queen_Latifah
Heinz,Henry_J._Heinz
Chick-fil-A,S._Truett_Cathy
GolTV_(Canada),Larry_Tanenbaum
SanderMan,John_Quelch
FC_Dnipro_Dnipropetrovsk,Ihor_Kolomoyskyi
Deckers_Outdoor_Corporation,Karl_F._Lopker
LBC_Crew,Snoop_Dogg
