Rossiya_Bank,Yury_Kovalchuk
Bensen_Aircraft,Igor_Bensen
ManpowerGroup,Jonas_Prising
Hargreaves_Lansdown,Peter_Hargreaves
Italcementi,Carlo_Pesenti
J._D._Irving,James_K._Irving
500_Startups,Dave_McClure
Mandeville_Films,Todd_Lieberman
Global_Warming_Policy_Foundation,Nigel_Lawson
Investment_AB_Öresund,Sven_Hagströmer
LifeWay_Christian_Resources,Thom_S._Rainer
"Cartoonists_Rights_Network,_International",Michael_de_Adder
Tengelmann_Group,Karl-Erivan_Haub
Media_General,Mario_Gabelli
Georgia_Tech_Research_Institute,Andrew_Gerber
Bodyarmor_SuperDrink,Kobe_Bryant
Apple_Inc.,Jonathan_Ive
Infogrames,Phil_Harrison
Exim_Bank_of_China,Li_Ruogu
Casa_da_Índia,Manuel_I_of_Portugal
Intertek,David_Reid_(businessman)
BBC_News,Mary_Hockaday
Bank_of_East_Asia,David_Li
"Kuhn,_Loeb_&_Co.",John_M._Schiff
Rivada_Networks,Declan_Ganley
Palador_Pictures,Gautam_Shiknis
Public_Bank_Berhad,Teh_Hong_Piow
Oaktree_Capital_Management,John_B._Frank
J.A._Woollam_Co.,John_Woollam_(physicist)
Black_Isle_Studios,Josh_Sawyer
"BTV247,_Inc",Justin_Beckett
Didi_Dache,Liu_Qing_(businesswoman)
Skydance_Media,David_Ellison
CETME,Ludwig_Vorgrimler
Barrington_Broadcasting,Warren_Spector
Trianz,Sri_Manchala
Impul,Kazuyoshi_Hoshino
Ensemble_Studios,Rick_Goodman
The_Wolseley_Sheep_Shearing_Machine_Company,Frederick_Wolseley
IHeartRadio,Robert_Pittman_(media_executive)
Comico,Bob_Schreck
Messerschmitt,Willy_Messerschmitt
Aptech,Rakesh_Jhunjhunwala
Iam8bit,Jon_M._Gibson
Heroku,Tod_Nielsen
44_Blue_Productions,Rasha_Drachkovitch
Advent_Software,Stephanie_DiMarco
Trussed_Concrete_Steel_Company,Julius_Kahn_(inventor)
Silver_Pictures,Susan_Downey
Sega_Sammy_Holdings,Hisao_Oguchi
E._C._Stearns_&_Company,Edward_C._Stearns
"Kohn,_Kohn_&_Colapinto",Stephen_M._Kohn
Softdisk,John_Romero
OTB_Group,Stefano_Rosso_(OTB)
MyBudget,Tammy_May
Zodiac_Aerospace,Olivier_Zarrouati
Qube_Holdings,Chris_Corrigan
Mpower_Pictures,John_Shepherd_(actor)
I.TV,Brad_Pelo
Option_N.V.,Jan_Callewaert
TTK_Services,Sunder_Prakasham
Time_Out_Group,Peter_Dubens
Citibank_India,Pramit_Jhaveri
Strand_Life_Sciences,Vijay_Chandru
Golar_LNG,John_Fredriksen
Esure,Peter_Wood_(businessman)
List_of_Rickenbacker_products,George_Beauchamp
Canara_Bank,T._N._Manoharan
Endeavor_Talent_Agency,Patrick_Whitesell
Vickers_Petroleum,Dick_Boushka
Artistdirect,Marc_Geiger
Welspun_Investments_and_Commercials_Ltd,B_K_Goenka
Sky_Deutschland,James_Murdoch
Channon,Robert_Duncan_(writer)
Egyptian_Steel,Ahmed_Abou_Hashima
Embrace_(non-profit),Rahul_Panicker
Harland_and_Wolff,Edward_Harland
Alticor,Doug_DeVos
LogoLounge,Bill_Gardner_(author)
Bank_and_Clients,Sandy_Flockhart
38_Studios,R._A._Salvatore
Edison_(company),Jean-Bernard_Lévy
Jabot_Cosmetics,Tracey_E._Bregman
Statkraft,Christian_Rynning-Tønnesen
Game_Designers'_Workshop,Frank_Chadwick
Societas_eruditorum_incognitorum_in_terris_Austriacis,Ludovico_Antonio_Muratori
Statewide_Insurance_Company,John_Ssebaana_Kizito
Business_in_the_Community,"Charles,_Prince_of_Wales"
Vicious_Cycle_Software,Dave_Ellis_(game_designer)
Saatchi_&_Saatchi,Kevin_Roberts_(businessman)
MTM_Enterprises,Mary_Tyler_Moore
Sonic_Reality,Erik_Norlander
Thwaites_Brewery,Daniel_Thwaites
Delrina,Bert_Amato
Specialized_Bicycle_Components,Mike_Sinyard
WNS_Global_Services,Keshav_R_Murugesh
Xcel_Energy,Ben_Fowke
Devon_Motorworks,Justin_Bell
Yahoo!,Maynard_Webb
WindowsWear,Jon_Harari
Kaupthing_Bank,Ármann_Þorvaldsson
William_Patterson_Shipbuilders,Isambard_Kingdom_Brunel
South_American_Institute_of_Government_in_Health,José_Gomes_Temporão
Guggenheim_Partners,Mark_Walter
Getty_Oil,J._Paul_Getty
Eel_Pie_Publishing,Pete_Townshend
Sunrise_Communications_AG,Peter_Kurer
RedOctane,Jack_McCauley
Troma_Entertainment,Michael_Herz_(producer)
Samsung,Lee_Kun-hee
HollyRod_Foundation,Wallis_Annenberg
High_Frequency_Economics,Carl_B._Weinberg
IYogi,Uday_Challu
Working_Title_Films,Sarah_Radclyffe
Atlassian,Scott_Farquhar
BOK_Financial_Corporation,George_Kaiser
Epicentric,Ed_Anuff
Lakmé_Cosmetics,Shraddha_Kapoor
Uganda_National_Oil_Company,Emmanuel_Katongole
Syntel,Rakesh_Khanna
RCB_Bank,Kirill_Zimarin
News_Corporation,Chase_Carey
Vanguard_Animation,John_H._Williams
SIE_Worldwide_Studios,Shawn_Layden
Matchless,Henry_Herbert_Collier
U-Haul,Mark_Shoen
Quicklaunch,John_Hunter_(scientist)
Jacoby_&_Meyers,Gail_Koff
E-CO_Energi,Tore_Olaf_Rimmereid
Cain_Hoy_Stable,Woody_Stephens
CounterPath_Corporation,Terry_Matthews
Mythic_Entertainment,Ray_Muzyka
Zojoi,Karl_Roelofs
Canary_Wharf_Group,George_Iacobescu
Alliance_Healthcare,Stefano_Pessina
Zee_Live,Subhash_Chandra
SARD,Shin_Kato
Pune_District_Central_Cooperative_Bank,Ajit_Pawar
4mations,Adam_Gee
Brivo,Dean_Drako
West_Elm,Laura_J._Alber
Guardians_of_Order,Mark_C._MacKinnon
