Chafurin,Saitama_Prefecture
Giovanni_Bernaudeau,Fontenay-le-Comte
Samuel_Wilson,"Arlington,_Massachusetts"
Steve_Jones_(rugby_player_born_1977),Neath
Jacob_van_der_Kop,Schoonhoven
Tunç_Hamarat,Turkey
Albert_Sassoon,Baghdad
Federico_Campbell,Tijuana
Franz-Josef_Tenhagen,West_Germany
Shiena_Nishizawa,Saitama_Prefecture
Jennifer_Veiga,"Long_Beach,_California"
Denis_d'Inès,Paris
Shuji_Fujimoto,Japan
Dénes_Kőnig,Budapest
Félix_Sesúmaga,Biscay
William_Wallace_Lincoln,"Springfield,_Illinois"
Hussein_of_Jordan,Emirate_of_Transjordan
Roslï_Näf,Switzerland
Mikhail_Kozlovskiy,Saint_Petersburg
Thomas_Hickey_(painter),Dublin
Bernhard_Lehmann,Großräschen
Claude_Lévi-Strauss,Brussels
George_Ainslie_(Virginia_politician),"Richmond,_Virginia"
Barak_Yitzhaki,Ashkelon
Louis_Daniel_Nimschke,Germany
Nicholas_Payton,New_Orleans
Godai_Tomoatsu,Japan
William_J._Le_Moyne,Boston
Smail_Prevljak,Konjic
Eric_Aparicio,Argentina
Helmut_Newton,Berlin
Don_A._J._Upham,"Weathersfield,_Vermont"
Nomani_Tonga,Tonga
James_Durham_(baseball),"Douglass,_Kansas"
Jerzy_Block,"Grabica,_Piotrków_County"
Ramanand_Sagar,"Punjab,_Pakistan"
Kazuyoshi_Katayama,Kyoto_Prefecture
Eduardo_Estrada,Colombia
Félicien_Rops,Namur
Charles_W._Hoitt,"Newmarket,_New_Hampshire"
Mark_Fulton_(loyalist),Portadown
Giuseppe_Tonelli,Florence
Bianca_Maria_Visconti,Lombardy
Predrag_Drobnjak,Socialist_Republic_of_Montenegro
James_Stafford_(cricketer),Surrey
Máire_Geoghegan-Quinn,County_Galway
Reine_Brynolfsson,Gothenburg
"Wayne_Brown_(footballer,_born_1988)",Kingston_upon_Thames
Johan_Rühl,Amsterdam
Lalita_Ramakrishnan,India
Lud_Gluskin,New_York_City
Jovan_Adepo,"Upper_Heyford,_Oxfordshire"
Francesco_Benussi,Italy
Gerry_Reid_(ice_hockey),Canada
Steve_Selva,United_States
John_Bruton,Republic_of_Ireland
Alice-Leone_Moats,Mexico_City
Fred_Dunlap,Philadelphia
Ernesto_Pastor,Puerto_Rico
Janet_Albrechtsen,Adelaide
Peter_Jaffe,Greater_London
Ismail_Marzuki,Dutch_East_Indies
Son_Na-eun,South_Korea
Hendrik_de_Grijff,Netherlands
Stathi_Katsidis,Toowoomba
Mikhail_Golubev,Ukrainian_Soviet_Socialist_Republic
Arturo_Soto_Rangel,Mexico
Wu_Rong-i,Yanchao_District
Augustus_Clark,Kent
Tom_Randall,"Mason_City,_Iowa"
Jim_Smith_(cricketer),Corsham
Karel_Neffe,Prague
Alex_Türk,Roubaix
Tomáš_Galásek,Czech_Republic
Akkarapol_Meesawat,Phatthalung
George_Eastman_(actor),Italy
Awadh_Khamis,Saudi_Arabia
Eric_Crake,British_Raj
Robert_Howell_Hall,"Soperton,_Georgia"
Charles_Bodle,"Poughkeepsie,_New_York"
Eben_S._Stearns,"Bedford,_Massachusetts"
George_J._Eade,Texas
