Peter_Hoagland,Jon_Lynn_Christensen
Galusha_A._Grow,Schuyler_Colfax
Ken_McKinnon_(politician),Kim_Campbell
Dylan_Wissing,Kanye_West
Robert_II_of_France,Henry_I_of_France
Chynna_Phillips,Michelle_Phillips
Owen_O'Neill,Richard_Pryor
Julius_Caesar,Augustus
Claude_Brasseur,Odette_Joyeux
André_Breton,Georg_Wilhelm_Friedrich_Hegel
John_III_of_Sweden,Margaret_Leijonhufvud
Ahmad_Alirezabeigi,Mahmoud_Ahmadinejad
Frank_Simms,David_Bowie
Maria_de_las_Mercedes_of_Bavaria_and_Bourbon,Infanta_Maria_Teresa_of_Spain
"John,_Duke_of_Berry","Marie,_Duchess_of_Auvergne"
Sospeter_Muhongo,Jakaya_Kikwete
"Maurice,_Landgrave_of_Hesse-Kassel","Otto,_Landgrave_of_Hesse-Kassel"
Frank_G._Wisner,Jimmy_Carter
"Charles_II,_Grand_Duke_of_Mecklenburg-Strelitz",Frederica_of_Mecklenburg-Strelitz
"Louis_I,_Duke_of_Orléans",Charles_V_of_France
Turgut_Özal,Süleyman_Demirel
Jens_Böhrnsen,Horst_Köhler
Clara_Harris,Henry_Riggs_Rathbone
Maximilian_I_Joseph_of_Bavaria,Princess_Augusta_of_Bavaria
A._K._Antony,Pranab_Mukherjee
Duchess_Frederica_of_Württemberg,"Augustus,_Grand_Duke_of_Oldenburg"
Abdülmecid_II,Mehmed_VI
Morgan_Tsvangirai,Robert_Mugabe
"José_Paranhos,_Viscount_of_Rio_Branco",Pedro_II_of_Brazil
"Joachim_Ernest,_Duke_of_Schleswig-Holstein-Sonderburg-Plön",Agnes_Hedwig_of_Anhalt
Egon_Krenz,Erich_Honecker
Daniel_Filmus,Néstor_Kirchner
Dasharatha,Shatrughna
Pete_Wilson,Gray_Davis
"Charles_Sackville-Germain,_5th_Duke_of_Dorset",George_IV_of_the_United_Kingdom
Black_Thought,Kanye_West
Robert_N._McGarvey,William_T._Granahan
Les_Mills,Christine_Fletcher
Eulogio_Rodriguez,Diosdado_Macapagal
Thuận_Thiên_(Trần_dynasty_empress),Thuận_Thiên_(Nguyễn_dynasty_empress)
Dennis_Miller,Jay_Mohr
"Eric,_Duke_of_Södermanland",Magnus_III_of_Sweden
Myauk_Pyinthe_(Narathu),Naratheinkha
Philip_IV_of_Spain,Charles_II_of_Spain
Sulla,Lucius_Cornelius_Cinna
Curtis_D._Wilbur,Herbert_Hoover
Jane_Satterfield,Sylvia_Plath
"Philip_Herbert,_4th_Earl_of_Pembroke","William_Paget,_5th_Baron_Paget"
Gonzalo_Ronquillo_de_Peñalosa,Philip_II_of_Spain
Farrukhsiyar,Jahandar_Shah
José_Luis_Rodríguez_Zapatero,José_Blanco_López
Simon_Franglen,David_Foster
Princess_Margaret_of_Denmark,Prince_Valdemar_of_Denmark
Princess_Sophie_of_Saxe-Coburg-Saalfeld,"Francis,_Duke_of_Saxe-Coburg-Saalfeld"
Isabel_Stuart,Mary_of_Modena
Joely_Richardson,Liam_Neeson
William_McKinley,James_E._Campbell
Duke_Xiang_of_Qi,King_Xiang_of_Qi
Teresa_Karolina_Rzewuska,Wacław_Rzewuski
Simon_Muzenda,Robert_Mugabe
"Stephen,_King_of_England",Henry_II_of_England
Thomas_R._Marshall,Franklin_D._Roosevelt
"Rudolf_II,_Holy_Roman_Emperor","Matthias,_Holy_Roman_Emperor"
Alfred_Hampson,Billy_Hughes
Robert_M._La_Follette_Sr.,Joseph_V._Quarles
Samy_Gemayel,Amine_Gemayel
Hecatomnus,Idrieus
Gamini_Dissanayake,Navin_Dissanayake
"Ernest_I,_Duke_of_Saxe-Coburg_and_Gotha","Ernest_II,_Duke_of_Saxe-Coburg_and_Gotha"
W._Paul_Thayer,Ronald_Reagan
Nelson_Mandela,F._W._de_Klerk
Shirley_Hufstedler,Jimmy_Carter
Holle_Thee_Maxwell,Ike_Turner
José_P._Laurel,Sergio_Osmeña
Caroline_of_Ansbach,Prince_George_of_Denmark
Jigme_Singye_Wangchuck,Jigme_Dorji_Wangchuck
"Francis_I,_Holy_Roman_Emperor","Leopold,_Duke_of_Lorraine"
William_F._Downes,Nancy_D._Freudenthal
"Charles_Gonzaga,_Duke_of_Mantua_and_Montferrat","Charles_II,_Duke_of_Mantua_and_Montferrat"
Harry_James,Frank_Sinatra
David_Guest_(communist),"Peter_Haden-Guest,_4th_Baron_Haden-Guest"
"Prince_Emanuele_Filiberto,_Duke_of_Aosta",Amadeo_I_of_Spain
H._S._Shivaprakash,Karl_Marx
"Miguel_da_Paz,_Prince_of_Portugal",Joanna_of_Castile
Joseph_Cook,Andrew_Fisher
Prince_Nikola_of_Yugoslavia_(1928–1954),Prince_Paul_of_Yugoslavia
Grand_Duke_Michael_Pavlovich_of_Russia,Paul_I_of_Russia
Chris_Rock,Woody_Allen
Jan_Nepomucen_Potocki,Jadwiga_Maria_Potocka
Sergio_Osmeña,Vicente_Sotto
Federico_Pinedo,Gerardo_Zamora
Maya_Lavelle,David_Bowie
Paul_Douglas,Scott_W._Lucas
George_XI_of_Kartli,Princess_Rodam_of_Kartli
Naratheinkha,Narapatisithu
Damat_Ibrahim_Pasha,Cigalazade_Yusuf_Sinan_Pasha
Mark_Simmons_(Oregon_politician),Karen_Minnis
Pedro_Sandoval,Jackson_Pollock
Pedro_II_of_Brazil,Pedro_I_of_Brazil
"Amadeus_V,_Count_of_Savoy","Aymon,_Count_of_Savoy"
Councillor_Tuura,Elisabeth_Turhapuro
Prince_Peter_of_Greece_and_Denmark,Princess_Marie_Bonaparte
"Robert_Dundas,_2nd_Viscount_Melville","Arthur_Wellesley,_1st_Duke_of_Wellington"
Ashanti_(singer),R._Kelly
Jeff_VanderMeer,Raymond_Chandler
Mahdzir_Khalid,Najib_Razak
Benjamin_Butler_(politician),Daniel_W._Gooch
"Constance,_Duchess_of_Brittany","Arthur_I,_Duke_of_Brittany"
Nancy_Lee_Bass,Lee_Bass
Wahinepio,Hoapili
Mohamed_Mediouri,Abdeslam_Ahizoune
Osman_II,Ahmed_I
"Otto_I,_Holy_Roman_Emperor",Henry_the_Fowler
"Albert_III,_Duke_of_Bavaria",Elisabetta_Visconti
Mark_Beretta,Jodie_Speers
List_of_The_Unit_characters,Scott_Foley
Jimmy_Jam_and_Terry_Lewis,Michael_Jackson
Eric_G._Hoyer,Hubert_Humphrey
"Robert_Stewart,_Viscount_Castlereagh","Lodge_de_Montmorency,_1st_Viscount_Frankfort_de_Montmorency"
George_V,Alexandra_of_Denmark
Clemente_Mastella,Silvio_Berlusconi
"Francis_I,_Duke_of_Lorraine","Charles_III,_Duke_of_Lorraine"
Volker_Kauder,Angela_Merkel
"Odo_III,_Duke_of_Burgundy","Hugh_IV,_Duke_of_Burgundy"
Henry_Abel_Smith,Alan_Mansfield
Alistair_Darling,George_Osborne
"Henry_Petty-Fitzmaurice,_5th_Marquess_of_Lansdowne",John_A._Macdonald
"Albert_II,_Margrave_of_Brandenburg-Ansbach","Joachim_Ernst,_Margrave_of_Brandenburg-Ansbach"
"Lee_England,_Jr.",Quincy_Jones
Gnaeus_Pompey_Magnus_(Rome_character),Kenneth_Cranham
Norman_Granz,Louie_Bellson
Felipe_Calderón,Josefina_Vázquez_Mota
John_of_Brienne,Isabella_II_of_Jerusalem
Khải_Định,Bảo_Đại
E._Bronson_Ingram_II,Orrin_Henry_Ingram
Sebastián_Piñera,Felipe_Bulnes
Sigismund_III_Vasa,John_III_of_Sweden
"François_d'Orléans,_Prince_of_Joinville",Maria_Amalia_of_Naples_and_Sicily
"William_Cavendish-Bentinck,_3rd_Duke_of_Portland",William_Pitt_the_Younger
Jack_Reacher,Tom_Cruise
Sophie_Amalie_of_Brunswick-Lüneburg,Anne_Eleonore_of_Hesse-Darmstadt
"Alexander_Comyn,_Earl_of_Buchan","James_Stewart,_5th_High_Steward_of_Scotland"
Elisiv_of_Kiev,Maria_Haraldsdotter
Mauno_Koivisto,Harri_Holkeri
"Theobald_V,_Count_of_Blois","Margaret,_Countess_of_Blois"
Mehmed_the_Conqueror,Murad_II
Catherine_of_Saxe-Lauenburg,Eric_XIV_of_Sweden
Kimber_Henry,Matt_McNamara
"Eleanor_Brandon,_Countess_of_Cumberland","Charles_Brandon,_1st_Duke_of_Suffolk"
"William_West,_1st_Baron_De_La_Warr","Thomas_West,_2nd_Baron_De_La_Warr"
Lorenzo_de'_Medici,Pope_Leo_X
J._William_Fulbright,Dale_Bumpers
Saw_Min_Hla,Shin_Bo-Me
Sisowath_Watchayavong,Norodom_Sihanouk
Archduchess_Caroline_Ludovika_of_Austria,"Francis_II,_Holy_Roman_Emperor"
"Albrecht_VII,_Duke_of_Mecklenburg","Henry_V,_Duke_of_Mecklenburg"
Daniel_Fried,George_W._Bush
Stefan_Uroš_I,Stefan_Dragutin
Laura_Riding,Robert_Graves
Æthelberht_of_Kent,Eadbald_of_Kent
Nambui,Bulugan
"Peter_II,_Grand_Duke_of_Oldenburg","Augustus,_Grand_Duke_of_Oldenburg"
Jeremiah_Van_Rensselaer,Stephen_Van_Rensselaer
Patrick_Lucey,Jimmy_Carter
Leopold_III_of_Belgium,Albert_I_of_Belgium
Ernest_Shonekan,Sani_Abacha
Jan_Eliasson,Carl_Bildt
Duchess_Helene_of_Mecklenburg-Schwerin,"Prince_Philippe,_Count_of_Paris"
Henryk_IV_Probus,Przemysł_II
Andrew_Jackson,Edward_Livingston
Tyra_of_Denmark,"Gunnhild,_Mother_of_Kings"
Vladimir_Solovyov_(philosopher),Fyodor_Dostoyevsky
Shigeko_Higashikuni,Empress_Kōjun
Styles_Bridges,Kenneth_McKellar_(politician)
"Arthur_III,_Duke_of_Brittany","John_IV,_Duke_of_Brittany"
Isaac_Barré,George_III_of_the_United_Kingdom
Robert_Wilkie,George_W._Bush
Eugene_Walter,Eugene_Walter_(playwright)
John_Keith_McBroom_Laird,Lester_B._Pearson
Lütfi_Elvan,Recep_Tayyip_Erdoğan
Jackson_Browne,Bruce_Springsteen
Charles_Townshend,"Henry_Fox,_1st_Baron_Holland"
Happy_Chandler,Bert_T._Combs
Jia_Qinglin,Li_Qiyan
Tony_Stewart,Jeff_Gordon
Hayley_Smith_(American_Dad!),Francine_Smith
"Tim_Razzall,_Baron_Razzall",Wynn_Normington_Hugh-Jones
Lady_Pansy_Lamb,"Victor_Child_Villiers,_7th_Earl_of_Jersey"
Nelson_Riddle,Judy_Garland
"Edwyn_Scudamore-Stanhope,_10th_Earl_of_Chesterfield","Bernard_Forbes,_8th_Earl_of_Granard"
Christian_III_of_Denmark,Frederick_I_of_Denmark
Ron_Davies_(Welsh_politician),Ednyfed_Hudson_Davies
Elizabeth_of_Görlitz,John_of_Görlitz
René_Préval,Boniface_Alexandre
Maureen_Mwanawasa,Thandiwe_Banda
Herbert_Hoover,Charles_Curtis
Henry_L._Stimson,William_Howard_Taft
Frederick_I_of_Prussia,William_III_of_England
"John_Talbot,_2nd_Earl_of_Shrewsbury","Henry_Bourchier,_1st_Earl_of_Essex"
Barbara_Hall_(politician),Joanne_Campbell_(politician)
Achille_Mbembe,Michel_Foucault
Ashley_Abbott,Eileen_Davidson
Armando_Sanchez,Vilma_Santos
Major_Tom,David_Bowie
Dave_Mason,George_Harrison
Ismail_Ibn_Sharif,Abu'l_Abbas_Ahmad_of_Morocco
"Margaret_of_Austria,_Duchess_of_Savoy",Mary_of_Burgundy
Menzies_Campbell,Barry_Henderson
Julie_Morgan,William_Powell
John_McEwen,Charles_Adermann
Süleyman_Demirel,Mesut_Yılmaz
Samuel_Aba,"Peter,_King_of_Hungary"
Altoman_Vojinović,Vojislav_Vojinović
Antonio_Cafiero,Eduardo_Duhalde
Sheridan_Le_Fanu,Charles_Dickens
W._Stuart_Symington_(diplomat),George_W._Bush
Michael_Myers_(Halloween),John_Carpenter
Alfonso_V_of_León,Bermudo_II_of_León
Jean_Chrétien,Lester_B._Pearson
André_Cymone,Prince_(musician)
Daniel_Coit_Gilman,Elisabeth_Gilman
Edward_Bulwer-Lytton,"William_Pole-Tylney-Long-Wellesley,_4th_Earl_of_Mornington"
Grae_Fernandez,Rudy_Fernandez_(actor)
Bruce_Matthews_(American_football),Brett_Favre
Franklin_D._Roosevelt,Henry_A._Wallace
Stacy_Sanches,Victoria_Silvstedt
Mo_Butcher,Edna_Doré
Yonghuang,Qianlong_Emperor
Kim_Young-sam,Kim_Dae-jung
Brooke_Burke,Chris_Harrison
Saw_Lat_of_Pagan,Myauk_Pyinthe_(Narathu)
Pharoahe_Monch,Kanye_West
Cleopatra,Ptolemy_XII_Auletes
"Charles_Wellesley,_9th_Duke_of_Wellington","Diana_Wellesley,_Duchess_of_Wellington"
Joy_MacPhail,Ujjal_Dosanjh
Stefan_Radoslav,Eudokia_Angelina
Archduchess_Maria_Amalia_of_Austria,Princess_Carolina_of_Parma
"Marie_Louise,_Duchess_of_Parma","Francis_II,_Holy_Roman_Emperor"
"Princess_Astrid_of_Belgium,_Archduchess_of_Austria-Este","Princess_Laetitia_Maria_of_Belgium,_Archduchess_of_Austria-Este"
Hugh_Watt,Bob_Tizard
Princess_Feodora_of_Hohenlohe-Langenburg,Princess_Feodora_of_Leiningen
Helena_Guergis,Gary_Lunn
José_Fuentebella,José_P._Laurel
Samuel_Henry_Strong,John_Sparrow_David_Thompson
Joséphine_de_Beauharnais,Hortense_de_Beauharnais
Sara_Hradecky,Stephen_Harper
"Charles_Calvert,_5th_Baron_Baltimore",Benedict_Swingate_Calvert
Min_Nemi_of_Toungoo,Swa_Saw_Ke
Tyrion_Lannister,Tywin_Lannister
Jeremy_Lascelles,"George_Lascelles,_7th_Earl_of_Harewood"
Isabella_I_of_Castile,"Isabella_of_Portugal,_Queen_of_Castile"
Larry_Campbell_(musician),Bob_Dylan
Sibylle_of_Saxony,Catherine_of_Mecklenburg
Gamal_Abdel_Nasser,Muhammad_Sedki_Sulayman
Laurent_de_Brunhoff,Cecile_de_Brunhoff
Thane_Campbell,Edward_VIII
James_III_of_Scotland,James_II_of_Scotland
Hua_Guofeng,Ye_Jianying
Minkhaung_I,Tarabya_of_Ava
"John_II,_Count_of_Holland","William_I,_Count_of_Hainaut"
Lew_Wallace,Lionel_Allen_Sheldon
Infanta_Maria_Anna_of_Portugal_(1843–1884),Frederick_Augustus_III_of_Saxony
George_Luther_Kapeau,Kamehameha_III
Charles_VI_of_France,Charles_V_of_France
Ann_Cryer,Kris_Hopkins
Thihathu_of_Ava,Minhlange
India_Casiraghi,Tatiana_Santo_Domingo
Ali_Landry,Marla_Maples
Robert_II_of_France,Adelaide_of_Aquitaine
Emperor_Tenmu,Prince_Takechi
Mohsen_Makhmalbaf,Federico_Fellini
"Frederick_Marquis,_1st_Earl_of_Woolton",George_VI
Livia_Soprano,Tony_Soprano
Princess_Helen_of_Serbia,Prince_Vsevolod_Ivanovich_of_Russia
"Prince_Edward,_Earl_of_Wessex","Prince_Andrew,_Duke_of_York"
Archduke_Karl_Ludwig_of_Austria,Archduchess_Maria_Annunciata_of_Austria
David_Goggins,Jesse_Itzler
Lady_Mary_Grey,"Henry_Grey,_1st_Duke_of_Suffolk"
Ruth_Bader_Ginsburg,Jimmy_Carter
Om_Shivpuri,Ritu_Shivpuri
Stanley_Marcus_(judge),Ronald_Reagan
Paul_Sarbanes,Phil_Gramm
Witold_Leon_Czartoryski,Jerzy_Konstanty_Czartoryski
Opus_the_Penguin,Michael_Bell_(actor)
Josip_Broz_Tito,Josip_Broz_Tito
Percy_Bady,R._Kelly
List_of_Queer_as_Folk_characters,Peter_MacNeill
Kalaninuiamamao,Alapaiwahine
Keke_Wyatt,Kanye_West
Peter_IV_of_Aragon,"Eleanor_of_Aragon,_Queen_of_Castile"
Louise_of_the_Netherlands,Louise_of_Sweden
Isabella_I_of_Castile,Joanna_of_Castile
Santanico_Pandemonium,Salma_Hayek
Constance_of_Antioch,Philippa_of_Antioch
Elisabeth_Christine_of_Brunswick-Wolfenbüttel,Maria_Luisa_of_Spain
George_Gardner_Fagg,Ronald_Reagan
Tlacaelel,Tlilpotoncatzin
Alexios_I_Komnenos,John_II_Komnenos
Selim_I,Bayezid_II
Kim_Il-sung,Pak_Hon-yong
Hugh_John_Flemming,Gordon_Fairweather
Frank_G._Wisner,Ronald_Reagan
Dehra_Parker,James_Chichester-Clark
Jagannath_Mishra,Lalu_Prasad_Yadav
Christina_Onassis,Aristotle_Onassis
Dennis_Shedd,George_H._W._Bush
Şah_Sultan_(daughter_of_Selim_I),Hafsa_Sultan_(wife_of_Selim_I)
Joyce_Kilmer,Francis_Thompson
"Peter_Walker,_Baron_Walker_of_Worcester",Tony_Benn
Nicanor_Faeldon,Rodrigo_Duterte
Jin_Tielin,Lü_Jihong
Richenza_of_Northeim,Sophia_of_Hungary
"Agnes_Howard,_Duchess_of_Norfolk","William_Howard,_1st_Baron_Howard_of_Effingham"
St._George_Tucker,James_Madison
William_Johnston_Tupper,"Alexander_Cambridge,_1st_Earl_of_Athlone"
"Jorge_de_Lencastre,_Duke_of_Coimbra",John_II_of_Portugal
"Infanta_Elena,_Duchess_of_Lugo",Infanta_Sofía_of_Spain
Muhammad_Ali_al-Abid,Taj_al-Din_al-Hasani
"Charles_Dickens,_Jr.",Charles_Dickens
Lucrezia_de'_Medici_(1470–1553),Clarice_Orsini
Blanche_of_Burgundy,"Mahaut,_Countess_of_Artois"
Faizur_Rahman_(police_officer),Humayun_Ahmed
James_S._Green,Franklin_Pierce
Mendsaikhany_Enkhsaikhan,Tsakhiagiin_Elbegdorj
"Evelyn_Cavendish,_Duchess_of_Devonshire",Mary_of_Teck
Louis_the_Stammerer,Charles_the_Bald
"Charles_Spencer-Churchill,_9th_Duke_of_Marlborough","George_Spencer-Churchill,_8th_Duke_of_Marlborough"
Allan_MacEachen,Pierre_Trudeau
Thomas_Bernhard,Robert_Schumann
John_Penn_(writer),Davies_Gilbert
Flora_Reid,Ada_Watson
Countess_Franziska_Kinsky_of_Wchinitz_and_Tettau,"Johann_II,_Prince_of_Liechtenstein"
"John_Murray,_4th_Duke_of_Atholl",George_III_of_the_United_Kingdom
Isaac_Deutscher,Leon_Trotsky
Butch_Otter,Jay_Inslee
Antonia_of_Baux,Blanche_I_of_Navarre
Olive_Osmond,Donny_Osmond
Peter_Coleman,John_Mason_(Australian_politician)
Amy_Hempel,Raymond_Carver
"Charles_Vane-Tempest-Stewart,_7th_Marquess_of_Londonderry",Ramsay_MacDonald
"Georgiana_Howard,_Countess_of_Carlisle","George_Howard,_7th_Earl_of_Carlisle"
Faris_Shafi,Waseem_Abbas
Zewditu,Haile_Selassie
Narapati_of_Prome,Bayin_Htwe
Shin_Sawbu,Dhamma_Dewi_of_Ava
Bertrada_of_Laon,Charibert_of_Laon
Perry_Christie,Marguerite_Pindling
Sophie_(musician),Madonna_(entertainer)
Jeannette_Kagame,Ange_Kagame
Ryan_Hunter-Reay,Dario_Franchitti
Catherine_of_Bohemia,"Charles_IV,_Holy_Roman_Emperor"
Anita_Blake,Laurell_K._Hamilton
List_of_Coronation_Street_characters_(2012),Debbie_Arnold
Sunil_Dutt,Sanjay_Dutt
Heidi_Lenhart,Cheryl_Saban
Dan_Quayle,Walter_Mondale
Charles_Haughey,George_Colley
Ruby_Moscoso_de_Young,Vivian_Fernández
John_Dingell,John_D._Dingell_Sr.
Prince_Ludwig_of_Hesse_and_by_Rhine,Princess_Cecilie_of_Greece_and_Denmark
Al_Schmitt,Quincy_Jones
Sam_Marx,Harpo_Marx
"Ingeborg_of_Denmark,_Queen_of_France",Valdemar_I_of_Denmark
Nasrullah_Khan_(Afghanistan),Amanullah_Khan
Bobby_Baccalieri,David_Chase
Maya_Deren,Barbara_Hammer
"Prince_Robert,_Duke_of_Chartres",Princess_Marie_of_Orléans_(1865–1909)
Māris_Gailis,Guntis_Ulmanis
Malcolm_Lowry,Leo_Tolstoy
Harry_Greb,Gene_Tunney
"John_Ward,_1st_Earl_of_Dudley","Arthur_Wellesley,_1st_Duke_of_Wellington"
Frederica_of_Hanover,Constantine_II_of_Greece
Burt_Pines,Gray_Davis
Stephen_Bachop,Aaron_Mauger
Henry_Wolfe_Gummer,Mamie_Gummer
Kunhsaw_Kyaunghpyu,Nyaung-u_Sawrahan
Bharata_(Ramayana),Dasharatha
"Bernhard_II,_Duke_of_Saxe-Meiningen","Georg_II,_Duke_of_Saxe-Meiningen"
Milena_Vukotić,Princess_Anna_of_Montenegro
Jorge_Castañeda_Gutman,Vicente_Fox
Abdoulaye_Wade,Moustapha_Niasse
Alexander_Helios,Mark_Antony
Charles_August_Lindbergh,Charles_Lindbergh
Anita_of_Braganza,"Miguel,_Duke_of_Braganza"
Paul_McCarthy,Jackson_Pollock
Chad_I_Ginsburg,Bam_Margera
Calvin_L._Rampton,George_Dewey_Clyde
Manuel_of_Castile,Ferdinand_III_of_Castile
"Joan,_Countess_of_Flanders",Marie_of_Champagne
Princess_Margherita_of_Bourbon-Parma,"Charles_III,_Duke_of_Parma"
"Ernest,_Duke_of_Austria","William,_Duke_of_Austria"
Warren_G._Harding,Calvin_Coolidge
Mohammad-Ali_Rajai,Ruhollah_Khomeini
Maleficent,Lois_Nettleton
"Alexander_Ferdinand,_3rd_Prince_of_Thurn_and_Taxis","Karl_Anselm,_4th_Prince_of_Thurn_and_Taxis"
Thihathu,Saw_Yun
Aaron_Burr,Vice_President_of_the_United_States
"Sir_Arthur_Dyke_Acland,_13th_Baronet",William_Ewart_Gladstone
Prince_Julius_of_Schleswig-Holstein-Sonderburg-Glücksburg,"Friedrich_Wilhelm,_Duke_of_Schleswig-Holstein-Sonderburg-Glücksburg"
James_Hanley_(novelist),Dylan_Thomas
Edwin_H._Land,Steve_Jobs
Pyanchi_I_of_Toungoo,Swa_Saw_Ke
Todd_C._Chapman,Barack_Obama
Cyhi_the_Prynce,Kanye_West
Gustav_I_of_Sweden,"Magnus,_Duke_of_Östergötland"
Michael_Asen_IV_of_Bulgaria,Theodora_of_Wallachia
Queen_Mathilde_of_Belgium,Princess_Eléonore_of_Belgium
Duff_Cooper,William_Wiggins
"William_Vane,_1st_Duke_of_Cleveland",William_IV_of_the_United_Kingdom
Tim_&_Bob,Bobby_Brown
Germanicus,Agrippina_the_Younger
"Frederick_Francis_II,_Grand_Duke_of_Mecklenburg-Schwerin","Paul_Frederick,_Grand_Duke_of_Mecklenburg-Schwerin"
Olivia_Chow,Adam_Vaughan
Marie_Bashir,Kim_Santow
William_vanden_Heuvel,Katrina_vanden_Heuvel
Arthur_Morrell_(Louisiana_politician),Jean-Paul_Morrell
"Ernst_Frederick_II,_Duke_of_Saxe-Hildburghausen",Amalie_of_Saxe-Hildburghausen
Pedro_de_Villagra,Philip_II_of_Spain
James_Olmsted,Samuel_Hayes_(settler)
Mark_Sension,John_Platt_(settler)
Maurice_Gourdault-Montagne,Nicolas_Sarkozy
Jace_Alexander,Jane_Alexander
Ma_Ying-jeou,Vincent_Siew
Lysimachus,Alexander_IV_of_Macedon
Princess_Sibylla_of_Saxe-Coburg_and_Gotha,Carl_XVI_Gustaf_of_Sweden
Princess_Louise_Sophie_of_Schleswig-Holstein-Sonderburg-Augustenburg,"Frederick_VIII,_Duke_of_Schleswig-Holstein"
Empress_Xiaochengren,Consort_Donggo
Bob_Rae,David_Peterson
Peter_II_of_Portugal,"Infante_Francisco,_Duke_of_Beja"
Princess_Caroline_Louise_of_Saxe-Weimar-Eisenach,Landgravine_Louise_of_Hesse-Darmstadt_(1757–1830)
Bo_Xilai,Ding_Xuexiang
Frederick_III_of_Sicily,James_II_of_Aragon
"Valentine_McEntee,_1st_Baron_McEntee",Clement_Attlee
"Georg_II,_Duke_of_Saxe-Meiningen","Bernhard_II,_Duke_of_Saxe-Meiningen"
Hamdan_bin_Rashid_Al_Maktoum,Zayed_bin_Sultan_Al_Nahyan
William_the_Silent,"Philip_William,_Prince_of_Orange"
Phil_Batt,Butch_Otter
Jacquetta_of_Luxembourg,Lionel_Woodville
Ram_Sampath,Justin_Timberlake
Arnab_Ray,Stephen_King
Jerry_Brown,Arnold_Schwarzenegger
"Maria_of_Castile,_Queen_of_Aragon",Juana_Enríquez
Peter_King_(Australian_politician),Malcolm_Turnbull
Judith_of_Bohemia,Vratislaus_II_of_Bohemia
Ernst_Johann_von_Biron,Peter_von_Biron
Gilbert_Parent,Adrienne_Clarkson
Teddy_Reig,Quincy_Jones
Cheryl_West_(Outrageous_Fortune),Robyn_Malcolm
Alexei_Kudrin,Viktor_Khristenko
Harry_J._Anslinger,Herbert_Hoover
Henry_I_of_France,Robert_II_of_France
Alfonso_IV_of_Aragon,James_II_of_Aragon
Elaine_McCoy,Adrienne_Clarkson
"Charles_Alexander,_Margrave_of_Brandenburg-Ansbach","Charles_William_Frederick,_Margrave_of_Brandenburg-Ansbach"
"Prince_Louis,_Count_of_Trani",Ferdinand_II_of_the_Two_Sicilies
Constantine_V,Leo_IV_the_Khazar
Sweyn_Forkbeard,Harald_Bluetooth
"Nuno_José_Severo_de_Mendoça_Rolim_de_Moura_Barreto,_1st_Duke_of_Loulé",Joaquim_António_de_Aguiar
Stephen_Harper,Justin_Trudeau
Adolphe_Thiers,Louis_Philippe_I
Anitelea_Tuilagi,Manu_Tuilagi
Eduardo_Duhalde,Néstor_Kirchner
Heshen,Qianlong_Emperor
Jerry_Avenaim,Richard_Avedon
Ferdinand_I_of_Austria,Franz_Joseph_I_of_Austria
Donna_Axum,Jacquelyn_Mayer
"Nathan_Rothschild,_1st_Baron_Rothschild",Charlotte_von_Rothschild
Freddie_Fields,Kathy_Fields
Norman_Chandler,Otis_Chandler
Michael_Haley_(rugby_league),Michael_Haley_(South_Carolina)
Lucien_Murat,Charles_XIV_John_of_Sweden
"Isabella_of_Urgell,_Duchess_of_Coimbra","Peter,_Constable_of_Portugal"
B._Carroll_Reece,Dayton_E._Phillips
Ian_Sinclair,Malcolm_Fraser
"Philippe_Charles,_Duke_of_Valois","Philippe_I,_Duke_of_Orléans"
Seble_Desta,Desta_Damtew
Alice_of_Namur,"Ermesinde_of_Luxembourg,_Countess_of_Namur"
"Louis_IV,_Elector_Palatine","Louis_III,_Elector_Palatine"
"Thomas_Howard,_2nd_Duke_of_Norfolk","Thomas_Howard,_3rd_Duke_of_Norfolk"
Queen_Ratna_of_Nepal,Queen_Aishwarya_of_Nepal
William_Scranton,William_Scranton_III
"George_Lascelles,_7th_Earl_of_Harewood","Henry_Lascelles,_6th_Earl_of_Harewood"
John_Turner,Elizabeth_II
Frank_M._Dixon,Bibb_Graves
Helen_Coonan,Arthur_Sinodinos
Prince_Emanuele_Filiberto_of_Savoy_(1731–1735),Charles_Emmanuel_III_of_Sardinia
Bhumibol_Adulyadej,Vajiralongkorn
"John_II,_Duke_of_Bourbon","Charles_I,_Duke_of_Bourbon"
William_Massey,"John_Jellicoe,_1st_Earl_Jellicoe"
Solomone_Ula_Ata,Tāufaʻāhau_Tupou_IV
"Charles_Henri,_Prince_of_Commercy","Charles_Thomas,_Prince_of_Vaudémont"
Hermann_Jónasson,Ásgeir_Ásgeirsson
Malik_Mehr_un_Nisa_Afridi,Asif_Ali_Zardari
Michael_Meacher,Donald_Dewar
"Princess_Antonia,_Duchess_of_Wellington","Arthur_Wellesley,_Marquess_of_Douro"
Finn_Kristensen,Jens_Stoltenberg
Philémon_Yang,Paul_Biya
Esmat_Dowlatshahi,Hamid_Reza_Pahlavi
Jean_Chrétien,Ray_Hnatyshyn
Gilbert_de_Botton,Miel_de_Botton
Vi_Daley,Michele_Smith_(politician)
Vajiravudh,Bejaratana_Rajasuda
Henrietta_of_England,Anne_Marie_d'Orléans
Chen_Sisi_(singer),Jin_Tielin
Jesús_Jiménez_Zamora,José_María_Castro_Madriz
Khin_Ma_Hnaung,Nanda_Bayin
