Brian_Boru,Gormflaith_ingen_Murchada
"Frederick_August_I,_Duke_of_Oldenburg",Paul_I_of_Russia
"Isabella_of_Aragon,_Queen_of_France",Margaret_of_Provence
Loni_Love,Joan_Rivers
Richard_Armitage_(politician),George_H._W._Bush
Asha_Bhosle,Usha_Mangeshkar
Elizabeth_of_Aragon,Afonso_IV_of_Portugal
Ibrahim_Mohammad_Jahfar,Hassanal_Bolkiah
St._George_Tucker,James_Madison
Gurgen_of_Iberia,Bagrat_III_of_Georgia
Sorghaghtani_Beki,Tolui
Anthony_Eden,Winston_Churchill
Charles_the_Younger,Louis_the_German
Bisset_Berry,Queen_Victoria
"Frederick_II,_Elector_of_Saxony","Ernest,_Elector_of_Saxony"
Alain_Le_Roy,Nicolas_Sarkozy
Roger_Johnson_(California),Bill_Clinton
Niels_Neergaard,Frederick_VIII_of_Denmark
Joseph_Fiennes,Sophie_Fiennes
Anne_de_Mortimer,"Isabel_of_Cambridge,_Countess_of_Essex"
Ala_al-Din_Husayn,Baha_al-Din_Sam_I
Lowell_Murray,Joe_Clark
William_McMahon,Elizabeth_II
Luarsab_I_of_Kartli,George_IX_of_Kartli
Rama_II_of_Siam,Maha_Sura_Singhanat
Lucy_and_Ricky_Ricardo,Lucille_Ball
James_Mitchell_(Canadian_politician),Queen_Victoria
Princess_Cecilia_of_Sweden,Maria_van_Eicken
Charles_W._Hoitt,Theodore_Roosevelt
Ibrahim_Hashem,Hussein_of_Jordan
Caroline_of_Baden,Therese_of_Saxe-Hildburghausen
Bohemond_IV_of_Antioch,Bohemond_V_of_Antioch
Princess_Luisa_Carlotta_of_Naples_and_Sicily,Infanta_Amelia_Philippina_of_Spain
"Friedrich,_Prince_of_Waldeck_and_Pyrmont","Josias,_Hereditary_Prince_of_Waldeck_and_Pyrmont"
Mercer_Cook,John_F._Kennedy
"Edward_Somerset,_4th_Earl_of_Worcester","Henry_Herbert,_2nd_Earl_of_Pembroke"
Charles_Martel,Grifo
E._Bronson_Ingram_II,David_B._Ingram
Mike_Stock_(musician),Donna_Summer
Fuad_I_of_Egypt,Nazli_Sabri
Whoopi_Goldberg,Bill_Cosby
John_C._Stennis,Strom_Thurmond
Geoffrey_Palmer_(politician),Elizabeth_II
Otto_von_Habsburg,Andrea_von_Habsburg
Muhammad_I_of_Khwarazm,Atsiz
Huy_(High_Priest_of_Ptah),Ramesses_II
Maxentius,Constantius_Chlorus
Countess_Donata_of_Castell-Rüdenhausen,Prince_Louis_Ferdinand_of_Prussia_(1944–1977)
Ank_Bijleveld,Willem-Alexander_of_the_Netherlands
Rudolf_I_of_Germany,Albert_I_of_Germany
"Charles_Edward,_Duke_of_Saxe-Coburg_and_Gotha",Princess_Caroline_Mathilde_of_Saxe-Coburg_and_Gotha
Béla_I_of_Hungary,Euphemia_of_Hungary
Archduchess_Maria_Anna_of_Austria_(1882–1940),"Elias,_Duke_of_Parma"
Riagan_mac_Dúnlainge,Cerball_mac_Dúnlainge
Antiochus_IX_Cyzicenus,Antiochus_X_Eusebes
"Henry_III,_Margrave_of_Meissen","Louis_IV,_Landgrave_of_Thuringia"
Alejandro_Dolina,Oscar_Wilde
Countess_Palatine_Caroline_of_Zweibrücken,"Louis_I,_Grand_Duke_of_Hesse"
Charles_I_of_Naples,Peter_III_of_Aragon
Jake_Paltrow,Taryn_Simon
James_Albert_Manning_Aikins,George_V
Mark_Fraser_(secretary),Elizabeth_II
Louis_XIV_of_France,"Louis_Alexandre,_Count_of_Toulouse"
Amadeo_I_of_Spain,"Prince_Emanuele_Filiberto,_Duke_of_Aosta"
Edward_J._Perkins,Bill_Clinton
Julian_(emperor),Helena_(wife_of_Julian)
Joseph_Dietzgen,Karl_Marx
Duke_Jing_of_Jin_(Jujiu),Duke_Jing_of_Jin_(Ju)
Michael_of_Hungary,Ladislas_the_Bald
Shin_Shwe_of_Pagan,Mi_Saw_U
María_Isabella_of_Spain,"Prince_Francis,_Count_of_Trapani"
Humayun,Akbar
Mark_Shand,Edith_Marguerite_Harrington
Luarsab_I_of_Kartli,Tamar_of_Imereti
Jono_El_Grande,Frank_Zappa
"Yuriko,_Princess_Mikasa",Prince_Tomohito_of_Mikasa
Krystyna_Lubomirska_(d._1669),Feliks_Kazimierz_Potocki
"John_Grey,_1st_Earl_of_Tankerville","Henry_Grey,_2nd_Earl_of_Tankerville"
Mamai,Nogai_Khan
Ælfgifu_of_Northampton,Cnut_the_Great
Vladimir_II_Yaroslavich,Andrew_II_of_Hungary
John_I_Ernuszt,John_II_Ernuszt
"Louis_William,_Margrave_of_Baden-Baden",Duchess_Sibylle_of_Saxe-Lauenburg
"Wenzel_Anton,_Prince_of_Kaunitz-Rietberg",Maria_Theresa
Grand_Duchess_Kira_Kirillovna_of_Russia,Prince_Christian-Sigismund_of_Prussia
Elizabeth_Darrell_(courtier),Thomas_Wyatt_(poet)
D._Lowell_Jensen,Ronald_Reagan
Menelik_II,Taytu_Betul
Empress_Xiaojingcheng,Daoguang_Emperor
"Roger_Mortimer,_1st_Earl_of_March","Agnes_Mortimer,_Countess_of_Pembroke"
Alejandro_O'Reilly,Charles_III_of_Spain
"Maria_of_Austria,_Holy_Roman_Empress",Anna_of_Tyrol
"Adolphe,_Grand_Duke_of_Luxembourg","William,_Duke_of_Nassau"
Jiaqing_Emperor,Daoguang_Emperor
"William_II,_Prince_of_Orange","Mary,_Princess_Royal_and_Princess_of_Orange"
"Margaret_Cambridge,_Marchioness_of_Cambridge",Lord_Frederick_Cambridge
Bona_Sforza,Sigismund_I_the_Old
Sophie_Thompson,Richard_Lumsden
Syamsul_Alam,Alauddin_Ahmad_Syah
Charat_Singh,Maha_Singh
Caligula,Tiberius
Mahinthrathirat,Mahathammarachathirat_(king_of_Ayutthaya)
Švitrigaila,Sigismund_Kęstutaitis
Sarah_Jane_Brown,Elizabeth_II
Chaophraya_Si_Suriyawong,Chulalongkorn
"Frederick,_Prince_of_Wales",Caroline_Matilda_of_Great_Britain
"Louis,_Prince_Napoléon",Prince_Jérôme_Napoléon
Lord_William_Campbell,George_III_of_the_United_Kingdom
Ladislaus_III_of_Hungary,Andrew_II_of_Hungary
Yaroslav_the_Wise,Olof_Skötkonung
Maria_Vittoria_dal_Pozzo,"Prince_Emanuele_Filiberto,_Duke_of_Aosta"
Shwe_Zin_Gon,Bayin_Htwe
Ichise_Chanyu,Uwei_Chanyu
Charles_de_Broqueville,Albert_I_of_Belgium
Zara_Phillips,Elizabeth_II
"Rupprecht,_Crown_Prince_of_Bavaria","Albrecht,_Duke_of_Bavaria"
"Elizabeth_Lyon,_Countess_of_Strathmore","James_Lyon,_7th_Earl_of_Strathmore_and_Kinghorne"
"William_IV,_Grand_Duke_of_Luxembourg",Princess_Antonia_of_Luxembourg
Prince_Paul_of_Württemberg,Princess_Charlotte_of_Saxe-Hildburghausen
James_Brown_Clay,Henry_Clay
Robert_William_Douglas_Willoughby,George_V
"William_Louis,_Prince_of_Anhalt-Harzgerode","Frederick,_Prince_of_Anhalt-Harzgerode"
Klementyna_Czartoryska,Eustachy_Erazm_Sanguszko
"William_Cavendish,_4th_Duke_of_Devonshire","Charlotte_Cavendish,_Marchioness_of_Hartington"
"Philip_III,_Count_of_Waldeck","John_I,_Count_of_Waldeck"
Frederica_of_Mecklenburg-Strelitz,Adelaide_of_Saxe-Meiningen
"José_de_Armendáriz,_1st_Marquis_of_Castelfuerte",Philip_V_of_Spain
Neferirkare_Kakai,Khentkaus_II
"Louis_J._Nigro,_Jr.",George_W._Bush
Harriet_Miers,George_W._Bush
Paul_of_Greece,Constantine_II_of_Greece
Shamshi-Adad_I,Ishme-Dagan_I
Eowa_of_Mercia,Penda_of_Mercia
Smita_Patil,Raj_Babbar
"Otto_IV,_Duke_of_Brunswick-Lüneburg","Frederick_II,_Duke_of_Brunswick-Lüneburg"
Robert_Burns,Samuel_Taylor_Coleridge
Fruela_II_of_Asturias,Alfonso_IV_of_León
Frederick_Augustus_III_of_Saxony,"Friedrich_Christian,_Margrave_of_Meissen"
Robert_D._Ziff,Dirk_Edward_Ziff
Princess_Marina_of_Greece_and_Denmark,Prince_Michael_of_Kent
Krishnaraja_Wadiyar_II,Nanjaraja_Wodeyar
Jayaatu_Khan_Tugh_Temür,Khutughtu_Khan_Kusala
Tetyana_Kardynalovska,Vsevolod_Holubovych
Cecile_of_France,"Tancred,_Prince_of_Galilee"
"Sir_John_Robinson,_1st_Baronet,_of_Toronto",Queen_Victoria
Iseult_Gonne,Francis_Stuart
James_Rannie_Swinton,Francis_Holl
Himani_Shah,"Paras,_Crown_Prince_of_Nepal"
J._Peter_Robinson,Phil_Collins
Augusta_of_Saxe-Weimar-Eisenach,Princess_Louise_of_Prussia
William_Rogers_Coe,Michael_D._Coe
"George_Talbot,_4th_Earl_of_Shrewsbury","Charles_Brandon,_1st_Duke_of_Suffolk"
"Lyon_Playfair,_1st_Baron_Playfair",Queen_Victoria
Cheri_Dennis,Sean_Combs
Stephen_Kemble,Elizabeth_Satchell
Al-Nasir,Az-Zahir_(Abbasid_caliph)
Emperor_Go-Momozono,Emperor_Kōkaku
Talal_of_Jordan,Zein_al-Sharaf_Talal
Albrecht_Behmel,Groucho_Marx
Henry_II_of_England,Richard_I_of_England
Duchess_Marie_Elisabeth_of_Saxony,Augusta_Marie_of_Holstein-Gottorp
Gopichand_Hinduja,Dheeraj_Hinduja
María_Manuela_Kirkpatrick,Eugénie_de_Montijo
Elisa_Bonaparte,Elisa_Napoléone_Baciocchi
Walter_C._Teagle,William_Stamps_Farish_II
Napoleon,"Charles_V,_Holy_Roman_Emperor"
"Hugh_le_Despencer,_1st_Baron_le_Despencer",Henry_III_of_England
"Catherine_of_Saxe-Lauenburg,_Duchess_of_Mecklenburg","Henry_IV,_Duke_of_Mecklenburg"
Edward_Harkness,Lamon_V._Harkness
William_the_Conqueror,Adela_of_Normandy
Demetrius_II_Aetolicus,Antigonus_III_Doson
Dan_Glickman,Bill_Clinton
Maria_Shriver,Arnold_Schwarzenegger
Ludwig_I_of_Bavaria,Princess_Hildegard_of_Bavaria
Daniel_Richard_Crissinger,Warren_G._Harding
"Maria_Christina,_Duchess_of_Teschen","Joseph_II,_Holy_Roman_Emperor"
"Richeza_of_Sweden,_Duchess_of_Poland",Elizabeth_Richeza_of_Poland
Warren_Hastings,George_III_of_the_United_Kingdom
Elisabeth_Omilami,Afemo_Omilami
Chulalongkorn,Savang_Vadhana
Jacob_Kettler,Friedrich_Kettler
Philip_V_of_France,"Joan_II,_Countess_of_Burgundy"
Haifa_bint_Faisal,Khalid_bin_Bandar_bin_Sultan_Al_Saud
Matilda_of_Habsburg,"Louis_II,_Duke_of_Bavaria"
"Louis_Antoine,_Duke_of_Enghien",Charlotte_Louise_de_Rohan
Egbert_Benson,Alexander_Hamilton
Peter_I_of_Serbia,Alexander_I_of_Yugoslavia
Piero_the_Unfortunate,Clarice_de'_Medici
"Thomas,_Count_of_Savoy",Beatrice_of_Savoy
Satya_Saha,Khan_Ataur_Rahman
Edward_Blake,Queen_Victoria
Nayef_bin_Abdul-Aziz_Al_Saud,Fahd_of_Saudi_Arabia
Sally_Hemings,Eston_Hemings
Joanne_Woodward,Paul_Newman
Sophia_of_Minsk,Valdemar_II_of_Denmark
"Leopold_II,_Prince_of_Anhalt-Dessau",Gisela_Agnes_of_Anhalt-Köthen
Inge_the_Elder,Helena_(wife_of_Inge_the_Elder)
R._Kenton_Musgrave,Ronald_Reagan
"Charles_II_August,_Duke_of_Zweibrücken",Maximilian_I_Joseph_of_Bavaria
William_Johnson_(judge),Thomas_Jefferson
Ralph_K._Winter_Jr.,Ronald_Reagan
Iajuddin_Ahmed,Khaleda_Zia
"Beatrice_of_Bourbon,_Queen_of_Bohemia",John_of_Bohemia
Maad_a_Sinig_Kumba_Ndoffene_Famak_Joof,Maad_a_Sinig_Ama_Joof_Gnilane_Faye_Joof
Alphonse_James_de_Rothschild,Béatrice_Ephrussi_de_Rothschild
Jacob_K._Javits,Robert_F._Kennedy
"Ernest_I,_Duke_of_Saxe-Gotha","Frederick_I,_Duke_of_Saxe-Gotha-Altenburg"
Patrick_Mayhew,"Michael_Havers,_Baron_Havers"
Nazrin_Shah_of_Perak,Sultan_of_Perak
Richard_Hambro,Rupert_Hambro
Margrethe_II_of_Denmark,Frederick_IX_of_Denmark
Francis_Phoebus_of_Navarre,Catherine_of_Navarre
"Luther_Halsey_Gulick,_Sr.",Sidney_Gulick
Isabelle_de_Meulan,Amaury_I_de_Craon
Burgravine_Louise_Isabelle_of_Kirchberg,"Frederick_William,_Prince_of_Nassau-Weilburg"
"Thomas_Grey,_1st_Marquess_of_Dorset",Eleanor_Grey
Ralph_Shuttleworth_Allen,"Sir_Richard_Paget,_1st_Baronet"
Khaemwaset_(20th_dynasty),Ramesses_III
Nawwaf_bin_Abdulaziz_Al_Saud,Abdullah_of_Saudi_Arabia
Elwood_Richard_Quesada,Najeeb_Halaby
Puyi,Guangxu_Emperor
"John_Spencer,_5th_Earl_Spencer","James_Hamilton,_1st_Duke_of_Abercorn"
Emma_Smith,Joseph_Smith
Valdemar_II_of_Denmark,Eric_IV_of_Denmark
Anne_Hutchinson,George_H._W._Bush
John_Baker_(Australian_politician),Queen_Victoria
Norman_Albert_Mott,Theodore_Roosevelt
António_de_Sousa_Coutinho,John_IV_of_Portugal
Amélie_of_Orléans,Manuel_II_of_Portugal
William_D._Gordon,William_McKinley
"Elizabeth_of_Carinthia,_Queen_of_Germany","Otto,_Duke_of_Austria"
Charles_I_of_Naples,Charles_II_of_Naples
"Charles_Gonzaga,_Duke_of_Mantua_and_Montferrat","Charles_II,_Duke_of_Mantua_and_Montferrat"
Arabella_Churchill_(royal_mistress),James_II_of_England
Brittany_Hodges,William_J._Bell
James_Kinley,Elizabeth_II
Mary_Pickford,Jack_Pickford
James_V_of_Scotland,"Mary,_Queen_of_Scots"
William_Fremantle_(politician),William_IV_of_the_United_Kingdom
Abdul_Jalil_of_Perak,Sultan_of_Perak
Elizabeth_Wyckes,Henry_VIII_of_England
Mary_Boleyn,Catherine_Carey
Princess_Beatrice_of_the_United_Kingdom,Victoria_Eugenie_of_Battenberg
"William_Vesey-FitzGerald,_2nd_Baron_FitzGerald_and_Vesey",George_IV_of_the_United_Kingdom
Louis_the_Pious,Charles_the_Bald
Duke_Philipp_of_Württemberg,"Albrecht,_Duke_of_Württemberg"
Cyrus_the_Great,Achaemenes
"John_Spencer,_8th_Earl_Spencer","Charles_Spencer,_9th_Earl_Spencer"
William_Sulzer,William_Randolph_Hearst
Guillaume_de_Steenhuys,Philip_IV_of_Spain
"Elizabeth_Rawdon,_Countess_of_Moira","John_Rawdon,_1st_Earl_of_Moira"
Antoinette_Polk,William_Polk_(colonel)
David_Smith_(public_servant),Elizabeth_II
"Frederick_Ulrich,_Duke_of_Brunswick-Lüneburg","George,_Duke_of_Brunswick-Lüneburg"
Rocky_Balboa,Sylvester_Stallone
Hamad_bin_Jassim_bin_Jaber_Al_Thani,Hamad_bin_Khalifa_Al_Thani
"Robert_Dundas_of_Arniston,_the_younger",George_III_of_the_United_Kingdom
"Henry_IV,_Holy_Roman_Emperor",Agnes_of_Germany
Rudolf_I_of_Germany,"Meinhard,_Duke_of_Carinthia"
Mansour_bin_Abdulaziz_Al_Saud,Ibn_Saud
Catherine_Callbeck,Elizabeth_II
Francisque_de_Corcelle,Pierre_de_Chambrun
Maggie_Gyllenhaal,Peter_Sarsgaard
Kamehameha_II,Kamehameha_III
Mansour_bin_Muqrin,Ibn_Saud
"Theobald_III,_Count_of_Champagne","Henry_II,_Count_of_Champagne"
Abdessalam_Jalloud,Muammar_Gaddafi
"Willoughby_Williams,_Jr.",James_Glasgow
Maurice_(emperor),Tiberius_II_Constantine
Sanda_Dewi,Salin_Mibaya
Netsai_Mukomberanwa,Anderson_Mukomberanwa
Edmund_I,Eadwig
Tiberius,Germanicus
Pierre_Le_Ber,Charles_le_Moyne_de_Longueuil_et_de_Châteauguay
Edward_VII,George_V
Alexios_V_Doukas,Michael_I_Komnenos_Doukas
Reza_Shah,Mohammad_Reza_Pahlavi
Francisco_Javier_Venegas,Ferdinand_VII_of_Spain
"Leopold_II,_Holy_Roman_Emperor","Francis_II,_Holy_Roman_Emperor"
Huitzilihuitl,Moctezuma_I
Mohammed_Zahir_Shah,"Ahmad_Shah_Khan,_Crown_Prince_of_Afghanistan"
Frederick_I_of_Württemberg,William_I_of_Württemberg
Rama_II_of_Siam,Kunthon_Thipphayawadi
Ian_McLagan,Rod_Stewart
Louis_I_of_Naples,Joanna_I_of_Naples
"Charles_Alexander,_Grand_Duke_of_Saxe-Weimar-Eisenach",Princess_Marie_Alexandrine_of_Saxe-Weimar-Eisenach
Joaquim_António_de_Aguiar,Maria_II_of_Portugal
Wu_Zetian,Emperor_Zhongzong_of_Tang
William_Collins_Whitney,James_Scollay_Whitney
"John_Frederick_II,_Duke_of_Saxony",Agnes_of_Hesse
Beatrice_of_Nuremberg,"Albert_IV,_Duke_of_Austria"
"Anna_of_Austria,_Queen_of_Spain",Philip_III_of_Spain
Khalid_bin_Mohammad_Al_Attiyah,Hamad_bin_Khalifa_Al_Thani
"John_Copley,_1st_Baron_Lyndhurst",William_IV_of_the_United_Kingdom
Franz_Joseph_I_of_Austria,Archduchess_Marie_Valerie_of_Austria
Charles_II_of_Naples,"Margaret,_Countess_of_Anjou"
"Otto_I,_Duke_of_Brunswick-Lüneburg","Matilda_of_Brandenburg,_Duchess_of_Brunswick-Lüneburg"
Gideon_Granger,Thomas_Jefferson
Sweyn_Forkbeard,Świętosława
John_Hunyadi,Matthias_Corvinus
Princess_Helena_of_Waldeck_and_Pyrmont,"Prince_Leopold,_Duke_of_Albany"
"Georg_I,_Duke_of_Saxe-Meiningen",Adelaide_of_Saxe-Meiningen
Maria_Feodorovna_(Dagmar_of_Denmark),Grand_Duke_George_Alexandrovich_of_Russia
"Philip_Howard,_20th_Earl_of_Arundel","Thomas_Howard,_21st_Earl_of_Arundel"
Ennica_Mukomberanwa,Nesbert_Mukomberanwa
Liu_Shan,Zhuge_Liang
"Al-Mansur_Muhammad,_Sultan_of_Egypt",Al-Ashraf_Sha'ban
Philip_V_of_Spain,"Philip,_Duke_of_Parma"
"Leopold_I,_Holy_Roman_Emperor","Charles_VI,_Holy_Roman_Emperor"
Darius_II,Amyrtaeus
Cornelius_Vanderbilt_II,Cornelius_Vanderbilt_III
Helen_Hunley,Elizabeth_II
"Otto_II,_Holy_Roman_Emperor",Theophanu
Gerald_Ford,Betty_Ford
"Prince_William_Henry,_Duke_of_Gloucester_and_Edinburgh","Maria,_Duchess_of_Gloucester_and_Edinburgh"
Maelgwn_ab_Owain_Gwynedd,Owain_Gwynedd
Joseph_R._Underwood,Henry_Clay
"John_Proby,_1st_Earl_of_Carysfort",George_III_of_the_United_Kingdom
Empress_Zhang_Yan,Empress_Lü_Zhi
Duke_Yì_of_Qi,Duke_Hui_of_Qi
"Reginar,_Duke_of_Lorraine","Reginar_II,_Count_of_Hainaut"
Sidney_L._Jones,Gerald_Ford
"Agnes_of_Aquitaine,_Countess_of_Savoy",Joan_of_Geneva
Zaynab_bint_Jahsh,Ubayd-Allah_ibn_Jahsh
Valentinian_III,Licinia_Eudoxia
Myra_Freeman,Elizabeth_II
Sam_Rayburn,Dwight_D._Eisenhower
"Adolf,_Duke_of_Holstein-Gottorp",Christian_III_of_Denmark
Melinda_Marx,Arthur_Marx
"Eleanor_of_Trastámara,_Queen_of_Navarre",Blanche_I_of_Navarre
Princess_Punzalan,Willie_Revillame
Heonjong_of_Joseon,Sunjo_of_Joseon
"Vladivoj,_Duke_of_Bohemia",Bolesław_I_the_Brave
Savang_Vadhana,Chulalongkorn
John_II_of_Cyprus,James_II_of_Cyprus
"Violet_Manners,_Duchess_of_Rutland","Henry_Manners,_8th_Duke_of_Rutland"
François_Léotard,Valéry_Giscard_d'Estaing
"Hugh_Grosvenor,_1st_Duke_of_Westminster",Queen_Victoria
Duke_Huai_of_Qin,Duke_Jian_of_Qin
Trevor_Eyton,Brian_Mulroney
