Mahmud_I,Saliha_Sultan
"James_Hamilton,_1st_Duke_of_Hamilton",Lady_Ann_Cunningham
Didius_Julianus,Aemilia_Clara
Gyda_of_Sweden,Gunnhildr_Sveinsdóttir
Liu_Shao_(Liu_Song),Emperor_Wen_of_Liu_Song
Tatiana_Samoilova,Yevgeny_Samoylov
"Christian_Günther_I,_Count_of_Schwarzburg-Sondershausen","John_Günther_I,_Count_of_Schwarzburg-Sondershausen"
Maurice_(emperor),Paul_(father_of_Maurice)
Carl_Löwenhielm,Charles_XIII_of_Sweden
Elisabeth_of_Swabia,Philip_of_Swabia
"Louis_Frederick_I,_Prince_of_Schwarzburg-Rudolstadt",Countess_Emilie_Juliane_of_Barby-Mühlingen
"Peter_II,_Count_of_Savoy","Thomas,_Count_of_Savoy"
Mary_Carpenter,Lant_Carpenter
"George_Spencer-Churchill,_Marquess_of_Blandford","Jamie_Spencer-Churchill,_12th_Duke_of_Marlborough"
Berengaria_of_Castile,Alfonso_VIII_of_Castile
"Henry_Raspe,_Landgrave_of_Thuringia",Sophia_of_Wittelsbach
Mahmud_of_Ghazni,Sabuktigin
"Francis_I,_Duke_of_Nevers","Charles_II,_Count_of_Nevers"
"Frederick_I,_Elector_of_Saxony","Frederick_III,_Landgrave_of_Thuringia"
"Violet_Manners,_Duchess_of_Rutland",Charles_Lindsay
Chris_Wallace,Mike_Wallace
"Anthony_I,_Count_of_Ligny","Jeanne_de_Bar,_Countess_of_Marle_and_Soissons"
"Louis_Philippe_II,_Duke_of_Orléans",Louise_Henriette_de_Bourbon
August_Aleksander_Czartoryski,Kazimierz_Czartoryski
Charlotte_de_Rohan,Anne_Marie_Louise_de_La_Tour_d'Auvergne
Infanta_Francisca_Josefa_of_Portugal,Maria_Sophia_of_Neuburg
Min_Dawlya,Ba_Saw_Phyu
Tsarevna_Marfa_Alekseyevna_of_Russia,Maria_Miloslavskaya
Prince_Ludwig_Philipp_of_Thurn_and_Taxis,"Albert,_8th_Prince_of_Thurn_and_Taxis"
Rachel_Saint,Lawrence_Saint
Princess_Louise_Charlotte_of_Saxe-Altenburg,Prince_Moritz_of_Saxe-Altenburg
Beatrice_d'Este,"Ercole_I_d'Este,_Duke_of_Ferrara"
Sulili,Aminu_(Assyrian_king)
Diana_Barrymore,John_Barrymore
Augustyn_Józef_Czartoryski,Maria_Ludwika_Krasińska
"Ferdinand_II,_Archduke_of_Austria","Ferdinand_I,_Holy_Roman_Emperor"
"Peter,_Hereditary_Prince_of_Yugoslavia","Alexander,_Crown_Prince_of_Yugoslavia"
Laodice_V,Seleucus_IV_Philopator
Hangbe,Houegbadja
Salma_Sobhan,Mohammed_Ikramullah
Qianlong_Emperor,Yongzheng_Emperor
"Ælfthryth,_wife_of_Edgar","Ordgar,_Ealdorman_of_Devon"
Princess_Raiyah_bint_Hussein,Queen_Noor_of_Jordan
Muhammad_Azam_Shah,Aurangzeb
"John_de_Vere,_13th_Earl_of_Oxford","John_de_Vere,_12th_Earl_of_Oxford"
"Rudolf_II,_Margrave_of_Hachberg-Sausenberg","Rudolf_I,_Margrave_of_Hachberg-Sausenberg"
Qian_Hongzuo,Lady_Xu_Xinyue
Volusianus,Afinia_Gemina_Baebiana
Basant_Kumar_Birla,Ghanshyam_Das_Birla
Princess_Alexandrine_of_Prussia_(1803–1892),Louise_of_Mecklenburg-Strelitz
Ketki_Dave,Sarita_Joshi
Brody_Jenner,Linda_Thompson_(actress)
Jim_Younger,Henry_Washington_Younger
"Joanna_of_Aragon,_Countess_of_Ampurias",Maria_of_Navarre
Leopold_I_of_Belgium,"Francis,_Duke_of_Saxe-Coburg-Saalfeld"
Teresa_Cristina_of_the_Two_Sicilies,Francis_I_of_the_Two_Sicilies
Ramiro_II_of_León,Elvira_Menéndez_(died_921)
"Charles_II,_Archduke_of_Austria","Ferdinand_I,_Holy_Roman_Emperor"
Jianwen_Emperor,Zhu_Biao
Sriimurali,S._A._Chinne_Gowda
Alexander_Jagiellon,Casimir_IV_Jagiellon
Rajiv_Kapoor,Raj_Kapoor
Archduke_Peter_Ferdinand_of_Austria,Princess_Alice_of_Parma_(1849–1935)
Susan_L._Tepper,Philip_J._Levin
"Heinrich_XXII,_Prince_Reuss_of_Greiz","Heinrich_XX,_Prince_Reuss_of_Greiz"
Prince_Tsuneyoshi_Takeda,Prince_Tsunehisa_Takeda
Harvey_Bautista,Herbert_Bautista
Elisabeth_of_Brandenburg-Ansbach-Kulmbach,"Frederick_I,_Margrave_of_Brandenburg-Ansbach"
Stefan_Aleksander_Potocki,Jan_Potocki
Nutan,Shobhna_Samarth
Princess_Seonhwa_of_Silla,Jinpyeong_of_Silla
Prince_Welf_Ernst_of_Hanover,Princess_Sophie_of_Greece_and_Denmark
Sigrid_Rausing,Hans_Rausing
Ludwik_Wróblewski,Franciszek_Wróblewski
Muzaffar_II_of_Johor,Alauddin_Riayat_Shah_II_of_Johor
"Charles_Bennet,_4th_Earl_of_Tankerville","Charles_Bennet,_3rd_Earl_of_Tankerville"
Giannis_Vardinogiannis,Marianna_Vardinoyannis
Richard_Guildford,John_Guildford
"Augustus_George,_Margrave_of_Baden-Baden",Duchess_Sibylle_of_Saxe-Lauenburg
Francis_Julius_of_Saxe-Lauenburg,"Francis_II,_Duke_of_Saxe-Lauenburg"
Robert_Leighton_(bishop),Alexander_Leighton
Ihsan_Abdel_Quddous,Rose_al_Yusuf
Duke_Xiao_of_Chen,Duke_Shēn_of_Chen
Prince_Jean_of_Luxembourg,Princess_Joséphine_Charlotte_of_Belgium
Victor_Amadeus_II_of_Sardinia,"Charles_Emmanuel_II,_Duke_of_Savoy"
Predslava_of_Kiev,Sviatopolk_II_of_Kiev
"Philip_VII,_Count_of_Waldeck","Christian,_Count_of_Waldeck"
Muhammad_IV_of_Shirvan,Yazid_II_of_Shirvan
Hlumelo_Biko,Mamphela_Ramphele
"William_I,_Marquis_of_Namur","John_I,_Marquis_of_Namur"
Infanta_Maria_Teresa_of_Spain,Alfonso_XII_of_Spain
Tom_Waterhouse,Gai_Waterhouse
"Infante_Philip,_Duke_of_Calabria",Charles_III_of_Spain
Louisa_Collings,Frederick_Lukis
Magdalena_Sibylle_of_Saxe-Weissenfels,Anna_Maria_of_Mecklenburg-Schwerin
Zhao_Defang,Emperor_Taizu_of_Song
"Josias_I,_Count_of_Waldeck","Wolrad_II,_Count_of_Waldeck"
Frederick_IX_of_Denmark,Alexandrine_of_Mecklenburg-Schwerin
Talita_von_Fürstenberg,Alexandra_von_Fürstenberg
Nicholas_II_of_Werle,John_I_of_Werle
April_Winchell,Paul_Winchell
Seble_Desta,Desta_Damtew
"Philip,_Duke_of_Holstein-Gottorp","Adolf,_Duke_of_Holstein-Gottorp"
Rafał_Leszczyński_(1650–1703),Bogusław_Leszczyński
Langdarma,Sadnalegs
Todd_Karns,Roscoe_Karns
"Matilda_of_Savoy,_Queen_of_Portugal",Mahaut_of_Albon
Sobhuza_II,Lomawa_Ndwandwe
Anna_Lubomirska_(d._1736),Hieronim_Augustyn_Lubomirski
Beatrice_of_Luxembourg,Margaret_of_Brabant
Zoë_Kravitz,Lisa_Bonet
"Wartislaw_VII,_Duke_of_Pomerania","Bogislaw_V,_Duke_of_Pomerania"
"Maurice_FitzGerald,_3rd_Lord_of_Offaly","Maurice_FitzGerald,_2nd_Lord_of_Offaly"
Agathe_von_Trapp,Georg_von_Trapp
Prince_Bernhard_of_Lippe-Biesterfeld,Prince_Bernhard_of_Lippe_(1872–1934)
Chief_Joseph,Old_Chief_Joseph
"Frederick_II,_Duke_of_Holstein-Gottorp","Adolf,_Duke_of_Holstein-Gottorp"
"John_Paulet,_5th_Marquess_of_Winchester","William_Paulet,_4th_Marquess_of_Winchester"
Yonglin,Qianlong_Emperor
"Gustav_Adolph,_Duke_of_Mecklenburg-Güstrow","John_Albert_II,_Duke_of_Mecklenburg"
Oakes_Angier_Ames,Oakes_Ames
"Sophia_I,_Abbess_of_Gandersheim","Otto_II,_Holy_Roman_Emperor"
Princess_Lalla_Asma_of_Morocco,Lalla_Latifa
Mark_Angelo,Ann_Richards_(actress)
Richard_Hilton,Barron_Hilton
Janet_Munro,Alex_Munro_(comedian)
Hannah_Fidell,Linda_Greenhouse
"Robert_Sidney,_2nd_Earl_of_Leicester","Robert_Sidney,_1st_Earl_of_Leicester"
Surendra_of_Nepal,Rajendra_of_Nepal
Peter_I_of_Serbia,Persida_Nenadović
Robert_Cooper_Lee_Bevan,David_Bevan_(banker)
Nusret_Fişek,Hayrullah_Fişek
"Orrin_Henry_Ingram,_Sr.",Erskine_B._Ingram
Roman_Potocki,Maria_Klementyna_Sanguszko
Blanche_of_France_(nun),Philip_V_of_France
Grant_DePorter,Bobbi_DePorter
Cynthia_Roche,"James_Roche,_3rd_Baron_Fermoy"
Catherine_Parr,Maud_Green
Rostislav_Mikhailovich,Michael_of_Chernigov
"Frederick_II,_Grand_Duke_of_Baden","Frederick_I,_Grand_Duke_of_Baden"
William_Mundy_(MP),Francis_Mundy
Princess_Märtha_Louise_of_Norway,Queen_Sonja_of_Norway
Countess_Sophie_Henriette_of_Waldeck,Prince_Georg_Friedrich_of_Waldeck
Anil_Kapoor,Surinder_Kapoor
Bibi_Besch,Gotfrid_Köchert
Patrick_Stirling,Robert_Stirling
Grand_Duke_Nicholas_Mikhailovich_of_Russia,Olga_Feodorovna_of_Baden
Allan_McLean_(outlaw),Donald_McLean_(fur_trader)
Alexandre_Trudeau,Pierre_Trudeau
Yaroslav_II_of_Vladimir,Vsevolod_the_Big_Nest
"James,_Viscount_Severn","Sophie,_Countess_of_Wessex"
Eystein_I_of_Norway,Magnus_Barefoot
Bolesław_I_the_Brave,Mieszko_I_of_Poland
Nasser_bin_Abdulaziz_Al_Saud,Ibn_Saud
"William_Fiennes,_1st_Viscount_Saye_and_Sele","Richard_Fiennes,_7th_Baron_Saye_and_Sele"
Bianca_Maria_Sforza,Bona_of_Savoy
"Maurice_Roche,_4th_Baron_Fermoy","James_Roche,_3rd_Baron_Fermoy"
Ivan_Kőszegi,Henry_I_Kőszegi
"Charles_Frederick,_Grand_Duke_of_Baden",Princess_Amalia_of_Nassau-Dietz
Catherine_of_the_Palatinate_(1499–1526),"Margaret_of_Bavaria,_Electress_Palatine"
William_the_Conqueror,Herleva
"Marie_of_Savoy,_Countess_of_Saint-Pol","Louis,_Duke_of_Savoy"
"Charles_III,_Duke_of_Parma",Princess_Maria_Teresa_of_Savoy
Charles_I_of_England,Anne_of_Denmark
Christina_of_Holstein-Gottorp,Christine_of_Hesse
"Ernest_Frederick,_Margrave_of_Baden-Durlach","Charles_II,_Margrave_of_Baden-Durlach"
Giacomo_Boncompagni,Pope_Gregory_XIII
Alexander_Peli,Bracha_Peli
Marie_Anne_Éléonore_de_Bourbon,"Louis,_Prince_of_Condé_(1668–1710)"
Duke_Constantine_Petrovich_of_Oldenburg,Duke_Peter_Georgievich_of_Oldenburg
Josephine_Clara_Goldmark,Joseph_Goldmark
Aimery_of_Cyprus,Hugh_VIII_of_Lusignan
S._Curtis_Johnson,Imogene_Powers_Johnson
Kazuko_Takatsukasa,Empress_Kōjun
Peter_Phillips,Mark_Phillips
Princess_Margarita_of_Greece_and_Denmark,Princess_Alice_of_Battenberg
Eunice_Kennedy_Shriver,Rose_Kennedy
Gjon_Kastrioti_II,Donika_Kastrioti
Princess_Dorothea_of_Schleswig-Holstein-Sonderburg-Beck,"Frederick_Louis,_Duke_of_Schleswig-Holstein-Sonderburg-Beck"
Anawrahta,Kunhsaw_Kyaunghpyu
Umdat_ul-Umara,Muhammad_Ali_Khan_Wallajah
"Maria_of_Castile,_Queen_of_Aragon",Henry_III_of_Castile
Nicholas_I_of_Werle,"Henry_Borwin_II,_Lord_of_Mecklenburg"
"Thomas_Ashton,_3rd_Baron_Ashton_of_Hyde","Thomas_Ashton,_2nd_Baron_Ashton_of_Hyde"
Kaʻiulani,Likelike
Ibrahim_Pasha_of_Egypt,Muhammad_Ali_of_Egypt
Bilkees_I._Latif,Ali_Yavar_Jung
Soe_Min_Kodawgyi,Saw_Hnaung_of_Sagaing
Dayna_Cussler,Clive_Cussler
Hans_Albert_Einstein,Albert_Einstein
"Alessandro_de'_Medici,_Duke_of_Florence",Pope_Clement_VII
Gideon_Kailipalaki_Laanui,Gideon_Peleioholani_Laanui
Prince_Alemayehu,Tiruwork_Wube
"Isabella_of_Armenia,_Princess_of_Tyre","Leo_II,_King_of_Armenia"
Soh_Yeong_Roh,Roh_Tae-woo
Sigismund_Báthory,Christopher_Báthory
"Philipp_Ludwig_III,_Count_of_Hanau-Münzenberg",Sibylle_Christine_of_Anhalt-Dessau
Agnes_of_Merania_(1215-1263),"Beatrice_II,_Countess_of_Burgundy"
Antiochus_III_the_Great,Laodice_II
John_II_of_Aragon_and_Navarre,Eleanor_of_Alburquerque
Dési_von_Halban,Selma_Kurz
Shalivahan_Singh_Tomar,Ramshah_Tanwar
Nefertkau_III,Horbaef
William_Backhouse_Astor_Sr.,John_Jacob_Astor
Carlos_Bardem,Pilar_Bardem
Prince_Frederick_of_Great_Britain,"Frederick,_Prince_of_Wales"
Katerina_Tikhonova,Lyudmila_Putina
Murtaza_Bhutto,Nusrat_Bhutto
Princess_Francisca_of_Brazil,Maria_Leopoldina_of_Austria
"Edmund,_2nd_Earl_of_Cornwall",Sanchia_of_Provence
"Prince_Carl_Philip,_Duke_of_Värmland",Carl_XVI_Gustaf_of_Sweden
Jennifer_Pritzker,Robert_Pritzker
Teodora-Evdokija,"Maria_Palaiologina,_Queen_of_Serbia"
Gurgen-Khachik_of_Vaspurakan,Abusahl-Hamazasp_of_Vaspurakan
Govindachandra_(Gahadavala_dynasty),Madanapala_(Gahadavala_dynasty)
Duke_Mu_of_Qin,Duke_De_of_Qin
Prince_Michael_of_Kent,"Prince_George,_Duke_of_Kent"
Kōnia,Pauli_Kaōleiokū
"Thomas_Howard,_1st_Earl_of_Suffolk","Thomas_Howard,_4th_Duke_of_Norfolk"
Günter_Herz,Max_Herz
George_P._Putnam,John_Bishop_Putnam
Sibyl_de_Neufmarché,Bernard_de_Neufmarché
Zenobia_of_Armenia,Mithridates_of_Armenia
Paulina_Longworth_Sturm,William_Borah
Antonia_Visconti,Bernabò_Visconti
Lady_Margaret_Butler,"Thomas_Butler,_7th_Earl_of_Ormond"
"Francis_Erdmann,_Duke_of_Saxe-Lauenburg","Julius_Henry,_Duke_of_Saxe-Lauenburg"
Annabelle_Attanasio,Paul_Attanasio
"Princess_Maria_da_Glória,_Duchess_of_Segorbe",Princess_Maria_de_la_Esperanza_of_Bourbon-Two_Sicilies
Affreca_de_Courcy,Godred_Olafsson
Vincent_Astor,Ava_Lowle_Willing
Desi_Arnaz_Jr.,Desi_Arnaz
Jaycee_Chan,Joan_Lin
Andrew_Wilson_(actor),Laura_Wilson_(photographer)
Calum_Best,Angie_Best
Æthelberht_of_Kent,Eormenric_of_Kent
Prince_Gabriel_of_Belgium,Philippe_of_Belgium
"Henry_III,_Count_of_Schauenburg-Holstein","Henry_II,_Count_of_Holstein-Rendsburg"
Thomas_Neville,"William_Neville,_1st_Earl_of_Kent"
Keoni_Ana,John_Young_(Hawaii)
Eduardo_De_Filippo,Eduardo_Scarpetta
Mahapadma_Nanda,Mahanandin
"Prince_Thibaut,_Count_of_La_Marche","Henri,_Count_of_Paris"
Richeza_of_Lotharingia__Richeza_of_Lotharingia__1,"Ezzo,_Count_Palatine_of_Lotharingia"
Jake_Gyllenhaal,Naomi_Foner_Gyllenhaal
"Gervais,_Count_of_Rethel","Hugh_I,_Count_of_Rethel"
Alisa_Freindlich,Bruno_Freindlich
Robert_of_Vermandois,Robert_I_of_France
Emperor_Go-Mizunoo,Emperor_Go-Yōzei
Adile_Ayda,Sadri_Maksudi_Arsal
Natalie_Horler,David_Horler
Prince_Michael_of_Yugoslavia_(born_1958),Princess_Maria_Pia_of_Bourbon-Parma
Adam_von_Trott_zu_Solz,August_von_Trott_zu_Solz
Margaret_Carnegie_Miller,Andrew_Carnegie
Raghunath_Singha_Dev,Dhari_Hambir_Malla_Dev
Harriet_Hemings,Sally_Hemings
"Constance_of_Aragon,_Queen_of_Majorca",Teresa_d'Entença
Prince_Adalbert_of_Prussia_(1884–1948),"Wilhelm_II,_German_Emperor"
Alex_Martin,Whoopi_Goldberg
Countess_Henriette_Catherine_of_Nassau,"Frederick_Henry,_Prince_of_Orange"
Gerberga_of_Saxony,Matilda_of_Ringelheim
Prince_René_of_Bourbon-Parma,"Robert_I,_Duke_of_Parma"
Archibald_Gracie_IV,Archibald_Gracie_III
Cardinal-Infante_Afonso_of_Portugal,"Maria_of_Aragon,_Queen_of_Portugal"
Princess_Shruti_of_Nepal,Queen_Aishwarya_of_Nepal
Chico_Marx,Sam_Marx
Grand_Duke_Alexei_Alexandrovich_of_Russia,Alexander_II_of_Russia
"Ferdinand_Philippe,_Duke_of_Orléans",Louis_Philippe_I
Philip_Norman_(artist),George_Warde_Norman
Abd-ar-Rahman_III,Abdullah_ibn_Muhammad_al-Umawi
John_Randolph_Pepper,Curtis_Bill_Pepper
"Hedwig_of_Brandenburg,_Duchess_of_Brunswick-Wolfenbüttel","Hedwig_Jagiellon,_Electress_of_Brandenburg"
"Maximilian,_Duke_of_Hohenberg","Sophie,_Duchess_of_Hohenberg"
"John,_Margrave_of_Brandenburg-Küstrin","Elizabeth_of_Denmark,_Electress_of_Brandenburg"
"Edmund,_Earl_of_Rutland","Cecily_Neville,_Duchess_of_York"
John_Rogers_(divine),John_Rogers_(MP)
Philip_Oppenheimer,Otto_Oppenheimer
Prince_Karl_Aloys_of_Liechtenstein,Princess_Henriette_of_Liechtenstein
Mary_Pinchot_Meyer,Ruth_Pickering_Pinchot
Christina_Onassis,Aristotle_Onassis
Sophie_of_Brandenburg-Ansbach,"George,_Margrave_of_Brandenburg-Ansbach"
George_Watts_Hill,John_Sprunt_Hill
"Matilda,_Countess_of_Rethel","Hugh_I,_Count_of_Rethel"
Zaynab_bint_Jahsh,Umama_bint_Abdulmuttalib
John_Roosevelt_Boettiger,Anna_Roosevelt_Halsted
Fabien_Cousteau,Jean-Michel_Cousteau
Mustafa_IV,Ayşe_Seniyeperver_Sultan
John_III_of_Navarre,Alain_I_of_Albret
Theodore_II_Laskaris,John_III_Doukas_Vatatzes
"Constance_of_Aragon,_Queen_of_Majorca",Alfonso_IV_of_Aragon
Hrvoje_Vukčić_Hrvatinić,Vukac_Hrvatinić
"Albert,_Prince_Consort","Ernest_I,_Duke_of_Saxe-Coburg_and_Gotha"
Tahmuras_of_Shirvan,Bahlul_of_Shirvan
Mary_of_Modena,Laura_Martinozzi
Prince_Ali_bin_Hussein,Alia_al-Hussein
Sithu_of_Pinya,Shin_Shwe_of_Pagan
Christiane_Charlotte_of_Württemberg-Winnental,"Frederick_Charles,_Duke_of_Württemberg-Winnental"
"Eleanor_of_Austria,_Queen_of_Poland","Ferdinand_III,_Holy_Roman_Emperor"
Abu_Talib_ibn_Abd_al-Muttalib,Fatimah_bint_Amr
"Luis_of_Spain,_Count_of_Chinchón",Philip_V_of_Spain
Janahb_Pakal,Yohl_Ik'nal
James_Johnson_(railway_engineer),Samuel_W._Johnson
García_Íñiguez_of_Pamplona,Íñigo_Arista_of_Pamplona
Philippa_de_Mohun,"John_de_Mohun,_2nd_Baron_Mohun"
Gustaf_VI_Adolf_of_Sweden,Victoria_of_Baden
Zenobia_of_Armenia,Rhadamistus
Nakshatra_(actress),Sumithra_(actress)
Sara_bint_Faisal_Al_Saud,Faisal_of_Saudi_Arabia
Thomas_Stevenson,Robert_Stevenson_(civil_engineer)
Józef_Wielhorski,Michał_Wielhorski_(elder)
Saliha_Sultan_(daughter_of_Mahmud_II),Aşubican_Kadınefendi
"John_Ernest_II,_Duke_of_Saxe-Weimar",Eleonore_Dorothea_of_Anhalt-Dessau
Louis_the_Child,Arnulf_of_Carinthia
Nicholas_Devereux_of_Chanston,Walter_Devereux_(born_1173)
"Henry_Somerset,_5th_Duke_of_Beaufort","Charles_Somerset,_4th_Duke_of_Beaufort"
"John_II,_Duke_of_Brabant","John_I,_Duke_of_Brabant"
"Helena_Palaiologina,_Despotess_of_Serbia",Thomas_Palaiologos
Abraham_Palacci,Haim_Palachi
Jason_Schwartzman,Talia_Shire
Stanisław_Radziwiłł,Elżbieta_Szydłowiecka
Francisco_de_Borbón_y_Borbón,Francisco_de_Borbón_y_de_la_Torre
Sophie_Scholl,Robert_Scholl
Sitdjehuti,Senakhtenre_Ahmose
Elen_ferch_Llywelyn_(the_Elder),"Joan,_Lady_of_Wales"
"Margaret_Mortimer,_Baroness_Berkeley","Roger_Mortimer,_1st_Earl_of_March"
Iset_(daughter_of_Amenhotep_III),Tiye
Prince_Philipp_of_Saxe-Coburg_and_Gotha_(1901-1985),Archduchess_Karoline_Marie_of_Austria
"Princess_Elisabeth,_Duchess_of_Hohenberg",Prince_Felix_of_Bourbon-Parma
Tobias_Manderson-Galvin,Pat_Galvin_(public_servant)
"Waleran_I,_Lord_of_Ligny",Margaret_of_Bar
"Conrad,_Margrave_of_Brandenburg-Stendal","John_I,_Margrave_of_Brandenburg"
Samsam_al-Dawla,'Adud_al-Dawla
Najibullah_Zazi,Mohammed_Wali_Zazi
Isaac_Bayley_Balfour,John_Hutton_Balfour
"George_Louis,_Prince_of_Erbach-Schönberg","Alexander,_Prince_of_Erbach-Schönberg"
Bill_Gates,Mary_Maxwell_Gates
Nasir-ud-Din_Haidar_Shah,Ghazi-ud-Din_Haidar_Shah
"George_Louis,_Prince_of_Nassau-Dillenburg","Louis_Henry,_Prince_of_Nassau-Dillenburg"
"Mary_Catherine_Stanley,_Lady_Derby","Elizabeth_Sackville-West,_Countess_De_La_Warr"
Maria_Grocholska,Franciszka_Ksawera_Brzozowska
"Prince_Pieter-Christiaan_of_Orange-Nassau,_van_Vollenhoven",Princess_Margriet_of_the_Netherlands
Harriet_Miller_Davidson,Lydia_Mackenzie_Falconer_Miller
Charles_Gibson_(special_effects_artist),Henry_Gibson
Tatyana_Yumasheva,Naina_Yeltsina
Emperor_Renzong_of_Song,Consort_Li_(Zhenzong)
"Henry_II,_Duke_of_Lorraine","Charles_III,_Duke_of_Lorraine"
Consolidation_of_Pedro_II_of_Brazil,Maria_Leopoldina_of_Austria
