Otto_Christian_Archibald_von_Bismarck,Herbert_von_Bismarck
Della_Hardman,Anderson_Hunt_Brown
"James_Butler,_4th_Earl_of_Ormond","James_Butler,_3rd_Earl_of_Ormond"
"Herman_IV,_Landgrave_of_Hesse-Rotenburg","Maurice,_Landgrave_of_Hesse-Kassel"
Princess_Theresa_of_Liechtenstein,"Aloys_II,_Prince_of_Liechtenstein"
Mahinda_III_of_Anuradhapura,Dappula_II_of_Anuradhapura
Edward_Lewis_Young,Edward_Faitoute_Condict_Young
Majd_al-Dawla,Fakhr_al-Dawla
"Henri_d'Orléans,_Count_of_Paris","Henri,_Count_of_Paris"
Sithu_of_Pinya,Narathihapate
Vladimir_II_Yaroslavich,Yaroslav_Osmomysl
Princess_Victoria_Melita_of_Saxe-Coburg_and_Gotha,"Alfred,_Duke_of_Saxe-Coburg_and_Gotha"
Yashwant_Rao_Holkar_II,Tukojirao_Holkar_III
Mastino_II_della_Scala,Alboino_I_della_Scala
Saqr_bin_Zayed_Al_Nahyan,Zayed_bin_Khalifa_Al_Nahyan
Steve_Sabol,Ed_Sabol
Hashem_bin_Abdullah,Queen_Rania_of_Jordan
Princess_Anna_of_Prussia,Prince_Charles_of_Prussia
M_G_George_Muthoot,M_George_Muthoot
"Alexander,_Crown_Prince_of_Yugoslavia",Peter_II_of_Yugoslavia
"Henry_Frederick,_Prince_of_Wales",Anne_of_Denmark
Prince_Napoléon_Bonaparte,Catharina_of_Württemberg
Charlemagne,Pepin_the_Short
Lee_Seng_Wee,Lee_Kong_Chian
Geoffrey_Thompson_(businessman),Leonard_Thompson_(businessman)
Adolf_of_Germany,"Walram_II,_Count_of_Nassau"
Princess_Louise_of_Denmark_(1726–1756),Sophie_Magdalene_of_Brandenburg-Kulmbach
Rebecca_Hall,Maria_Ewing
Austen_Cargill,William_W._Cargill
Peter_I_of_Courtenay,Louis_VI_of_France
Princess_Béatrice_of_Bourbon-Two_Sicilies,"Prince_Ferdinand,_Duke_of_Castro"
Archduchess_Dolores_of_Austria,Infanta_Blanca_of_Spain
"Edward_Somerset,_2nd_Marquess_of_Worcester","Henry_Somerset,_1st_Marquess_of_Worcester"
Andrew_Tisch,Wilma_Tisch
Christian_IV_of_Denmark,Frederick_II_of_Denmark
Boniface_of_Savoy_(bishop),Margaret_of_Geneva
Maatkare_B,Psusennes_II
Aurelius_of_Asturias,Fruela_of_Cantabria
Sulaiman_(Brunei),Sharif_Ali
"Maurice,_Elector_of_Saxony","Henry_IV,_Duke_of_Saxony"
Esther,Mordecai
Sissel_Benneche_Osvold,Gerd_Benneche
"Marcus_Wallenberg,_Sr.",André_Oscar_Wallenberg
Napoleon,Carlo_Buonaparte
J._R._D._Tata,Ratanji_Dadabhoy_Tata
Herod_the_Great,Antipater_the_Idumaean
Ashley_Judd,Naomi_Judd
Alix_Liddell,Mark_Kerr_(Royal_Navy_officer)
Kera_Tamara,Ivan_Alexander_of_Bulgaria
Eleanor_Parke_Custis_Lewis,Eleanor_Calvert
Bobby_Pulido,Roberto_Pulido
John_Davis_(producer),Barbara_Davis
"Charles_Gonzaga,_Duke_of_Mantua_and_Montferrat",Henriette_of_Cleves
Magdalene_of_Brandenburg_(1412–1454),"Frederick_I,_Elector_of_Brandenburg"
"John_I,_Count_Palatine_of_Simmern","Frederick_I,_Count_Palatine_of_Simmern"
Bahadur_Shah_I,Nawab_Bai
Tongzhi_Emperor,Xianfeng_Emperor
Susan_Wooldridge,John_Wooldridge
Sandar_Win,Ne_Win
"Margaret_of_Burgundy,_Dauphine_of_France",John_the_Fearless
Vittoria_Farnese_d'Este,Margherita_Aldobrandini
"Ercole,_Lord_of_Monaco","Honoré_I,_Lord_of_Monaco"
Nebtyhotep,Duaenhor
Henry_Hopper,Dennis_Hopper
Saovabha_Phongsri,Mongkut
Władysław_Zdzisław_Zamoyski,Stefan_Zamoyski
Dmitry_of_Uglich,Maria_Nagaya
"Honoré_IV,_Prince_of_Monaco","Honoré_III,_Prince_of_Monaco"
"Friedrich_Günther,_Prince_of_Schwarzburg-Rudolstadt",Caroline_of_Hesse-Homburg
Maria_Luisa_of_Spain,Maria_Amalia_of_Saxony
Euphemia_de_Ross,"Hugh,_Earl_of_Ross"
Prince_Dimitri_Romanov,Prince_Roman_Petrovich_of_Russia
Stephen_V_of_Hungary,Béla_IV_of_Hungary
Michael_Zilkha,Selim_Zilkha
Touch_the_Clouds,Lone_Horn
Giannis_Alafouzos,Aristeidis_Alafouzos
Menua,Ishpuini_of_Urartu
"Frederick_II,_Elector_Palatine","Philip,_Elector_Palatine"
Princess_Therese_of_Nassau-Weilburg,Princess_Louise_of_Saxe-Hildburghausen
Jack_Kilmer,Joanne_Whalley
Anna_Marie_of_Brunswick-Lüneburg,"Elisabeth_of_Brandenburg,_Duchess_of_Brunswick-Calenberg-Göttingen"
Vauncey_Harpur-Crewe,John_Harpur-Crewe
Gottfried_III_of_Raabs,Gottfried_II_of_Raabs
Narawara,Pye_Min
"Maximilian_Karl,_6th_Prince_of_Thurn_and_Taxis",Duchess_Therese_of_Mecklenburg-Strelitz
Christopher_Murray_(actor),Hope_Lange
"Thomas_West,_9th_Baron_De_La_Warr","Thomas_West,_8th_Baron_De_La_Warr"
William_Randolph_Hearst_Jr.,William_Randolph_Hearst
Mike_Goldman,Grant_Goldman
Archduchess_Maria_Theresa_of_Austria_(1862–1933),Archduke_Karl_Salvator_of_Austria
Akhraten,Harsiotef
Solomon_II_of_Imereti,Princess_Elene_of_Georgia
Princess_Charlotte_of_Wales,George_IV_of_the_United_Kingdom
Sophie_of_Brandenburg-Ansbach-Kulmbach,"Frederick_I,_Margrave_of_Brandenburg-Ansbach"
"Albert_V,_Duke_of_Mecklenburg","Albert,_King_of_Sweden"
"Eleanor_of_Portugal,_Queen_of_Denmark","Urraca_of_Castile,_Queen_of_Portugal"
Tun_Koris_of_Pahang,Tun_Abdul_Majid_of_Pahang
Prince_Gabriel_of_Thurn_and_Taxis,Princess_Isabel_Maria_of_Braganza
Mary_Boleyn,"Thomas_Boleyn,_1st_Earl_of_Wiltshire"
"Margaret_of_France,_Queen_of_England_and_Hungary",Louis_VII_of_France
Sir_Thomas_Maule,Peter_Maule
Karl-Konstantin_von_Habsburg,Georg_von_Habsburg
"Philippa,_Countess_of_Toulouse","William_IV,_Count_of_Toulouse"
Peter_W._Barlow,Peter_Barlow_(mathematician)
Adelaide_of_Hungary,Anastasia_of_Kiev
Philip_Stanhope_(diplomat),"Philip_Stanhope,_4th_Earl_of_Chesterfield"
Lloyd_Corrigan,Lillian_Elliott
Charles_Armstrong-Jones,"Serena_Armstrong-Jones,_Viscountess_Linley"
Countess_Palatine_Magdalena_Claudia_of_Zweibrücken-Birkenfeld-Bischweiler,"Christian_II,_Count_Palatine_of_Zweibrücken-Birkenfeld"
Prince_Hridayendra_of_Nepal,Himani_Shah
Mary_of_Avesnes,Philippa_of_Luxembourg
Jean-Louis_Campora,Charles_Campora
Iresh_Zaker,Sara_Zaker
Karan_Singh_II,Amar_Singh_I
"Gonzalo,_Duke_of_Aquitaine","Infante_Jaime,_Duke_of_Segovia"
Irwin_Donenfeld,Harry_Donenfeld
George_VI,George_V
James_II_of_England,Charles_I_of_England
"James_Hay,_15th_Earl_of_Erroll","William_Boyd,_4th_Earl_of_Kilmarnock"
Princess_Caroline_Mathilde_of_Saxe-Coburg_and_Gotha,Princess_Victoria_Adelaide_of_Schleswig-Holstein
Albert_Kamehameha,Queen_Emma_of_Hawaii
Hung_Huang,Qiao_Guanhua
Winona_Ryder,Michael_Horowitz
Niamh_Cusack,Maureen_Cusack
Infanta_Maria_Teresa_Rafaela_of_Spain,Elisabeth_Farnese
Sophia_Charlotte_of_Hanover,Sophia_of_Hanover
Princess_Michael_of_Kent,Frigyes_Szapáry
Raj_Singh_I,Jagat_Singh_I
Kate_Hobhouse,Garry_Weston
Ashurbanipal,Esarhaddon
Abram_Moriarty,Merion_Moriarty
Maria_of_Montpellier,Eudokia_Komnene
Gertrude_of_Saxony,Eilika_of_Schweinfurt
Charles_Marriott_Oldrid_Scott,John_Oldrid_Scott
Elisabeth_of_Mecklenburg-Güstrow,Magdalene_Sibylle_of_Holstein-Gottorp
Natalie_Lander,David_Lander
"Elizabeth_FitzGerald,_Countess_of_Lincoln","Elizabeth_Grey,_Countess_of_Kildare"
Seongjong_of_Joseon,Crown_Prince_Uigyeong
"Anne_Carr,_Countess_of_Bedford","Robert_Carr,_1st_Earl_of_Somerset"
Abdullah_of_Saudi_Arabia,Fahda_bint_Asi_Al_Shuraim
Dorothea_Marie_of_Saxe-Gotha-Altenburg,"Frederick_I,_Duke_of_Saxe-Gotha-Altenburg"
Htilominlo,Narapatisithu
Frederick_Huth_Jackson,Thomas_Hughes_Jackson
"Mary_Elphinstone,_Lady_Elphinstone","Cecilia_Bowes-Lyon,_Countess_of_Strathmore_and_Kinghorne"
Britannicus,Messalina
Dylan_Penn,Robin_Wright
"Prince_Maurizio,_Duke_of_Montferrat",Maria_Antonia_Ferdinanda_of_Spain
Megan_Ellison,Larry_Ellison
"Eustace_IV,_Count_of_Boulogne",Matilda_of_Boulogne
Alvira_Khan_Agnihotri,Salim_Khan
Ali-Reza_Pahlavi,Farah_Pahlavi
Carl_Joachim_Hambro_(banker),Joseph_Hambro
Louis_XIV_of_France,Louis_XIII_of_France
"Gaston_IV,_Count_of_Foix","John_I,_Count_of_Foix"
"Theobald_II,_Duke_of_Lorraine","Frederick_III,_Duke_of_Lorraine"
Jeremy_II,Jeremy_I
Edward_the_Confessor,Æthelred_the_Unready
Beyoncé,Tina_Knowles
James_Packer,Roslyn_Packer
Sophie_of_Mecklenburg-Güstrow,"Elizabeth_of_Denmark,_Duchess_of_Mecklenburg"
Casimir_I_of_Kuyavia,Agafia_of_Rus
Greg_Haddrick,Ron_Haddrick
Christian_I_of_Denmark,Helvig_of_Schauenburg
"Mary_of_Lusignan,_Countess_of_Brienne",Hugh_I_of_Cyprus
Salvador_de_Iturbide_y_Huarte,Agustín_de_Iturbide
"Princess_Antonia,_Duchess_of_Wellington",Lady_Brigid_Guinness
Sisavang_Vatthana,Sisavang_Vong
Ronne_Troup,Bobby_Troup
Archduke_Ernest_of_Austria_(1824–99),Archduke_Rainer_Joseph_of_Austria
Princess_Augusta_of_Great_Britain,"Frederick,_Prince_of_Wales"
"John_Butler,_6th_Earl_of_Ormond","James_Butler,_4th_Earl_of_Ormond"
Sayed_Murad_Khan,Ali_Murad_Khan
Ermesinda_of_Bigorre,"Bernard-Roger,_Count_of_Bigorre"
"Margaret_de_Bohun,_Countess_of_Devon",Elizabeth_of_Rhuddlan
Princess_Elizabeth_of_Clarence,William_IV_of_the_United_Kingdom
Leah_Dou,Faye_Wong
Katarzyna_Branicka,Władysław_Grzegorz_Branicki
Birjis_Qadr,Begum_Hazrat_Mahal
Mithridates_III_of_Commagene,Laodice_(wife_of_Mithridates_II_of_Commagene)
Reginald_Pole,"Margaret_Pole,_Countess_of_Salisbury"
Mark_Sheppard,W._Morgan_Sheppard
"Sancha,_Lady_of_Alenquer",Sancho_I_of_Portugal
Pierre_Amine_Gemayel,Amine_Gemayel
Sekamaanya_of_Buganda,Mulondo_of_Buganda
Kaemsekhem,Kawab
Prince_Hubertus_of_Hohenzollern,Princess_Birgitta_of_Sweden
Sithu_of_Pinya,Shin_Shwe_of_Pagan
Ivan_the_Terrible,Elena_Glinskaya
Lothair_I,Louis_the_Pious
William_II_of_Sicily,William_I_of_Sicily
Tzi-B'alam,B'alam_Nehn
"Conrad_II,_Duke_of_Carinthia",Matilda_of_Swabia
William_I_of_Geneva,Amadeus_I_of_Geneva
Rostislav_Glebovich,Gleb_Vseslavich
Maria_Karolina_Sobieska,Countess_Palatine_Hedwig_Elisabeth_of_Neuburg
Chen_Yinke,Chen_Sanli
Mahfuz_Anam,Abul_Mansur_Ahmed
Count_Oluf_of_Rosenborg,Princess_Helena_Adelaide_of_Schleswig-Holstein-Sonderburg-Glücksburg
Hassan_Khomeini,Ahmad_Khomeini
"Eleanor_of_Naples,_Duchess_of_Ferrara",Isabella_of_Clermont
King_Kuang_of_Zhou,King_Qing_of_Zhou
Richard_LeFrak,Samuel_J._LeFrak
Prince_Alexander_of_Yugoslavia_(1924–2016),Princess_Olga_of_Greece_and_Denmark
Maria_Theresa_of_Spain,Elisabeth_of_France_(1602–1644)
Duke_Xian_of_Qi,Duke_Gui_of_Qi
Thorvald_Astrup,Harald_Astrup_(born_1831)
Peter_DeLuise,Dom_DeLuise
Julius_II_Rátót,Baldwin_I_Rátót
Amadeo_I_of_Spain,Adelaide_of_Austria
Christopher_I_of_Denmark,Valdemar_II_of_Denmark
Chiang_Hsiao-wen,Chiang_Fang-liang
"Joan_II,_Countess_of_Burgundy","Mahaut,_Countess_of_Artois"
Lorenzo_Lamas,Fernando_Lamas
"Victor_I,_Prince_of_Anhalt-Bernburg-Schaumburg-Hoym","Lebrecht,_Prince_of_Anhalt-Zeitz-Hoym"
Grand_Duke_George_Alexandrovich_of_Russia,Maria_Feodorovna_(Dagmar_of_Denmark)
Cassander,Antipater
Matti_Berenett,Evabritt_Strandberg
Domino_Harvey,Paulene_Stone
"James_Douglas,_Jr.",James_Douglas_(businessman)
"Joseph_II,_Holy_Roman_Emperor","Francis_I,_Holy_Roman_Emperor"
Princess_Hélène_of_Orléans,Princess_Marie_Isabelle_of_Orléans
Augustus_III_of_Poland,Augustus_II_the_Strong
Prince_Malik_of_Brunei,Queen_Saleha_of_Brunei
Orsolya_Szilágyi,Ladislaus_Szilágyi
Jakobea_of_Baden,"Philibert,_Margrave_of_Baden-Baden"
Dale_Winton,Sheree_Winton
Min_Shin_Saw,Alaungsithu
Koxinga,Zheng_Zhilong
Grand_Duchess_Maria_Kirillovna_of_Russia,Princess_Victoria_Melita_of_Saxe-Coburg_and_Gotha
George_Washington_Parke_Custis,John_Parke_Custis
Princess_Marie_Alexandrine_of_Saxe-Weimar-Eisenach,"Charles_Alexander,_Grand_Duke_of_Saxe-Weimar-Eisenach"
Peter_II_of_Sicily,Eleanor_of_Anjou
Beatrice_of_Silesia,Beatrice_of_Brandenburg
"Ernest,_Elector_of_Saxony","Frederick_II,_Elector_of_Saxony"
"Ernest_Augustus,_Duke_of_Brunswick","Prince_Ernest_Augustus,_3rd_Duke_of_Cumberland_and_Teviotdale"
"Leopold_II,_Margrave_of_Austria","Ernest,_Margrave_of_Austria"
Dulce_of_Aragon,Petronilla_of_Aragon
"William_Howard,_1st_Viscount_Stafford","Thomas_Howard,_21st_Earl_of_Arundel"
"Archibald_Campbell,_1st_Marquess_of_Argyll","Agnes_Douglas,_Countess_of_Argyll"
Mona_Seif,Ahmed_Seif_El-Islam
Ravi_Babu,Tammareddy_Chalapathi_Rao
Princess_Nobuko_Asaka,Emperor_Meiji
Hedwig_of_Mecklenburg-Güstrow,"Gustav_Adolph,_Duke_of_Mecklenburg-Güstrow"
Saw_Thanda,Min_Bin
Udayin,Ajatashatru
Ferdynand_Radziwiłł,Bogusław_Fryderyk_Radziwiłł
"Maria_of_Brabant,_Duchess_of_Bavaria",Maria_of_Swabia
Kim_Han-sol,Kim_Jong-nam
"Raymond_VI,_Count_of_Toulouse","Constance_of_France,_Countess_of_Toulouse"
"Humbert_III,_Count_of_Savoy",Mahaut_of_Albon
Gheorghe_Remenco,Dumitru_Remenco
"Duarte_Nuno,_Duke_of_Braganza",Princess_Maria_Theresa_of_Löwenstein-Wertheim-Rosenberg
"Teodora_of_Bulgaria,_Queen_of_Serbia",Smiltsena_Palaiologina
Jayme_Matarazzo,Jayme_Monjardim
Ibrahim_Pasha_of_Egypt,Muhammad_Ali_of_Egypt
Mary_de_Vere,Margery_Golding
Jessie_Woodrow_Wilson_Sayre,Woodrow_Wilson
Stefanie_Schüler-Springorum,Horst_Schüler-Springorum
Asia_Argento,Dario_Argento
Chen_Sanli,Chen_Baozhen
Mirza_Basheer-ud-Din_Mahmood_Ahmad,Nusrat_Jahan_Begum
Albertas_Goštautas,Martynas_Goštautas
Barbara_Sophie_of_Brandenburg,"Joachim_Frederick,_Elector_of_Brandenburg"
Trần_Khánh_Dư,Trần_Thái_Tông
Cecil_Harmsworth_King,Lucas_White_King
Mark_Moran_(criminal),Lewis_Moran
"Nur_ad-Din,_atabeg_of_Aleppo",Imad_ad-Din_Zengi
As-Saffah,Muhammad_ibn_Ali_ibn_Abdallah
Doon_Arbus,Allan_Arbus
Wyatt_Earp,Nicholas_Porter_Earp
Kalanipauahi,Pauli_Kaōleiokū
Brian_Oge_O'Rourke,Brian_O'Rourke
Hywel_ab_Owain_Gwynedd,Owain_Gwynedd
Prince_Pedro_Henrique_of_Orléans-Braganza,Prince_Luís_of_Orléans-Braganza_(1878–1920)
"Anne,_Queen_of_Great_Britain",Anne_Hyde
Patrick_Swayze,Patsy_Swayze
Abdul_Hamid_I,Ahmed_III
Niels_Egede,Hans_Egede
Æthelred_II_of_Northumbria,Eanred_of_Northumbria
"Masako,_Crown_Princess_of_Japan",Hisashi_Owada
"William_VII,_Landgrave_of_Hesse-Kassel","William_VI,_Landgrave_of_Hesse-Kassel"
Hiram_Bingham_II,Hiram_Bingham_I
Jayachandra,Vijayachandra
John_Egerton_(bishop),Henry_Egerton
Abdulaziz_bin_Salman,Salman_of_Saudi_Arabia
"Ulrich,_Duke_of_Mecklenburg","Anna_of_Brandenburg,_Duchess_of_Mecklenburg"
Duke_Chu_of_Jin,Duke_Ding_of_Jin
James_I_of_Cyprus,Hugh_IV_of_Cyprus
Shaul_Olmert,Aliza_Olmert
"William_Douglas,_1st_Marquess_of_Douglas","William_Douglas,_10th_Earl_of_Angus"
Dara_Shikoh,Shah_Jahan
Volusianus,Trebonianus_Gallus
Vladimiro_Roca,Blas_Roca_Calderio
Emperor_Go-Reizei,Emperor_Go-Suzaku
Henutmire,Ramesses_II
"James_Hamilton,_2nd_Duke_of_Abercorn","James_Hamilton,_1st_Duke_of_Abercorn"
Mercedes_Scápola,Mercedes_Morán
Drusus_Julius_Caesar,Tiberius
Irene_Angelina,Isaac_II_Angelos
Jan_IV_of_Nassau,Johanna_van_Polanen
Daniel_Pearl,Judea_Pearl
Katrina_vanden_Heuvel,William_vanden_Heuvel
Chico_Marx,Sam_Marx
"Heinrich_XLV,_Hereditary_Prince_Reuss_Younger_Line","Heinrich_XXVII,_Prince_Reuss_Younger_Line"
Archduke_Hubert_Salvator_of_Austria,Archduke_Franz_Salvator_of_Austria
Alice_Heine,Michel_Heine
Marjorie_Bruce,Isabella_of_Mar
Lavinia_Ryves,Olivia_Serres
Shiva_Rajkumar,Rajkumar_(actor)
Abdul_Hamid_Halim_of_Kedah,Sultan_Ahmad_Tajuddin_Mukarram_Shah
Duke_Johann_Wilhelm_of_Saxe-Altenburg,Countess_Palatine_Anna_Maria_of_Neuburg
George_D._Widener_Jr.,Eleanor_Elkins_Widener
Constantius_Gallus,Galla_(wife_of_Julius_Constantius)
Princess_Maria_Antonia_of_the_Two_Sicilies,Francis_I_of_the_Two_Sicilies
Martin_Amis,Kingsley_Amis
Uma_Thurman,Nena_von_Schlebrügge
Roland_de_Velville,Henry_VII_of_England
Yunreng,Kangxi_Emperor
Philippe_Besnard,Paul-Albert_Besnard
Samuel_Alexander_Kinnier_Wilson,James_Kinnier_Wilson
Henry_Conway_(socialite),Derek_Conway
Sigrid_Svendsdatter,Sweyn_II_of_Denmark
William_Clito,Robert_Curthose
Princess_Sifrash_Bizu,Amha_Selassie
Ferdinand_von_Bismarck,Otto_Christian_Archibald_von_Bismarck
Maathorneferure,Hattusili_III
William_of_Montreuil,William_fitz_Giroie
Hyder_Ali,Fath_Muhammad
"Dudley_Gordon,_3rd_Marquess_of_Aberdeen_and_Temair","Ishbel_Hamilton-Gordon,_Marchioness_of_Aberdeen_and_Temair"
Prithvivarman,Kirttivarman
Charles_Collier,John_Collier_(judge)
Durvinita,Avinita
Maude_Apatow,Judd_Apatow
"Elizabeth_le_Despenser,_Baroness_Berkeley",Hugh_Despenser_the_Younger
Blanche_of_Brittany,Beatrice_of_England
Richard_Devereux_(died_1547),"Walter_Devereux,_1st_Viscount_Hereford"
"Louis,_Prince_of_Condé_(1668–1710)",Anne_Henriette_of_Bavaria
Princess_Rym_al-Ali,Lakhdar_Brahimi
"Maximilian_Anton,_Hereditary_Prince_of_Thurn_and_Taxis",Baroness_Wilhelmine_of_Dörnberg
Henry_I_of_Cyprus,Alice_of_Champagne
"Charles_William_Ferdinand,_Duke_of_Brunswick-Wolfenbüttel","Charles_I,_Duke_of_Brunswick-Wolfenbüttel"
"Gertrude_of_Flanders,_Duchess_of_Lorraine",Gertrude_of_Saxony
David_S._Mack,H._Bert_Mack
Chulalongkorn,Debsirindra
Daniyal_(Mughal_prince),Akbar
"Hercule_Mériadec,_Prince_of_Guéméné","Charles_III,_Prince_of_Guéméné"
Jay_Sandrich,Mark_Sandrich
Ciara_Sotto,Helen_Gamboa
George_Washington_Vanderbilt_II,William_Henry_Vanderbilt
David_Clementi,Cresswell_Clementi
Keōua,Kamakaimoku
"William_Frederick,_Prince_of_Wied",Princess_Marie_of_the_Netherlands
Princess_Ida_of_Schaumburg-Lippe,"Adolf_I,_Prince_of_Schaumburg-Lippe"
Margaret_I_of_Denmark,Valdemar_IV_of_Denmark
"Rupert,_Count_of_Nassau-Sonnenberg","Gerlach_I,_Count_of_Nassau"
Princess_Rosemary_of_Salm-Salm,Archduchess_Maria_Christina_of_Austria_(1879–1962)
Johannes_Sejersted_Bødtker,Carl_Fredrik_Johannes_Bødtker
Francis_Weston,Richard_Weston_(treasurer)
Timothy_Shriver,Sargent_Shriver
John_Putch,Jean_Stapleton
Murder_of_Pai_Hsiao-yen,Ikki_Kajiwara
John_Scholey,Stephen_Scholey
Charles_the_Simple,Adelaide_of_Paris
"Richeza_of_Poland,_Queen_of_Sweden",Salomea_of_Berg
Princess_Eleonore_Erdmuthe_of_Saxe-Eisenach,"John_George_I,_Duke_of_Saxe-Eisenach"
"George_I,_Landgrave_of_Hesse-Darmstadt",Christine_of_Saxony
"Henry_Cubitt,_4th_Baron_Ashcombe","Roland_Cubitt,_3rd_Baron_Ashcombe"
Aikanaka_(father_of_Keohokālole),Keohohiwa
Infanta_Isabel_Maria_of_Portugal,John_VI_of_Portugal
Faisal_bin_Turki_I_bin_Abdulaziz_Al_Saud,Turki_I_bin_Abdulaziz_Al_Saud
Hongzhou_(prince),Yongzheng_Emperor
Narapatisithu,Myauk_Pyinthe_(Narathu)
Iresh_Zaker,Aly_Zaker
Dorothea_of_Anhalt-Zerbst,"Rudolph,_Prince_of_Anhalt-Zerbst"
Ingram_Wilcox,Leslie_Arthur_Wilcox
Krzysztof_Chodkiewicz,Hieronim_Chodkiewicz
Harshavarman_I,Jayavarman_IV
Christopher_Wallace_Jr.,The_Notorious_B.I.G.
Shubha_(actress),Vedantam_Raghavaiah
Susan_L._Tepper,Philip_J._Levin
Pansy_Ho,Stanley_Ho
Richard_Fitz_Gilbert_de_Clare,Gilbert_Fitz_Richard
Sakinah_(Fatima_al-Kubra)_bint_Husayn,Husayn_ibn_Ali
Vinu_Mohan,Shobha_Mohan
Friedrich_Kettler,Anna_of_Mecklenburg
Moshoeshoe_II_of_Lesotho,Seeiso_of_Basutoland
Archduchess_Maria_Theresa_of_Austria_(1762–1770),Princess_Isabella_of_Parma
"Charles_Noel,_2nd_Earl_of_Gainsborough","Charles_Noel,_1st_Earl_of_Gainsborough"
"Elisabeth_of_Bavaria,_Electress_of_Brandenburg",Maddalena_Visconti
Elisabeth_of_Nassau-Dillenburg,Juliana_of_Stolberg
"Thimo_the_Brave,_Count_of_Wettin","Theodoric_II,_Margrave_of_Lower_Lusatia"
Chen_Tuo,Duke_Wen_of_Chen
Marguerite_de_Navarre,"Charles,_Count_of_Angoulême"
Eric_Lively,Ernie_Lively
Catherine_Jagiellon,Sigismund_I_the_Old
"Philipp_IV,_Count_of_Hanau-Lichtenberg","Philipp_III,_Count_of_Hanau-Lichtenberg"
Princess_Adélaïde_of_Orléans,"Louis_Philippe_II,_Duke_of_Orléans"
Charles_Wertenbaker,Bill_Wertenbaker
Duke_of_Zhou,King_Wen_of_Zhou
Princess_Eugénie_of_Greece_and_Denmark,Prince_George_of_Greece_and_Denmark
Edward_I_of_England,Henry_III_of_England
Abdulkareem_Khadr,Maha_el-Samnah
Edward_of_Angoulême,Joan_of_Kent
"Federico_II_Gonzaga,_Duke_of_Mantua",Isabella_d'Este
Mohammed_VI_of_Morocco,Hassan_II_of_Morocco
Prince_Mircea_of_Romania,Marie_of_Romania
Judith_of_Bohemia,Adelaide_of_Hungary
Carloman_II,Louis_the_Stammerer
"Otto_III,_Count_of_Burgundy","Beatrice_II,_Countess_of_Burgundy"
Rory_Culkin,Kit_Culkin
"Edward,_Count_of_Savoy",Sybille_of_Bâgé
"Georg,_Prince_of_Schaumburg-Lippe","Adolf_I,_Prince_of_Schaumburg-Lippe"
Eleanor_of_Anhalt-Zerbst,Dorothea_Hedwig_of_Brunswick-Wolfenbüttel
Ala_al-Din_Atsiz,Ala_al-Din_Husayn
Prince_George_of_Cambridge,"Prince_William,_Duke_of_Cambridge"
Eleanor_of_Sicily,Peter_II_of_Sicily
"Charles_Günther,_Count_of_Schwarzburg-Rudolstadt","Albrecht_VII,_Count_of_Schwarzburg-Rudolstadt"
Uday_Chopra,Yash_Chopra
"Prince_Henry,_Duke_of_Cumberland_and_Strathearn","Frederick,_Prince_of_Wales"
Macrianus_Minor,Macrianus_Major
"Albert,_King_of_Sweden","Albert_II,_Duke_of_Mecklenburg"
Therese_of_Saxe-Hildburghausen,"Frederick,_Duke_of_Saxe-Altenburg"
"Prince_Ernest_Augustus,_3rd_Duke_of_Cumberland_and_Teviotdale",George_V_of_Hanover
Edmund_Ironside,Æthelred_the_Unready
Ngwane_III,LaYaka_Ndwandwe
Rod_Roddenberry,Majel_Barrett
Władysław_Grzegorz_Branicki,Franciszek_Ksawery_Branicki
"Louis_Victor,_Prince_of_Carignano","Victor_Amadeus_I,_Prince_of_Carignano"
Boris_Petrovitch_Njegosh,"Nicholas,_Crown_Prince_of_Montenegro"
Tom_Pevsner,Nikolaus_Pevsner
Humehume,Kaumualii
"Karl,_Prince_of_Hohenzollern-Sigmaringen","Anton_Aloys,_Prince_of_Hohenzollern-Sigmaringen"
"Agnes_of_Brandenburg,_Duchess_of_Pomerania",Elisabeth_of_Anhalt-Zerbst
Theodora_(11th_century),Constantine_VIII
Alexandra_Feodorovna_(Charlotte_of_Prussia),Louise_of_Mecklenburg-Strelitz
Fritz_Gurlitt,Louis_Gurlitt
Anna_of_Veldenz,"Rupert,_Count_Palatine_of_Veldenz"
Kilmeny_Niland,Ruth_Park
Amoghavarsha,Govinda_III
Murad_Bakhsh,Mumtaz_Mahal
Maria_Francisca_of_Savoy,Élisabeth_de_Bourbon
Piero_the_Unfortunate,Lorenzo_de'_Medici
Christine_Wilhelmine_of_Hesse-Homburg,"William_Christoph,_Landgrave_of_Hesse-Homburg"
Jeff_Wadlow,Emily_Couric
"Wenceslaus_I,_Duke_of_Saxe-Wittenberg","Rudolf_I,_Duke_of_Saxe-Wittenberg"
"Svatopluk,_Duke_of_Bohemia",Otto_I_of_Olomouc
"Isabella_of_Ibelin,_Queen_of_Cyprus_and_Jerusalem","Guy_of_Ibelin,_constable_of_Cyprus"
Parakramabahu_IX_of_Kotte,Parakramabahu_VIII_of_Kotte
Raya_Raghunatha_Tondaiman,Vijaya_Raghunatha_Raya_Tondaiman_I
Emperor_An_of_Jin,Emperor_Xiaowu_of_Jin
Owen_de_la_Pole,Gwenwynwyn_ap_Owain
Oskar_Hermann_Artur_Schlitter,Oscar_Schlitter
