"Prince_Amedeo,_Duke_of_Aosta",Princess_Anne_of_Orléans
Adelaide_of_Vohburg,"Beatrice_I,_Countess_of_Burgundy"
João_das_Regras,John_I_of_Portugal
Early_life_of_Augustus,Julia_the_Elder
Jean-Baptiste_Fleuriot-Lescot,Louis_Philippe_I
Sames_of_Commagene,Arsames_I
Jennifer_Grant,Randy_Zisk
Pierre-Évariste_Leblanc,"Prince_Arthur,_Duke_of_Connaught_and_Strathearn"
Henry_Noel_(MP),"Charles_Boyle,_2nd_Earl_of_Burlington"
Percy_de_Worms,Mayer_Amschel_Rothschild
Anna_Branicka,Sebastian_Lubomirski
Andrzej_Zamoyski,Aleksander_August_Zamoyski
"Isabella_of_Aragon,_Duchess_of_Milan",Bona_of_Savoy
Prithvi_Narayan_Shah,Narendra_Rajya_Laxmi_Devi
Fahd_of_Saudi_Arabia,Abdullah_of_Saudi_Arabia
Queen_Mamohato_of_Lesotho,Moshoeshoe_II_of_Lesotho
John_I_of_Castile,Henry_III_of_Castile
Jack_Matthews_(author),Mark_Twain
Susanna_of_Bavaria,Kunigunde_of_Brandenburg-Kulmbach
Jenna_Bush_Hager,George_H._W._Bush
Lord_Frederick_Cavendish_(British_Army_officer),"William_Ponsonby,_2nd_Earl_of_Bessborough"
Gao_Huan,Gao_Cheng
Sheikh_Fazlul_Karim_(politician),Sheikh_Mujibur_Rahman
Paul_Joseph_James_Martin,Pierre_Trudeau
Mohammed_Zahir_Shah,"Muhammed_Akbar_Khan,_Crown_Prince_of_Afghanistan"
"Gaspar_de_Zúñiga,_5th_Count_of_Monterrey",Philip_II_of_Spain
Princess_Maria_Amalia_of_Saxony,Caroline_of_Nassau-Saarbrücken
"Ferdinand_III,_Holy_Roman_Emperor","Leopold_I,_Holy_Roman_Emperor"
Sharon_Davis,Maria_Shriver
Samuel_Zborowski,Krzysztof_Zborowski
Mayann_Francis,Elizabeth_II
Emperor_An_of_Jin,Emperor_Wu_of_Liu_Song
Marcelo_Azcárraga_Palmero,Alfonso_XIII_of_Spain
"Katherine_Neville,_Baroness_Hastings","William_Bonville,_6th_Baron_Harington"
"William_IX,_Duke_of_Aquitaine","Agnes_of_Aquitaine,_Queen_of_Aragon"
Krzysztof_Zborowski,Samuel_Zborowski
William_Masters_Smith,Charles_Wykeham_Martin
Seleucus_VI_Epiphanes,Antiochus_XI_Epiphanes
Queen_Anne-Marie_of_Greece,Constantine_II_of_Greece
Krishna_Raja_Wadiyar_IV,Jayachamarajendra_Wadiyar
Joan_of_Portugal,Isabella_of_Portugal
Rama_III,Mongkut
Danny_Romalotti,William_J._Bell
Antonio_Narciso_de_Santa_María,Charles_III_of_Spain
Bud_Olson,Elizabeth_II
Thomas_Pope,"William_Howard,_1st_Baron_Howard_of_Effingham"
Kamehameha_I,Keōpūolani
Eleanor_of_Austria,Francis_I_of_France
Lance_Finch,Brian_Mulroney
Konstantin_Makovsky,Alexander_II_of_Russia
"Frederick_II,_Duke_of_Saxe-Gotha-Altenburg","Frederick_III,_Duke_of_Saxe-Gotha-Altenburg"
Alexandros_Zaimis,George_I_of_Greece
Grand_Duke_Michael_Pavlovich_of_Russia,Grand_Duchess_Catherine_Mikhailovna_of_Russia
William_Colby,George_H._W._Bush
Bertha_of_Savoy,Conrad_II_of_Italy
"Rudolf_I,_Margrave_of_Baden-Baden","Rudolf_II,_Margrave_of_Baden-Baden"
Apisai_Ielemia,Elizabeth_II
Eleonor_Magdalene_of_Neuburg,"Charles_VI,_Holy_Roman_Emperor"
"Louise_Françoise_de_Bourbon,_Duchess_of_Bourbon",Louis_XIII_of_France
Luarsab_I_of_Kartli,Simon_I_of_Kartli
"Thomas_Denman,_1st_Baron_Denman","John_Ponsonby,_4th_Earl_of_Bessborough"
Shvarn,Mindaugas
Narasimhavarman_I,Mahendravarman_II
Nita_Ambani,Mukesh_Ambani
Hassan_II_of_Morocco,Princess_Lalla_Hasna_of_Morocco
Maria_Theresa_of_Naples_and_Sicily,Archduchess_Marie_Caroline_of_Austria
António_Teixeira_de_Sousa,Carlos_I_of_Portugal
"Albert_VI,_Duke_of_Mecklenburg","Magnus_II,_Duke_of_Mecklenburg"
"John_I,_Duke_of_Bourbon","Charles_I,_Duke_of_Bourbon"
The_Tramp,Charlie_Chaplin
Zofia_Czartoryska,August_Zamoyski
Frederick_II_of_Denmark,Sophie_of_Mecklenburg-Güstrow
Donald_Evans,George_W._Bush
Prince_Jean_of_Luxembourg,Prince_Constantin_of_Nassau
Chan_Nak,Norodom_Sihanouk
Peter_MacKay,Joe_Clark
Ealhswith,Æthelred_of_Wessex
"Louis,_Duke_of_Württemberg",Maria_Wirtemberska
Bohemond_II_of_Antioch,Alice_of_Antioch
"Maximilian_I,_Holy_Roman_Emperor","Charles_V,_Holy_Roman_Emperor"
Sophie_Marceau,Andrzej_Żuławski
Abhishek_Bachchan,Aishwarya_Rai
William_Worsley,"Oswald_Phipps,_4th_Marquess_of_Normanby"
"Frederick_III,_Elector_Palatine",Marie_of_Brandenburg-Kulmbach
Yadana_Dewi_of_Toungoo,Mingyi_Nyo
Richard_FitzPatrick,George_III_of_the_United_Kingdom
"Henry_Fox,_1st_Baron_Holland",George_II_of_Great_Britain
"Gaston,_Count_of_Eu","Isabel,_Princess_Imperial_of_Brazil"
John_Wilson_(playwright),James_II_of_England
Eston_Hemings,John_Hemings
Prince_Franz_of_Bavaria,Prince_Rasso_of_Bavaria
"Thomas_Pelham-Holles,_1st_Duke_of_Newcastle","John_Stuart,_3rd_Earl_of_Bute"
Roger_II_of_Sicily,"Tancred,_Prince_of_Bari"
Ralph_Sadler,"Thomas_Wriothesley,_1st_Earl_of_Southampton"
Al-Adil_I,Al-Afdal_ibn_Salah_ad-Din
Hussein_of_Jordan,Abdullah_II_of_Jordan
Princess_Adelheid-Marie_of_Anhalt-Dessau,"William_IV,_Grand_Duke_of_Luxembourg"
Joseph_M._McLaughlin,Ronald_Reagan
Princess_Sumaya_bint_Hassan,Nasser_Judeh
"John_III,_Marquis_of_Namur",Philip_the_Good
Sir_Jinx,Ice_Cube
William_Brandon_(standard-bearer),"Charles_Brandon,_1st_Duke_of_Suffolk"
Tivadar_Andrássy,Eleonóra_Zichy
"Elizabeth_of_Poland,_Duchess_of_Pomerania",Elizabeth_of_Pomerania
"Charles_Spencer,_9th_Earl_Spencer",Victoria_Aitken
Ingeborg_Magnusdotter_of_Sweden,Agnes_of_Brandenburg
Ingeborg_of_Norway,Ingeborg_Eriksdottir_of_Norway
Eleanor_of_Aquitaine,"Geoffrey_II,_Duke_of_Brittany"
"Emmanuel_Lebrecht,_Prince_of_Anhalt-Köthen",Gisela_Agnes_of_Rath
Anne_Gonzaga,Benedicta_Henrietta_of_the_Palatinate
Emperor_Tenji,Princess_Niitabe
Marian_Montagu_Douglas_Scott,Ronald_Ferguson
John_Buchan,"Alexander_Cambridge,_1st_Earl_of_Athlone"
Ahmed_I,Mahfiruz_Hatice_Sultan
Ferdinand_II_of_León,Alfonso_IX_of_León
Świętosława,Sweyn_Forkbeard
"Christian,_Duke_of_Saxe-Eisenberg",Sophie_Marie_of_Hesse-Darmstadt
"Richard_of_York,_3rd_Duke_of_York",Edward_IV_of_England
William_Graves_Sharp,Woodrow_Wilson
"Helena_Palaiologina,_Despotess_of_Serbia","Maria_of_Serbia,_Queen_of_Bosnia"
"Norman_Fowler,_Baron_Fowler",Margaret_Thatcher
"Frederick_Campbell,_3rd_Earl_Cawdor",Edward_VII
"António,_Prior_of_Crato","Henry,_King_of_Portugal"
Grand_Duke_Michael_Mikhailovich_of_Russia,Anastasia_de_Torby
Jeffrey_Tambor,Shadoe_Stevens
Charles_Goodell,Robert_F._Kennedy
Moon_Landrieu,Jimmy_Carter
Bjørn_Bjørnson,Halfdan_Christensen
Louis_XIV_of_France,Françoise_Marie_de_Bourbon
James_McGrath_(Canadian_politician),Elizabeth_II
Alexander_I_of_Georgia,"Bagrationi,_wife_of_John_IV_of_Trebizond"
Yone_Noguchi,Ezra_Pound
"Francis_I,_Holy_Roman_Emperor","Charles_VII,_Holy_Roman_Emperor"
William_III_of_England,James_II_of_England
Zaid_ibn_Shaker,Hussein_of_Jordan
Tracey_Childs,Tony_Anholt
Przemysł_II,Władysław_I_the_Elbow-high
Hafiz_Pashayev,Ilham_Aliyev
"George_William,_Prince_of_Schaumburg-Lippe",Princess_Ida_of_Waldeck_and_Pyrmont
Floris_Adriaan_van_Hall,William_III_of_the_Netherlands
Julia_Lubomirska,Artur_Potocki
Eric_X_of_Sweden,Richeza_of_Denmark
"Louis,_Prince_of_Condé_(1668–1710)","Charles,_Count_of_Charolais"
"Eric_I,_Duke_of_Mecklenburg",Sophie_of_Pomerania_(Gotland)
"Antoine,_Duke_of_Lorraine","Francis_I,_Duke_of_Lorraine"
Abdul-Aziz_ibn_Abdullah_Al_ash-Sheikh,Fahd_of_Saudi_Arabia
"Richard,_6th_Prince_of_Sayn-Wittgenstein-Berleburg",Princess_Benedikte_of_Denmark
Henry_III_of_France,Charles_IX_of_France
Cao_Fang,Sima_Yi
"Byron_King-Noel,_Viscount_Ockham","Anne_Isabella_Byron,_Baroness_Byron"
George_Tupou_V,Tāufaʻāhau_Tupou_IV
José_Manuel_Soria,Juan_Carlos_I_of_Spain
Ibrahim_of_the_Ottoman_Empire,Mehmed_IV
Granny_Bird,Jim_Henson
Mieszko_II_Lambert,Gertrude_of_Poland
Michele_Leonhart,George_W._Bush
Henry_Puna,Elizabeth_II
Jonathan_S._Bush,George_H._W._Bush
Mika_Brzezinski,Zbigniew_Brzezinski
Dubawi,Mohammed_bin_Rashid_Al_Maktoum
Nlaza_of_Kongo,Nkuwu_a_Ntinu_of_Kongo
George_William_Howlan,Queen_Victoria
William_Randolph_Hearst,Randolph_Apperson_Hearst
Sunandha_Kumariratana,Chulalongkorn
"Cecily_Neville,_Duchess_of_York","Elizabeth_of_York,_Duchess_of_Suffolk"
Harald_V_of_Norway,"Haakon,_Crown_Prince_of_Norway"
Grace_Kelly,"Albert_II,_Prince_of_Monaco"
Francisco_de_Zurbarán,Philip_IV_of_Spain
"Lawrence_Dundas,_1st_Marquess_of_Zetland",Queen_Victoria
Amélie_of_Leuchtenberg,Pedro_I_of_Brazil
"Maximilian_I,_Elector_of_Bavaria","Maximilian_Philipp_Hieronymus,_Duke_of_Bavaria-Leuchtenberg"
Robert_the_Bruce,John_Balliol
"Algernon_Percy,_6th_Duke_of_Northumberland",Queen_Victoria
Linda_Burney,Pru_Goward
John_II_of_Aragon_and_Navarre,Ferdinand_II_of_Aragon
Sofia_Coppola,Thomas_Mars
"Charles_V,_Holy_Roman_Emperor","Maximilian_I,_Holy_Roman_Emperor"
Nancy_Nord,George_W._Bush
Solange_Knowles,Bianca_Lawson
Peter_II_of_Portugal,Infanta_Francisca_Josefa_of_Portugal
Chandrasen_Rathore,Udai_Singh_of_Marwar
"Henry_Bruce,_1st_Baron_Aberdare",Queen_Victoria
Lady_Charlotte_Guest,Charles_Schreiber
"James_Graham,_3rd_Duke_of_Montrose",George_III_of_the_United_Kingdom
"Kikuko,_Princess_Takamatsu","Nobuhito,_Prince_Takamatsu"
"Richard_of_York,_3rd_Duke_of_York",Edward_IV_of_England
John_VI_of_Portugal,Pedro_I_of_Brazil
"Leopold,_Duke_of_Lorraine","Francis_I,_Holy_Roman_Emperor"
Khutughtu_Khan_Kusala,Jayaatu_Khan_Tugh_Temür
Elagabalus,Severus_Alexander
Isaac_Komnenos_(son_of_Alexios_I),Irene_Doukaina
John_L._Helgerson,George_W._Bush
Janus_of_Cyprus,Anne_of_Cyprus
"Charles_VI,_Holy_Roman_Emperor","Leopold,_Duke_of_Lorraine"
Kato_Svanidze,Joseph_Stalin
Dara_Rasmi,Chulalongkorn
William_Melville_Martin,George_V
John_M._Reich,George_W._Bush
Saovabha_Phongsri,Chulalongkorn
Aleksander_Antoni_Sapieha,Anna_Zofia_Sapieha
Helena_Kantakouzene,Manuel_II_Palaiologos
Bo_Barrett,Heidi_Barrett
Macrianus_Minor,Gallienus
Nicholas_Longworth,Nicholas_Longworth_II
Raja_Raja_Chola_I,Kundavai
Julie_Nixon_Eisenhower,John_Eisenhower
Louis_I_of_Naples,Joanna_I_of_Naples
Elizabeth_Wolley,John_Wolley_(MP)
"Charles_Cripps,_1st_Baron_Parmoor",George_V
Isabella_Greenway,Lewis_Williams_Douglas
Al-Wathiq,Al-Mutawakkil
Mathias_Rukavina_von_Boynograd,Archduke_Franz_Karl_of_Austria
"Thomas_Howard,_2nd_Duke_of_Norfolk",Lord_Edmund_Howard
Patrick_Stirling,Archibald_Sturrock
Belshazzar,Cyrus_the_Great
Mariana_of_Austria,Philip_IV_of_Spain
Rajah_Lontok,Rajah_Gambang
Louis_XVI_of_France,Marie_Antoinette
"Frederick_VIII,_Duke_of_Schleswig-Holstein","Ernst_Gunther,_Duke_of_Schleswig-Holstein"
Hélène_Pastor,Victor_Pastor
Stewart_Udall,John_F._Kennedy
Grand_Duke_Alexei_Alexandrovich_of_Russia,Aleksey_Belevsky-Zhukovsky
"Honoré_IV,_Prince_of_Monaco","Florestan_I,_Prince_of_Monaco"
Ecgfrith_of_Northumbria,Eanflæd
Princess_Teishi,Fujiwara_no_Genshi
"William_Longsword,_Count_of_Rouen",Luitgarde_of_Vermandois
Walter_Devereux_(1411–1459),"Walter_Devereux,_7th_Baron_Ferrers_of_Chartley"
Theda_Ukena,"Ulrich_I,_Count_of_East_Frisia"
"Isabella_of_Portugal,_Duchess_of_Burgundy",Charles_the_Bold
Ali_Babba_bin_Bello,Abu_Bakr_Atiku
William_McMahon,Elizabeth_II
Susan_Stewart_(As_the_World_Turns),William_J._Bell
"James_Hamilton,_4th_Duke_of_Abercorn","James_Hamilton,_3rd_Duke_of_Abercorn"
Swa_Saw_Ke,Min_Yaza_of_Wun_Zin
"Hugh_Percy,_3rd_Duke_of_Northumberland","Albert,_Prince_Consort"
John_of_Brienne,Berengaria_of_León
Ali,Husayn_ibn_Ali
Sava_Grujić,Peter_I_of_Serbia
Francesco_II_Sforza,Philip_II_of_Spain
Al-Muqtadir,Ar-Radi
Henry_Spencer_Berkeley,Queen_Victoria
Adelaide_of_Maurienne,Louis_VI_of_France
Emmanuel_Théodose_de_La_Tour_d'Auvergne_(1668–1730),Louise_Henriette_Françoise_de_Lorraine
Francis_Henry_May,Edward_VII
Charles_Herbert_Allen,Theodore_Roosevelt
Richardis_of_Bavaria,"Otto_I,_Count_of_Guelders"
"Alfred_Emmott,_1st_Baron_Emmott",George_V
"Albrecht_VII,_Duke_of_Mecklenburg","Charles_I,_Duke_of_Mecklenburg"
Andrew_Halliday_(physician),William_IV_of_the_United_Kingdom
Princess_Bathildis_of_Anhalt-Dessau,Prince_William_of_Schaumburg-Lippe
Florian_Ballhaus,Pamela_Katz
Cyaxares,Astyages
Ruth_Carter_Stapleton,Jimmy_Carter
Ferdinand_II_of_Aragon,Joanna_of_Castile
Clarence_John_Boettiger,Anna_Roosevelt_Halsted
Suuna_I_of_Buganda,Sekamaanya_of_Buganda
Scott_Page,Diana_Ross
Richard_Gozney,Elizabeth_II
"Philip,_Duke_of_Parma","Ferdinand,_Duke_of_Parma"
Mahaut_of_Albon,Faidiva_of_Toulouse
Francis_Willis_(physician),George_III_of_the_United_Kingdom
Saw_Hnaung_of_Sagaing,Saw_Yun
Peter_Underwood,Elizabeth_II
Richard_McBride,George_V
"Margaret_III,_Countess_of_Flanders",Philip_the_Bold
George_Mallet,Elizabeth_II
"Joan_Fitzalan,_Countess_of_Hereford","Humphrey_de_Bohun,_7th_Earl_of_Hereford"
Ann_Dunham,Barack_Obama
"Joseph_II,_Holy_Roman_Emperor","Leopold_II,_Holy_Roman_Emperor"
"Philip_I,_Duke_of_Pomerania","Barnim_XI,_Duke_of_Pomerania"
Jakub_Sobieski,Katarzyna_Sobieska
Joanna_of_Castile,Philip_I_of_Castile
Ronald_D._Palmer,Ronald_Reagan
Maurice_Garland_Fulton,Landon_Garland
"Beatrice_d'Este,_Queen_of_Hungary",Andrew_II_of_Hungary
James_II_of_England,Mary_of_Modena
"Isabella_d'Este,_Duchess_of_Parma","Ranuccio_II_Farnese,_Duke_of_Parma"
Frederica_of_Baden,Gustav_IV_Adolf_of_Sweden
Fabian_Picardo,Elizabeth_II
Kalaninuiamamao,Kamakaimoku
Nadia_Tueni,Ghassan_Tueni
Archduchess_Maria_Clementina_of_Austria,Francis_I_of_the_Two_Sicilies
Maria_Theresa_of_Austria-Este_(1849–1919),Prince_Franz_of_Bavaria
Brooke_Shields,Andre_Agassi
Henry_IV_of_France,Henrietta_Maria_of_France
"Garsenda,_Countess_of_Forcalquier","Ramon_Berenguer_IV,_Count_of_Provence"
"Herman_IV,_Duke_of_Swabia",Adelaide_of_Susa
Astrid_of_Sweden,Princess_Joséphine_Charlotte_of_Belgium
Ike_Cole,Nat_King_Cole
Faisal_of_Saudi_Arabia,Ibn_Saud
Humphrey_Lyttelton,Tony_Coe
"Elizabeth_de_Berkeley,_Countess_of_Warwick","Eleanor_Beauchamp,_Duchess_of_Somerset"
Ingvar_Carlsson,Carl_XVI_Gustaf_of_Sweden
Kekāuluohi,Kīnaʻu
"Henry_III,_Holy_Roman_Emperor","Henry_IV,_Holy_Roman_Emperor"
"Eleanor_of_Portugal,_Queen_of_Aragon",Peter_IV_of_Aragon
"St_John_Brodrick,_1st_Earl_of_Midleton","George_Cubitt,_1st_Baron_Ashcombe"
Julius_I_Kán,Eth_Geregye
Binnya_U,Binnya_E_Law
Taj_ul-Alam,Iskandar_Thani
Herbert_Taylor_(British_Army_officer),George_III_of_the_United_Kingdom
Alan_Aldridge,Laura_Lyons
Prince_Joachim_of_Denmark,Princess_Marie_of_Denmark
"Herman_IV,_Duke_of_Swabia","Henry_III,_Holy_Roman_Emperor"
Charles_Emmanuel_III_of_Sardinia,Princess_Maria_Vittoria_Margherita_of_Savoy
"Infante_Duarte,_5th_Duke_of_Guimarães",John_IV_of_Portugal
Lucius_Calpurnius_Piso_the_Augur,Augustus
Emperor_Daozong_of_Liao,Emperor_Tianzuo_of_Liao
L._M._Shaw,Theodore_Roosevelt
Huy_Kanthoul,Norodom_Sihanouk
Archduchess_Elisabeth_Amalie_of_Austria,"Franz_Joseph_II,_Prince_of_Liechtenstein"
"Stephen,_Count_Palatine_of_Simmern-Zweibrücken","Frederick_I,_Count_Palatine_of_Simmern"
Tadj_ol-Molouk,Ashraf_Pahlavi
Sydney_Sekeramayi,Robert_Mugabe
"Henry_Bathurst,_3rd_Earl_Bathurst",William_IV_of_the_United_Kingdom
"George_Spencer,_4th_Duke_of_Marlborough",George_III_of_the_United_Kingdom
Beau_Bridges,Jeff_Bridges
Yukio_Hatoyama,Akihito
Tom_Perrotta,Ernest_Hemingway
Philip_V_of_France,"Joan_II,_Countess_of_Burgundy"
Trisong_Detsen,Muné_Tsenpo
Philip_I_of_Castile,"Charles_V,_Holy_Roman_Emperor"
Paul_Comtois,Elizabeth_II
Niketa_Thopia,Komnen_Arianiti
Arlo_Guthrie,Pete_Seeger
Mongkut,Chulalongkorn
"Otto_III,_Holy_Roman_Emperor",Adelaide_of_Italy
"George_Phipps,_2nd_Marquess_of_Normanby",Queen_Victoria
"Auckland_Geddes,_1st_Baron_Geddes",George_V
John_Roll,George_H._W._Bush
Michael_II_Komnenos_Doukas,Theodore_Komnenos_Doukas
Anne_of_Austria,"Philippe_I,_Duke_of_Orléans"
"John_George,_Elector_of_Brandenburg","Joachim_Frederick,_Elector_of_Brandenburg"
Ingeborg_of_Norway,"Eric,_Duke_of_Södermanland"
James_Goss_(judge),Elizabeth_II
"John_Stuart,_3rd_Earl_of_Bute",George_III_of_the_United_Kingdom
"Sigismund,_Holy_Roman_Emperor",Elizabeth_of_Luxembourg
"Federico_Ubaldo_della_Rovere,_Duke_of_Urbino",Claudia_de'_Medici
Agnes_of_Hesse,"John_Frederick_II,_Duke_of_Saxony"
"Henry_Petty-Fitzmaurice,_3rd_Marquess_of_Lansdowne",Queen_Victoria
Eupraxia_of_Kiev,"Henry_IV,_Holy_Roman_Emperor"
"James_Drummond,_4th_Earl_of_Perth",James_II_of_England
"John_Spencer-Churchill,_7th_Duke_of_Marlborough","James_Hamilton,_1st_Duke_of_Abercorn"
Violant_of_Bar,Sibila_of_Fortia
Charles_I_of_Württemberg,William_II_of_Württemberg
Dick_Celeste,Jimmy_Carter
Verina,Leo_I_the_Thracian
Henry_Wolfe_Gummer,Mamie_Gummer
Eugene_S._Pulliam,Ben_Quayle
James_I_of_Scotland,Eleanor_of_Scotland
William_P._Rogers,Robert_F._Kennedy
"George_II,_Landgrave_of_Hesse-Darmstadt",Sophia_Eleonore_of_Saxony
Joshua_W._Alexander,Woodrow_Wilson
Alfonso_III_of_Aragon,James_II_of_Aragon
Prince_Felix_of_Bourbon-Parma,Infanta_Marie_Anne_of_Portugal
Nero_Claudius_Drusus,Antonia_Minor
"Maud_Petty-Fitzmaurice,_Marchioness_of_Lansdowne","Princess_Louise,_Duchess_of_Argyll"
Princess_Charlotte_of_Prussia_(1831–1855),"Georg_II,_Duke_of_Saxe-Meiningen"
Philip_Francis_Little,Queen_Victoria
Mwananyanda_Liwale,Mulambwa_Santulu
"Frederick,_Duke_of_Saxe-Weissenfels-Dahme",Emilie_Agnes_Reuss_of_Schleiz
John_Baker_White_(Virginia),Samuel_Lightfoot_Flournoy
Saw_Nan_of_Pagan,Narathihapate
"Sancha_of_Castile,_Queen_of_Navarre",Sancho_VII_of_Navarre
Theodosius_II,Petronius_Maximus
Alejandro_Dolina,Oscar_Wilde
Yaropolk_Izyaslavich,Sviatoslav_II_of_Kiev
John_Davis_(U.S._district_court_judge),John_Lowell
Nicholas_F._Brady,Ronald_Reagan
Lothair_I,Louis_II_of_Italy
Valerie_Strachan,Elizabeth_II
L._Richardson_Preyer,John_F._Kennedy
"Ramon_Berenguer_III,_Count_of_Barcelona","Ramon_Berenguer_IV,_Count_of_Barcelona"
Valentinian_III,Licinia_Eudoxia
Edvard_Hagerup_Bull,Peter_Olrog_Schjøtt
Joaquim_Augusto_Mouzinho_de_Albuquerque,Carlos_I_of_Portugal
Marzuban_ibn_Muhammad,Justan_I_ibn_Marzuban_I
List_of_Playboy_Playmates_of_1991,Anna_Nicole_Smith
Hugh_Cayley,Queen_Victoria
John_C._West,Ronald_Reagan
Anna_Louise_Föhse,"Leopold_I,_Prince_of_Anhalt-Dessau"
"Orlando_Bridgeman,_3rd_Earl_of_Bradford","Hugh_Grosvenor,_1st_Duke_of_Westminster"
James_Waterston,Katherine_Waterston
Pierre_Prüm,"Charlotte,_Grand_Duchess_of_Luxembourg"
Raymond_of_Poitiers,Constance_of_Antioch
Joanna_of_Castile,Philip_I_of_Castile
Edward_Chester_Plow,Elizabeth_II
"Henry_Petty-Fitzmaurice,_3rd_Marquess_of_Lansdowne",Queen_Victoria
Princess_Josephine_of_Baden,Carol_I_of_Romania
Donald_III_of_Scotland,Malcolm_III_of_Scotland
"Henry_Bathurst,_2nd_Earl_Bathurst",George_III_of_the_United_Kingdom
Saad_Bin_Jung,Saif_Ali_Khan
Stuart_Milton_Hodgson,Elizabeth_II
Ewa_Józefina_Julia_Potocka,Prince_Franz_de_Paula_of_Liechtenstein
Lawrence_of_Transylvania,Baldwin_I_Rátót
"George_Macartney,_1st_Earl_Macartney",George_III_of_the_United_Kingdom
Jon_Kyl,John_McCain
"Infanta_Alicia,_Duchess_of_Calabria","Infante_Carlos,_Duke_of_Calabria"
Emperor_Shizong_of_Liao,Emperor_Taizong_of_Liao
"William_Cadogan,_1st_Earl_Cadogan","John_Churchill,_1st_Duke_of_Marlborough"
"Rainier_III,_Prince_of_Monaco",Princess_Stéphanie_of_Monaco
"Margaret_II,_Countess_of_Hainaut","Louis_IV,_Holy_Roman_Emperor"
"Charles_II,_Archduke_of_Austria",Constance_of_Austria
Infanta_Eulalia_of_Spain,"Infante_Antonio,_Duke_of_Galliera"
Cnut_the_Great,Olaf_II_of_Norway
Zhang_Hanzhi,Qiao_Guanhua
"Thomas_Foley,_3rd_Baron_Foley","Charles_Grey,_2nd_Earl_Grey"
Mrinalini_Sarabhai,Mallika_Sarabhai
Abdullah_I_of_Jordan,Musbah_bint_Nasser
Charles_Hotham,Queen_Victoria
James_L._Cathey_Jr.,George_Nattin
Frederick_IV_of_Fürstenberg,Egon_VIII_of_Fürstenberg-Heiligenberg
Ghassan_Tueni,Gebran_Tueni
"Gilbert_de_Clare,_1st_Earl_of_Hertford",Gilbert_Fitz_Richard
Trần_Quốc_Toản,Trần_Hưng_Đạo
Pedro_II_of_Brazil,"Isabel,_Princess_Imperial_of_Brazil"
"Maud_de_Badlesmere,_Countess_of_Oxford",Margaret_de_Vere
"Margaret_of_France,_Duchess_of_Brabant","John_I,_Duke_of_Brabant"
Prince_Alexander_of_Hesse_and_by_Rhine_(1823–1888),Princess_Marie_of_Battenberg
"Charles_Vane,_3rd_Marquess_of_Londonderry",George_III_of_the_United_Kingdom
Alexios_Komnenos_(co-emperor),Mstislav_I_of_Kiev
"Eberhard_Louis,_Duke_of_Württemberg",Wilhelmine_von_Grävenitz
August_De_Boodt,Leopold_III_of_Belgium
Nicholas_Murray_Butler,Seth_Low
Lopo_Soares_de_Albergaria,Manuel_I_of_Portugal
Mutasiva_of_Anuradhapura,Mahasiva_of_Anuradhapura
Caroline_of_Ansbach,Princess_Mary_of_Great_Britain
John_Norquay,Queen_Victoria
"Johann_I_Joseph,_Prince_of_Liechtenstein","Aloys_II,_Prince_of_Liechtenstein"
John_Chalker_Crosbie,George_V
"John,_King_of_Denmark",Christian_II_of_Denmark
"Eric_II,_Duke_of_Saxe-Lauenburg",Agnes_of_Holstein
Whitney_Straight,Dorothy_Payne_Whitney
Alexander_II_of_Imereti,Bagrat_III_of_Imereti
Olaf_III_of_Norway,Magnus_Barefoot
"Karl,_Duke_of_Schleswig-Holstein-Sonderburg-Glücksburg",Princess_Vilhelmine_Marie_of_Denmark
Kekuiapoiwa_Liliha,Keōpūolani
Princess_Zorka_of_Montenegro,Alexander_I_of_Yugoslavia
Emperor_Zhongzong_of_Tang,Jungjong_of_Joseon
"Albert_VII,_Archduke_of_Austria","Ferdinand_II,_Holy_Roman_Emperor"
"Elizabeth_of_Denmark,_Duchess_of_Brunswick-Wolfenbüttel","Henry_Julius,_Duke_of_Brunswick-Lüneburg"
Richard_Dashut,Tommy_Chong
Nizar_Madani,Abdullah_of_Saudi_Arabia
Saud_of_Saudi_Arabia,Faisal_of_Saudi_Arabia
Bruce_Sudano,Donna_Summer
Roman_Coppola,Nicolas_Cage
Melvyn_Levitsky,Bill_Clinton
Charlotte_of_Mecklenburg-Strelitz,Charlotte_of_Mecklenburg-Strelitz
Archduchess_Anna_of_Austria,Marie_of_Baden-Sponheim
Spit_Stix,Nina_Hagen
Fuad_I_of_Egypt,Hussein_Kamel_of_Egypt
Simon_Calder,Angus_Calder
James_III_of_Scotland,James_IV_of_Scotland
Sebastian_Wood,Elizabeth_II
James_Marshall_Sprouse,Jimmy_Carter
Herod_Agrippa,Berenice_(daughter_of_Salome)
"Prince_Gustaf_Adolf,_Duke_of_Västerbotten","Princess_Désirée,_Baroness_Silfverschiöld"
Charles_Morris_(surveyor_general),George_III_of_the_United_Kingdom
Nur_Jahan,Mumtaz_Mahal
David_S._Tatel,Ruth_Bader_Ginsburg
Parakramabahu_VIII_of_Kotte,Vijayabahu_VII_of_Kotte
Mithridates_II_of_Commagene,Laodice_(wife_of_Mithridates_II_of_Commagene)
Raja_Eleena,Tuanku_Bainun
"Frederick_III,_Landgrave_of_Thuringia","Balthasar,_Landgrave_of_Thuringia"
Charles_Augustus_FitzRoy,William_IV_of_the_United_Kingdom
Tabinshwehti,Mingyi_Swe
