Vernon_Singer,Odoardo_Di_Santo
"Infanta_Margarita,_Duchess_of_Soria",Princess_María_de_las_Mercedes_of_Bourbon-Two_Sicilies
1993–94_Arsenal_F.C._season__Jimmy_Carter__1,Jimmy_Carter
"Robert_I,_Latin_Emperor",Peter_II_of_Courtenay
"Barbara_Palmer,_1st_Duchess_of_Cleveland","John_Churchill,_1st_Duke_of_Marlborough"
Roberto_Micheletti,José_Alfredo_Saavedra
Christian_August_Vulpius,Johann_Wolfgang_von_Goethe
Tom_Malinowski,Barack_Obama
Sybilla_of_Normandy,Henry_I_of_England
Ronald_Isley,R._Kelly
Llew_Smith,Peter_Law
Bolesław_III_Wrymouth,Władysław_I_Herman
Kekāuluohi,Kīnaʻu
S._Jay_Plager,George_H._W._Bush
Princess_Luisa_of_Naples_and_Sicily,"Leopold_II,_Grand_Duke_of_Tuscany"
Pharrell_Williams,Justin_Timberlake
"Philip,_Elector_Palatine","Louis_V,_Elector_Palatine"
Farouk_of_Egypt,Nazli_Sabri
Benjamin_Butler_(politician),John_K._Tarbox
Les_Bury,William_McMahon
"Prince_Robert,_Duke_of_Chartres",Prince_Henri_of_Orléans
Mariam_Petrosyan,Leo_Tolstoy
"William_Lamb,_2nd_Viscount_Melbourne","Thomas_Brand,_20th_Baron_Dacre"
Valeriy_Heletey,Viktor_Yushchenko
Leo_VI_the_Wise,Michael_III
Qianlong_Emperor,Yonglin
Linda_Frum,Barbara_Frum
Matt_Schwartz,Robbie_Williams
Edward_Douglass_White,Grover_Cleveland
"Georg_Alexander,_Duke_of_Mecklenburg","George,_Duke_of_Mecklenburg"
"Alexander_Karl,_Duke_of_Anhalt-Bernburg","Alexius_Frederick_Christian,_Duke_of_Anhalt-Bernburg"
John_Sparrow_David_Thompson,"John_Hamilton-Gordon,_1st_Marquess_of_Aberdeen_and_Temair"
Harry_Neal_Baum,L._Frank_Baum
John_Dough,L._Frank_Baum
"Lena_Jeger,_Baroness_Jeger",Geoffrey_Johnson-Smith
Zeke_Zarchy,Artie_Shaw
Stokley_Williams,Janet_Jackson
Mutaib_bin_Abdulaziz_Al_Saud,Fahd_of_Saudi_Arabia
Michael_Okpara,Nnamdi_Azikiwe
"Matthias,_Holy_Roman_Emperor","Rudolf_II,_Holy_Roman_Emperor"
Gijsbert_Karel_van_Hogendorp,William_I_of_the_Netherlands
Matrika_Prasad_Koirala,Mahendra_of_Nepal
A._P._J._Abdul_Kalam,Manmohan_Singh
Procopius_(usurper),Valens
Leszek_II_the_Black,Casimir_I_of_Kuyavia
Galyani_Vadhana,Dhasanawalaya_Sornsongkram
Tracy_Reed_(English_actress),Anthony_Pelissier
Indira_Gandhi,Satya_Narayan_Sinha
Lee_Hsien_Loong,Tharman_Shanmugaratnam
Philip_III_of_France,Louis_IX_of_France
Alfred_Gyan,John_Dramani_Mahama
Lionel_Jospin,René_Monory
Louis_Brandeis,Woodrow_Wilson
Presidency_of_Dmitry_Medvedev,Vladimir_Putin
John_Kerry,Paul_G._Kirk
"Geoffrey_Fitz_Peter,_1st_Earl_of_Essex","William_FitzGeoffrey_de_Mandeville,_3rd_Earl_of_Essex"
Swa_Saw_Ke,Thilawa_of_Yamethin
Andrea_Bocelli,Celine_Dion
Dennis_DeConcini,Arlen_Specter
Valérie_Pécresse,Nicolas_Sarkozy
Lori_Grimes,Shane_Walsh_(The_Walking_Dead)
Stanley_Wilson_(composer),Quincy_Jones
Scott_Wiener,Gavin_Newsom
Frederick_William_I_of_Prussia,Frederick_I_of_Prussia
Chen_Yun,Jiang_Zemin
"Hugh_de_Kevelioc,_5th_Earl_of_Chester","Ranulf_de_Gernon,_4th_Earl_of_Chester"
Hussein_of_Jordan,Talal_of_Jordan
Jogendra_Nath_Mandal,Muhammad_Ali_Jinnah
Benjamin_B._Wagner,Barack_Obama
Anthony_Radziwill,Lee_Radziwill
Herbert_H._Lehman,Franklin_D._Roosevelt
Poornima_Indrajith,Sukumaran
Joseph_M._McLaughlin,Ronald_Reagan
Jacob_De_la_Gardie,Maria_Sofia_De_la_Gardie
Ferdinand_I_of_Naples,Joanna_of_Naples_(1478–1518)
Maria_Carolina_of_Austria,Prince_Giuseppe_of_Naples_and_Sicily
Dion_Weisler,Meg_Whitman
Alice_Neville,Elizabeth_FitzHugh
Doc_Pomus,Bobby_Darin
Hermann_Hesse,Johann_Wolfgang_von_Goethe
Donald_III_of_Scotland,Duncan_II_of_Scotland
Ma_Ying-jeou,Lee_Huan
List_of_My_Fair_Princess_characters,Qianlong_Emperor
Prince_Faisal_bin_Hussein,Hussein_of_Jordan
Robert_Lowell,Robert_Gardner_(anthropologist)
José_Figueres_Ferrer,Otilio_Ulate_Blanco
Rove_McManus,Georgie_Parker
Manuel_Zelaya,Ricardo_Maduro
Mostafa_Tajzadeh,Abdolvahed_Mousavi_Lari
H._Russel_Holland,Ronald_Reagan
"Eckard_II,_Margrave_of_Meissen","Theodoric_II,_Margrave_of_Lower_Lusatia"
Gail_Brown,Karen_Black
Abraham_A._Ribicoff,Thomas_J._Dodd
Robert_II_of_Scotland,Thomas_Stewart_(bishop)
Margaret_de_Clare,Joan_of_Acre
Oliver_Postgate,Angela_Lansbury
Sargent_Shriver,Charles_E._Bohlen
"Louis_Antoine,_Duke_of_Angoulême",Charles_X_of_France
Tom_Waterhouse,Robbie_Waterhouse
Martin_Van_Buren,Richard_Mentor_Johnson
Imam_Utomo,Susilo_Bambang_Yudhoyono
Martin_Balsam,Talia_Balsam
Maxime_Bernier,David_Emerson
"Isabella_of_Valois,_Duchess_of_Bourbon","Louis_II,_Duke_of_Bourbon"
Kiefer_Sutherland,Francine_Racette
Charlotte_of_Mecklenburg-Strelitz,Duchess_Charlotte_Georgine_of_Mecklenburg-Strelitz
Louis_IX_of_France,"Agnes_of_France,_Duchess_of_Burgundy"
"John_I,_Duke_of_Brittany","Peter_I,_Duke_of_Brittany"
Stafford_Cripps,Tony_Benn
Earl_Pomeroy,Byron_Dorgan
William_S._Burroughs,Jack_Black_(author)
Ernest_von_Koerber,Franz_Joseph_I_of_Austria
N._Sivaraj,Jawaharlal_Nehru
Qianlong_Emperor,Imperial_Noble_Consort_Qinggong
Chlothar_I,Guntram
Edward_Lodge,Marion_Jones_Callister
Don_Touhig,Gordon_Brown
Su_Tseng-chang,Tsai_Ing-wen
Eli_Wallach,Joan_Wallach_Scott
Brooke_Burke,Mark_Ballas
Kīnaʻu,Kamehameha_I
Sadi_Irmak,Süleyman_Demirel
Kaitlyn_Weaver,Peter_Tchernyshev
Constantine_the_Great,Constantius_Chlorus
Andrea_Koppel,Grace_Anne_Dorney_Koppel
Michael_Bishop_(author),Ernest_Hemingway
Michael_W._McConnell,George_W._Bush
LeRoy_Collins,Richard_Stone_(politician)
Christian_IV_of_Denmark,Valdemar_Christian_of_Schleswig-Holstein
"Francis_II,_Holy_Roman_Emperor","Leopold_II,_Holy_Roman_Emperor"
Arthur_Mitchell_(politician),Todd_Hardy
"Theobald_V,_Count_of_Blois",Matilda_of_Carinthia
Maham_Begum,Humayun
Jack_Waldman,Whitney_Houston
Bill_Thomas,Lois_Capps
William_J._Bell,Bradley_Bell
Qianlong_Emperor,Yongzheng_Emperor
Harold_Holt,Robert_Menzies
Tony_Benn,Hilary_Benn
Tim_Kaine,Jerrauld_Jones
Naile_Sultan,Abdülmecid_I
Andrew_Peacock,Bob_Hawke
"Sancha_of_Castile,_Queen_of_Navarre",Constance_of_Toulouse
Agnes_of_Brunswick-Lüneburg,"Magnus_II,_Duke_of_Brunswick-Lüneburg"
Polly_Sherman,John_Cleese
Sukjong_of_Joseon,Gyeongjong_of_Joseon
Bernard_Kouchner,Philippe_Douste-Blazy
Robert_F._Rossiter_Jr.,Barack_Obama
Slim_Whitman,Elvis_Presley
Stanley_Cohen_(sociologist),Michel_Foucault
Lewis_F._Allen,Grover_Cleveland
April_Kepner,Shonda_Rhimes
Simon_Thurley,Max_Hebditch
"Thomas_Howard,_21st_Earl_of_Arundel","Philip_Howard,_20th_Earl_of_Arundel"
"Eric_II,_Duke_of_Mecklenburg","Henry_V,_Duke_of_Mecklenburg"
John_C._Calhoun,James_K._Polk
Iveta_Radičová,Mikuláš_Dzurinda
"Charles_III,_Prince_of_Monaco","Florestan_I,_Prince_of_Monaco"
"Alexander,_Prince_of_Lippe","Leopold_IV,_Prince_of_Lippe"
"Albert_III,_Duke_of_Saxe-Wittenberg","Frederick_I,_Elector_of_Saxony"
Joseph_Platt,Samuel_Fitch
David_Rockefeller,John_D._Rockefeller_Jr.
Maria_Pia_of_Savoy,Victor_Emmanuel_II_of_Italy
Hannibal_Hamlin,Eugene_Hale
Barnaby_Joyce,Malcolm_Turnbull
Tribhuvan_of_Nepal,Prince_Basundhara_of_Nepal
Françoise_Dorléac,Renée_Simonot
Chris_Huhne,Menzies_Campbell
Jill_Evans,Chris_Franks
Frederick_William_II_of_Prussia,Frederick_the_Great
Prince_Paul_of_Yugoslavia,Prince_Arsen_of_Yugoslavia
Hossein-Ali_Amiri,Hassan_Rouhani
Girvan_Yuddha_Bikram_Shah,Rajendra_of_Nepal
Minyekyawdin,Sanay_Min
Ginn_Hale,William_Shakespeare
Princess_Marie_of_Nassau,Elisabeth_of_Wied
Alaungpaya,Mahadhammaraza_Dipadi
Morgan_Earp,Wyatt_Earp
Ingrid_of_Sweden,Gustaf_VI_Adolf_of_Sweden
"Alphonzo_E._Bell,_Jr.",Alphonzo_Bell
John_Negroponte,Bill_Clinton
Michael_Lockwood_(guitarist),Carly_Simon
James_L._Buckley,Ronald_Reagan
André_Bjerke,Jens_Bjørneboe
Prince_Hermann_Friedrich_of_Leiningen,Princess_Marie_Louise_of_Bulgaria
"Elizabeth_Gordon,_Heiress_of_Gordon",Adam_de_Gordon_(died_1402)
Guy_of_Lusignan,Baldwin_V_of_Jerusalem
"Vincenzo_Gonzaga,_Duke_of_Mantua","Vincenzo_II_Gonzaga,_Duke_of_Mantua"
Margravine_Louise_of_Brandenburg-Schwedt,Leopoldine_Marie_of_Anhalt-Dessau
Arthur_Spooner,Jack_Carter_(comedian)
Emilia_Fox,Jeremy_Gilley
William_Godwin,Oscar_Wilde
Joseph_Dalton_Hooker,Charles_Darwin
Loi_Ejercito,Amelita_Ramos
"George_Campbell,_8th_Duke_of_Argyll","James_Gascoyne-Cecil,_2nd_Marquess_of_Salisbury"
Lynda_Carter,Marjorie_Wallace
"John_of_Brittany,_Earl_of_Richmond","John_III,_Duke_of_Brittany"
"John_V,_Duke_of_Brittany","Francis_I,_Duke_of_Brittany"
"Theodore_Eustace,_Count_Palatine_of_Sulzbach",Count_Palatine_Joseph_Charles_of_Sulzbach
Princess_Marie_Anne_of_Saxe-Altenburg,Prince_Moritz_of_Saxe-Altenburg
John_of_Saxony,Princess_Elisabeth_of_Saxony
Robert_James_McMordie,Crawford_McCullagh
Gillian_Baverstock,Hugh_Alexander_Pollock
Marie_Leszczyńska,Princess_Louise_of_France
Tolui,Genghis_Khan
Reginald_George_Watson,William_James_Parke_Hume
Roger_II_of_Sicily,Roger_I_of_Sicily
Ronald_Reagan,George_H._W._Bush
"Henry_VI,_Holy_Roman_Emperor","Otto_IV,_Holy_Roman_Emperor"
Eva_Macapagal,Imelda_Marcos
"George_Villiers,_4th_Earl_of_Clarendon",William_Ewart_Gladstone
Lewis_Nixon_(naval_architect),Stanhope_Wood_Nixon
Marián_Čalfa,Václav_Havel
"Anthony_Joseph_Drexel_Biddle,_Jr.",Mary_Duke_Biddle_Trent_Semans
Patrick_Sweeney_(politician),Dennis_Kucinich
Owen_W._Roberts,Ronald_Reagan
"Isaac_Allerton,_Jr.",Isaac_Allerton
Hedwig_of_Legnica,Wenceslaus_I_of_Legnica
Elizabeth_Esty,Chris_Murphy_(Connecticut_politician)
Robert_Dudley_(explorer),"Robert_Dudley,_1st_Earl_of_Leicester"
Princess_Ida_of_Waldeck_and_Pyrmont,Prince_William_of_Schaumburg-Lippe
Christopher_Comstock,Samuel_Hayes_(settler)
Fuheng,Empress_Xiaoxianchun
Oldřich_of_Olomouc,Adelaide_of_Hungary_(d._1140)
Otto_of_Greece,Therese_of_Saxe-Hildburghausen
James_A._Reed,Jay_H._Neff
Nikola_I_Petrović-Njegoš,Princess_Zorka_of_Montenegro
Tom_Wheeler,Julius_Genachowski
Gai_Waterhouse,Tom_Waterhouse
"Reza_Pahlavi,_Crown_Prince_of_Iran",Mohammad_Reza_Pahlavi
Elizabeth_Schuyler_Hamilton,Alexander_Hamilton_Jr.
Paul_Merton,Tony_Hancock
Karolina_Teresa_Radziwiłł,Anna_Katarzyna_Sanguszko
Atupele_Muluzi,Bakili_Muluzi
Madeleine_Bordallo,Carl_Gutierrez
Dick_Wray,Jackson_Pollock
Charles_I_of_Württemberg,William_II_of_Württemberg
"Frederick_VI,_Margrave_of_Baden-Durlach","Frederick_VII,_Margrave_of_Baden-Durlach"
Frederick_I_of_Denmark,Christian_III_of_Denmark
Pam_Warren_(civil_servant),Brad_Henry
Rush_D._Holt_Sr.,Matthew_M._Neely
Agustín_Jerónimo_de_Iturbide_y_Huarte,Agustín_de_Iturbide
Joachim_of_Münsterberg-Oels,"Charles_I,_Duke_of_Münsterberg-Oels"
Sambhaji,Rajaram_Chhatrapati
Vilasrao_Deshmukh,Manmohan_Singh
W._Scott_Gould,Sloan_D._Gibson
George_Marshall,Harry_S._Truman
Return_J._Meigs_Jr.,James_Madison
Sofonisba_Anguissola,Philip_II_of_Spain
William_O'Shea,James_Patrick_Mahon
Philippe_Cousteau_Jr.,Philippe_Cousteau
Janez_Drnovšek,Robert_Mugabe
Stephen_Benton_Elkins,Benjamin_Harrison
Ed_van_Thijn,Max_Rood
K._B._Ratnayake,Chandrika_Kumaratunga
Jacques_Chirac,Georges_Pompidou
Arthur_Koestler,Gilbert_Ryle
R._Venkataraman,Indira_Gandhi
Leonel_Fernández,Danilo_Medina
Otto_Lang,Don_Mazankowski
Ingegerd_of_Norway,Boedil_Thurgotsdatter
Wang_Mang,Ruzi_Ying
Timothy_W._Tong,Leung_Chun-ying
Michael_Sembello,Barbra_Streisand
Joan_of_Acre,Edward_I_of_England
Kösem_Sultan,Mehmed_IV
Louise_Leakey__Princess_Louise_de_Merode__1,Richard_Leakey
Italo_Calvino,Ernest_Hemingway
Dodo_(prince),Lady_Abahai
Fernando_Lamas,Lorenzo_Lamas
"Joan_of_Valois,_Countess_of_Hainaut",Joanna_of_Hainaut
Duchess_Maria_Antonia_of_Bavaria,Anthony_of_Saxony
"Arthur_Wellesley,_1st_Duke_of_Wellington",Henry_Goulburn
Frederick_William_III_of_Prussia,Frederick_William_II_of_Prussia
Mindjedef,Hetepheres_II
Lamar_Alexander,George_H._W._Bush
John_R._McCarl,Herbert_Hoover
Paul_von_Hindenburg,Adolf_Hitler
Willem-Alexander_of_the_Netherlands,Beatrix_of_the_Netherlands
Ashoka's_policy_of_Dhamma,Bindusara
Naungdawgyi,Yun_San
"Alfred_Mond,_1st_Baron_Melchett","Christopher_Addison,_1st_Viscount_Addison"
Lew_Wallace,James_Longstreet
Lenny_Kravitz,Madonna_(entertainer)
Junichirō_Koizumi,Akihito
Virginia_Woolf,James_Joyce
George_II_of_Great_Britain,"Anne,_Princess_Royal_and_Princess_of_Orange"
Anna_of_Saxony,Countess_Anna_of_Nassau
George_Stephanopoulos,Bill_Clinton
Marie_de'_Medici,"Gaston,_Duke_of_Orléans"
Mitch_McConnell,Gerald_Ford
Barry_Williamson,George_W._Bush
"Friedrich_Ferdinand,_Duke_of_Schleswig-Holstein","Friedrich,_Duke_of_Schleswig-Holstein-Sonderburg-Glücksburg"
Theodore_Olson,George_W._Bush
Benedita_da_Silva,Anthony_Garotinho
Mahathir_Mohamad,Marina_Mahathir
"Victor_Cavendish,_9th_Duke_of_Devonshire","Edward_Colebrooke,_1st_Baron_Colebrooke"
Irina_Walker,Michael_I_of_Romania
Andrew_Jackson,Levi_Woodbury
Maxime_Bernier,Rona_Ambrose
Volga_Hayworth,Rita_Hayworth
Annette_King,Michael_Cullen_(politician)
Emetullah_Rabia_Gülnuş_Sultan,Saliha_Dilaşub_Sultan
Wilma_Flintstone,Julie_McWhirter
Henry_Campbell-Bannerman,William_Ewart_Gladstone
Oscar_II_of_Sweden,Gustaf_V_of_Sweden
Barney_Stinson,Craig_Thomas_(screenwriter)
Turai_Yar'Adua,Stella_Obasanjo
Philippe_de_Rigaud_Vaudreuil,Louis-Hector_de_Callière
Ed_Mann,Frank_Zappa
Sara_Lynn_Darrow,Barack_Obama
Konstancja_Poniatowska,Kazimierz_Poniatowski
Ion_I._C._Brătianu,Petre_P._Carp
Abdullah_bin_Zayed_Al_Nahyan,Mohammed_bin_Rashid_Al_Maktoum
Maria_of_Borovsk,Anna_of_Ryazan
Kelly_Curtis,Tony_Curtis
Zofia_Ostrogska,Oleksander_Ostrogski
Salu_Digby,Jerry_Siegel
Bhongprabai,Chulalongkorn
Shrabani_Deodhar,Sai_Deodhar
Lee_Hawse_Patteson,Valerie_Allen_Marland
Charles_the_Bold,Philip_the_Good
"Frederick_III,_German_Emperor",Augusta_of_Saxe-Weimar-Eisenach
Henry_T._Ellett,Jefferson_Davis
Adela_of_Champagne,Constance_of_Castile
Josip_Broz_Tito,Gamal_Abdel_Nasser
"Infante_Carlos,_Count_of_Montemolin",Infanta_Maria_Francisca_of_Portugal
Sanchaman_Limboo,Nar_Bahadur_Bhandari
"Otto_I,_Count_of_Burgundy","Beatrice_I,_Countess_of_Burgundy"
Michael_Corleone,Vito_Corleone
Maren_Juel,Jacob_Rasch
Tatyana_Golikova,Dmitry_Medvedev
Samuel_Smith_(Upper_Canada_politician),George_III_of_the_United_Kingdom
Bakhtiar_Amin,Ayad_Allawi
Mehmed_I,Devlet_Hatun
Amber_Rudd,Theresa_May
George_II_of_Bulgaria,Theodore_Svetoslav_of_Bulgaria
Nicholas_Hoyt,Daniel_Kellogg_(settler)
Glenn_Miller,Marion_Hutton
Kristeen_Young,Tony_Visconti
"Stapleton_Cotton,_1st_Viscount_Combermere","Arthur_Wellesley,_1st_Duke_of_Wellington"
"George_William,_Prince_of_Schaumburg-Lippe",Princess_Adelheid_of_Schaumburg-Lippe
"Carl,_3rd_Prince_of_Leiningen","Ernst_Leopold,_4th_Prince_of_Leiningen"
"Otto_IV,_Count_of_Burgundy","Joan_II,_Countess_of_Burgundy"
Donald_Trump,Fred_Trump
Emperor_Xuanzong_of_Tang,Emperor_Suzong_of_Tang
Nicholas_Kearns,Mary_McAleese
Archduchess_Maria_Beatrix_of_Austria-Este,"Francis_IV,_Duke_of_Modena"
Juan_Andrés_de_Ustariz,Philip_V_of_Spain
Natalia_Rivera_Aitoro,Ellen_Wheeler
Larry_Blackmon,Will_Smith
Robert_III_of_Scotland,James_I_of_Scotland
Charles_R._Doering,Cécile_DeWitt-Morette
"Richard_Grey,_4th_Baron_Grey_of_Codnor",Henry_IV_of_England
Wenceslaus_II_of_Bohemia,Ottokar_II_of_Bohemia
Ralph_E._Jenney,Franklin_D._Roosevelt
William_J._Riley,George_W._Bush
Earle_Page,Robert_Menzies
Norodom_Marie,Norodom_Sihanouk
Roland_Michener,Louis-René_Beaudoin
"William_Paulet,_1st_Marquess_of_Winchester","Charles_Brandon,_1st_Duke_of_Suffolk"
Kirk_Wagar,Barack_Obama
W._Craig_Broadwater,Bill_Clinton
Božidar_Purić,Peter_II_of_Yugoslavia
Friedrich_Wilhelm_Foerster,Woodrow_Wilson
Charles_W._Robinson,Gerald_Ford
Grace_Darmond,Jean_Acker
James_Olmsted,Samuel_Hayes_(settler)
Richard_Dawkins,Margo_Wilson
"Wenzel_Anton,_Prince_of_Kaunitz-Rietberg","Joseph_II,_Holy_Roman_Emperor"
Estanislao_Figueras,Amadeo_I_of_Spain
Lupita_Tovar,John_Weitz
Jen_Psaki,Victoria_Nuland
Karl_E._Mundt,Vera_C._Bushfield
Mike_Todd,Sam_Spiegel
Ali,Muhammad
Ahmed_Abou_Talib,Hosni_Mubarak
Vudhijaya_Chalermlabha,Chulalongkorn
Arthur_Chaskalson,Nelson_Mandela
"Julius,_Duke_of_Brunswick-Lüneburg","Henry_V,_Duke_of_Brunswick-Lüneburg"
"John_de_Vere,_15th_Earl_of_Oxford","John_de_Vere,_16th_Earl_of_Oxford"
Alice_de_Lusignan_of_Angoulême,Hugh_XI_of_Lusignan
Christopher_Moltisanti,Tony_Soprano
Doug_Sax,Barbra_Streisand
Wynonna_Judd,Clint_Black
Ken_Kandodo,Bingu_wa_Mutharika
Princess_Anna_of_Saxony_(1903–1976),Archduchess_Ilona_of_Austria
Adelbert_Ames,Jefferson_Davis
Kâmil_Pasha,Abdul_Hamid_II
Edyta_Śliwińska,Belinda_Carlisle
Benjamín_Brea,Julio_Iglesias
Zhang_Hanzhi,Hung_Huang
"Catherine_of_Austria,_Queen_of_Portugal",Joanna_of_Castile
Alison_Bechdel,Hergé
Lawton_Chiles,Buddy_MacKay
Abraham_Lincoln,Salmon_P._Chase
Melanne_Verveer,Barack_Obama
Clif_Magness,Quincy_Jones
Laura_Smith_(blues_singer),Clarence_Williams_(musician)
Fern_Britton,Phillip_Schofield
Emperor_Hui_of_Jin,Emperor_Wu_of_Jin
Peter_Brock,Jim_Richards_(racing_driver)
"Isabel,_Princess_Imperial_of_Brazil",Prince_Pedro_Henrique_of_Orléans-Braganza
Aleš_Debeljak,Primož_Kozak
Martha_Laurens_Ramsay,John_Laurens
"Philippe_I,_Duke_of_Orléans",Anne_Marie_d'Orléans
E._Bronson_Ingram_II,Ingrid_Goude
"Karl_Alexander,_5th_Prince_of_Thurn_and_Taxis",Princess_Maria_Sophia_of_Thurn_and_Taxis
David_Dimbleby,Kate_Dimbleby
Chaim_Herzog,Yitzhak_Navon
George_III_of_the_United_Kingdom,"Prince_Edward,_Duke_of_Kent_and_Strathearn"
"Ernst_II,_Prince_of_Hohenlohe-Langenburg","Gottfried,_Prince_of_Hohenlohe-Langenburg"
Kenneth_M._Karas,George_W._Bush
Henry_the_Bearded,Henry_II_the_Pious
Narapatisithu,Narathu
Steve_McQueen,Steven_R._McQueen
"Odo_III,_Duke_of_Burgundy","Hugh_IV,_Duke_of_Burgundy"
Mark_Antony_(Rome_character),Alexander_Helios
William_Hague,John_Major
"Bernhard_I,_Duke_of_Saxe-Meiningen","Anton_Ulrich,_Duke_of_Saxe-Meiningen"
"Reginald_I,_Count_of_Burgundy","Otto-William,_Count_of_Burgundy"
Jejomar_Binay,Benigno_Aquino_III
Hedwig_of_Denmark,Frederick_II_of_Denmark
Billy_Sherwood,Steve_Lukather
Paris_Hilton,Elizabeth_Taylor
"Leopold_I,_Holy_Roman_Emperor","Ferdinand_III,_Holy_Roman_Emperor"
"Albert_II,_Margrave_of_Meissen",Frederick_Tuta
Peter_I_of_Portugal,"Beatrice,_Countess_of_Alburquerque"
Xu_Qiliang,Xi_Jinping
Maria_of_Yugoslavia,Prince_Tomislav_of_Yugoslavia
Isabella_of_Bourbon,"Agnes_of_Burgundy,_Duchess_of_Bourbon"
Xi_Jinping,Deng_Jiagui
Oscar_Luigi_Scalfaro,Giovanni_Leone
"Lydia_Dunn,_Baroness_Dunn",Chris_Patten
Richard_Hornby,Nigel_Fisher
Bikenibeu_Paeniu,Elizabeth_II
Alexandru_Athanasiu,Emil_Constantinescu
John_Quincy_Adams,Henry_Clay
"Constance,_Duchess_of_Brittany","Eleanor,_Fair_Maid_of_Brittany"
"Joseph,_Count_of_Harcourt",Louise_Henriette_Françoise_de_Lorraine
Bayinnaung,Nanda_Bayin
Marie_Henriette_of_Austria,"Archduke_Joseph,_Palatine_of_Hungary"
Richard_Face,Bob_Carr
Sweyn_Forkbeard,Harald_II_of_Denmark
Kovambo_Nujoma,Penehupifo_Pohamba
Julia_McNamara,Annie_McNamara
"John_George,_Elector_of_Brandenburg","Joachim_Frederick,_Elector_of_Brandenburg"
"Frederick,_Duke_of_Saxe-Altenburg","Ernest_Frederick_III,_Duke_of_Saxe-Hildburghausen"
Norman_Kirk,Denis_Blundell
Mpande_kaSenzangakhona,Senzangakhona_kaJama
2003–04_Sheffield_United_F.C._season__Paul_Peschisolido__1,Paul_Peschisolido
Robert_Fitzhamon,Hamo_Dapifer
Giuseppe_Saracco,Victor_Emmanuel_III_of_Italy
Naresuan,Nawrahta_Minsaw
Gene_Wolfe,Vladimir_Nabokov
Audrey_G._Fleissig,Barack_Obama
Denis_Healey,Harold_Wilson
"William,_Prince_of_Albania","William,_Prince_of_Wied"
Sulla,Lucius_Cornelius_Cinna
Zeki_Pasha,Mehmed_V
Prince_Frederick_of_Prussia_(1794–1863),Frederica_of_Mecklenburg-Strelitz
John_Turner,Jean_Chrétien
Zayed_bin_Sultan_Al_Nahyan,Mansour_bin_Zayed_Al_Nahyan
Bolesław_I_the_Brave,Mieszko_I_of_Poland
"John_Russell,_4th_Duke_of_Bedford",George_II_of_Great_Britain
Barbara_of_Brandenburg-Ansbach-Kulmbach,"Frederick_I,_Margrave_of_Brandenburg-Ansbach"
Maria_de_las_Mercedes_of_Bavaria_and_Bourbon,Infanta_Maria_Teresa_of_Spain
Kyaswa,Htilominlo
Princess_Maria_Antonietta_of_Bourbon-Two_Sicilies,"Prince_Ferdinand_Pius,_Duke_of_Calabria"
Salman_Rushdie,Christopher_Hitchens
Charles_the_Simple,Adelaide_of_Paris
Bobby_Keys,Ringo_Starr
William_the_Silent,"William_I,_Count_of_Nassau-Dillenburg"
Katie_Beirne_Fallon,Barack_Obama
George_W._Jack,Woodrow_Wilson
Howie_Kemp,Mrs._Dorothy_Quimby
Muhammad_Azam_Shah,Aurangzeb
Robert_D._Sack,Bill_Clinton
George_Egerton_(Royal_Navy_officer),Prince_Louis_of_Battenberg
Claude_I._Bakewell,John_B._Sullivan
Sun_Quan,Sun_Xiu
Samuel_Lewis_Navarro,Juan_Carlos_Varela
Benedicta_Henrietta_of_the_Palatinate,Wilhelmine_Amalia_of_Brunswick-Lüneburg
Barry_Diller,Rupert_Murdoch
Salman_Rushdie,Günter_Grass
Jovan_Oliver,Nikola_Stanjević
Michelle_van_Eimeren,Ogie_Alcasid
Jugnu_Mohsin,Moni_Mohsin
Bhumibol_Adulyadej,Vajiralongkorn
Diana_Taylor_(superintendent),George_Pataki
Christine_of_Saxony,Agnes_of_Hesse
Dezső_Perczel,Kálmán_Széll
"Charles_Cornwallis,_2nd_Marquess_Cornwallis",George_IV_of_the_United_Kingdom
Amadeo_I_of_Spain,Victor_Emmanuel_II_of_Italy
Władysław_II_Jagiełło,Władysław_III_of_Poland
"Albert_III,_Duke_of_Bavaria",Elisabetta_Visconti
Michael_Beschloss,President_of_the_United_States
Bolesław_Wieniawa-Długoszowski,Władysław_Raczkiewicz
Stanisław_%22Rewera%22_Potocki,Feliks_Kazimierz_Potocki
"Charles_I,_Count_of_Nevers","Philip_II,_Count_of_Nevers"
Ho_Ching,Tan_Choo_Leng
Wisutkasat,Naresuan
Alla_Pugacheva,Philipp_Kirkorov
"Rufus_Isaacs,_1st_Marquess_of_Reading",Edward_VII
Emine_Gülbahar_Hatun,Emine_Hatun
Constantine_the_Great,Constantius_II
Louis_XII_of_France,Francis_I_of_France
Rutherford_B._Hayes,William_Allen_(governor)
Italo_Calvino,Edgar_Allan_Poe
Harold_Stevenson,Peggy_Guggenheim
Nur_Felek_Kadinefendi,Hussein_Kamel_of_Egypt
Rajiv_Gandhi,L._K._Advani
Catherine_Deneuve,Maurice_Dorléac
John_Maynard_Keynes,George_Akerlof
Gevherhan_Sultan_(daughter_of_Ahmed_I),Ahmed_I
Hasri_Ainun_Habibie,Sinta_Nuriyah
Ray_Novak,Stephen_Harper
Sükhbaataryn_Yanjmaa,Yumjaagiin_Tsedenbal
Ferenc_Szálasi,Ferenc_Rajniss
