0.4  negspouse(1 ,A ,B)  :-  president(C ,B)   ,  region(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(256 ,A ,B)  :-  spouse(B ,C)   ,  predecessor(C ,D)   ,  spouse(A ,D).
0.4  negspouse(257 ,A ,B)  :-  parent(B ,C)   ,  parent(D ,C)   ,  successor(A ,D).
0.38  negspouse(258 ,A ,B)  :-  birthPlace(B ,C)   ,  birthPlace(A ,C)   ,  deathPlace(A ,C).
0.39  negspouse(259 ,A ,B)  :-  monarch(A ,C)   ,  spouse(D ,B)   ,  C=D.
0.4  negspouse(260 ,A ,B)  :-  restingPlace(B ,C)   ,  restingPlace(D ,C)   ,  parent(A ,D).
0.39  negspouse(261 ,A ,B)  :-  predecessor(C ,B)   ,  president(A ,D)   ,  D=C.
0.39  negspouse(262 ,A ,B)  :-  successor(A ,C)   ,  party(C ,D)   ,  party(B ,D).
0.4  negspouse(263 ,A ,B)  :-  spouse(A ,C)   ,  spouse(C ,A)   ,  successor(B ,A).
0.39  negspouse(264 ,A ,B)  :-  relative(C ,B)   ,  relative(A ,C)   ,  relative(C ,A).
0.4  negspouse(265 ,A ,B)  :-  president(C ,B)   ,  nationality(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(266 ,A ,B)  :-  birthPlace(B ,C)   ,  deathPlace(A ,C)   ,  parent(B ,A).
0.4  negspouse(267 ,A ,B)  :-  successor(A ,C)   ,  primeMinister(C ,D)   ,  successor(D ,B).
0.4  negspouse(268 ,A ,B)  :-  successor(C ,B)   ,  almaMater(C ,D)   ,  almaMater(A ,D).
0.4  negspouse(269 ,A ,B)  :-  parent(B ,C)   ,  parent(D ,C)   ,  parent(D ,A).
0.4  negspouse(270 ,A ,B)  :-  parent(A ,C)   ,  parent(D ,C)   ,  parent(D ,B).
0.4  negspouse(271 ,A ,B)  :-  spouse(C ,B)   ,  successor(C ,D)   ,  spouse(A ,D).
0.4  negspouse(272 ,A ,B)  :-  parent(C ,B)   ,  parent(D ,A)   ,  D=C.
0.4  negspouse(273 ,A ,B)  :-  successor(C ,A)   ,  primeMinister(D ,C)   ,  successor(D ,B).
0.39  negspouse(275 ,A ,B)  :-  activeYearsEndDate(A ,C)   ,  deathDate(B ,D)   ,  C<D.
0.4  negspouse(276 ,A ,B)  :-  successor(C ,A)   ,  office(C ,D)   ,  orderInOffice(B ,D).
0.4  negspouse(277 ,A ,B)  :-  parent(B ,C)   ,  predecessor(B ,C)   ,  parent(A ,B).
0.39  negspouse(278 ,A ,B)  :-  successor(C ,B)   ,  party(C ,D)   ,  party(A ,D).
0.39  negspouse(279 ,A ,B)  :-  deathPlace(B ,C)   ,  capital(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(280 ,A ,B)  :-  predecessor(A ,B)   ,  successor(C ,B)   ,  predecessor(C ,B).
0.38  negspouse(281 ,A ,B)  :-  monarch(C ,B)   ,  spouse(A ,D)   ,  C=D.
0.4  negspouse(282 ,A ,B)  :-  successor(A ,C)   ,  religion(C ,D)   ,  religion(B ,D).
0.4  negspouse(283 ,A ,B)  :-  parent(C ,A)   ,  parent(C ,D)   ,  child(D ,B).
0.4  negspouse(284 ,A ,B)  :-  successor(A ,C)   ,  predecessor(B ,C).
0.4  negspouse(285 ,A ,B)  :-  predecessor(A ,C)   ,  predecessor(D ,C)   ,  predecessor(B ,D).
0.39  negspouse(286 ,A ,B)  :-  termPeriod(A ,C)   ,  residence(B ,D)   ,  C=D.
0.4  negspouse(287 ,A ,B)  :-  parent(B ,C)   ,  parent(A ,C).
0.4  negspouse(288 ,A ,B)  :-  president(A ,C)   ,  religion(C ,D)   ,  religion(B ,D).
0.39  negspouse(289 ,A ,B)  :-  spouse(C ,A)   ,  predecessor(D ,C)   ,  spouse(D ,B).
0.4  negspouse(290 ,A ,B)  :-  successor(C ,B)   ,  president(A ,C).
0.4  negspouse(291 ,A ,B)  :-  successor(A ,C)   ,  predecessor(A ,C)   ,  predecessor(A ,B).
0.4  negspouse(292 ,A ,B)  :-  predecessor(B ,C)   ,  predecessor(A ,C).
0.4  negspouse(293 ,A ,B)  :-  successor(C ,A)   ,  successor(D ,C)   ,  successor(D ,B).
0.4  negspouse(294 ,A ,B)  :-  predecessor(B ,C)   ,  president(C ,D)   ,  president(A ,D).
0.4  negspouse(295 ,A ,B)  :-  successor(A ,C)   ,  commander(D ,C)   ,  commander(D ,B).
0.4  negspouse(296 ,A ,B)  :-  successor(B ,C)   ,  commander(D ,C)   ,  commander(D ,A).
0.4  negspouse(297 ,A ,B)  :-  spouse(B ,C)   ,  successor(D ,C)   ,  spouse(A ,D).
0.4  negspouse(298 ,A ,B)  :-  successor(B ,C)   ,  successor(D ,C)   ,  successor(A ,D).
0.39  negspouse(299 ,A ,B)  :-  president(B ,C)   ,  birthPlace(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(300 ,A ,B)  :-  deathPlace(B ,C)   ,  country(D ,C)   ,  party(A ,D).
0.39  negspouse(301 ,A ,B)  :-  birthPlace(A ,C)   ,  deathPlace(D ,C)   ,  predecessor(D ,B).
0.39  negspouse(302 ,A ,B)  :-  birthPlace(B ,C)   ,  deathPlace(D ,C)   ,  predecessor(D ,A).
0.4  negspouse(303 ,A ,B)  :-  office(A ,C)   ,  office(B ,C)   ,  predecessor(B ,A).
0.4  negspouse(304 ,A ,B)  :-  predecessor(A ,B)   ,  predecessor(B ,C)   ,  parent(B ,C).
0.4  negspouse(305 ,A ,B)  :-  predecessor(A ,B)   ,  spouse(B ,C)   ,  parent(A ,C).
0.4  negspouse(306 ,A ,B)  :-  successor(C ,B)   ,  predecessor(D ,C)   ,  predecessor(D ,A).
0.39  negspouse(307 ,A ,B)  :-  deathPlace(B ,C)   ,  deathPlace(D ,C)   ,  predecessor(A ,D).
0.4  negspouse(308 ,A ,B)  :-  successor(A ,C)   ,  primeMinister(D ,C)   ,  predecessor(B ,D).
0.39  negspouse(309 ,A ,B)  :-  parent(A ,C)   ,  deathPlace(C ,D)   ,  birthPlace(B ,D).
0.39  negspouse(310 ,A ,B)  :-  predecessor(A ,C)   ,  birthPlace(C ,D)   ,  deathPlace(B ,D).
0.39  negspouse(311 ,A ,B)  :-  almaMater(A ,C)   ,  state(C ,D)   ,  birthPlace(B ,D).
0.4  negspouse(312 ,A ,B)  :-  birthPlace(B ,C)   ,  deathPlace(B ,C)   ,  predecessor(B ,A).
0.4  negspouse(313 ,A ,B)  :-  predecessor(C ,B)   ,  president(C ,D)   ,  successor(A ,D).
0.4  negspouse(314 ,A ,B)  :-  predecessor(C ,B)   ,  primeMinister(C ,D)   ,  successor(A ,D).
0.4  negspouse(315 ,A ,B)  :-  successor(B ,C)   ,  predecessor(B ,C)   ,  predecessor(B ,A).
0.4  negspouse(316 ,A ,B)  :-  successor(C ,B)   ,  predecessor(B ,C)   ,  predecessor(B ,A).
0.4  negspouse(317 ,A ,B)  :-  predecessor(B ,A)   ,  birthPlace(B ,C)   ,  deathPlace(A ,C).
0.4  negspouse(318 ,A ,B)  :-  commander(C ,A)   ,  commander(C ,D)   ,  predecessor(B ,D).
0.4  negspouse(319 ,A ,B)  :-  relative(C ,A)   ,  relative(D ,B)   ,  C=D.
0.4  negspouse(320 ,A ,B)  :-  predecessor(C ,B)   ,  successor(C ,D)   ,  predecessor(A ,D).
0.4  negspouse(321 ,A ,B)  :-  deathPlace(A ,C)   ,  restingPlace(D ,C)   ,  successor(B ,D).
0.4  negspouse(322 ,A ,B)  :-  successor(A ,C)   ,  orderInOffice(C ,D)   ,  orderInOffice(B ,D).
0.4  negspouse(323 ,A ,B)  :-  predecessor(C ,A)   ,  successor(D ,C)   ,  predecessor(D ,B).
0.4  negspouse(324 ,A ,B)  :-  successor(B ,A)   ,  predecessor(B ,A).
0.4  negspouse(325 ,A ,B)  :-  successor(C ,A)   ,  orderInOffice(C ,D)   ,  office(B ,D).
0.39  negspouse(326 ,A ,B)  :-  successor(B ,C)   ,  religion(C ,D)   ,  religion(A ,D).
0.4  negspouse(327 ,A ,B)  :-  spouse(C ,A)   ,  successor(C ,D)   ,  spouse(D ,B).
0.4  negspouse(328 ,A ,B)  :-  predecessor(C ,B)   ,  predecessor(C ,D)   ,  predecessor(A ,D).
0.39  negspouse(329 ,A ,B)  :-  spouse(A ,C)   ,  primeMinister(B ,D)   ,  C=D.
0.39  negspouse(330 ,A ,B)  :-  party(A ,C)   ,  party(D ,C)   ,  predecessor(D ,B).
0.4  negspouse(331 ,A ,B)  :-  predecessor(C ,B)   ,  country(C ,D)   ,  birthPlace(A ,D).
0.39  negspouse(332 ,A ,B)  :-  party(B ,C)   ,  party(D ,C)   ,  predecessor(D ,A).
0.4  negspouse(333 ,A ,B)  :-  party(B ,C)   ,  headquarter(C ,D)   ,  deathPlace(A ,D).
0.39  negspouse(334 ,A ,B)  :-  activeYearsEndDate(B ,C)   ,  birthDate(A ,D)   ,  C>D.
0.39  negspouse(335 ,A ,B)  :-  activeYearsStartYear(A ,C)   ,  activeYearsEndYear(B ,D)   ,  C>D.
0.4  negspouse(336 ,A ,B)  :-  orderInOffice(A ,C)   ,  orderInOffice(D ,C)   ,  successor(D ,B).
0.4  negspouse(337 ,A ,B)  :-  orderInOffice(B ,C)   ,  orderInOffice(D ,C)   ,  successor(D ,A).
0.4  negspouse(338 ,A ,B)  :-  successor(C ,B)   ,  successor(D ,C)   ,  predecessor(D ,A).
0.4  negspouse(339 ,A ,B)  :-  religion(A ,C)   ,  religion(D ,C)   ,  predecessor(B ,D).
0.41  negspouse(340 ,A ,B)  :-  associatedBand(C ,B)   ,  occupation(C ,D)   ,  occupation(A ,D).
0.39  negspouse(341 ,A ,B)  :-  deathPlace(B ,C)   ,  deathPlace(D ,C)   ,  successor(D ,A).
0.4  negspouse(342 ,A ,B)  :-  parent(A ,C)   ,  predecessor(D ,C)   ,  parent(D ,B).
0.39  negspouse(343 ,A ,B)  :-  spouse(C ,B)   ,  monarch(A ,D)   ,  C=D.
0.4  negspouse(344 ,A ,B)  :-  parent(C ,A)   ,  parent(D ,B)   ,  C=D.
0.4  negspouse(345 ,A ,B)  :-  successor(A ,C)   ,  predecessor(D ,C)   ,  successor(B ,D).
0.4  negspouse(346 ,A ,B)  :-  occupation(A ,C)   ,  occupation(D ,C)   ,  associatedBand(D ,B).
0.4  negspouse(347 ,A ,B)  :-  predecessor(B ,C)   ,  primeMinister(D ,C)   ,  successor(A ,D).
0.4  negspouse(348 ,A ,B)  :-  successor(A ,C)   ,  predecessor(C ,A)   ,  successor(B ,A).
0.4  negspouse(349 ,A ,B)  :-  spouse(C ,B)   ,  predecessor(D ,C)   ,  spouse(A ,D).
0.39  negspouse(350 ,A ,B)  :-  party(A ,C)   ,  headquarter(C ,D)   ,  deathPlace(B ,D).
0.39  negspouse(351 ,A ,B)  :-  child(B ,C)   ,  party(C ,D)   ,  party(A ,D).
0.39  negspouse(352 ,A ,B)  :-  birthDate(A ,C)   ,  activeYearsStartDate(B ,D)   ,  C<D.
0.4  negspouse(353 ,A ,B)  :-  deathPlace(A ,C)   ,  restingPlace(D ,C)   ,  parent(D ,B).
0.4  negspouse(354 ,A ,B)  :-  primeMinister(A ,C)   ,  deathPlace(C ,D)   ,  birthPlace(B ,D).
0.4  negspouse(355 ,A ,B)  :-  deathPlace(B ,C)   ,  deathPlace(A ,C)   ,  parent(A ,B).
0.4  negspouse(356 ,A ,B)  :-  predecessor(C ,B)   ,  successor(D ,C)   ,  successor(D ,A).
0.41  negspouse(357 ,A ,B)  :-  successor(C ,B)   ,  primeMinister(D ,C)   ,  successor(D ,A).
0.4  negspouse(358 ,A ,B)  :-  successor(B ,C)   ,  birthPlace(C ,D)   ,  nationality(A ,D).
0.39  negspouse(359 ,A ,B)  :-  relative(C ,A)   ,  child(D ,B)   ,  D=C.
0.4  negspouse(360 ,A ,B)  :-  president(C ,B)   ,  leader(D ,C)   ,  birthPlace(A ,D).
0.4  negspouse(361 ,A ,B)  :-  office(B ,C)   ,  office(D ,C)   ,  termPeriod(A ,D).
0.4  negspouse(362 ,A ,B)  :-  child(A ,B)   ,  child(C ,B)   ,  spouse(A ,C).
0.4  negspouse(363 ,A ,B)  :-  predecessor(C ,B)   ,  president(C ,D)   ,  president(A ,D).
0.4  negspouse(364 ,A ,B)  :-  predecessor(B ,C)   ,  predecessor(D ,C)   ,  predecessor(A ,D).
0.41  negspouse(365 ,A ,B)  :-  relative(A ,B).
0.39  negspouse(366 ,A ,B)  :-  president(A ,C)   ,  predecessor(B ,D)   ,  D=C.
0.4  negspouse(367 ,A ,B)  :-  parent(C ,A)   ,  parent(C ,D)   ,  parent(B ,D).
0.4  negspouse(368 ,A ,B)  :-  successor(C ,B)   ,  successor(D ,C)   ,  successor(A ,D).
0.4  negspouse(369 ,A ,B)  :-  predecessor(A ,C)   ,  president(D ,C)   ,  successor(D ,B).
0.4  negspouse(370 ,A ,B)  :-  predecessor(B ,C)   ,  president(D ,C)   ,  successor(D ,A).
0.4  negspouse(371 ,A ,B)  :-  deathPlace(B ,C)   ,  deathPlace(A ,C)   ,  successor(A ,B).
0.4  negspouse(372 ,A ,B)  :-  office(B ,C)   ,  office(D ,C)   ,  successor(A ,D).
0.4  negspouse(373 ,A ,B)  :-  successor(B ,C)   ,  predecessor(B ,C)   ,  predecessor(A ,B).
0.4  negspouse(374 ,A ,B)  :-  relative(C ,A)   ,  relative(D ,C)   ,  relative(D ,B).
0.4  negspouse(375 ,A ,B)  :-  spouse(A ,C)   ,  predecessor(C ,D)   ,  spouse(B ,D).
0.39  negspouse(376 ,A ,B)  :-  region(B ,C)   ,  birthPlace(A ,D)   ,  C=D.
0.39  negspouse(377 ,A ,B)  :-  president(A ,C)   ,  predecessor(D ,B)   ,  C=D.
0.39  negspouse(378 ,A ,B)  :-  president(A ,C)   ,  birthPlace(C ,D)   ,  birthPlace(B ,D).
0.39  negspouse(379 ,A ,B)  :-  predecessor(B ,C)   ,  deathPlace(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(380 ,A ,B)  :-  successor(B ,A)   ,  successor(B ,C)   ,  successor(A ,C).
0.39  negspouse(381 ,A ,B)  :-  successor(C ,A)   ,  child(B ,D)   ,  D=C.
0.4  negspouse(382 ,A ,B)  :-  monarch(C ,A)   ,  deathPlace(C ,D)   ,  birthPlace(B ,D).
0.4  negspouse(383 ,A ,B)  :-  child(C ,B)   ,  child(C ,D)   ,  child(A ,D).
0.39  negspouse(384 ,A ,B)  :-  spouse(A ,C)   ,  president(D ,B)   ,  C=D.
0.4  negspouse(385 ,A ,B)  :-  birthPlace(B ,C)   ,  birthPlace(A ,C)   ,  successor(B ,A).
0.4  negspouse(386 ,A ,B)  :-  predecessor(C ,B)   ,  predecessor(C ,D)   ,  successor(D ,A).
0.39  negspouse(387 ,A ,B)  :-  child(A ,C)   ,  child(B ,D)   ,  D=C.
0.4  negspouse(388 ,A ,B)  :-  spouse(A ,C)   ,  spouse(C ,A)   ,  relative(B ,A).
0.4  negspouse(389 ,A ,B)  :-  successor(C ,A)   ,  primeMinister(C ,D)   ,  predecessor(B ,D).
0.39  negspouse(390 ,A ,B)  :-  deathPlace(A ,C)   ,  restingPlace(B ,C).
0.4  negspouse(391 ,A ,B)  :-  office(A ,C)   ,  orderInOffice(D ,C)   ,  successor(B ,D).
0.4  negspouse(392 ,A ,B)  :-  relative(C ,B)   ,  relative(A ,D)   ,  C=D.
0.39  negspouse(393 ,A ,B)  :-  predecessor(B ,C)   ,  party(C ,D)   ,  party(A ,D).
0.4  negspouse(394 ,A ,B)  :-  almaMater(B ,C)   ,  almaMater(D ,C)   ,  predecessor(A ,D).
0.4  negspouse(395 ,A ,B)  :-  successor(A ,B)   ,  predecessor(B ,A)   ,  predecessor(A ,B).
0.4  negspouse(396 ,A ,B)  :-  deathPlace(B ,C)   ,  deathPlace(D ,C)   ,  monarch(D ,A).
0.4  negspouse(397 ,A ,B)  :-  deathPlace(A ,C)   ,  deathPlace(D ,C)   ,  monarch(D ,B).
0.4  negspouse(398 ,A ,B)  :-  parent(C ,B)   ,  parent(C ,D)   ,  parent(A ,D).
0.39  negspouse(399 ,A ,B)  :-  deathDate(B ,C)   ,  activeYearsStartDate(A ,D)   ,  C>D.
0.38  negspouse(400 ,A ,B)  :-  predecessor(A ,C)   ,  termPeriod(B ,D)   ,  D=C.
0.39  negspouse(401 ,A ,B)  :-  birthDate(A ,C)   ,  activeYearsEndDate(B ,D)   ,  C<D.
0.4  negspouse(402 ,A ,B)  :-  child(B ,A).
0.4  negspouse(403 ,A ,B)  :-  monarch(C ,B)   ,  birthPlace(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(404 ,A ,B)  :-  successor(C ,A)   ,  predecessor(C ,D)   ,  successor(B ,D).
0.4  negspouse(405 ,A ,B)  :-  relative(A ,C)   ,  relative(B ,D)   ,  D=C.
0.4  negspouse(406 ,A ,B)  :-  successor(A ,C)   ,  successor(C ,A)   ,  successor(A ,B).
0.39  negspouse(407 ,A ,B)  :-  termPeriod(B ,C)   ,  deathPlace(A ,D)   ,  C=D.
0.4  negspouse(408 ,A ,B)  :-  successor(A ,B)   ,  predecessor(C ,B)   ,  successor(C ,B).
0.39  negspouse(409 ,A ,B)  :-  birthPlace(A ,C)   ,  deathPlace(D ,C)   ,  predecessor(B ,D).
0.4  negspouse(410 ,A ,B)  :-  successor(B ,C)   ,  predecessor(C ,B)   ,  parent(A ,B).
0.39  negspouse(411 ,A ,B)  :-  child(A ,C)   ,  termPeriod(B ,D)   ,  D=C.
0.39  negspouse(412 ,A ,B)  :-  relative(C ,A)   ,  relative(B ,D)   ,  C=D.
0.4  negspouse(413 ,A ,B)  :-  deathPlace(A ,C)   ,  deathPlace(D ,C)   ,  child(D ,B).
0.39  negspouse(414 ,A ,B)  :-  president(B ,C)   ,  successor(A ,D)   ,  D=C.
0.39  negspouse(415 ,A ,B)  :-  birthPlace(A ,C)   ,  isPartOf(D ,C)   ,  deathPlace(B ,D).
0.38  negspouse(416 ,A ,B)  :-  termPeriod(B ,C)   ,  successor(D ,A)   ,  C=D.
0.39  negspouse(417 ,A ,B)  :-  parent(C ,A)   ,  child(D ,B)   ,  C=D.
0.4  negspouse(419 ,A ,B)  :-  commander(C ,A)   ,  commander(C ,D)   ,  parent(D ,B).
0.4  negspouse(420 ,A ,B)  :-  associatedBand(C ,B)   ,  activeYearsStartYear(C ,D)   ,  activeYearsStartYear(A ,D).
0.4  negspouse(421 ,A ,B)  :-  activeYearsStartYear(B ,C)   ,  activeYearsStartYear(D ,C)   ,  parent(A ,D).
0.4  negspouse(422 ,A ,B)  :-  successor(C ,B)   ,  birthPlace(C ,D)   ,  nationality(A ,D).
0.4  negspouse(423 ,A ,B)  :-  successor(C ,B)   ,  predecessor(C ,D)   ,  successor(A ,D).
0.4  negspouse(424 ,A ,B)  :-  predecessor(A ,B).
0.39  negspouse(425 ,A ,B)  :-  relative(C ,B)   ,  birthPlace(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(426 ,A ,B)  :-  predecessor(B ,A)   ,  office(B ,C)   ,  C=C.
0.39  negspouse(427 ,A ,B)  :-  child(A ,C)   ,  predecessor(D ,B)   ,  C=D.
0.39  negspouse(428 ,A ,B)  :-  parent(C ,B)   ,  predecessor(D ,A)   ,  C=D.
0.4  negspouse(429 ,A ,B)  :-  predecessor(C ,A)   ,  parent(C ,D)   ,  parent(B ,D).
0.39  negspouse(430 ,A ,B)  :-  successor(C ,A)   ,  deathPlace(C ,D)   ,  birthPlace(B ,D).
0.4  negspouse(431 ,A ,B)  :-  successor(C ,B)   ,  successor(C ,D)   ,  predecessor(A ,D).
0.4  negspouse(432 ,A ,B)  :-  predecessor(A ,B)   ,  successor(B ,A)   ,  successor(A ,B).
0.4  negspouse(433 ,A ,B)  :-  predecessor(C ,B)   ,  primeMinister(D ,C)   ,  successor(D ,A).
0.4  negspouse(434 ,A ,B)  :-  predecessor(B ,C)   ,  primeMinister(D ,C)   ,  successor(D ,A).
0.4  negspouse(435 ,A ,B)  :-  predecessor(A ,C)   ,  primeMinister(D ,C)   ,  successor(D ,B).
0.39  negspouse(436 ,A ,B)  :-  child(C ,A)   ,  child(B ,D)   ,  C=D.
0.4  negspouse(437 ,A ,B)  :-  orderInOffice(A ,C)   ,  orderInOffice(D ,C)   ,  successor(B ,D).
0.4  negspouse(438 ,A ,B)  :-  successor(A ,C)   ,  successor(C ,D)   ,  successor(B ,D).
0.4  negspouse(439 ,A ,B)  :-  religion(B ,C)   ,  religion(D ,C)   ,  predecessor(D ,A).
0.39  negspouse(440 ,A ,B)  :-  religion(A ,C)   ,  religion(D ,C)   ,  predecessor(D ,B).
0.4  negspouse(441 ,A ,B)  :-  party(B ,C)   ,  party(A ,C)   ,  successor(B ,A).
0.4  negspouse(443 ,A ,B)  :-  party(A ,C)   ,  country(C ,D)   ,  deathPlace(B ,D).
0.39  negspouse(444 ,A ,B)  :-  primeMinister(A ,C)   ,  spouse(D ,B)   ,  C=D.
0.4  negspouse(445 ,A ,B)  :-  predecessor(C ,B)   ,  predecessor(D ,C)   ,  predecessor(D ,A).
0.4  negspouse(446 ,A ,B)  :-  predecessor(B ,C)   ,  predecessor(D ,C)   ,  predecessor(D ,A).
0.4  negspouse(447 ,A ,B)  :-  predecessor(A ,C)   ,  predecessor(D ,C)   ,  predecessor(D ,B).
0.4  negspouse(448 ,A ,B)  :-  predecessor(C ,B)   ,  successor(C ,A).
0.39  negspouse(449 ,A ,B)  :-  birthPlace(B ,C)   ,  birthPlace(D ,C)   ,  parent(A ,D).
0.38  negspouse(450 ,A ,B)  :-  spouse(A ,C)   ,  predecessor(C ,D)   ,  spouse(D ,B).
0.4  negspouse(451 ,A ,B)  :-  successor(B ,A)   ,  predecessor(B ,C)   ,  predecessor(C ,B).
0.4  negspouse(452 ,A ,B)  :-  successor(C ,B)   ,  predecessor(D ,C)   ,  predecessor(A ,D).
0.4  negspouse(453 ,A ,B)  :-  monarch(C ,B)   ,  deathPlace(C ,D)   ,  birthPlace(A ,D).
0.39  negspouse(454 ,A ,B)  :-  birthPlace(B ,C)   ,  state(D ,C)   ,  almaMater(A ,D).
0.4  negspouse(455 ,A ,B)  :-  successor(B ,C)   ,  successor(D ,C)   ,  predecessor(D ,A).
0.4  negspouse(456 ,A ,B)  :-  successor(A ,C)   ,  successor(D ,C)   ,  predecessor(D ,B).
0.4  negspouse(457 ,A ,B)  :-  successor(C ,A)   ,  successor(D ,C)   ,  successor(B ,D).
0.4  negspouse(458 ,A ,B)  :-  activeYearsStartYear(B ,C)   ,  activeYearsEndYear(A ,C)   ,  predecessor(B ,A).
0.4  negspouse(459 ,A ,B)  :-  predecessor(A ,B)   ,  predecessor(B ,A).
0.4  negspouse(460 ,A ,B)  :-  successor(A ,B)   ,  orderInOffice(B ,C)   ,  C=C.
0.4  negspouse(461 ,A ,B)  :-  successor(B ,C)   ,  restingPlace(C ,D)   ,  deathPlace(A ,D).
0.4  negspouse(462 ,A ,B)  :-  associatedMusicalArtist(C ,B)   ,  occupation(C ,D)   ,  occupation(A ,D).
0.4  negspouse(463 ,A ,B)  :-  successor(A ,B)   ,  parent(B ,A).
0.4  negspouse(464 ,A ,B)  :-  predecessor(C ,B)   ,  successor(C ,D)   ,  predecessor(D ,A).
0.39  negspouse(466 ,A ,B)  :-  predecessor(C ,A)   ,  party(C ,D)   ,  party(B ,D).
0.4  negspouse(467 ,A ,B)  :-  predecessor(A ,C)   ,  religion(C ,D)   ,  religion(B ,D).
0.4  negspouse(468 ,A ,B)  :-  successor(C ,B)   ,  president(D ,C)   ,  successor(D ,A).
0.4  negspouse(469 ,A ,B)  :-  predecessor(B ,A)   ,  predecessor(C ,B)   ,  parent(C ,B).
0.39  negspouse(470 ,A ,B)  :-  parent(A ,C)   ,  monarch(D ,B)   ,  D=C.
0.4  negspouse(471 ,A ,B)  :-  successor(B ,C)   ,  predecessor(C ,D)   ,  successor(A ,D).
0.4  negspouse(472 ,A ,B)  :-  deathPlace(A ,C)   ,  restingPlace(D ,C)   ,  parent(B ,D).
0.4  negspouse(473 ,A ,B)  :-  successor(C ,A)   ,  successor(C ,D)   ,  predecessor(B ,D).
0.39  negspouse(474 ,A ,B)  :-  parent(A ,C)   ,  birthPlace(C ,D)   ,  birthPlace(B ,D).
0.39  negspouse(475 ,A ,B)  :-  termPeriod(A ,C)   ,  president(B ,D)   ,  C=D.
0.4  negspouse(476 ,A ,B)  :-  predecessor(C ,A)   ,  predecessor(D ,C)   ,  successor(D ,B).
0.4  negspouse(477 ,A ,B)  :-  president(A ,C)   ,  president(D ,C)   ,  successor(B ,D).
0.39  negspouse(478 ,A ,B)  :-  birthPlace(A ,C)   ,  restingPlace(D ,C)   ,  spouse(B ,D).
0.4  negspouse(479 ,A ,B)  :-  relative(A ,C)   ,  relative(D ,B)   ,  D=C.
0.39  negspouse(480 ,A ,B)  :-  relative(B ,C)   ,  relative(D ,A)   ,  D=C.
0.4  negspouse(481 ,A ,B)  :-  successor(B ,A)   ,  birthPlace(B ,C)   ,  deathPlace(A ,C).
0.4  negspouse(482 ,A ,B)  :-  successor(B ,C)   ,  parent(C ,B)   ,  parent(B ,A).
0.4  negspouse(483 ,A ,B)  :-  predecessor(C ,A)   ,  primeMinister(C ,D)   ,  successor(D ,B).
0.4  negspouse(484 ,A ,B)  :-  child(A ,C)   ,  deathPlace(C ,D)   ,  birthPlace(B ,D).
0.4  negspouse(485 ,A ,B)  :-  predecessor(A ,C)   ,  predecessor(C ,D)   ,  successor(D ,B).
0.4  negspouse(486 ,A ,B)  :-  spouse(C ,A)   ,  child(C ,B).
0.4  negspouse(487 ,A ,B)  :-  relative(A ,C)   ,  relative(C ,D)   ,  relative(B ,D).
0.4  negspouse(488 ,A ,B)  :-  successor(A ,C)   ,  nationality(C ,D)   ,  birthPlace(B ,D).
0.4  negspouse(489 ,A ,B)  :-  birthPlace(A ,C)   ,  birthPlace(D ,C)   ,  primeMinister(B ,D).
0.4  negspouse(490 ,A ,B)  :-  birthPlace(A ,C)   ,  deathPlace(A ,C)   ,  successor(A ,B).
0.39  negspouse(491 ,A ,B)  :-  predecessor(C ,B)   ,  party(C ,D)   ,  party(A ,D).
0.4  negspouse(492 ,A ,B)  :-  birthPlace(B ,C)   ,  birthPlace(A ,C)   ,  predecessor(A ,B).
0.4  negspouse(493 ,A ,B)  :-  relative(C ,A)   ,  relative(D ,C)   ,  relative(B ,D).
0.4  negspouse(494 ,A ,B)  :-  spouse(C ,B)   ,  successor(D ,C)   ,  spouse(D ,A).
0.4  negspouse(495 ,A ,B)  :-  title(A ,C)   ,  title(B ,C).
0.4  negspouse(496 ,A ,B)  :-  spouse(C ,B)   ,  spouse(B ,C)   ,  predecessor(B ,A).
0.39  negspouse(497 ,A ,B)  :-  successor(C ,B)   ,  deathPlace(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(498 ,A ,B)  :-  parent(A ,C)   ,  restingPlace(C ,D)   ,  restingPlace(B ,D).
0.4  negspouse(499 ,A ,B)  :-  successor(A ,C)   ,  successor(C ,B).
0.4  negspouse(500 ,A ,B)  :-  predecessor(C ,A)   ,  almaMater(C ,D)   ,  almaMater(B ,D).
0.39  negspouse(501 ,A ,B)  :-  birthPlace(B ,C)   ,  birthPlace(D ,C)   ,  president(A ,D).
0.39  negspouse(502 ,A ,B)  :-  producer(C ,A)   ,  producer(D ,B)   ,  C=D.
0.4  negspouse(503 ,A ,B)  :-  successor(A ,B)   ,  predecessor(B ,A)   ,  successor(B ,A).
0.4  negspouse(504 ,A ,B)  :-  predecessor(B ,C)   ,  successor(D ,C)   ,  successor(A ,D).
