Christina_de_Valognes,Sir_Thomas_Maule
Donald_Sinden,Jeremy_Sinden
Samudrala_Raghavacharya,Samudrala_Ramanujacharya
Ray_Lyman_Wilbur,Blake_Colburn_Wilbur
Michael_Savage,Russell_Weiner
Michel_Debré,Jean-Louis_Debré
William_Bernard_Ziff_Jr.,Dirk_Edward_Ziff
Ernie_Lively,Eric_Lively
Savitri_Jindal,Naveen_Jindal
Amos_Bronson_Alcott,Anna_Alcott_Pratt
Moncena_Dunn_(inventor),Wendell_E._Dunn
Alexander_St._Clair-Abrams,Alfred_St._Clair-Abrams
Levi_Lincoln_Sr.,Enoch_Lincoln
Christopher_Wordsworth_(Trinity),Charles_Wordsworth
Sathaar,Krish_J._Sathaar
Chu_Ke-liang,Jeannie_Hsieh
Theodore_Roosevelt_Jr.,Cornelius_V.S._Roosevelt
William_Penn,"William_Penn,_Jr."
Lady_Juliet_Tadgell,Lord_Nicholas_Hervey
Setlutlu,Sekeletu
Soni_Razdan,Alia_Bhatt
Mayer_Amschel_de_Rothschild,"Hannah_Primrose,_Countess_of_Rosebery"
Mary_Ure,Ian_Shaw_(actor)
Jorge_Zorreguieta,Queen_Máxima_of_the_Netherlands
Belle_Case_La_Follette,Fola_La_Follette
Alice_Claypoole_Gwynne,Cornelius_Vanderbilt_III
Bette_Davis,B._D._Hyman
Marta_Suplicy,Supla
Johnny_Cash,Rosanne_Cash
Japheth,Tiras
Etienne_L._de_Mestre,Roy_De_Maistre
Al_Lerner,Randy_Lerner
James_O'Neill_(actor),Eugene_O'Neill
Elizabeth_Schuyler_Hamilton,William_S._Hamilton
William_Robertson_Coe,Natalie_Mai_Vitetti
Fu_Yanqing,Empress_Fu_the_Elder
Edward_H._Rollins,Frank_W._Rollins
"Henrietta_Ponsonby,_Countess_of_Bessborough",Frederick_Cavendish_Ponsonby
John_Gabriel_(actor),Andrea_Gabriel
Jijabai,Sambhaji
Thomas_Prince,Sarah_Prince
John_Mathews_(Augusta_County),George_Mathews_(Georgia)
Roman_Vetulani,Adam_Vetulani
Drew_Bundini_Brown,Ruth_Brown
"Amelia_Osborne,_Marchioness_of_Carmarthen","Francis_Osborne,_1st_Baron_Godolphin"
William_Ellery_Sr.,William_Ellery
Philippe_Cousteau,Alexandra_Cousteau
Clint_Eastwood,Kyle_Eastwood
Anna_Plöchl,"Franz,_Count_of_Meran"
Janelle_Johnson,Micky_Dolenz
Chi._Udayashankar,Chi._Guru_Dutt
Cherie_Lunghi,Nathalie_Lunghi
Jayne_Mansfield,Jayne_Marie_Mansfield
Edith_the_Fair,Gunhild_of_Wessex
Thomas_Wyatt_the_Younger,George_Wyatt_(writer)
Kleist_Sykes,Ally_Sykes
Jack_Ferguson,Martin_Ferguson
Anuruddha_Ratwatte,Lohan_Ratwatte
Ziaur_Rahman,Tarique_Rahman
Theodore_Roosevelt_Sr.,Elliott_Bulloch_Roosevelt
George_Gund_II,Agnes_Gund
Walter_Freud,"David_Freud,_Baron_Freud"
A._Q._M._Badruddoza_Chowdhury,Mahi_B._Chowdhury
Richard_Briers,Lucy_Briers
MacCallum_Grant,Harold_Taylor_Wood_Grant
Shankarrao_Mohite-Patil,Vijaysinh_Mohite–Patil
Elton_Trowbridge,Thomas_E._Trowbridge
Giovanni_Amendola,Giorgio_Amendola
Mike_Jenkins_(poet),Bethan_Jenkins
Arnt_J._Mørland,Arnt_J._C._Mørland
Burt_Lancaster,Bill_Lancaster
Carlos_Slim,Carlos_Slim_Domit
Augustine_Washington,Samuel_Washington
Gisela_of_Burgundy,"Henry_II,_Holy_Roman_Emperor"
Francis_Martin_Drexel,Joseph_William_Drexel
Samuel_Smith_(Connecticut_politician),James_Lockwood_(Connecticut_politician)
Joseph_Henderson_(pilot),Alexander_D._Henderson_(businessman)
William_Thomas_Waggoner,E._Paul_Waggoner
Konstantinos_Mitsotakis,Dora_Bakoyannis
David_Fleeshman,Rosie_Fleeshman
Charles_A._Woodward,William_Culham_Woodward
William_F._Buckley_Jr.,Christopher_Buckley_(novelist)
Stephen_V._Harkness,Edward_Harkness
Arthur_Ellis_Franklin,Alice_Franklin
Jack_Birney,Matt_Birney
Hong_Seok-hyun,Jeongdo_Hong
Sara_Nazarbayeva,Dariga_Nazarbayeva
"William_Cavendish-Bentinck,_7th_Duke_of_Portland",Lady_Anne_Cavendish-Bentinck
Neva_Egan,Dennis_Egan
Serge_Youriévitch,Princess_Nika_Yourievitch
Kathryn_Crosby,Nathaniel_Crosby
Endre_Bohem,Leslie_Bohem
Wang_Yung-ching,Winston_Wong
"Sir_John_Clerk,_2nd_Baronet",John_Clerk_of_Eldin
William_H._Gray_(Oregon_politician),Jacob_Kamm
Howard_Hawks,Kitty_Hawks
Charles_William_Eliot,Charles_Eliot_(landscape_architect)
Ole_Michael_Ludvigsen_Selberg,Henrik_Selberg
Alfred_Döblin,Wolfgang_Doeblin
John_Scott_(representative),George_Washington_Scott
Benjamin_Harrison,Russell_Benjamin_Harrison
Ferdynand_Radziwiłł,Michał_Radziwiłł_Rudy
Cyrus_H._K._Curtis,Mary_Louise_Curtis_Bok_Zimbalist
Ann_Cryer,John_Cryer
William_B._Mitchell,William_D._Mitchell
Robert_Daniel_Murphy,Rosemary_Murphy
Anton_Piëch,Ferdinand_Piëch
Joseph_Pallache,David_Pallache
P._C._Sorcar_Jr.,Maneka_Sorcar
"Consuelo_Montagu,_Duchess_of_Manchester","William_Montagu,_9th_Duke_of_Manchester"
Christian_Swartz,Charles_C._Swartz
Raj_Kapoor,Ritu_Nanda
Terrence_Pegula,Jessica_Pegula
Jason_Miller_(playwright),Jason_Patric
Aristotle_Onassis,Caroline_Kennedy
"Hariot_Hamilton-Temple-Blackwood,_Marchioness_of_Dufferin_and_Ava",Basil_Temple_Blackwood
T._P._Muthulakshmi,T._P._Gajendran
"William_Pattison_Telford,_Sr.","William_Pattison_Telford,_Jr."
David_Hunter_Riddle,Matthew_Brown_Riddle
Christian_Nyby,Christian_I._Nyby_II
Kamal_Mammadbeyov,Gulnara_Mehmandarova
Jolie_Gabor,Magda_Gabor
George_Herbert_Walker,John_M._Walker
George_Green_Foster,George_Buchanan_Foster
William_Randolph_Hearst,George_Randolph_Hearst
Stanley_Baldwin,"Arthur_Baldwin,_3rd_Earl_Baldwin_of_Bewdley"
Lloyd_Bridges,Beau_Bridges
Antony_Kidman,Nicole_Kidman
Vince_McMahon,Stephanie_McMahon
"Robert_Grosvenor,_1st_Marquess_of_Westminster","Robert_Grosvenor,_1st_Baron_Ebury"
Joseph_Tyree_Sneed_III,Carly_Fiorina
The_Mother_(How_I_Met_Your_Mother),David_Henrie
Thomas_Koppel,Naja_Rosa
Erol_Sabancı,Suzan_Sabancı_Dinçer
"James_Douglas,_Lord_of_Douglas","William_IV,_Lord_of_Douglas"
Marius_Girard,Marie_Gasquet
Pamela_Chopra,Aditya_Chopra
Zavida,Stefan_Nemanja
Carl_Joachim_Hambro_(banker),Everard_Hambro
Calvin_Coolidge,John_Coolidge
Anthony_Eisley,David_Glen_Eisley
Edgardo_Vega_Yunqué,Suzanne_Vega
Duncan_Hunter,Duncan_D._Hunter
Tom_Hanks,Colin_Hanks
John_Dennis_(bishop),Hugh_Dennis
William_Goforth,William_Goforth_(doctor)
Paul_Pelosi,Alexandra_Pelosi
Martin_Sheen,Renée_Estevez
Lynne_Spears,Britney_Spears
Rita_Rusic,Mario_Cecchi_Gori
John_Kee,James_Kee
W._J._M._Lokubandara,Udith_Lokubandara
"Frances_Anne_Spencer-Churchill,_Duchess_of_Marlborough",Lord_Randolph_Churchill
Hugh_E._Rodham,Hillary_Clinton
Tove_Strand,Mina_Gerhardsen
A._Bartlett_Giamatti,Paul_Giamatti
Michele_Ferrero,Giovanni_Ferrero
Franca_Sozzani,Francesco_Carrozzini
John_Gurney_(judge),John_Hampden_Gurney
Elizabeth_Schuyler_Hamilton,Philip_Hamilton
Kern_Alexander,F._King_Alexander
Malcolm_Forbes,Christopher_Forbes
Fiona_Walker,Susannah_Wise
Salah_(biblical_figure),Eber
James_Louis_Garvin,Viola_Garvin
Henry_Maxwell_(bishop),"John_Maxwell-Barry,_5th_Baron_Farnham"
Hacı_Sabancı,Mehmet_Sabancı
Brett_Somers,Adam_Klugman
"Kathleen_Hamilton,_Duchess_of_Abercorn","James_Hamilton,_5th_Duke_of_Abercorn"
Kwa_Geok_Choo,Lee_Hsien_Loong
Paul_Kagame,Ange_Kagame
Robert_Hill_(Australian_politician),Victoria_Hill
"John_Holland,_1st_Duke_of_Exeter","John_Holland,_2nd_Duke_of_Exeter"
James_Dew_Chaplin,Edna_Anderson
Mary_Sibbet_Copley,Alice_Cornelia_Thaw
James_Cox_Aikins,James_Albert_Manning_Aikins
Effat_Marashi,Mehdi_Hashemi_Rafsanjani
Bogusław_Radziwiłł,Ludwika_Karolina_Radziwiłł
Tutta_Rolf,Tom_Rolf
Paul_Atreides,Ghanima_Atreides
Yoel_Judah,Zab_Judah
Kevin_Bacon,Sosie_Bacon
Patricia_C._Frist,William_R._Frist
James_Drury,Timothy_Drury
Wade_O._Martin_Sr.,Wade_O._Martin_Jr.
Alfred_Gwynne_Vanderbilt_I,George_Washington_Vanderbilt_III
Juan_Isidro_Moreno,Guillermo_Moreno_García
William_Randolph_Hearst,John_Randolph_Hearst
K._Subrahmanyam,Sanjay_Subrahmanyam
Devdas_Gandhi,Gopalkrishna_Gandhi
Charles_Collier,John_Collier_(judge)
Louis_J._Roussel_Jr.,Louie_J._Roussel_III
Younes_Nazarian,Sam_Nazarian
Kit_Fine,Cordelia_Fine
Bruce_Paltrow,Jake_Paltrow
Robert_Barbers,Robert_%22Ace%22_Barbers
"Len_Murray,_Baron_Murray_of_Epping_Forest",David_Murray_(RAF_officer)
John_Allan_Wyeth,Marion_Sims_Wyeth
Evel_Knievel,Robbie_Knievel
Carole_Middleton,"Catherine,_Duchess_of_Cambridge"
James_Callaghan,"Margaret_Jay,_Baroness_Jay_of_Paddington"
David_Lynch,Jennifer_Lynch
Taylor_Sherman,Charles_Robert_Sherman
Claude_Frollo,Quasimodo
Richard_Chichester_Mason,William_Pinckney_Mason
Louis-Raphaël_Bischoffsheim,Raphaël_Bischoffsheim
Alan_Woods_(political_theorist),Lizzie_Woods
Van_Johnson,Tracy_Keenan_Wynn
Michael_Gaughan_(businessman),Brendan_Gaughan
Nicholas_Roerich,George_de_Roerich
Edward_Porter_Humphrey,Edward_William_Cornelius_Humphrey
Muna_Wassef,Ammar_Abdulhamid
Warren_Cowan,Claudia_Cowan
Birger_Jarl,Eric_Birgersson
George_P._Putnam,George_Palmer_Putnam
Sandy_McDonald,David_Tennant
Richard_Mell,Deb_Mell
Veronica_Lario,Barbara_Berlusconi
Trammell_Crow,Harlan_Crow
"William_Horsley_Orrick,_Jr.",William_H._Orrick_III
Ingmar_Bergman,Lena_Bergman
Adam_Eckfeldt,Jacob_R._Eckfeldt
Hannah_Britten,Rex_Britten
Zhang_Zuolin,Zhang_Xueming
Barry_Van_Dyke,Shane_Van_Dyke
Harvey_Rice,James_S._Rice
"John_Stuart,_3rd_Earl_of_Bute",Lady_Louisa_Stuart
Maren_Sars,Georg_Ossian_Sars
Tarun_Gogoi,Gaurav_Gogoi
"John_Small_(Canadian_politician,_born_1746)",James_Edward_Small
Anna_Murdoch_Mann,Lachlan_Murdoch
J._Paul_Getty,John_Paul_Getty_Jr.
Lolo_Soetoro,Barack_Obama
Kim_Jong-il,Kim_Jong-un
Jane_Henson,Brian_Henson
Richard_Fuisz,Joseph_Fuisz
Yashwant_Sinha,Jayant_Sinha
Lillian_Gordy_Carter,Ruth_Carter_Stapleton
Kingsley_Amis,Martin_Amis
Fu_Lei,Fou_Ts'ong
Tim_Saunders,Gwenno_Saunders
Corky_Ballas,Mark_Ballas
Buddy_Roemer,Chas_Roemer
Thomson_Francis_Mason,Arthur_Pendleton_Mason
John_Sprunt_Hill,George_Watts_Hill
Clifton_R._Breckinridge,Mary_Carson_Breckinridge
Cynthia_Hedge-Morrell,Jean-Paul_Morrell
Jeremiah_Sullivan,Jeremiah_C._Sullivan
George_Estregan,Gary_Estrada
Claire_Meade,Bradford_Meade
Gandhari_(character),Vikarna
"Hariot_Hamilton-Temple-Blackwood,_Marchioness_of_Dufferin_and_Ava","Frederick_Hamilton-Temple-Blackwood,_3rd_Marquess_of_Dufferin_and_Ava"
Diana_Quick,Mary_Nighy
Eleanor_Roosevelt,Elliott_Roosevelt
Cornelia_James_(glovemaker),Peter_James_(writer)
Jane_Wyman,Michael_Reagan
Samuel_Cummings,Susan_Cummings_(heiress)
Vishrava,Shurpanakha
Edward_Woodward,Tim_Woodward
Ahmed_Ramadan,Mahamudu_Bawumia
Cintio_Vitier,José_María_Vitier
Shamita_Das_Dasgupta,Sayantani_DasGupta
William_Holland_Wilmer,Richard_Hooker_Wilmer
Mayer_Lehman,Irving_Lehman
Jim_Haslam,Jimmy_Haslam
Walter_Murdoch,Catherine_King_(radio_broadcaster)
Gene_Persson,Kaitlin_Hopkins
Daniel_Parke_Custis,John_Parke_Custis
Vicente_Fernández,Alejandro_Fernández
Barry_Otto,Miranda_Otto
Robert_Kardashian,Khloé_Kardashian
Louis-Raphaël_Bischoffsheim,Henri_Louis_Bischoffsheim
Dom_DeLuise,David_DeLuise
Leela_Roy_Ghosh,Mona_Ghosh_Shetty
Thomas-Philippe_Pelletier,Louis-Philippe_Pelletier
Kim_Jong-il,Kim_Yo-jong
Betty_Shabazz,Ilyasah_Shabazz
Mary_Lee_Woods,Tim_Berners-Lee
Gina_Kaus,Otto_Kaus
Jagjivan_Ram,Meira_Kumar
Kristin_Nelson,Matthew_Nelson
C._O._Simpkins_Sr.,Cuthbert_Ormond_Simpkins
Robert_Todd_Lincoln,Abraham_Lincoln_II
Pierre-Charles-Louis_Baudin,Charles_Baudin
Thomas_Lincoln,Sarah_Lincoln_Grigsby
Randal_McGavock,John_McGavock
Margaret_de_Loveyne,Thomas_St_Clere
Srima_Dissanayake,Mayantha_Dissanayake
John_Madison,Ambrose_Madison
Gaius_Marius,Gaius_Marius_the_Younger
Jan_Nisar_Akhtar,Javed_Akhtar
Rashid_bin_Saeed_Al_Maktoum,Maktoum_bin_Rashid_Al_Maktoum
Ronald_Lauder,Aerin_Lauder
Eljas_Erkko,Aatos_Erkko
Hugh_Horner,Doug_Horner
Archibald_Alexander,William_Cowper_Alexander
Daniel_Ducruet,Pauline_Ducruet
Maria_Franca_Fissolo,Pietro_Ferrero_Jr.
Charles_Harrelson,Woody_Harrelson
Julia_Warhola,Andy_Warhol
Richard_Alexander_Bevan,Robert_Bevan
Robert_Stout,Thomas_Duncan_MacGregor_Stout
John_Thaw,Abigail_Thaw
E._Bronson_Ingram_II,David_B._Ingram
John_Wayne,Michael_Wayne
Eric_Harrison_(Australian_soldier),Brian_Harrison_(Conservative_politician)
Seymour_Durst,Douglas_Durst
Ikbal_Ali_Shah,Idries_Shah
Sachin_(actor),Shriya_Pilgaonkar
Peleg,Reu
Louis_Malle,Candice_Bergen
Andie_MacDowell,Margaret_Qualley
Regina_Mills,Henry_Mills_(Once_Upon_a_Time)
Jane_Hylton,Rosalind_Lloyd
Craig_Blair,Saira_Blair
Augustine_Washington,George_Washington
Zidanta_I,Ammuna
Jerome_Eddy,Arthur_Jerome_Eddy
Robert_Hoe,Richard_March_Hoe
Madri,Sahadeva
"Norman_Birkett,_1st_Baron_Birkett","Michael_Birkett,_2nd_Baron_Birkett"
Fred_Waitzkin,Joshua_Waitzkin
Jukichi_Uno,Akira_Terao
Harry_Frederick_Oppenheimer,Nicky_Oppenheimer
Ross_Rival,Jon_Hernandez
P._Subbarayan,Mohan_Kumaramangalam
Jaime_Lannister,Joffrey_Baratheon
Bob_Marley,Sharon_Marley
Rajendra_Singh_Babu,Rishika_Singh
Robert_Goulet,Nicolette_Goulet
Olive_Osmond,Alan_Osmond
Dumitru_Remenco,Gheorghe_Remenco
Yusof_Rawa,Mujahid_Yusof_Rawa
B'alaj_Chan_K'awiil,Itzamnaaj_B'alam
Parviz_C._Raji,Azita_Raji
Raj_Kapoor,Rishi_Kapoor
Habib_Ali_Kwitang,Fatimah
Margaret_of_Hereford,Humphrey_III_de_Bohun
Silva_Kaputikyan,Ara_Shiraz
Clementine_Churchill,Randolph_Churchill
R._Siva_Kumar,Siddharth_Sivakumar
Henry_Clay,John_Morrison_Clay
Devdas_Gandhi,Rajmohan_Gandhi
Mayer_Halff,Henry_Mayer_Halff
"William_Cavendish,_2nd_Earl_of_Devonshire","William_Cavendish,_3rd_Earl_of_Devonshire"
Akira_Kurosawa,Kazuko_Kurosawa
Solange_Gemayel,Nadim_Gemayel
Anna_Calder-Marshall,Tom_Burke_(actor)
James_DeBarge,Kristinia_DeBarge
Sayyid_Shamsullah_Qadri,Sayyid_Ahmedullah_Qadri
Bob_Brown_(Australian_Labor_politician),Kelly_Hoare
Li_Peng,Li_Xiaolin
N._Veeraswamy,V._Ravichandran
Mark_Fisher_(politician),India_Fisher
Fazil_(director),Farhaan_Faasil
Nicholas_Porter_Earp,Newton_Earp
Anisa_Makhlouf,Maher_al-Assad
"Hugh_le_Despencer,_1st_Baron_le_Despencer","Hugh_le_Despenser,_1st_Earl_of_Winchester"
Pauline_Joachim,Harold_Ritz
Teri_Bauer,Kim_Bauer
Robert_Maxwell,Kevin_Maxwell
Abel_Smith_(1717–1788),"Robert_Smith,_1st_Baron_Carrington"
Stan_Freese,Jason_Freese
Jesse_Jackson,Santita_Jackson
Elman_Ali_Ahmed,Ilwad_Elman
Jack_Gwillim,Sarah-Jane_Gwillim
Vanessa_Paradis,Lily-Rose_Depp
Gregorio_Pérez_Companc,Pablo_Pérez_Companc
Pocahontas,Thomas_Rolfe
Patrick_Wymark,Jane_Wymark
Robert_Redford,Amy_Redford
Rajkumar_(actor),Puneeth_Rajkumar
Shirley_MacLaine,Sachi_Parker
Norman_Douglas_(politician),Malcolm_Douglas_(politician)
John_More_(judge),Thomas_More
Phyllis_Thede,Robin_Thede
Stephane_Groueff,Tina_Barney
Shao_Hua,Mao_Xinyu
James_Burton_(property_developer),James_Burton_(Egyptologist)
Rosalind_Shand,"Camilla,_Duchess_of_Cornwall"
Pieter_de_Graeff,Cornelis_de_Witt
"Ishbel_Hamilton-Gordon,_Marchioness_of_Aberdeen_and_Temair","George_Gordon,_2nd_Marquess_of_Aberdeen_and_Temair"
Thomas_John_Barnardo,Syrie_Maugham
Dolores_Guinness,Victoria_Niarchos
Olivia_Newton-John,Chloe_Rose_Lattanzi
Peter_Carroll_(actor),Tamsin_Carroll
Anil_Kapoor,Rhea_Kapoor
A._Felix_du_Pont,Richard_Chichester_du_Pont
Ida_Saxton_McKinley,Katherine_McKinley
Tamar_Simon_Hoffs,Susanna_Hoffs
Evelyn_Waugh,Auberon_Waugh
Ulysses_S._Grant,Nellie_Grant
"Sir_Charles_Fergusson,_7th_Baronet","Bernard_Fergusson,_Baron_Ballantrae"
John_Randolph_Hearst,William_Randolph_Hearst_II
Gudbrand_Helenus_Hartmann,Egil_Hartmann
Philip_Schuyler,Angelica_Schuyler_Church
Elizabeth_Hurley,Damian_Hurley
Michael_Corleone,Mary_Corleone
Kim_Edward_Beazley,Kim_Beazley
Jack_Garfein,Blanche_Baker
Richard_Thorpe,Jerry_Thorpe
Maricruz_Nájera,Odiseo_Bichir
"David_Montagu,_4th_Baron_Swaythling","Charles_Montagu,_5th_Baron_Swaythling"
Ashikaga_Takauji,Ashikaga_Yoshiakira
Erling_Lorentzen,Haakon_Lorentzen
Oscar_Schlitter,Oskar_Hermann_Artur_Schlitter
Mary_Ball_Washington,Charles_Washington
Newell_Dwight_Hillis,Marjorie_Hillis
Walter_Huston,John_Huston
Blythe_Danner,Gwyneth_Paltrow
Stephen_Dillane,Frank_Dillane
"Sir_Gilbert_Elliot,_2nd_Baronet,_of_Minto",Jean_Elliot
Brij_Sadanah,Kamal_Sadanah
Kubaba,Puzur-Suen
Ilyas_Afandiyev,Elchin_Afandiyev
Alexander_Tom_Cussons,Leslie_Cussons
Sydney_M._Irmas,Matthew_Irmas
Mikołaj_Krzysztof_%22the_Orphan%22_Radziwiłł,Aleksander_Ludwik_Radziwiłł
Edward_Riley_(Australian_politician),Edward_Charles_Riley
Joseph_Anderson,Alexander_O._Anderson
Erastus_Fairbanks,Franklin_Fairbanks
Tjuyu,Ay
Brian_Chapman_(businessman),Georgina_Chapman
George_J._Maloof_Sr.,George_J._Maloof_Jr.
Marshall_McDonald,Angus_McDonald_(Virginia_militiaman)
Christopher_Columbus_Slaughter,Robert_Lee_Slaughter
V._P._Raman,P._S._Raman
Tanuja,Tanishaa_Mukerji
David_Hasselhoff,Hayley_Hasselhoff
Kerry_Packer,James_Packer
Mario_Salvadori,Michael_Kazin
Xue_Zizheng,Charles_Xue
Natalya_Kaspersky,Ivan_Kaspersky
Pilar_Bardem,Carlos_Bardem
Kim_Pegula,Jessica_Pegula
Nigel_Powers,Dr._Evil
Kwame_Nkrumah,Samia_Nkrumah
William_Ford_(businessman),Henry_Ford
Whitney_Houston,Bobbi_Kristina_Brown
Min_Thu_Wun,Htin_Kyaw
Carl_Icahn,Brett_Icahn
Larry_Seilhamer_Rodríguez,Debora_Seilhamer
"Gerald_Grosvenor,_6th_Duke_of_Westminster","Hugh_Grosvenor,_7th_Duke_of_Westminster"
Harold_Macmillan,Maurice_Macmillan
Walter_A._Haas,Rhoda_Haas_Goldman
Ronald_Lacey,Rebecca_Lacey
Bille_August,Anders_August
Anthony_Martin_Sinatra,Frank_Sinatra
Richard_Olmsted_(settler),James_Olmsted
George_Gund_II,Graham_Gund
Matthew_Marvin_Jr.,Joseph_Platt
Dave_Roberts_(broadcaster),David_Boreanaz
David_Dhawan,Varun_Dhawan
Anthony_Head,Emily_Head
Rita_Gallagher,Rita_Clay_Estrada
Dorothy_Bridges,Jeff_Bridges
Henry_Maxwell_(bishop),"Henry_Maxwell,_6th_Baron_Farnham"
"Charles_Paulet,_2nd_Duke_of_Bolton","Harry_Powlett,_4th_Duke_of_Bolton"
Sandra_Zober,Adam_Nimoy
Julia_Frankau,Ronald_Frankau
George_Washington_Bolton,James_W._Bolton
"Marie_de_Rabutin-Chantal,_marquise_de_Sévigné",Françoise-Marguerite_de_Sévigné
Franco_Nero,Carlo_Gabriel_Nero
Patrick_Brontë,Charlotte_Brontë
Douglas_Fowler,Jerry_Fowler
Joseph_Ruggles_Wilson,Woodrow_Wilson
Santo_Trafficante_Sr.,Santo_Trafficante_Jr.
Sinéad_Cusack,Richard_Boyd_Barrett
Hiranyakashipu,Prahlada
Mrs._Dorothy_Quimby,Beezus_Quimby
Francis_Carr_(District_of_Maine_politician),James_Carr_(Massachusetts_politician)
Daniel_Ducruet,Louis_Ducruet
Howard_Deutch,Zoey_Deutch
"Sir_Charles_Tennant,_1st_Baronet","Thomas_Lister,_4th_Baron_Ribblesdale"
Gireesh_Puthenchery,Dinanath_Puthenchery
Judith_of_Schweinfurt,Vratislaus_II_of_Bohemia
Louis_B._Mayer,Irene_Mayer_Selznick
Jerry_Falwell,Jonathan_Falwell
Kassa_Haile_Darge,Asfawossen_Kassa
James_Broderick,Matthew_Broderick
Alphonse_James_de_Rothschild,Édouard_Alphonse_James_de_Rothschild
Julia_Foster,Ben_Fogle
Anton_LaVey,Karla_LaVey
Lawrence_Saint,Nate_Saint
Nadim_Sawalha,Nadia_Sawalha
Francis_Marbury,Anne_Hutchinson
Arturo_Alessandri,Fernando_Alessandri
Thomas_Means,John_Means_(politician)
Harbans_Lal_Gupta,Anupam_Gupta
Elyse_Knox,Mark_Harmon
Maurice_Barrymore,John_Barrymore
Edith_Frank,Anne_Frank
Eudamidas_II,Agis_IV
"Hugh_de_Kevelioc,_5th_Earl_of_Chester","Ranulf_de_Blondeville,_6th_Earl_of_Chester"
Adeyemi_Afolayan,Aremu_Afolayan
Robert_Erskine_Childers,Erskine_Hamilton_Childers
"Louisa_Hamilton,_Duchess_of_Abercorn","Louisa_Montagu_Douglas_Scott,_Duchess_of_Buccleuch"
Friedrich_Wolf_(writer),Konrad_Wolf
Jocelyn_Hambro,Rupert_Hambro
Li_Shuangjiang,Li_Tianyi
Zaynab_bint_Ali,Muhammad
Mary_Shelley,Percy_Florence_Shelley
Geraldine_Fitzgerald,Michael_Lindsay-Hogg
Käte_Duncker,Karl_Duncker
Samuel_P._Bush,Prescott_Bush
Pedro_Ferriz_Santacruz,Pedro_Ferriz_de_Con
John_Dickens,Frederick_Dickens
Joseph_P._Kennedy_Sr.,Ted_Kennedy
Sheikh_Hasina,Sajeeb_Wazed
Benjamin_Newton_Duke,Mary_Duke_Biddle
Caitlyn_Jenner,Kylie_Jenner
Erling_Persson,Lottie_Tham
Angela_Petrelli,Peter_Petrelli
Alasdair_Milne,Seumas_Milne
Juba_II,Ptolemy_of_Mauretania
Elliott_Gould,Jason_Gould
Patrick_d'Udekem_d'Acoz,Queen_Mathilde_of_Belgium
William_Close,Glenn_Close
Mikhail_Artsybashev,Boris_Artzybasheff
Betty_Lou_Bredemus,Eric_Roberts
Lau_Wong-fat,Kenneth_Lau
Griffin_Dunne,Hannah_Dunne
Tirey_L._Ford,Byington_Ford
René_Auberjonois,Remy_Auberjonois
Preneet_Kaur,Raninder_Singh
Yang_Ye__Yang_Ye__1,Yang_Yande
Michael_Laskey,Jack_Laskey
Charles_Widmore,Penny_Widmore
Eleanor_Elkins_Widener,Harry_Elkins_Widener
Kazi_Sabyasachi,Khilkhil_Kazi
Krishnarao_Shankar_Pandit,Meeta_Pandit
Ziauddin_Yousafzai,Malala_Yousafzai
Ranasinghe_Premadasa,Sajith_Premadasa
Geraldine_Chaplin,Oona_Chaplin
Zoltán_Tildy,"Zoltán_Tildy,_Jr."
Rosalie_Stier_Calvert,Charles_Benedict_Calvert
Zhou_Xinfang,Ho_Yi
Cal_Turner,Cal_Turner_Jr.
Leslie_Mann,Maude_Apatow
Puduhepa,Maathorneferure
Prince_Maximilian_of_Baden,"Berthold,_Margrave_of_Baden"
Sivaji_Ganesan,Ramkumar_Ganesan
"Robin_Leigh-Pemberton,_Baron_Kingsdown",James_Leigh-Pemberton
Gordon_Getty,Andrew_Getty
Charles-Gaspard_de_la_Rive,Auguste_Arthur_de_la_Rive
"Summerfield_Johnston,_Jr.",Gillian_Johnston_(polo_player)
John_Brice_Jr.,John_Brice_III
Samuel_Smith_(New_Hampshire),Jeremiah_Smith_(lawyer)
William_Hathaway_Forbes,Edward_W._Forbes
Bernadette_Devlin_McAliskey,Róisín_McAliskey
Chrisann_Brennan,Lisa_Brennan-Jobs
"Valerian_Wellesley,_8th_Duke_of_Wellington","Charles_Wellesley,_9th_Duke_of_Wellington"
James_George_Bell,Alphonzo_Bell
Terah,Haran
John_Adams,Abigail_Adams_Smith
Eva_Norvind,Nailea_Norvind
Aimee_Semple_McPherson,Roberta_Semple_Salter
G._Gordon_Liddy,Tom_Liddy
Bill_Henrickson,Sarah_Henrickson
Pierre_Louis-Dreyfus,Gérard_Louis-Dreyfus
Cápac_Yupanqui,Inca_Roca
Kit_Culkin,Macaulay_Culkin
Katherine_G._Langley,John_W._Langley
Ambika_(Mahabharata),Dhritarashtra
Daniel_Waldron,Thomas_Westbrook_Waldron_(consul)
Gemini_Ganesan,Rekha
Jacob_Safra,Edmond_Safra
Geoffrey_Kendal,Jennifer_Kendal
Nancy_Priddy,Christina_Applegate
Presidency_of_Rodrigo_Duterte,Sara_Duterte
Gamal_Abdel_Nasser,Khalid_Abdel_Nasser
Colleen_Howe,Marty_Howe
"Arthur_B._Hancock,_Jr.",Arthur_B._Hancock_III
Edward_Bancroft,Edward_Nathaniel_Bancroft
Franklin_D._Roosevelt,James_Roosevelt
Elbridge_Thomas_Gerry,Peter_G._Gerry
