William_Robert_Spencer,Aubrey_Spencer
Etienne_Saqr,Karol_Sakr
Carl_Friedrich_Wilhelm_Duncker,Alexander_Duncker
Charles_Widmore,Penny_Widmore
Katherine_G._Langley,John_W._Langley
Agnese_del_Maino,Bianca_Maria_Visconti
George_Wallis,Whitworth_Wallis
Anne_Hutchinson,Edward_Hutchinson_(captain)
Dennis_Waterman,Hannah_Waterman
Qazi_Abdul_Majeed_Abid,Fahmida_Mirza
John_Abele,Chris_Abele
Malcolm_X,Attallah_Shabazz
John_Ridge,John_Rollin_Ridge
Marietta_de_Patras,James_II_of_Cyprus
Hedwiga_Reicher,Frank_Reicher
Kazi_Sabyasachi,Khilkhil_Kazi
Eleanor_Calvert,Eleanor_Parke_Custis_Lewis
Dom_DeLuise,Peter_DeLuise
Jim_Haslam,Bill_Haslam
Katharine_Susannah_Prichard,Ric_Throssell
A._A._Milne,Christopher_Robin_Milne
Axel_Oxenstierna,Johan_Oxenstierna
Vladimir_Semenikhin,Dimitri_Semenikhin
Helen_Broderick,Broderick_Crawford
Erol_Ozensoy,Erdem_Duhan_Özensoy
E._H._Harriman,E._Roland_Harriman
Tywin_Lannister,Tyrion_Lannister
Thomas_Browne_(died_1597),Matthew_Browne
George_MacDonald_Fraser,Caro_Fraser
Lady_Sarah_Lennox,William_Francis_Patrick_Napier
Oszkár_Jászi,Andrew_Jaszi
Samuel_C._Damon,Samuel_Mills_Damon
"Anne_St_Leger,_Baroness_de_Ros","Thomas_Manners,_1st_Earl_of_Rutland"
Dick_Wilson,Melanie_Wilson_(actress)
Donald_P._Bellisario,Troian_Bellisario
Francis_Anthony_Drexel,Katharine_Drexel
Richard_Goldman,Douglas_E._Goldman
Mirza_Ghulam_Murtaza,Mirza_Ghulam_Ahmad
George_Washington_Martin_II,Walter_Ralston_Martin
Barbara_Kelly,Kim_Braden
"Natalia_Grosvenor,_Duchess_of_Westminster","Hugh_Grosvenor,_7th_Duke_of_Westminster"
Sue_Jenkins,Rosie_Fleeshman
Sharon_Percy_Rockefeller,Justin_Rockefeller
Lu_Hsiu-yi,Chia-Hui_Lu
Nigar_Rafibeyli,Anar_Rzayev
Noel_Gay,Richard_Armitage_(agent)
Oswaldo_Payá,María_Payá_Acevedo
Azita_Hajian,Mehraveh_Sharifinia
Christopher_Koch,Gareth_Koch
Allen_Apsley_(administrator),Lucy_Hutchinson
Munib_al-Masri,Mai_Masri
Conrad_Hilton,Francesca_Hilton
David_Horowitz,Ben_Horowitz
Don_Siegel,Kristoffer_Tabori
Aleksandr_Vinogradov_(writer),Sergei_Vinogradov_(journalist)
Lamech_(father_of_Noah),Noah
Kassa_Haile_Darge,Asfawossen_Kassa
Reginald_Claypoole_Vanderbilt,Gloria_Vanderbilt
Moloya_Goswami,Nishita_Goswami
Roslyn_Packer,James_Packer
Monford_Orloff,Jon_Orloff
She_Saihua,Yang_Yande
Jimmy_Hoffa,Barbara_Ann_Crancer
Ridley_Scott,Jake_Scott_(director)
Käte_Duncker,Karl_Duncker
Endre_Bohem,Leslie_Bohem
Leonard_Peikoff,Kira_Peikoff
Frederick_Law_Olmsted,John_Charles_Olmsted
Andrzej_Hławiczka,Karol_Hławiczka
Keiko_Han,Megumi_Han
William_Cargill,Edward_Cargill
Maud_Chaworth,Eleanor_of_Lancaster
J._I._M._Stewart,Angus_John_Mackintosh_Stewart
Bill_Newton_Dunn,Tom_Newton_Dunn
Barbara_Cox_Anthony,James_C._Kennedy
Edith_the_Fair,Gytha_of_Wessex
Robert_Bickersteth_(bishop),Robert_Bickersteth_(MP)
John_Hollander,Martha_Hollander
"Archibald_Campbell,_9th_Earl_of_Argyll","Archibald_Campbell,_1st_Duke_of_Argyll"
Joseph_Peabody,John_Lowell_Gardner_II
Andrea_Heinemann_Simon,Carly_Simon
Lewis_Elton,Ben_Elton
Tove_Strand,Marte_Gerhardsen
Edwin_Wijeyeratne,Tissa_Wijeyeratne
Whiting_Griswold,Freeman_Clark_Griswold
Horacio_Hidrovo_Velásquez,Horacio_Hidrovo_Peñaherrera
"Conn_O'Neill,_1st_Earl_of_Tyrone","Matthew_O'Neill,_1st_Baron_Dungannon"
"Clarence_Addison_Brimmer,_Jr.",Philip_A._Brimmer
Peter_Arrell_Brown_Widener,George_Dunton_Widener
Ida_Pollock,Rosemary_Pollock
Roy_Blunt,Matt_Blunt
Bronislava_Nijinska,Irina_Nijinska
Mills_E._Godwin_Jr.,Becky_Godwin
Ramon_Mitra_Jr.,Raul_Mitra
E._V._K._Sampath,E._V._K._S._Elangovan
Nathan_Mayer_Rothschild,"Sir_Anthony_de_Rothschild,_1st_Baronet"
Robert_Maxwell,Kevin_Maxwell
Barry_Humphries,Tessa_Humphries
Louis-Arthur_Giroux,Gabrielle_Bertrand
"Charles_Grey,_2nd_Earl_Grey","Henry_Grey,_3rd_Earl_Grey"
Pran_Nath_Lekhi,Aman_Lekhi
Xue_Zizheng,Charles_Xue
Anna_Roosevelt_Halsted,Eleanor_Roosevelt_Seagraves
Barbara_Cartland,"Raine_Spencer,_Countess_Spencer"
Carol_Schmidt,Alexander_Schmidt_(politician)
Alva_Belmont,William_Kissam_Vanderbilt_II
Kirill_Razumovski,Natalia_Zagryazhskaya
Bun_Rany,Hun_Manith
Mario_Cuomo,Chris_Cuomo
E._Bronson_Ingram_II,David_B._Ingram
Mark_Fiennes,Joseph_Fiennes
Antoine_Brutus_Menier,Émile-Justin_Menier
Michael_Thomas_Bass,Hamar_Alfred_Bass
Mircea_Snegur,Natalia_Gherman
Hoffman_L._Fuller,Hoffman_Franklin_Fuller
Bill_Oddie,Kate_Hardie
John_R._Adler,Trip_Adler
Lydia_Shum,Joyce_Cheng
Walter_Pukutiwara,Rene_Kulitja
Alexander_Smolensky,Nikolay_Smolensky
S._W._R._D._Bandaranaike,Anura_Bandaranaike
Muhammad_Ali,Laila_Ali
Linda_Lee_Cadwell,Shannon_Lee
Nathan_Petrelli,Claire_Bennet
Henry_H._Crapo,William_W._Crapo
Joseph_Henry_Reason,J._Paul_Reason
William_James_Whipper,Leigh_Whipper
Carroll_Rosenbloom,Chip_Rosenbloom
Jerome_Eddy,Arthur_Jerome_Eddy
Cyril_Cusack,Sinéad_Cusack
Eric_Taylor_(Friday_Night_Lights),Matt_Saracen
Nigel_Powers,Dr._Evil
Gena_Rowlands,Nick_Cassavetes
Elizabeth_Schuyler_Hamilton,Alexander_Hamilton_Jr.
Rufus_King,Edward_King_(Ohio_politician)
Jesse_C._Deen,Larry_Deen
George_G._Gilbert,Ralph_Waldo_Emerson_Gilbert
Jean_Weidt,Michael_Weidt
Yazathingyan_of_Pagan,Yanda_Pyissi
"Jacob_Rothschild,_4th_Baron_Rothschild",Hannah_Mary_Rothschild
Kamala_Surayya,Madhav_Das_Nalapat
Indictment_and_arrest_of_Augusto_Pinochet,Lucía_Pinochet
Kim_Hendren,Jim_Hendren
K._P._Ummer,Rasheed_Ummer
Dorothy_Howell_Rodham,Hugh_Rodham
Herman_Shooster,Frank_Shooster
Michael_de_Mesa,Geoff_Eigenmann
Rose_Kerr,Alix_Liddell
Timothy_Bevan_(apothecary),Silvanus_Bevan_(1743-1830)
Mahathir_Mohamad,Mukhriz_Mahathir
Mahesh_Bhatt,Alia_Bhatt
Maren_Sars,Eva_Nansen
Uddhav_Thackeray,Aditya_Thackeray
Lee_Kun-hee,Lee_Jae-yong_(businessman)
Lenore_Romney,G._Scott_Romney
Herman_David_Koppel,Thomas_Koppel
Christian_Streit_White,John_Baker_White_(West_Virginia_politician)
Dharmendra,Bobby_Deol
Nao_Takasugi,Tricia_Takasugi
Onn_Jaafar,Hussein_Onn
Augustine_Washington,Samuel_Washington
Roger_Cukierman,Edouard_Cukierman
Geraldine_Moffat,Dan_Houser
Edward_White_Robertson,Samuel_Matthews_Robertson
Thomas_Lee_(Virginia_colonist),Arthur_Lee_(diplomat)
John_Adams_(mutineer),George_Adams_(magistrate)
Adrian_Monk,List_of_Monk_characters
Sylvia_Llewelyn_Davies,Jack_Llewelyn_Davies
Z._A._Suleri,Sara_Suleri
Yang_Kaihui,Mao_Anqing
George_Rajapaksa,Shyamlal_Rajapaksa
Hermann_Göring,Edda_Göring
Ikbal_Ali_Shah,Omar_Ali-Shah
John_Redmond,William_Redmond_(1886–1932)
Parviz_C._Raji,Azita_Raji
Jerry_Buss,Jeanie_Buss
Olga_San_Juan,Brendan_O'Brien_(voice_actor)
Dorothy_Walker_Bush,George_H._W._Bush
John_Wentworth_(Lieutenant-Governor),Benning_Wentworth
Purushottama_Lal,Ananda_Lal
Vladimir_Harkonnen,Lady_Jessica
"Henrietta_Ponsonby,_Countess_of_Bessborough","John_Ponsonby,_4th_Earl_of_Bessborough"
Michele_Dotrice,Peter_Woodward
Anne_Penny,Hugh_Cloberry_Christian
Frederick_Attenborough,Richard_Attenborough
"Edward_Smith-Stanley,_14th_Earl_of_Derby","Edward_Stanley,_15th_Earl_of_Derby"
Rod_Taylor,Felicia_Taylor
Harald_Ulrik_Sverdrup_(politician),Edvard_Sverdrup
Aquila_Walsh,William_L._Walsh
Roger_O'Connor,Roderic_O'Connor_(land_commissioner)
Soong_Mei-ling,Chiang_Ching-kuo
Francis_Martin_Drexel,Anthony_Joseph_Drexel
Christina_Schollin,Pernilla_Wahlgren
John_Flamank,Gilbert_Flamank
"Beatrice_Forbes,_Countess_of_Granard","Arthur_Forbes,_9th_Earl_of_Granard"
Yang_Kaihui,Mao_Anying
Ved_Prakash_Goyal,Piyush_Goyal
Edmund_Francis_Dunne,Eugene_O'Dunne
Tet_Garcia,Joet_Garcia
Moses,Gershom
Akbar_Padamsee,Raisa_Padamsee
David_Davis_Walker,George_Herbert_Walker
William_Roache,James_Roache
Ana_Bertha_Espín,Jaime_Lozano
Eleanor_Lambert,Bill_Berkson
J._P._Morgan_Jr.,Junius_Spencer_Morgan_III
Geraldine_Page,Angelica_Page
Abby_Aldrich_Rockefeller,Abby_Rockefeller_Mauzé
Edgar_Linton,Catherine_Linton
Josephine_Premice,Susan_Fales-Hill
Malik_Allahyar_Khan,Malik_Ihtebar_Khan
Ed_Hinton_(actor),Daryn_Hinton
Robert_Drury_(speaker),William_Drury_(died_1558)
Khin_Kyi,Aung_San_Oo
George_Estregan,Gherome_Ejercito
S._Kasturi_Ranga_Iyengar,K._Srinivasan
David_Railton,Ruth_Railton
Lewis_Rudin,Beth_Rudin_DeWoody
Charles_H._Percy,Sharon_Percy_Rockefeller
G._Gordon_Liddy,Tom_Liddy
Amos_Bronson_Alcott,Elizabeth_Sewall_Alcott
Richard_Maxwell_Drew,Richard_Cleveland_Drew
N._Viswanathan,Ashoke_Viswanathan
Ali_Hatami,Leila_Hatami
"Francis_Douglas,_11th_Marquess_of_Queensberry","David_Douglas,_12th_Marquess_of_Queensberry"
Ryan_O'Neal,Griffin_O'Neal
Srima_Dissanayake,Navin_Dissanayake
Nina_Schenk_Gräfin_von_Stauffenberg,Franz-Ludwig_Schenk_Graf_von_Stauffenberg
William_McIntosh,D._N._McIntosh
Charlotte_von_Rothschild,Alfred_de_Rothschild
Carol_Chomsky,Aviva_Chomsky
Yuan_Shikai,Yuan_Kewen
List_of_Dune_secondary_characters,Chani
Magnus_Magnusson,Sally_Magnusson
Giorgio_Bulgari,Gianni_Bulgari
Bembol_Roco,Felix_Roco
Pancho_Magalona,Francis_Magalona
John_C._New,Harry_Stewart_New
George_Henry_Murray,George_Belcher_Murray
Alan_Eppes,Don_Eppes
Frances_Shand_Kydd,"Diana,_Princess_of_Wales"
Maria_Franca_Fissolo,Giovanni_Ferrero
Gennady_Gudkov,Dmitry_Gudkov
Eugene_Levy,Daniel_Levy_(TV_personality)
Elisabeth_Sladen,Sadie_Miller
Herbert_Standing,Wyndham_Standing
Mary_Sibbet_Copley,Harry_Kendall_Thaw
S._Anantharamakrishnan,A._Sivasailam
"Geoffrey_Fitz_Peter,_1st_Earl_of_Essex","Geoffrey_FitzGeoffrey_de_Mandeville,_2nd_Earl_of_Essex"
Ernst_Nolte,Georg_Nolte
Frances_Ford_Seymour,Jane_Fonda
"Edward_Smith-Stanley,_14th_Earl_of_Derby","Frederick_Stanley,_16th_Earl_of_Derby"
Steve_Christian,Shawn_Christian_(mayor)
Ryland_Fletcher,Henry_A._Fletcher
Walter_Matthau,Charles_Matthau
"William_Paget,_1st_Baron_Paget",Edward_Paget
Norman_Mitchell,Christopher_Mitchell_(actor)
Benjamin_Franklin,Sarah_Franklin_Bache
Donovan,Ione_Skye
Toppen_Bech,Alexandra_Bech_Gjørv
John_Stevenson_Salt,William_Salt
Jim_Rosenthal,Tom_Rosenthal
Lincoln_Kilpatrick,"Lincoln_Kilpatrick,_Jr."
Jedediah_Strutt,Joseph_Strutt_(philanthropist)
O._H._Haynes_Jr.,Fred_Haynes
John_Baker_White_(Virginia),Christian_Streit_White
Harold_L._Ickes,Harold_M._Ickes
Ivar_David-Andersen,Arthur_David-Andersen
Cassius_Marcellus_Clay_Sr.,Muhammad_Ali
Noreen_Nash,Lee_Siegel_(professor_and_novelist)
Serge_Obolensky,Ivan_Sergeyevich_Obolensky
Philip_Schuyler,Angelica_Schuyler_Church
Lucretia_Garfield,Eliza_Garfield
Leelavathi_(actress),Vinod_Raj
Penleigh_Boyd,Robin_Boyd
James_Boswell,James_Boswell_(1778-1822)
Sandy_Cohen,Ryan_Atwood
Terry_Jones_(i-D),Matt_Jones_(photographer)
Senta_Berger,Simon_Verhoeven
Jules_Renouard,Léopold_Renouard
"Diana_Wellesley,_Duchess_of_Wellington","Charles_Wellesley,_9th_Duke_of_Wellington"
Freddie_Prinze,Freddie_Prinze_Jr.
Nandini_Satpathy,Tathagata_Satpathy
"Mildmay_Fane,_2nd_Earl_of_Westmorland",Lady_Mary_Fane
Chau_Siu-ki,Chau_Tsun-nin
Debbie_Rothstein,Bryce_Papenbrook
Steve_Jobs,Lisa_Brennan-Jobs
Vanessa_Paradis,Lily-Rose_Depp
Freddie_Jones,Toby_Jones
Satyavati,Vichitravirya
Dwight_D._Eisenhower,John_Eisenhower
Glynis_Johns,Gareth_Forwood
Thaddeus_Dod,Albert_Baldwin_Dod
John_Seward_Johnson_I,Mary_Lea_Johnson_Richards
Barbara_Follett_(politician),Jann_Turner
Rosemarie_Sonora,Sheryl_Cruz
Tokugawa_Ienobu,Tokugawa_Ietsugu
Ferdinand_Marcos,Imee_Marcos
Athol_Shmith,Michael_Shmith
Theodore_Roosevelt_IV,Theodore_Roosevelt_V
Monte_Westmore,Marvin_Westmore
David_Ladd,Jordan_Ladd
Brad_Dourif,Fiona_Dourif
Oliver_Loving,James_C._Loving
Gustave_Ramaciotti,Vera_Ramaciotti
Frances_Ellen_Work,Cynthia_Roche
Maria_Louisa_Bustill,Paul_Robeson
Adam_Egede-Nissen,Gøril_Havrevold
Elias_Dayton,Jonathan_Dayton
Rui_Gonçalves_da_Câmara,João_Rodrigues_da_Câmara
Kenesaw_Mountain_Landis,Reed_G._Landis
Jack_Watling,Deborah_Watling
Maggie_d'Abo,Olivia_d'Abo
Bingxin,Wu_Qing_(politician)
Bill_Viola_(martial_artist),Bill_Viola_Jr
Robert_Hoe,Richard_March_Hoe
Harry_Blackstone_Sr.,Harry_Blackstone_Jr.
Lyudmila_Maksakova,"Maria_Maksakova,_Jr."
"John_P._Poe,_Sr.",Art_Poe
Nick_Begich,Mark_Begich
Jacob_Hiatt,Myra_Kraft
Svetlana_Alliluyeva,Joseph_Alliluyev
Linda_McMahon,Stephanie_McMahon
Hakim_Syed_Zillur_Rahman,Syed_Ziaur_Rahman
Otis_Skinner,Cornelia_Otis_Skinner
Edward_Michener,Roland_Michener
"Sir_Lachlan_Maclean,_1st_Baronet","Sir_Hector_Maclean,_2nd_Baronet"
Johanna_Schopenhauer,Arthur_Schopenhauer
"Henry_III,_Count_of_Bar","Joan_of_Bar,_Countess_of_Surrey"
Frank_Altschul,Arthur_Altschul
Charlotte_de_Rothschild,Arthur_de_Rothschild
Henry_Wadsworth_Longfellow,Ernest_Wadsworth_Longfellow
Guru_Gobind_Singh,Zorawar_Singh_(Sikhism)
Mary_Lee_Woods,Tim_Berners-Lee
Pompey,Gnaeus_Pompeius_(son_of_Pompey_the_Great)
Hosni_Mubarak,Gamal_Mubarak
"Arthur_Wellesley,_1st_Duke_of_Wellington",Lord_Charles_Wellesley
Abraham_Tobias_Boas,Lionel_Boas
A._Felix_du_Pont,Lydia_Chichester_du_Pont
Harry_Koch_(businessman),Fred_C._Koch
John_Williams_(Tennessee),Joseph_Lanier_Williams
Johanna_von_Puttkamer,Wilhelm_von_Bismarck
Richard_Isay,David_Isay
Jacob_De_la_Gardie,Maria_Sofia_De_la_Gardie
William_Bernard_Ziff_Jr.,Dirk_Edward_Ziff
Carl_Mayer_von_Rothschild,Mayer_Carl_von_Rothschild
Karin_Stoltenberg,Jens_Stoltenberg
Lorna_Tolentino,Renz_Fernandez
Francis_Ford_Coppola,Roman_Coppola
Hannah_Weinstein,Paula_Weinstein
Henry_Clay_McDowell,Madeline_McDowell_Breckinridge
Ferdinand_E._Kuhn,Oliver_Kuhn
Amalia_Solórzano,Cuauhtémoc_Cárdenas
Jean_Kasem,Kerri_Kasem
Faizur_Rahman_(police_officer),Humayun_Ahmed
Jerry_Buss,Johnny_Buss
Lady_Elizabeth_Murray,"George_Finch-Hatton,_10th_Earl_of_Winchilsea"
George_Mason_I,George_Mason_II
William_Shawn,Wallace_Shawn
Khaleda_Zia,Tarique_Rahman
Margaretta_Scott,Hugh_Wooldridge
Fernando_Poe_Jr.,Lovi_Poe
"William_Byron,_4th_Baron_Byron",John_Byron
Anthony_Lispenard_Bleecker,Anthony_Bleecker
Silvia_Pinal,Alejandra_Guzmán
"Dudley_Marjoribanks,_1st_Baron_Tweedmouth","Edward_Marjoribanks,_2nd_Baron_Tweedmouth"
Carola_B._Eisenberg,Alan_Edward_Guttmacher
John_J._Davis_(congressman),John_W._Davis
Mila_Mulroney,Ben_Mulroney
Rosalind_Shand,Annabel_Elliot
Ganesh_Naik,Sanjeev_Naik
Lorenza_Ramírez_de_Arellano,Antonio_Luis_Ferré
Phil_McGraw,Jay_McGraw
James_Alfred_Ernest_Corea,Charles_Alfred_Ernest_Corea
June_Lockhart,Anne_Lockhart_(actress)
Nordahl_Rolfsen,Alf_Rolfsen
"Max_Factor,_Sr.","Max_Factor,_Jr."
Fred_W._Friendly,David_T._Friendly
Margaret_de_Loveyne,Thomas_St_Clere
Govind_Ballabh_Pant,K._C._Pant
Özdemir_Sabancı,Demir_Sabancı
Nikal-mati,Ašmu-nikal
Dario_Fo,Jacopo_Fo
Herbert_Fisk_Johnson_Jr.,Karen_Johnson_Boyd
Irving_Wallace,David_Wallechinsky
Joe_Manchin,Heather_Bresch
Peter_Carroll_(actor),Tamsin_Carroll
Johannes_Heesters,Nicole_Heesters
Spencer_Perceval,"Charles_Perceval,_2nd_Baron_Arden"
Yolanda_Hadid,Bella_Hadid
Enzo_Ferrari,Piero_Ferrari
Dora_Bakoyannis,Kostas_Bakoyannis
Lea_Thompson,Zoey_Deutch
Bridget_Dowling,William_Patrick_Stuart-Houston
Price_Daniel,Price_Daniel_Jr.
Bing_Crosby,Phillip_Crosby
Wilhelmina_Slater,Bradford_Meade
"Edward_Iliffe,_1st_Baron_Iliffe","Langton_Iliffe,_2nd_Baron_Iliffe"
James_Elliot_Cabot,Richard_Clarke_Cabot
Richard_Asher,Jane_Asher
Brenda_Maddox,Bronwen_Maddox
Joseph_P._Kennedy_Sr.,Eunice_Kennedy_Shriver
John_Ritter,Tyler_Ritter
M._Bhaktavatsalam,Sarojini_Varadappan
Abby_Aldrich_Rockefeller,David_Rockefeller
Scotty_Moylan,Kurt_Moylan
Barbu_Ștefănescu_Delavrancea,Henrieta_Delavrancea
Jenny_Hu,Terence_Yin
Hushang_Ansary,Nina_Ansary
Benjamin_Vulliamy,Benjamin_Lewis_Vulliamy
Vito_Corleone,Connie_Corleone
Bob_Quinn_(baseball),John_Quinn_(baseball_executive)
Siri_von_Reis,Serena_Altschul
Gustave_de_Rothschild,Aline_Caroline_de_Rothschild
Elisabeth_Langgässer,Cordelia_Edvardson
Nissanka_Wijeyeratne,Neranjan_Wijeyeratne
William_Howard_Taft,Robert_A._Taft
F._D._Reeve,Christopher_Reeve
Henry_Clews,Elsie_Clews_Parsons
W._J._M._Lokubandara,Udith_Lokubandara
Frederick_William_Borden,Harold_Lothrop_Borden
Guru_Gobind_Singh,Jujhar_Singh
Lisa_Hoffman,Jake_Hoffman
Sidney_Weinberg,John_L._Weinberg
Edward_Faitoute_Condict_Young,Edward_Lewis_Young
Milorad_Drašković,Milorad_M._Drachkovitch
Ildebrando_Zacchini,Hugo_Zacchini
Javed_Iqbal_(judge),Waleed_Iqbal
K._Karunakaran,K._Muraleedharan
Michael_de_Mesa,Ryan_Eigenmann
Victor_Copps,Sheila_Copps
William_Gurney_Benham,Hervey_Benham
Dion_Boucicault,"Dion_Boucicault,_Jr."
Robert_C._Jones,Leslie_Jones_(editor)
Susan_Roces,Grace_Poe
Rajkumar_(actor),Puneeth_Rajkumar
Teri_Bauer,Kim_Bauer
Bhima,Upapandavas
B'alaj_Chan_K'awiil,Itzamnaaj_B'alam
William_Hinds,Anthony_Hinds
Matthew_Halton,David_Halton
"Sir_Charles_Tennant,_1st_Baronet",Alfred_Lyttelton
Albert_Gore_Sr.,Al_Gore
Anthony_Martin_Sinatra,Frank_Sinatra
Dominikus_Böhm,Gottfried_Böhm
Sumitro_Djojohadikusumo,J._Soedradjad_Djiwandono
Siri_von_Reis,Arthur_Altschul
Raghuvir_Sahay,Manjari_Joshi
Jessie_Street,Laurence_Street
John_Mortimer,Wendy_Craig
Lili_Damita,Sean_Flynn_(photojournalist)
G._V._Raja,Aswathi_Thirunal_Gowri_Lakshmi_Bayi
Sven_Wollter,Stina_Wollter
William_Randolph_Hearst,Randolph_Apperson_Hearst
Matthew_Griswold_(governor),Roger_Griswold
Michael_Eisner,Eric_Eisner
Dumitru_Remenco,Gheorghe_Remenco
Esmond_Wickremesinghe,Ranil_Wickremesinghe
Mickey_Katz,Joel_Grey
Barney_Pressman,Fred_Pressman
Joyce_Maynard,Wilson_Bethel
Yashwant_Sinha,Jayant_Sinha
David_Hedison,Alexandra_Hedison
Agnès_Varda,Mathieu_Demy
Mahesh_Bhatt,Rahul_Bhatt
Alfonso_López_Michelsen,Alfonso_López_Caballero
"David_Ormsby-Gore,_5th_Baron_Harlech",Alice_Ormsby-Gore
Olof_Lagercrantz,Marika_Lagercrantz
Gandhari_(character),Duryodhana
Cher,Elijah_Blue_Allman
Floyd_Crosby,David_Crosby
Jesse_Ventura,Tyrel_Ventura
Serafin_Baroja,Carmen_Baroja
Eduardo_Scarpetta,Peppino_De_Filippo
Barbara_Eden,Matthew_Ansara
Jay_Gould,Howard_Gould
Helen_Crump,Opie_Taylor
Heinrich_Ernst_Göring,Albert_Göring
Bill_Ratliff,Bennett_Ratliff
Jane_Randolph_Jefferson,Thomas_Jefferson
David_Jeremiah,Daniel_Jeremiah
Joely_Richardson,Daisy_Bevan
J._Howard_Marshall,E._Pierce_Marshall
"Hermione_Cobbold,_Baroness_Cobbold","David_Lytton-Cobbold,_2nd_Baron_Cobbold"
Anna_Wheeler_(author),Rosina_Bulwer_Lytton
Manuel_Tello_Baurraud,Carlos_Tello_Macías
Joseph_Dubuc,Lucien_Dubuc
César_Ramírez_(actor),Beverly_Vergel
Lysius_Salomon,Ida_Faubert
Hadley_Richardson,Jack_Hemingway
Kenneth_Cope,Martha_Cope
"William_McKinley,_Sr.",William_McKinley
Kwok_Tak-Seng,Raymond_Kwok
Abraham_Hirschfeld,Elie_Hirschfeld
Herman_Ehrlich,Mira_Klobučar
John_Grey_of_Groby,Richard_Grey
Janet_Sheen,Ramon_Estevez
Bill_Treacher,Jamie_Treacher
Shashi_Kapoor,Karan_Kapoor
Lady_Annabel_Goldsmith,Ben_Goldsmith
Peter_George_Peterson,Holly_Peterson
Gerald_Ford,John_Gardner_Ford
Charles_Halton_(public_servant),Jane_Halton
Grimoald_the_Elder,Vulfetrude
Clark_Gable,Judy_Lewis
Steve_Brodie_(actor),Kevin_Brodie
Alicia_Vergel,Ace_Vergel
Harold_Gillies,Michael_Thomas_Gillies
Baba_Amte,Prakash_Amte
Trevor_Peacock,Daniel_Peacock
Adrien_de_Gerlache,Gaston_de_Gerlache
John_Stoughton_Newberry,Truman_Handy_Newberry
Dionne_Warwick,Damon_Elliott
Thomas_Toft,Thomas_Toft
Stacy_Keach_Sr.,Stacy_Keach
Michel_Klyne,George_Klyne
Luigi_Pirandello,Fausto_Pirandello
Sonia_Darrin,Mason_Reese
"Nicholas_Brown,_Jr.",Nicholas_Brown_III
Fay_Wray,Robert_Riskin
Brian_Cant,Richard_Cant
G._B._Samuelson,Sydney_Samuelson
Sylvana_Tomaselli,Lady_Marina_Charlotte_Windsor
John_de_Lancie,Keegan_de_Lancie
Daniel_Koch,Richard_H._Koch
Jules_C._Stein,Jean_Stein
John_D._Rockefeller_Jr.,Laurance_Rockefeller
Kip_King,Chris_Kattan
Aleksandra_Piłsudska,Jadwiga_Piłsudska
Dorothea_Jordan,Lady_Mary_Fox
Yazathingyan_of_Pagan,Saw_Soe_of_Pagan
Joseph_Görres,Guido_Görres
Mark_Antony,Marcus_Antonius_Antyllus
Carleton_G._Young,Tony_Young_(actor)
Marion_Stein,Jeremy_Lascelles
Carlo_Ponti,Edoardo_Ponti
Presidency_of_Rodrigo_Duterte,Sara_Duterte
Q._Byrum_Hurst,"Q._Byrum_Hurst,_Jr."
Pieter_van_Vollenhoven,"Prince_Pieter-Christiaan_of_Orange-Nassau,_van_Vollenhoven"
"Charles_Paulet,_1st_Duke_of_Bolton",Lord_William_Powlett
Risley_C._Triche,Jane_Margaret_Triche-Milazzo
Karunanidhi,M._K._Alagiri
Inukai_Tsuyoshi,Takeru_Inukai
Ilham_Aliyev,Leyla_Aliyeva
Rafic_Hariri,Saad_Hariri
Erol_Sabancı,Suzan_Sabancı_Dinçer
Ricardo_Lagos,Ricardo_Lagos_Weber
Li_Ka-shing,Richard_Li
Adelperga,Grimoald_III_of_Benevento
Lino_Banfi,Rosanna_Banfi
Edward_Porter_Humphrey,Edward_William_Cornelius_Humphrey
Peter_Griffith,Melanie_Griffith
Mary_Brunner,Charles_Manson
Robert_Robinson_(broadcaster),Lucy_Robinson_(actress)
Fos_Williams,Stephen_Williams_(footballer)
Kim_Jong-il,Kim_Jong-nam
"Emma,_Lady_Hamilton",Horatia_Nelson
Guccio_Gucci,Aldo_Gucci
John_Eager_Howard,William_Howard_(engineer)
Frederick_Boland,Eavan_Boland
Harry_Greene_(television_personality),Sarah_Greene
Bibliography_of_Ulysses_S._Grant,Jesse_Root_Grant
Ravi_Raghavendra,Anirudh_Ravichander
Terry_Matthews,Trevor_Matthews
"George_Frederick_Shrady,_Sr.","George_Frederick_Shrady,_Jr."
King_Randor,He-Man
Gregory_Peck,Cecilia_Peck
Javed_Siddiqui,Lubna_Salim
Jayaram,Kalidas_Jayaram
Vitaliano_I_Borromeo,Filippo_Borromeo
Carlos_Fuentes,Carlos_Fuentes_Lemus
June_Cleaver,Wally_Cleaver
Haim_Palachi,Rahamim_Nissim_Palacci
Kenneth_Claiborne_Royall,"Kenneth_Claiborne_Royall,_Jr."
John_Landis,Max_Landis
Antonio_Bagioli,Teresa_Bagioli_Sickles
Sivaji_Ganesan,Prabhu_(actor)
Mario_Cuomo,Andrew_Cuomo
Zhou_Enlai,Sun_Weishi
Judit_Csabai_(politician),Judit_Csabai
Clarion_Chukwura,Clarence_Peters
Eliza_Poe,Edgar_Allan_Poe
Parkash_Singh_Badal,Sukhbir_Singh_Badal
