Maryam_Abacha,Mohammed_Abacha
Lillian_Gordy_Carter,Jimmy_Carter
Pedro_Pablo_Kuczynski,Alex_Kuczynski
Fujiwara_no_Otomuro,Emperor_Saga
Edward_Dobson,Arthur_Dudley_Dobson
Arthur_Merric_Boyd,Merric_Boyd
Zainab_bint_Muhammad,Umamah_bint_Zainab
Patrick_Enthoven,Dick_Enthoven
Yazathingyan_of_Pagan,Ananda_Pyissi
Hun_Sen,Hun_Manet
Frank_Thomas_(animator),Theodore_Thomas_(filmmaker)
John_Carnegie_(1837–1910),John_Hilliard_Carnegie
Wilma_Tisch,Andrew_Tisch
Dennis_Roldan,Michele_Gumabao
José_Batlle_y_Ordóñez,César_Batlle_Pacheco
Laurence_Binyon,Nicolete_Gray
Richard_Asher,Peter_Asher
Michael_Lohan,Michael_Lohan_Jr.
Uday_Shankar,Ananda_Shankar
Lasse_Braun,Axel_Braun
Leonard_Shoen,Joe_Shoen
Jonathan_Trumbull,Joseph_Trumbull_(commissary_general)
"Henrietta_Ponsonby,_Countess_of_Bessborough","John_Ponsonby,_4th_Earl_of_Bessborough"
"Charles_Grey,_2nd_Earl_Grey",Eliza_Courtney
Arlene_Alda,Elizabeth_Alda
"Noël_Leslie,_Countess_of_Rothes","Malcolm_Leslie,_20th_Earl_of_Rothes"
Stephen_Minor,William_J._Minor
Jim_Haslam,Bill_Haslam
Lawrence_Washington_(1659–1698),Augustine_Washington
Thomas_Hinde,Thomas_S._Hinde
Georges_Mora,Tiriel_Mora
Max_Yasgur,Sam_Yasgur
R._Harmon_Drew_Sr.,Harmon_Drew_Jr.
Alexander_Agassiz,Rodolphe_L._Agassiz
Joseph_R._Knowland,William_F._Knowland
"Wheelock_Whitney,_Jr.",Wheelock_Whitney_(historian)
Humphrey_Mackworth,Herbert_Mackworth
Daniel_M._Harkness,William_L._Harkness
Satyavati,Chitrāngada
Jacob_Zimmerman,Frederick_Hinde_Zimmerman
Barbara_Cox_Anthony,Blair_Parry-Okeden
Nancy_Reagan,Patti_Davis
Priscilla_Presley,Navarone_Garibaldi
Levitt_Ellsworth_Custer,Levitt_Luzern_Custer
John_Flamank,Gilbert_Flamank
Robert_H._Dedman_Sr.,Robert_H._Dedman_Jr.
Terah,Sarah
Michael_Parenti,Christian_Parenti
Moon_Landrieu,Mitch_Landrieu
Wilhelm_Jensen,"Ernst,_Prince_of_Saxe-Meiningen"
William_Colgate,James_Boorman_Colgate
Lawrence_Saint,Nate_Saint
Loke_Yew,Loke_Wan_Tho
Harry_Gulkin,Sarah_Polley
Lokanath_Misra,Pinaki_Misra
Hisashi_Owada,"Masako,_Crown_Princess_of_Japan"
Jeremiah_Watkins_Clapp,W._L._Clapp
Stanley_Henig,Simon_Henig
Lord_Edward_Somerset,Edward_Arthur_Somerset
Siti_Hasmah_Mohamad_Ali,Mokhzani_Mahathir
Paul_Lange_(musician),Hans_Lange
Nelle_Wilson_Reagan,Ronald_Reagan
Kees_van_Kooten,Kim_van_Kooten
Pushpavalli,Rekha
Anastasio_Somoza_García,Lillian_Somoza_Debayle
Virgilio_Dávila,José_Antonio_Dávila
Akira_Kurosawa,Kazuko_Kurosawa
Manuel_Villar,Mark_Villar
Stephen_Fox,"Stephen_Fox-Strangways,_1st_Earl_of_Ilchester"
Konstantine_Gamsakhurdia,Zviad_Gamsakhurdia
Lakhumal_Hiranand_Hiranandani,Niranjan_Hiranandani
Mark_Birley,Robin_Birley_(businessman)
Peter_Cookson,"Peter_W._Cookson,_Jr."
Alice_Hathaway_Lee_Roosevelt,Alice_Roosevelt_Longworth
Michele_Ferrero,Giovanni_Ferrero
Wan_Azizah_Wan_Ismail,Nurul_Izzah_Anwar
Thomas_Lloyd_Burnett,Anne_Valliant_Burnett_Tandy
Sa'id_al-Shawwa,Rashad_al-Shawwa
Jane_Wilde,Willie_Wilde
Duane_Chapman,Leland_Chapman
Elisabeth_Langgässer,Cordelia_Edvardson
Amancio_Ortega,Sandra_Ortega_Mera
Shahid_Nadeem,Savera_Nadeem
Gerald_Ford,Michael_Gerald_Ford
Milton_Shulman,Nicola_Shulman
Noreen_Nash,Lee_Siegel_(professor_and_novelist)
Greg_Smith_(Kansas_politician),Murder_of_Kelsey_Smith
Luís_Rocha,Roberto_Rocha
Ari_Behn,Leah_Isadora_Behn
Uriel_Crocker,George_G._Crocker
Javed_Siddiqui,Sameer_Siddiqui
Joe_Ricketts,Pete_Ricketts
Joseph_H._Walker,Joseph_H._Walker_(Massachusetts_speaker)
Sarah_Wesley,Charles_Wesley_junior
Imam_Baksh_Pahalwan,Goga_Pahalwan
Mark_Antony,Alexander_Helios
Frederick_Mansfield,Walter_R._Mansfield
Sandy_McDonald,David_Tennant
Tina_Green,Stasha_Palos
Lady_Augusta_Murray,Augustus_d'Este
Gemini_Ganesan,Rekha
Poornima_Bhagyaraj,Shanthanu_Bhagyaraj
Thomas_H._Friedkin,Dan_Friedkin
Margaret_Eliot,Jane_Asher
Tere_Ríos,Humbert_Roque_Versace
Joe_Ghiz,Robert_Ghiz
Edwin_Schlossberg,Jack_Schlossberg
Bob_Marley,Rohan_Marley
Eliodoro_Matte_Ossa,Eliodoro_Matte
James_Coyne,Susan_Coyne
Ann_Richards_(actress),Mark_Angelo
Kato_Svanidze,Yakov_Dzhugashvili
Charles_Henry_Robb,Roger_Robb
Benigno_Aquino_Sr.,Butz_Aquino
Robert_Mosbacher,Dee_Mosbacher
Mahesh_Kothare,Adinath_Kothare
Bob_Marley,Sharon_Marley
Stephane_Groueff,Tina_Barney
Malcolm_X,Attallah_Shabazz
"John_Bitove,_Sr.",John_Bitove
Gore_Ouseley,Frederick_Ouseley
Poonam_Sinha,Luv_Sinha
Roberto_Sánchez_Vilella,Roberto_Sánchez_Ramos
Carroll_Rosenbloom,Chip_Rosenbloom
Dora_Bakoyannis,Kostas_Bakoyannis
Abram_Nicholas_Pritzker,Donald_Pritzker
John_Thornton_Augustine_Washington,Benjamin_Franklin_Washington
Guillermo_León_Valencia,Pedro_Felipe_Valencia_López
Myat_Phaya,Taw_Phaya
Yedidia_Shofet,David_Shofet
"Thomas_Fremantle,_2nd_Baron_Cottesloe","Thomas_Fremantle,_3rd_Baron_Cottesloe"
Harvey_Lembeck,Michael_Lembeck
Kiichiro_Toyoda,Shoichiro_Toyoda
Manuel_Bulnes,Lucia_Bulnes_de_Vergara
Fikret_Abdić,Elvira_Abdić-Jelenović
John_D._Rockefeller_III,Hope_Aldrich_Rockefeller
Dwarka_Prasad_Mishra,Brajesh_Mishra
Bogusław_Radziwiłł,Ludwika_Karolina_Radziwiłł
Anup_Sengupta,Bonny_Sengupta
Norman_Chandler,Otis_Chandler
"William_Lever,_1st_Viscount_Leverhulme","William_Lever,_2nd_Viscount_Leverhulme"
Mulambwa_Santulu,Mubukwanu
Benjamin_Franklin,Francis_Folger_Franklin
Edward_Bancroft,Edward_Nathaniel_Bancroft
Lurline_Matson_Roth,William_M._Roth
Edward_Michael_Law-Yone,Wendy_Law-Yone
Bobby_Roth,Nick_Roth
Ray_Heatherton,Joey_Heatherton
Fidel_Castro,Alina_Fernández
Sheila_Dikshit,Sandeep_Dikshit
Karunanidhi,M._K._Stalin
Illa_Martin,Helge_Breloer
Daniel_Massey_(manufacturer),Hart_Massey
Louis-Raphaël_Bischoffsheim,Henri_Louis_Bischoffsheim
Liao_Zhongkai,Liao_Chengzhi
Anka_Muhlstein,Stéphane_Dujarric
Shirley_Povich,Maury_Povich
Harald_Astrup_(born_1831),Eivind_Astrup
Lillete_Dubey,Ira_Dubey
Matthew_Marvin_Sr.,Thomas_Seamer
Cersei_Lannister,Joffrey_Baratheon
Carl_Roth_of_Nedre_Fösked,Carl_Roth_II
Thomas_S._Hinde,Charles_T._Hinde
Thurgood_Marshall,"Thurgood_Marshall,_Jr."
Anne_Hathaway_(Shakespeare's_wife),Judith_Quiney
Meresankh_IV,Raemka
Betty_Ford,Susan_Ford
Shireen_Irani,Mani_Irani
Donatella_Versace,Allegra_Versace
Martha_Bulloch_Roosevelt,Corinne_Roosevelt_Robinson
John_Tjaarda,Tom_Tjaarda
Khalilah_Ali,Muhammad_Ali
Hakim_Syed_Karam_Husain,Hakim_Syed_Atiqul_Qadir
Sally_Quinn,Quinn_Bradlee
Vittorio_Corona,Fabrizio_Corona
Ahmed_Khadr,Zaynab_Khadr
Elbridge_Thomas_Gerry,Peter_G._Gerry
Joyce_Bulifant,John_Asher
Viveca_Lindfors,Kristoffer_Tabori
Frederick_Debartzch_Monk,Frederick_Arthur_Monk
Jean-Paul_Elkann,Alain_Elkann
Hans_Sloane_(MP),William_Sloane-Stanley
Bora_Laskin,John_I._Laskin
R._G._Bhandarkar,D._R._Bhandarkar
James_H._Ganong,Arthur_D._Ganong
Nicholas_Fish_II,Hamilton_Fish_II_(Rough_Rider)
Francis_Chan,Rachel_Chan_(musician)
"Arthur_Acheson,_1st_Earl_of_Gosford","Archibald_Acheson,_2nd_Earl_of_Gosford"
Mary_Benson,Robert_Hugh_Benson
Don_Johnson,Dakota_Johnson
Walter_Slezak,Erika_Slezak
B'alaj_Chan_K'awiil,Itzamnaaj_B'alam
Mohammad_Gharib,Hossein_Gharib
Alana_Mareva,Kyle_Baldwin
Phyllis_Ross,John_Turner
Mahesh_Bhatt,Pooja_Bhatt
Michael_Heilprin,Angelo_Heilprin
Syed_Muhammad_Saleem,Syed_Abdul_Mujeeb
Kim_Il-sung,Kim_Pyong-il
"Juan_Francisco_de_Güemes,_1st_Count_of_Revillagigedo","Juan_Vicente_de_Güemes,_2nd_Count_of_Revillagigedo"
George_MacKinnon_Wrong,Edward_Murray_Wrong
Gustav_Sobottka,"Gustav_Sobottka,_Jr."
Mya_Aye_(activist),Wai_Hnin_Pwint_Thon
Catherine_Gladstone,William_Henry_Gladstone
Tet_Garcia,Joet_Garcia
Sarama_(Ramayana),Trijata
Stacy_Keach_Sr.,Stacy_Keach
Otto_Frank,Anne_Frank
Danielle_Mitterrand,Jean-Christophe_Mitterrand
Joe_Biden,Beau_Biden
Carl_Heinrich_Hagen,Adolf_Hermann_Hagen
Oona_O'Neill,Christopher_Chaplin
Julie_Cooper_(The_O.C.),Hailey_Nichol
"Sir_Charles_Tennant,_1st_Baronet","Edward_Tennant,_1st_Baron_Glenconner"
Antal_Stašek,Ivan_Olbracht
Donald_Fisher,John_J._Fisher
Paul_Winchell,April_Winchell
Bruce_Lee,Shannon_Lee
Nejat_Eczacıbaşı,Bülent_Eczacıbaşı
Pierre_Trudeau,Alexandre_Trudeau
Kim_Edward_Beazley,Kim_Beazley
Anastas_Mikoyan,Sergo_Mikoyan
Lidian_Jackson_Emerson,Edward_Waldo_Emerson
Ned_Stark,Sansa_Stark
"James_Douglas,_Jr.",Lewis_Williams_Douglas
John_Allen_(Connecticut),John_W._Allen
Yang_Changji,Yang_Kaihui
Edgar_Bronfman_Sr.,Sara_Bronfman
Levi_Yitzchak_Schneerson,Menachem_Mendel_Schneerson
Léo_Piquette,Colin_Piquette
Kay_Johnson,James_Cromwell
Isabel_Preysler,Enrique_Iglesias
James_Fox,Jack_Fox_(actor)
Francis_Pangilinan,KC_Concepcion
Dhritarashtra,Vikarna
