Henry_Hadaway,Marvin_Gaye
Gloria_Stivic,Edith_Bunker
Woodrow_Wilson,William_Howard_Taft
Jean_Clemens,Susy_Clemens
Lady_Pamela_Hicks,"Louis_Mountbatten,_1st_Earl_Mountbatten_of_Burma"
Jenny_Lumet,Bobby_Cannavale
Frank_Church,Steve_Symms
Queen_of_Hearts_(Alice's_Adventures_in_Wonderland),King_of_Hearts_(Alice's_Adventures_in_Wonderland)
Charles_Maurice_de_Talleyrand-Périgord,"Armand-Emmanuel_de_Vignerot_du_Plessis,_Duc_de_Richelieu"
Muhammad_Aslam_Khan_Khattak,Zulfikar_Ali_Bhutto
Warren_Earp,Newton_Earp
Miguel_García_Granados,Justo_Rufino_Barrios
Margaret_Woodrow_Wilson,Woodrow_Wilson
Batt_O'Keeffe,Brian_Cowen
Carmela_Corleone,Anthony_Corleone
Colleen_McMahon,Bill_Clinton
David_Pryor,Joe_Purcell
Lawrence_H._Johnston,Luis_Walter_Alvarez
Ron_Dellums,Charles_Diggs
Katia_Mann,Thomas_Mann
Edward_Terry_Sanford,Theodore_Roosevelt
"Charles_Grey,_2nd_Earl_Grey",Lord_William_Russell
"Vere_Fane,_4th_Earl_of_Westmorland","Charles_Fane,_3rd_Earl_of_Westmorland"
Robert_B._Warden,John_A._Corwin
Anne_Hyde,Mary_II_of_England
H._H._Asquith,"Herbert_Kitchener,_1st_Earl_Kitchener"
John_Keeler,Samuel_Hayes_(settler)
Bob_Marley,Cedella_Booker
Mabel_Hill,James_Nairn
Mike_Horan,John_McVeigh_(politician)
John_F._Kennedy,Lyndon_B._Johnson
David_Kawānanakoa,David_Kalākaua_Kawānanakoa
Mary_H._Murguia,Barack_Obama
"John_Stuart,_3rd_Earl_of_Bute",George_Grenville
Tifanie_Christun,Heidi_Lenhart
Emily_James_Smith_Putnam,George_Haven_Putnam
Dylan_Thomas,James_Joyce
Robert_Taylor_(congressman),Philip_Pendleton_Barbour
Tudhaliya_I,Tudhaliya_II
Gordon_Bryant,Bob_Hawke
Chester_A._Arthur,James_A._Garfield
David_Dimbleby,Alastair_Burnet
Charles_Landon_Knight,Martin_L._Davey
Paal_Frisvold,Paal_Frisvold_(born_1908)
Elpidio_Quirino,Carlos_P._Romulo
Nicky_Hilton_Rothschild,Richard_Hilton
Virgilio_Barco_Vargas,Misael_Pastrana_Borrero
Julia_Urania,Ptolemy_of_Mauretania
William_Stratton,Stephen_A._Day
Malik_Deenar,Muhammad
"Hawise_of_Chester,_1st_Countess_of_Lincoln","Hugh_de_Kevelioc,_5th_Earl_of_Chester"
Constantine_Ypsilantis,Alexandru_Callimachi
James_Day_Hodgson,Richard_Nixon
Michael_Clapham_(industrialist),"Philip_Rea,_2nd_Baron_Rea"
Josip_Broz_Tito,Ivan_Ribar
Sam_Nujoma,Hage_Geingob
Oliver_Ames_(governor),George_D._Robinson
Patrick_Henry,Thomas_Jefferson
Kenneth_H._Merten,Barack_Obama
Charles_Widmore,Alan_Dale
Leonardo_Neher,Ronald_Reagan
Pru_Goward,Mike_Baird
Rashid_bin_Saeed_Al_Maktoum,Saeed_bin_Maktoum_bin_Hasher_Al_Maktoum
Willie_Robertson,Phil_Robertson
Liu_Shaoqi,Soong_Ching-ling
Muhammad_Javed_Abbasi,Nawaz_Sharif
Prežihov_Voranc,Émile_Zola
"Thomas_J._Dodd,_Jr.",Bill_Clinton
O._Wayne_Rollins,John_W._Rollins
Francis_E._Spinner,Andrew_Johnson
"Ambrosio_O'Higgins,_1st_Marquis_of_Osorno",Francisco_Gil_de_Taboada
Nancy_Pelosi,Dick_Gephardt
Henrik_Wergeland,Jan_Erik_Vold
Bennet_C._Riley,Richard_Barnes_Mason
Lucius_Vorenus_(Rome_character),Niobe_of_the_Voreni
Manuel_Villar,Arnulfo_Fuentebella
Grover_Cleveland,M._Hoke_Smith
James_Maxwell_Moody_Jr.,Barack_Obama
Louisa_Collings,Frederick_Lukis
Michael_Redstone,Shari_Redstone
Barbara_Follett_(politician),Sarah_McCarthy-Fry
Louis_de_Brézé,Charles_VII_of_France
Alfred_Lindon,Vincent_Lindon
Shyama_Charan_Gupta,Rewati_Raman_Singh
Lovro_von_Matačić,Christoph_von_Dohnányi
Luke_Skywalker,Mark_Hamill
Élie_Lescot,Louis_Borno
Alfredo_Benjamin_Caguioa,Benigno_Aquino_III
Mark_Filip,George_W._Bush
Alphonso_Taft,Louise_Taft
George_Izard,John_Quincy_Adams
Zaynab_bint_Ali,Husayn_ibn_Ali
Landon_Pearson,Jean_Chrétien
Sharon_Marley,Cedella_Marley
"Robert_Devereux,_3rd_Earl_of_Essex","Robert_Devereux,_2nd_Earl_of_Essex"
Alia_M._Ludlum,George_W._Bush
Neville_Howse,Thomas_Lavelle
Anne_Northup,Barack_Obama
Byron_White,John_F._Kennedy
Mitch_Fifield,Malcolm_Turnbull
Faustina_the_Younger,Faustina_the_Elder
Peter_G._Gerry,Henry_F._Lippitt
James_Pattison_(London_MP),Lionel_de_Rothschild
Warren_Christopher,Bill_Clinton
Frederick_Hinde_Zimmerman,Thomas_Hinde
Buddy_Roemer,Jim_McCrery
Harlan_F._Stone,Fred_M._Vinson
Lord_Alfred_Hervey,"Frederick_Hervey,_1st_Marquess_of_Bristol"
Jane_Branstetter_Stranch,Barack_Obama
Sonny_Bono,Mary_Bono
Arthur_Goldberg,Lyndon_B._Johnson
Lyle_Franklin_Lane,Jimmy_Carter
Shruti_Choudhry,Kuldeep_Bishnoi
George_H._W._Bush,Robert_Mosbacher
Walter_Beverly_Pearson,Sally_Hemings
William_Joseph_Burns,Bill_Clinton
Akbar_Hashemi_Rafsanjani,Mohammad-Reza_Mahdavi_Kani
William_Henry_Draper,Samuel_Harrison
Erastus_Fairbanks,Frederick_Holbrook
Jack_Ferguson,Eric_Bedford
Abdallah_Farhat,Rachid_Sfar
Irma_Elsa_Gonzalez,George_H._W._Bush
Rick_Grimes,Andrew_Lincoln
Benjamin_S._Cowen,Jacob_Brinkerhoff
Ahmad_Faraz,Faiz_Ahmad_Faiz
Henry_Brewster_Stanton,Josiah_B._Williams
Edward_Terry_Sanford,Theodore_Roosevelt
Daniel_Coit_Gilman,Ira_Remsen
Ben_E._Cabell,Bryan_T._Barry
Robert_Ellis_Orrall,Lindsay_Lohan
Thomas_J._Whelan_(judge),Bill_Clinton
Zeke_Zarchy,Frank_Sinatra
Damodar_Pande,Rana_Bahadur_Shah
Harry_Reid,Mitch_McConnell
Lisette_M._Mondello,George_W._Bush
Stephen_Smith_(Australian_politician),Alexander_Downer
David_I_of_Scotland,Malcolm_IV_of_Scotland
Ward_Elcock,Ray_Hnatyshyn
Andrew_Mellon,Ramsay_MacDonald
Judit_Csabai_(politician),Zoltán_Mádi
Henry_Browne_Blackwell,Lucy_Stone
Llew_Smith,Michael_Foot
Roger_H._Zion,Winfield_K._Denton
Michel_Pastor,Victor_Pastor
Antony_Alda,Alan_Alda
Li_Na_(daughter_of_Mao_Zedong),Mao_Zedong
Vivian_Alamain,Ken_Corday
Alexander_Oswald_Brodie,Theodore_Roosevelt
Albert_Piddington,George_Dibbs
Thomas_Jefferson,George_Washington
Sam_Rayburn,Franklin_D._Roosevelt
John_D._Rockefeller,Laura_Spelman_Rockefeller
Robert_Keith_(actor),Peg_Entwistle
Samuel_Fitch,James_Lockwood_(Connecticut_politician)
John_A._Kronstadt,Barack_Obama
John_Ritter,Dorothy_Fay
Digvijay_Singh_(Bihar),Chandra_Shekhar
Spruille_Braden,Nelson_Rockefeller
Frederick_Frelinghuysen_(general),Philemon_Dickinson
P._K._Smith,Ashton_B._Collier
James_Catts,Edward_Charles_Riley
Francisco_Urcuyo,Anastasio_Somoza_Debayle
Edith_Frank,Otto_Frank
Richard_Dawson,Diana_Dors
Nancy_V._Rawls,Jimmy_Carter
Norman_Cameron_(politician),Edward_Braddon
Stanley_K._Hathaway,Gerald_Ford
Matthew_Pritzker,Robert_Pritzker
Morgan_le_Fay,Morgause
Peter_Buell_Porter,James_Barbour
Jocelyn_Newman,Joe_Hockey
Hermann_Raster,Samuel_A._Irvin
Gabbar_Singh_(character),Javed_Akhtar
Emily_Vanderbilt_Sloane,Emily_Thorn_Vanderbilt
Kim_Richards,Paris_Hilton
Augustus_Brandegee,Henry_C._Deming
Tarique_Rahman,Arafat_Rahman
James_Carson_Breckinridge,John_C._Breckinridge
"Thomas_Villiers,_1st_Earl_of_Clarendon",Lord_John_Sackville
Tove_Strand,Leif_Arne_Heløe
Mallika_Sukumaran,Jagathy_Sreekumar
Hadia_Tajik,Jens_Stoltenberg
William_Fitzherbert_(New_Zealand_politician),George_Waterhouse_(politician)
Loretta_Lynch,Barack_Obama
Joseph_V._Quarles,Theodore_Roosevelt
Arturo_Alessandri,Juan_Luis_Sanfuentes
Manjula_Vijayakumar,Vijayakumar_(actor)
David_M._McIntosh,Ronald_Reagan
Rufus_King,DeWitt_Clinton
Grover_Cleveland,Thomas_A._Hendricks
Kamala_Surayya,Nalapat_Narayana_Menon
Ashraf_Ghani,Rula_Ghani
William_Ewart_Gladstone,"Henry_de_Worms,_1st_Baron_Pirbright"
Olof_Palme,Ingvar_Carlsson
Anne_Armstrong,Richard_Nixon
Franklin_D._Roosevelt,Herbert_H._Lehman
Alexander_G._Penn,John_Perkins_Jr.
Peter_Cookson,Beatrice_Straight
Mwanawina_I,Prince_Mbanga
Robert_C._Weaver,Lyndon_B._Johnson
Barbara_Rush,Warren_Cowan
Wallace_Rider_Farrington,Charles_J._McCarthy
"Annabel_Astor,_Viscountess_Astor","William_Astor,_4th_Viscount_Astor"
"David_Eccles,_1st_Viscount_Eccles",Winston_Churchill
Clark_Gable,Sylvia_Ashley
Melesina_Trench,Richard_Chenevix_(bishop)
John_Caskie_Collet,Franklin_D._Roosevelt
Peter_Feaver,Bill_Clinton
Robert_Kraft,Paul_Tagliabue
Alexander_G._Cattell,Frederick_Theodore_Frelinghuysen
Sansa_Stark,Rickon_Stark
Brice_Mutton,John_Adamson_(New_South_Wales_politician)
David_Ellison,Megan_Ellison
"Patrick_Jenkin,_Baron_Jenkin_of_Roding",Keith_Joseph
William_Aston,Syd_Einfeld
Gunnar_Heckscher,Jarl_Hjalmarson
Thomas_Betts,John_Belding
"John_Russell,_1st_Earl_of_Bedford","Edward_Seymour,_1st_Duke_of_Somerset"
Alan_Greenspan,Gerald_Ford
Ralph_Miliband,Marion_Kozak
Gordon_Bryant,Bob_Hawke
Seán_MacBride,Éamon_de_Valera
Jerry_Hall,Elizabeth_Jagger
List_of_Monk_characters,Stanley_Kamel
Nancy_Pelosi,Barack_Obama
Balaji_Baji_Rao,Chhatrapati_Shahu
Leonid_Brezhnev,Nikolai_Podgorny
Shmuel_Schneurson,Shmuel_Schneersohn
Siti_Hasmah_Mohamad_Ali,Endon_Mahmood
"George_Lambert,_1st_Viscount_Lambert",Cedric_Drewe
Erskine_Hamilton_Childers,Éamon_de_Valera
Harlan_F._Stone,John_G._Sargent
Roy_Blunt,Jim_Clyburn
Frances_Shand_Kydd,Peter_Shand_Kydd
William_Henry_Harrison,Thomas_Ewing
Brett_Kavanaugh,George_W._Bush
Osman_III,Mustafa_III
Mim_Grey,Paul_McCartney
Robert_Tickner,Bob_Hawke
Barbara_Bush,Joan_Mondale
Aung_San_Suu_Kyi,Aung_Min
Najmaddin_Sadigov,Ilham_Aliyev
Cynthia_L._Quarterman,Barack_Obama
"Edward_Smith-Stanley,_14th_Earl_of_Derby","George_Hamilton-Gordon,_4th_Earl_of_Aberdeen"
"Vere_Fane,_4th_Earl_of_Westmorland","Sir_John_Knatchbull,_2nd_Baronet"
Schuyler_Colfax,Abraham_Lincoln
Mickey_Kantor,Bill_Clinton
Michael_Corleone,Vito_Corleone
William_Mundy_(MP),Edward_Miller_Mundy_(1800–1849)
Asghar_Khan,Imran_Khan
Manmohan_Singh,Pratibha_Patil
Samuel_Fitch,Joseph_Platt
Sterling_M._McMurrin,John_F._Kennedy
Ron_Reagan,Michael_Reagan
"Mildmay_Fane,_2nd_Earl_of_Westmorland","Sir_Edward_Hales,_1st_Baronet"
Mihrişah_Sultan,Mustafa_III
Michael_Bloomberg,Bill_de_Blasio
Lena_Bergman,Mats_Bergman
Reginald_Claypoole_Vanderbilt,Anderson_Cooper
Will_Smith,Jada_Pinkett_Smith
Irwin_Winkler,Margo_Winkler
Rufus_King,Jared_Ingersoll
Robert_G._Ingersoll,Robert_Burns
John_Warren_Davis,Charles_F._Lynch
Hussein_Fatal,Tupac_Shakur
Mehdi_Bazargan,Karim_Sanjabi
Andrew_Stevenson,John_Tyler
"Dudley_Marjoribanks,_1st_Baron_Tweedmouth",Ralph_Anstruther_Earle
Erling_Lorentzen,Øivind_Lorentzen
Ronald_Reagan,Jane_Wyman
Pat_Brown,Ronald_Reagan
Bob_Katter,Martin_Tenni
Archibald_Roosevelt,Theodore_Roosevelt
Peregrine_Maitland,George_Thomas_Napier
"Thomas_Herbert,_8th_Earl_of_Pembroke",Mary_II_of_England
Şevket_Sabancı,Erol_Sabancı
Vice_presidency_of_Al_Gore,Dan_Quayle
Carlos_Fuentes,Luis_Buñuel
Sartaj_Aziz,Benazir_Bhutto
Chester_Bowles,Richard_Nixon
Jared_(biblical_figure),Mahalalel
Martha_Washington,Abigail_Adams
James_Graham_Fair,John_P._Jones
Sean_Penn,Eileen_Ryan
Tanya_Dubash,Pirojsha_Adi_Godrej
James_D._Black,Edwin_P._Morrow
John_A._Volpe,Jimmy_Carter
William_Gibbs_McAdoo,Woodrow_Wilson
Alan_Cranston,Alan_K._Simpson
Franklin_D._Roosevelt,Claude_R._Wickard
Robin_Miller_(nurse),Mary_Durack
Jejomar_Binay,Benigno_Aquino_III
Tamás_Deutsch_(politician),György_Jánosi
Michael_Yabsley,Ray_Aston
Frank_Kitto,Robert_Menzies
Michael_Wilding_(actor),Elizabeth_Taylor
Sharon_Marley,Stephen_Marley_(musician)
M._Rony_Francois,Jeb_Bush
Albert_Gore_Sr.,Bill_Brock
Thabo_Mbeki,F._W._de_Klerk
Mário_Soares,Adelino_da_Palma_Carlos
"Frederick_Stanley,_16th_Earl_of_Derby",John_A._Macdonald
Michael_Kocáb,Mirek_Topolánek
"Sir_John_Gladstone,_1st_Baronet","Sir_John_Beresford,_1st_Baronet"
"Caroline_Fox,_1st_Baroness_Holland","Charles_Lennox,_2nd_Duke_of_Richmond"
"Hugh_Percy,_1st_Duke_of_Northumberland","Charles_Bennet,_2nd_Earl_of_Tankerville"
Michael_McHugh,Bob_Hawke
John_Beatty_(Continental_Congress),Jonathan_Dayton
Kirsten_Cohen,Julie_Cooper_(The_O.C.)
Mary_Todd_Lincoln,Mary_Harlan_Lincoln
John_Parke_Custis,Eleanor_Calvert
Zainab_bint_Muhammad,Muhammad
Norman_Armour,Harry_S._Truman
Mia_Sara,Jason_Connery
Mark_Antony,Lucius_Cornificius
David_Lloyd_George,H._H._Asquith
Shelley_Moore_Capito,Bob_Wise
Thomas_M._Rose,George_W._Bush
Ninian_Edwards,Shadrach_Bond
James_Balfour_(engineer),Thomas_Stevenson
Francis_Tolentino,Benigno_Aquino_III
Karolos_Papoulias,George_Papandreou
"Harriet_Sutherland-Leveson-Gower,_Duchess_of_Sutherland","Anne_Murray,_Duchess_of_Atholl"
Theron_Feemster,Justin_Bieber
Abram_Irvin_McDowell,Smithson_E._Wright
Margaret_Field,Jock_Mahoney
Ahmed_Muhtar_Pasha,Kâmil_Pasha
John_Laurance,Aaron_Burr
Stephanie_Thacker,Barack_Obama
Steny_Hoyer,Roy_Blunt
Gerald_Ford,William_Thaddeus_Coleman_Jr.
Vilasrao_Deshmukh,Jairam_Ramesh
Rupert_Murdoch,Keith_Murdoch
Grover_Cleveland,Alexander_Brush
Edward_H._Levi,Gerald_Ford
James_E._Boasberg,Barack_Obama
Ron_Dellums,Pete_Stark
Patrick_Cassidy_(actor),David_Cassidy
Bob_Glaub,John_Lennon
Ron_Dellums,Nancy_Pelosi
Pietro_Ferrero,Giovanni_Ferrero
Vincent_Corleone,Michael_Corleone
Lola_Karimova-Tillyaeva,Gulnara_Karimova
Charles_H._Percy,Alan_J._Dixon
Alfonso_E._Lenhardt,Barack_Obama
William_B._McCreery,William_M._Fenton
Edward_Walpole,"Stephen_Fox-Strangways,_1st_Earl_of_Ilchester"
Eleanor_Roosevelt,John_F._Kennedy
Richard_Swett,Bill_Clinton
Philip_Hamilton,Alexander_Hamilton_Jr.
Louisa_Adams,Emily_Donelson
Sakıp_Sabancı,Özdemir_Sabancı
Pujie,Youlan_(noble)
Walther_Funk,Adolf_Hitler
Henry_Fonda,Troy_Garity
John_Addison_Porter,Joseph_Earl_Sheffield
Johannes_Steuchius,Erik_Benzelius_the_younger
Rupert_Murdoch,Wendi_Deng_Murdoch
Andreas_Papandreou,Tzannis_Tzannetakis
Walter_Sisulu,Oliver_Tambo
Edmund_Turnor_(antiquarian),George_Smith_(1765–1836)
"Herbert_Samuel,_1st_Viscount_Samuel",Winston_Churchill
Robert_Goulet,Joan_Hackett
William_Scranton,Daniel_Patrick_Moynihan
Moji_Afolayan,Gabriel_Afolayan
Percy_Avery_Rockefeller,William_Rockefeller
C._P._Spencer,Marvin_Gaye
Elliot_Richardson,Robert_H._Quinn
F._W._de_Klerk,Thabo_Mbeki
Evan_Wallach,Bill_Clinton
Magnhild_Meltveit_Kleppa,Jens_Stoltenberg
"Charles_Paulet,_1st_Duke_of_Bolton","James_FitzJames,_1st_Duke_of_Berwick"
William_S._Burroughs,Patti_Smith
Franklin_D._Roosevelt,Herbert_Hoover
Ali_ibn_Husayn_Zayn_al-Abidin,Shahrbanu
Matthew_Marvin_Sr.,Richard_Olmsted_(settler)
William_Dickinson_Hawley,Sereno_Edwards_Dwight
"Florence_Horsbrugh,_Baroness_Horsbrugh",Dingle_Foot
Joseph_Macmanus,Barack_Obama
Chung_Hong-won,Park_Geun-hye
Paulie_Pennino,Sylvester_Stallone
"John_Hay,_2nd_Marquess_of_Tweeddale","John_Campbell,_2nd_Duke_of_Argyll"
Terry_Gibbs,Steve_Allen
Huey_Long,Earl_Long
Charles_Matthews_(Texas_politician),George_W._Bush
Malcolm_Rifkind,Michael_Portillo
David_Lloyd_George,"Herbert_Kitchener,_1st_Earl_Kitchener"
Hillary_Clinton,Bill_Clinton
Sargent_Shriver,Patrick_Schwarzenegger
"William_Mitchell-Thomson,_1st_Baron_Selsdon",Hastings_Lees-Smith
Theodore_Roosevelt_Jr.,Franklin_D._Roosevelt
Gordon_Purdy,Frank_Thomas_Stanfield
George_Mason_II,George_Mason
Akshay_Kumar,Rinke_Khanna
Glenn_Aitken_(singer),Paul_McCartney
John_Parke_Custis,Martha_Washington
Robert_L._Stanton,Henry_Brewster_Stanton
Wayne_MacVeagh,Benjamin_H._Brewster
James_Sheafe,Samuel_Livermore
Ratna_Pathak,Shahid_Kapoor
Wendy_Beetlestone,Barack_Obama
P._K._Banerjee_(Indian_diplomat),Jawaharlal_Nehru
Crispin_Tickell,Margaret_Thatcher
Nelson_W._Aldrich,Ambrose_Burnside
Andrew_Mellon,Warren_G._Harding
Diana_Farrell,Barack_Obama
Henry_L._Stimson,Franklin_D._Roosevelt
Ann_Keen,"Frederick_Curzon,_7th_Earl_Howe"
Bharadwaja,Bṛhaspati
Aldebert_de_Chambrun_(1872-1962),Nicholas_Longworth
Jane_Engelhard,Fritz_Mannheimer
William_Hutchinson_(Rhode_Island),Anne_Hutchinson
"Maurice_Roche,_4th_Baron_Fermoy","James_Roche,_3rd_Baron_Fermoy"
"Sir_George_Dashwood,_5th_Baronet",Charles_Grey_(British_Army_officer)
William_A._Egan,Jay_Hammond
Taylor_Sherman,Eliphalet_Lockwood
David_R._Herndon,Bill_Clinton
David_Lloyd_George,Prime_Minister_of_the_United_Kingdom
Ludwig_Greiner,Prince_Ferdinand_of_Saxe-Coburg_and_Gotha
Hau_Pei-tsun,Chiang_Ching-kuo
Don_Tannas,Harry_Alger
Myron_Herbert_Thompson,Jimmy_Carter
Pierre_Trudeau,Roland_Michener
Sansa_Stark,Arya_Stark
Joseph_Lyons,Robert_Menzies
Sajida_Talfah,Khairallah_Talfah
Jack_Watts_(politician),Sidney_Holland
Martin_Tucker_Smith,John_Abel_Smith
Joseph_P._Allyn,Abraham_Lincoln
Shem,Noah
Shabana_Azmi,Javed_Akhtar
Clint_Eastwood,Frances_Fisher
Samuel_A._Foot,Henry_W._Edwards
Peggy_Lipton,Quincy_Jones
"Phelan_Beale,_Jr.",Bouvier_Beale
Roméo_LeBlanc,Diana_Fowler_LeBlanc
Hakim_Syed_Karam_Husain,Qazi_Mir_Imdad_Ali
Ahmet_Zappa,Dweezil_Zappa
"Sidney_Godolphin,_1st_Earl_of_Godolphin",Mary_II_of_England
Hillary_Clinton,John_Kerry
Christine_Terhune_Herrick,Mary_Virginia_Terhune
Ben_Christophers,Marianne_Faithfull
William_Whiting_II,George_D._Robinson
Reuven_Rivlin,Benjamin_Netanyahu
George_Theodore_Mickelson,Dwight_D._Eisenhower
Haji_Amir_Bux_Junejo,Nawaz_Sharif
"John_Simon,_1st_Viscount_Simon","Herbert_Samuel,_1st_Viscount_Samuel"
Fidel_Castro,Raúl_Castro
Robin_Carnahan,Matt_Blunt
Anne_Hollinghurst,Justin_Welby
Ron_Thornburgh,Kathleen_Sebelius
Jay_Rockefeller,Arlen_Specter
Ruth_Kelly,David_Miliband
Rodrigo_Hernán_Lloreda_Caicedo,Andrés_Pastrana_Arango
James_Madison,Thomas_Jefferson
Doris_Boyd,Merric_Boyd
Abel_Smith_(1717–1788),"John_Hamilton,_1st_Marquess_of_Abercorn"
Leónidas_Plaza,Alfredo_Baquerizo
Shivpal_Singh_Yadav,Akhilesh_Yadav
Frank_Wilkes,John_Cain_(senior)
George_Jay_Gould_I,Edith_Kingdon
Anna-Greta_Leijon,Thage_G._Peterson
Akhenaten,Amenhotep_III
Reuben_H._Walworth,Enos_T._Throop
Lady_Bird_Johnson,Muriel_Humphrey_Brown
Chiril_Gaburici,Natalia_Gherman
Doris_Duke,James_Buchanan_Duke
Philip_Barton_Key,Patrick_Magruder
Maggie_Smith,Robert_Stephens
Emma_Swan,Queen_(Snow_White)
Brett_Craig,Kim_Craig
Yuka_Honda,Sean_Lennon
Alberto_Fujimori,Alan_García
Roger_Edwards_(politician),Richard_Cockwell
Ken_Starr,George_H._W._Bush
Joe_Biden,Barack_Obama
Aurora_(Disney_character),Kate_Higgins
Nursultan_Nazarbayev,Yerik_Asanbayev
Abby_Aldrich_Rockefeller,Winthrop_W._Aldrich
Priscilla_Bright_McLaren,Jacob_Bright
Miriam_Byrd_Nethery,Clu_Gulager
Barry_McCaffrey,Bill_Clinton
David_K._E._Bruce,George_H._W._Bush
Barney_Rubble,Daws_Butler
Ronald_Machtley,Patrick_J._Kennedy
Elizabeth_Alda,Alan_Alda
Myrtle_Anagnostou,Koralia_Karanti
"John_MacKay,_Baron_MacKay_of_Ardbrecknish",Margaret_Thatcher
Robert_C._Bonner,George_H._W._Bush
Edward_W._Mulcahy,Jimmy_Carter
Nancy_Pelosi,Paul_Cook_(politician)
Goh_Chok_Tong,Lee_Hsien_Loong
Leo_Gorcey,David_Gorcey
Elena_Ceaușescu,Nicolae_Ceaușescu
Justin_Potter,Justin_P._Wilson
"Thomas_Howard,_1st_Earl_of_Berkshire","Sir_Thomas_Monson,_1st_Baronet"
Lester_B._Pearson,Leighton_McCarthy
Samuel_Comstock,Joseph_Platt
Mary_Hemings,John_Wayles_Jefferson
John_George_MacKay,Alex_Campbell_(politician)
Raneo_Abu,Rodrigo_Duterte
Josef_Grohé,Adolf_Hitler
John_Foster_Dulles,Robert_F._Wagner
Gopinath_Munde,Nitin_Gadkari
Kiefer_Sutherland,Tommy_Douglas
Ranasinghe_Premadasa,Hema_Premadasa
Nelson_W._Aldrich,Benjamin_T._Eames
Calvin_Coolidge,Samuel_W._McCall
"William_Bodde,_Jr.",Fred_J._Eckert
Margene_Heffman,Mark_V._Olsen
Jesse_M._Furman,Barack_Obama
PS_Kendari__Ali__1,Ali
Nancy_Walker_Bush_Ellis,Jonathan_S._Bush
Gaspard_Fauteux,Eugène_Fiset
George_W._Woodruff,Ernest_Woodruff
Josiah_Quincy_III,John_Thornton_Kirkland
Gladys_Fries_Harriman,W._Averell_Harriman
Roland_Burris,Barack_Obama
Mopreme_Shakur,Tupac_Shakur
Dorothy_Ayer_Gardner_Ford,Steven_Ford
Bo_Xilai,Wang_Yang_(politician)
Frederick_Cavendish_Ponsonby,"Henry_Grey,_3rd_Earl_Grey"
George_Deukmejian,Jerry_Brown
Charles_G._Dawes,William_McKinley
Balaji_Baji_Rao,Kashibai
William_Plumer,John_Langdon_(politician)
Alphonso_Taft,Edwards_Pierrepont
Lady_Jessica,Francesca_Annis
Gerard_E._Lynch,Barack_Obama
John_Adams,Thomas_Jefferson
Chris_Bowen,Nick_Sherry
Nicholas_Throckmorton_(alias_Carew),George_More
Alexander_Cassatt,Frank_Thomson
Sergey_Shoygu,Ruslan_Tsalikov
Lewis_Rudin,Jack_Rudin
George_Smathers,Russell_B._Long
Dariusz_Rosati,Józef_Oleksy
Choe_Ryong-hae,Kim_Jong-un
Stryver,Charles_Dickens
Gilbert_de_Botton,Yolande_Harmer
Rosalynn_Carter,George_H._W._Bush
Susanna_Clarke,Charles_Dickens
Charles_Haughey,Denis_Larkin
Zulfiqar_Mirza,Fahmida_Mirza
Alaina_B._Teplitz,Barack_Obama
Lou_Henry_Hoover,Grace_Coolidge
Ian_Paisley,David_Trimble
Joseph_Chamberlain,"Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury"
James_E._Towner,Franklin_D._Roosevelt
Kim_Il-sung,Kim_Jong-suk
Rose_Porteous,Aniceto_Lacson
Ehud_Olmert,Tzipi_Livni
Rodulfo_del_Valle,Francisco_Parra_Capó
Abdul_Ghani_Ahmad,Mukhriz_Mahathir
William_S._Burroughs,Joan_Vollmer
Jessica_Day_(New_Girl),Zooey_Deschanel
Lindy_Boggs,Jim_Nicholson_(Secretary_of_Veterans_Affairs)
Ferenc_Somogyi,Kinga_Göncz
Robert_McNamara,Roswell_Gilpatric
Ariadne_Oliver,Zoë_Wanamaker
Nitza_I._Quiñones_Alejandro,Barack_Obama
Kenneth_Claiborne_Royall,Harry_S._Truman
David_Folsom,Bill_Clinton
Vol_Dooley,Larry_Deen
Carolyn_Cheeks_Kilpatrick,John_Dingell
Suharto,Sudharmono
Joseph_Birchard,Samuel_Hanford
Naga_Chaitanya,Rana_Daggubati
William_B._Saxbe,Richard_Nixon
Danja_(record_producer),Britney_Spears
Chitra_Bharucha,Michael_Grade
Boney_Kapoor,Mona_Shourie_Kapoor
Faisal_Karim_Kundi,Asif_Ali_Zardari
Christopher_F._Droney,Bill_Clinton
Evelyn_Fuentebella,Arnulfo_Fuentebella
Susan_Eisenhower,Julie_Nixon_Eisenhower
Joseph_W._Westphal,Barack_Obama
John_Cornell,Delvene_Delaney
Red_Forman,Kitty_Forman
Rubina_Irfan,Nawaz_Sharif
Rance_Howard,Jean_Speegle_Howard
Tamir_Pardo,Benjamin_Netanyahu
Jim_Keltner,John_Lennon
Richard_G._Seeborg,Barack_Obama
Sadistik,Sylvia_Plath
Gough_Whitlam,William_McMahon
Smooth_(singer),Tupac_Shakur
Berkeley_L._Bunker,Russell_B._Long
George_Clinton_(vice_president),Thomas_Jefferson
Lady_Augusta_Murray,"John_Murray,_4th_Earl_of_Dunmore"
Arthur_Seldon,Margaret_Thatcher
George_H._W._Bush,Ed_Derwinski
Tarzan,Joe_Lara
"Dudley_Ryder,_1st_Earl_of_Harrowby","Robert_Dundas,_2nd_Viscount_Melville"
Vincent_Pontare,Avicii
M._R._Lakshmi_Narayanan,Indira_Gandhi
