Happy_(1960_TV_series),William_Loose
Our_Sons,Robert_Greenwald
Super_Friends_(1980_TV_series),Frank_Welker
The_Wonder_Years_(season_5),Michael_Dinner
The_Blow_Out,Chuck_Jones
Criminal_Minds:_Suspect_Behavior,John_Terlesky
Why_Girls_Love_Sailors,Hal_Roach
Steel_Magnolias,Robert_Harling_(writer)
American_Playhouse,David_Amram
"Moan_and_Groan,_Inc.",Hal_Roach
Living_for_Love,Madonna_(entertainer)
The_Hoose-Gow,Hal_Roach
Law_&_Order_(season_15),Paris_Barclay
Mr._Merlin,Jonathan_Prince
Dignity_(Bob_Dylan_song),Bob_Dylan
Bloodlust!,Richard_E._Cunha
Right_Yaaa_Wrong,Sunny_Deol
The_Twilight_Zone_(1959_TV_series)_(season_4),John_Brahm
Little_Tiger_of_Canton,Frankie_Chan
Work_with_Me,Pamela_Fryman
Hurricane_Island,Sam_Katzman
Twice_in_a_Lifetime_(TV_series),Al_Waxman
La_Belle_Noiseuse,Pascal_Bonitzer
The_Loyal_47_Ronin,Fuji_Yahiro
Sooky,Norman_Z._McLeod
Came_the_Brawn,Hal_Roach
46_Long,Alik_Sakharov
Desperate_Housewives,David_Grossman_(director)
Bloodline_(Fringe),Françoise_Yip
Call_to_Glory,Cindy_Pickett
The_Biskitts,Joseph_Barbera
Just_Shoot_Me!_(season_4),Pamela_Fryman
The_Earrings_of_Madame_de…,Vittorio_De_Sica
Zatoichi's_Pilgrimage,Kaneto_Shindo
Not_So_Quiet,Oswald_the_Lucky_Rabbit
Houseboat_(film),Cary_Grant
The_Human_Bullet,Masaru_Sato
The_Biskitts,Joseph_Barbera
Men_in_Black_(1934_film),Jules_White
Feet_of_Clay_(1960_film),Desmond_Saunders
Umney's_Last_Case,Stephen_King
Un_rostro_en_mi_pasado,Ernesto_Alonso
The_Lying_Game_(season_2),Bobby_Roth
Les_11_commandements,Gad_Elmaleh
Mandela_(1996_film),Jonathan_Demme
Crazy_to_Marry,Roscoe_Arbuckle
Zen_(TV_series),Anthony_Higgins_(actor)
Among_the_Mourners,Roscoe_Arbuckle
The_Night_That_Panicked_America,Nicholas_Meyer
"Get_Smart,_Again!",Daniel_Melnick
No_Lady,Percy_Strong
The_Legend_of_Suram_Fortress,Sofiko_Chiaureli
A_Thin_Line_Between_Love_and_Hate,Francis_Kenny
Storm_Rider_Clash_of_the_Evils,Ma_Wing-shing
Once_Upon_a_Forest,William_Hanna
The_Way_It_Is_(film),Steve_Buscemi
Dracula's_Death,Michael_Curtiz
Women_Who_Play,Alexander_Korda
Mother_(1999_film),Rakesh_Roshan
Cotton_Candy_(film),Charles_Martin_Smith
"Glee,_Actually",Mike_O'Malley
Tiger_Eyes_(film),Judy_Blume
Brooklyn_Orchid,Hal_Roach
Endless_Poetry,Brontis_Jodorowsky
She'll_Take_Romance,Tom_Skerritt
Hollywood_Adventures,Justin_Lin
Gossip_Girl_(season_3),Darnell_Martin
The_Strange_Affair_of_Uncle_Harry,Joan_Harrison_(screenwriter)
The_World_of_Suzie_Wong_(film),William_Holden
USS_Indianapolis:_Men_of_Courage,Andrzej_Sekuła
Idiot:_I_Do_Ishq_Only_Tumse,Mihir_Das
Sardari_Begum,Mahesh_Bhatt
Top_Secret!,Maurice_Jarre
The_Flintstones:_Jogging_Fever,Joseph_Barbera
6_Days_to_Air,Trey_Parker
Aalavattam_(film),Nedumudi_Venu
Hoot_(film),Brie_Larson
State_of_Play_(film),Jason_Bateman
Tip_Toes,Roy_Overbaugh
Fugitive_in_Trieste,Diego_Fabbri
The_Beguiled,Clint_Eastwood
The_Little_Hour_of_Peter_Wells,David_Whitelaw
A_Lady's_Morals,Irving_Thalberg
Shirley_Temple's_Storybook,Paul_Bogart
Sons_of_Adventure,Franklin_Adreon
The_A-Tom-Inable_Snowman,Chuck_Jones
Chicago_(1927_film),Cecil_B._DeMille
The_Method_(film),Gerardo_Herrero
"Goodnight,_Ladies_and_Gentlemen",Adolfo_Celi
Sri_Krishna_Pandaveeyam,Gummadi_Venkateswara_Rao
Regular_Show,J._G._Quintel
The_Kiss_(1914_film),William_Desmond_Taylor
Crack_Your_Heels,Hal_Roach
Are_We_Not_Men%3F_We_Are_Diva!,Christina_Aguilera
Days_of_Love,Elio_Petri
Under_Two_Jags,Hal_Roach
Cavalcade_of_America,John_Brahm
Night_of_the_Blood_Beast,Roger_Corman
The_Little_Thief,François_Truffaut
Lulu_(singer)__It's_Luluaka_Lulu's_Back_In_TownHappening_For_Lulu__1,Bill_Oddie
Timmy_and_the_Lords_of_the_Underworld,Trey_Parker
Panty_&_Stocking_with_Garterbelt__tv_series__1,Taku_Takahashi
Cuori_nella_tormenta,Carlo_Verdone
Laawaris_(film)__Laawaris__1,Prakash_Mehra
Back_to_the_Future_(TV_series),Robert_Zemeckis
Fred_and_Barney_Meet_the_Shmoo,Joseph_Barbera
Hiram_na_Alaala,Jun_Lana
She_Loves_Me_Not_(1918_film),Hal_Roach
Godfather_(2012_film),K._S._Ravikumar
Reunion_(1932_film),Reginald_Hargreaves
Shivering_Shakespeare,Robert_F._McGowan
Run_for_Your_Life_(TV_series),Roy_Huggins
Widows'_Peak,Mia_Farrow
Scrap_Happy_Daffy,Cal_Dalton
The_Voice_of_the_Moon,Nino_Baragli
Inside_Out_(1975_film),Günter_Meisner
We_Are_Born,Madonna_(entertainer)
The_Playbook_(How_I_Met_Your_Mother),Pamela_Fryman
The_Beguiled,Clint_Eastwood
Valley_Girls,Ryan_Hansen
The_Geisha_Boy,Jerry_Lewis
Hot_in_Cleveland_(season_5),John_Whitesell
Sea_Raiders,Henry_MacRae
The_President's_Analyst,William_A._Fraker
The_Telegraph_Trail,William_Clemens_(film_director)
Alaap,Asrani
Book_of_Blood,Clive_Barker
Third_Person_Singular_Number,Anisul_Hoque
Stargate_SG-1_(season_9),Brad_Turner_(director)
Creature_from_the_Black_Lagoon,William_Alland
Lennon_(musical),Don_Scardino
New_Jack_Hustler_(Nino's_Theme),Ice-T
The_Law_of_the_Wilds,B._Reeves_Eason
The_Polar_Bears,Tony_Scott
Seediq_Bale,John_Woo
The_Great_Awakening_(film),Alexander_Korda
Psycho_(franchise),Stephen_Rebello
Seven_Brothers_(comics),John_Woo
Bombay_Priyudu,Tanikella_Bharani
Aloha_Paradise,Michael_Norell
The_Sin_of_Julia,Alejandro_Gutiérrez_del_Barrio
The_East_Is_Red_(1993_film),Tsui_Hark
The_Beggar's_Opera_(film),Laurence_Olivier
Bugs_and_Daffy's_Carnival_of_the_Animals,Ben_Washam
Certain_Women_(film),Laura_Dern
X-Cops_(The_X-Files),Vince_Gilligan
The_Delicate_Delinquent,Jerry_Lewis
While_Parents_Sleep,Enid_Stamp_Taylor
The_Sacrament_(2013_film),Eli_Roth
Hellraiser:_Inferno,Walter_Werzowa
Karen_Sisco,Bill_Duke
Hot_Boyz_(film),Joseph_Merhi
Cancel_My_Reservation,Michael_A._Hoey
Happily_Divorced_(season_2),Rob_Schiller
Odyssey_5,Stephen_Williams_(director)
Thanga_Magan_(2015_film),Dhanush
Ice_and_the_Sky,Claude_Lorius
Soosi,Thoppil_Bhasi
Howl_(2010_film),Gus_Van_Sant
The_Yellow_Birds_(film),David_Lowery_(director)
Saturday_Night_and_Sunday_Morning_(film),Tony_Richardson
Skin_Deep_(1989_film),Isidore_Mankofsky
Nightfall_(1957_film),Brian_Keith
Anno_Domini_1573,Franjo_Majetić
Arundhati_(2009_film),Saluri_Koteswara_Rao
Diebuster__manga__1,Kazuya_Tsurumaki
Baat_Ban_Jaye,Shakti_Kapoor
The_Secret_of_the_Loch,Charles_Bennett_(screenwriter)
Everybody_Loves_Raymond_(season_2),Will_Mackenzie
Kamen_Rider_OOO_Wonderful:_The_Shogun_and_the_21_Core_Medals,Riho_Takada
Countess_Kitchenmaid,Oskar_Messter
While_I_Live,Tom_Walls
Transformers:_Dark_of_the_Moon,Shia_LaBeouf
Up_to_a_Certain_Point,Juan_Carlos_Tabío
Exploits_of_a_Young_Don_Juan,Jean-Claude_Carrière
How_to_Eat_Fried_Worms_(film),Kimberly_Williams-Paisley
Playas_Ball,Dale_Davis_(basketball)
Cheating_the_Piper,Walter_Lantz
Pip_(South_Park),Trey_Parker
Vidukathai_(film),K._Balachander
Sausage_Party,Edward_Norton
Happy_Days_in_Aranjuez,Wolfgang_Liebeneiner
Miracles_of_Thursday,José_Isbert
Hypocrites_(film),Phillips_Smalley
Dirty_Work_(1933_film),Hal_Roach
Scene_of_the_Crime_(1986_film),Olivier_Assayas
Cost_of_Living_(Star_Trek:_The_Next_Generation),Winrich_Kolbe
Alias_(season_4),Dan_Attias
Flash_Gordon_Conquers_the_Universe,Henry_MacRae
