The_Paradise_Suite_(Armchair_Theatre),Sam_Wanamaker
The_Mentalist_(season_3),Eric_Laneuville
Dame_Care,William_Dieterle
Classic_Disney:_60_Years_of_Musical_Magic,Mel_Gibson
Dollhouse_(TV_series),David_Solomon_(TV_producer)
The_Life_of_General_Villa,D._W._Griffith
Ultima_VI:_The_False_Prophet,Richard_Garriott
Aame_Katha,Sripriya
On_Board_(film),Erkan_Can
The_Return_of_Dr._Fu_Manchu,Lloyd_Corrigan
Nach_Baliye,David_Dhawan
Chaplin_(film),John_Barry_(composer)
Wanted_for_Murder_(film),Emeric_Pressburger
Space:_1999,Thom_Keyes
Tomalio,Roscoe_Arbuckle
Sharky's_Machine_(film),William_A._Fraker
"Healthy,_Wealthy_and_Dumb",Curly_Howard
The_Middle_Watch_(1940_film),Jack_Buchanan
Professor_Bean's_Removal,Roscoe_Arbuckle
A_Slice_of_Life_(1954_film),Vasco_Pratolini
Help_Me_Eros,Tsai_Ming-liang
Magic_Circle_Club,Liz_Harris
A_Woman_Called_Moses,Orson_Welles
Scandal_in_Bad_Ischl,Elisabeth_Müller
The_Round_Table_(TV_series),Roxann_Dawson
Camouflage_Self-Portrait,Andy_Warhol
The_Sin_of_Rogelia_Sanchez,Federico_Moreno_Torroba
George_Lopez_(season_5),Sheldon_Epps
Lillian_Gish_in_a_Liberty_Loan_Appeal,Lillian_Gish
Begin_Again_(film),Gregg_Alexander
The_Miracle_Child,Jean_Renoir
Hellbilly_58,Lloyd_Kaufman
Swing_Ding_Amigo,Friz_Freleng
The_Fonz_and_the_Happy_Days_Gang,William_Hanna
The_River_and_Death,Jaime_Fernández_(actor)
Il_Sorpasso,Maurizio_Lucidi
Margin_for_Error,Samuel_Fuller
Vatsalyam,Kaithapram_Damodaran_Namboothiri
Dreamland_(The_X-Files),Vince_Gilligan
Pure_in_Heart,Ku_Hye-sun
Junoon_(1978_film),Jennifer_Kendal
1920:_London,Vikram_Bhatt
Mystery_Island,William_Hanna
Deep_Red_(1994_film),Michael_Biehn
The_Most_Wonderful_Evening_of_My_Life,Dino_De_Laurentiis
Flubber_(film),John_Hughes_(filmmaker)
Larawan:_A_Special_Drama_Engagement,Angelu_de_Leon
Star_Fairies,William_Hanna
That_Old_Feeling_(film),Leslie_Dixon
Mary_(1985_TV_series),Derek_McGrath
Team_America:_World_Police,Bill_Pope
Code_Name_Melville,Johnnie_To
The_Raid_(1991_film),Tsui_Hark
The_Horn_Blows_at_Midnight,Mark_Hellinger
Trapped_in_the_Sky,Ray_Barrett
"Sing,_Baby,_Sing",Alice_Faye
Run_Baby_Run_(2012_film),Amala_Paul
True_Legend,Gordon_Liu
Blue_Valentine_(film),Ryan_Gosling
Thoongadhey_Thambi_Thoongadhey,Kamal_Haasan
Kanoon_(1943_film),Gajanan_Jagirdar
Columbus_Circle_(film),Kevin_Pollak
List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1991),Barry_Levinson
"Belphegor,_Phantom_of_the_Louvre",Danièle_Thompson
The_Wizard_(TV_series),Don_Weis
Meetin'_WA,Woody_Allen
The_Nickel-Hopper,Mabel_Normand
The_13_Ghosts_of_Scooby-Doo,William_Hanna
In_the_Soup,Jim_Jarmusch
Sharada_(1957_film),Vempati_Sadasivabrahmam
Texas_Across_the_River,Jimmy_Van_Heusen
The_Back-up_Plan,Colbie_Caillat
My_Name_Is_Earl_(season_3),Ken_Whittingham
Vishwatma,Sunny_Deol
The_Kennel_Murder_Case_(film),Mary_Astor
Pack_Up_Your_Troubles_(1932_film),Hal_Roach
"Benjamin_Franklin,_Jr.",Robert_A._McGowan
Shirt_Tales,Joseph_Barbera
A_Thousand_Miles_from_Nowhere,Dwight_Yoakam
Misbegotten_(film),Larry_Cohen
Joan_of_Arc_(miniseries),Olympia_Dukakis
Mamá_campanita,Rafael_Banquells
Twelfth_Night_(1996_film),Ben_Kingsley
Love_in_Thoughts,Anna_Maria_Mühe
Chuck_Versus_the_Wedding_Planner,Lisa_LoCicero
Extravagance_(1919_film),Thomas_H._Ince
Hittin'_the_Trail_for_Hallelujah_Land,Friz_Freleng
Zalzala_(1988_film),Puneet_Issar
Neela_Kuyil,Priyadarshan
Between_Showers,Mack_Sennett
The_Marathon_(film),Hal_Roach
100_Days_of_Love,Govind_Menon
Dr._Ehrlich's_Magic_Bullet,Donald_Crisp
Laverne_&_Shirley_in_the_Army,William_Hanna
Father_Dowling_Mysteries_(season_2),Russ_Mayberry
The_Hunt_for_Eagle_One:_Crash_Point,Roger_Corman
When_the_Wind_Blows_(1930_film),Hal_Roach
Howards_End_(film),Samuel_West
The_Postman_Always_Rings_Twice_(1981_film),David_Mamet
Moonrise_(film),Harry_Keller
Escape_from_Fort_Bravo,Nicholas_Nayfack
Warlock_(1959_film),Dorothy_Malone
Conflict_(1938_film),André_Bac
The_Possession,Sam_Raimi
Crashout,William_Bendix
Crooked_House_(TV_series),Mark_Gatiss
Who_Mourns_for_Adonais%3F,Michael_Forest
Baby_Clothes,Hal_Roach
An_Innocent_Magdalene,D._W._Griffith
Maritime_Silk_Road_(film),Bahram_Radan
Love_That_Pup,Ray_Patterson_(animator)
The_Hangman_(1959_film),Terry_O._Morse
No_Noise,Mary_Kornman
The_Temptation_of_Barbizon,François_Périer
The_Gaucho,Bill_Nolan_(animator)
Ram_Chahe_Leela,Sanjay_Leela_Bhansali
The_Terror_(1963_film),Stuart_O'Brien
Road_to_Bali,Bing_Crosby
Miracles_(How_I_Met_Your_Mother),Sarah_Chalke
Columbo_(season_9),Patrick_McGoohan
The_Lady_Is_Willing_(1942_film),Ted_Tetzlaff
Boris_Godunov_(1986_film),Alexander_Pushkin
Young_Sherlocks,Hal_Roach
Love_Kills_(film),Nick_Wood
Olympic_Games_(film),Hal_Roach
Laawaris_(film)__Laawaris__1,Prakash_Mehra
Broken_Strings_(film),Mack_Stengler
"Tombstone,_the_Town_Too_Tough_to_Die",Edward_E._Paramore_Jr.
Blonde_Ambition,Jessica_Simpson
The_Singing_City,Bernard_Vorhaus
Scooby-Doo!_Pirates_Ahoy!,Tim_Conway
Moving_Violation_(film),Roger_Corman
Intolerance_(film),Tod_Browning
Parkland_(film),Billy_Bob_Thornton
Spooks:_Code_9,David_Wolstencroft
The_Life_and_Death_of_Colonel_Blimp,Deborah_Kerr
The_Lorax_(TV_special),Friz_Freleng
The_Hurricane_(1937_film),Jon_Hall_(actor)
Between_Midnight_and_Dawn,Gene_Havlick
Member_Berries,Trey_Parker
Reign:_The_Conqueror__tv_series__1,Rintaro
Isn't_Life_Terrible%3F,Charley_Chase
Blackhats,Errol_Sadler
Odds_and_Evens_(film),Mario_Amendola
"Whoops,_I'm_an_Indian!",Jules_White
Law_&_Order_(season_1),Aaron_Lipstadt
Wolf_Song,John_Farrow
You_Better_Watch_Out_(NCIS),Rose_Rollins
Angora_Love,Hal_Roach
King_Dinosaur,Tom_Gries
Five_for_Hell,Sergio_Garrone
Oma_Irama_Penasaran,Aminah_Cendrakasih
Karpoora_Deepam,Gangai_Amaran
Evil_Dead_II,Bruce_Campbell
Sein_und_Zeit_(The_X-Files),Rebecca_Toolan
Road_House_(1948_film),Oscar_Saul
Lilian's_Story,Ruth_Cracknell
Casper's_First_Christmas,Joseph_Barbera
A_Date_with_a_Dream,Robert_S._Baker
The_Legend_of_Zelda:_Majora's_Mask,Toru_Minegishi
Snow_Excuse,Friz_Freleng
77_Rue_Chalgrin,Michael_Powell
The_Cat_(1947_film),Tulio_Demicheli
Hope_(2007_film),Krzysztof_Kieślowski
Gajibiji,B._Nagi_Reddy
Have_Gun_–_Will_Travel_(season_1),Lewis_Milestone
The_Inside_(TV_series),Tim_Minear
The_Human_Stain_(film),Gary_Sinise
Sydney_(TV_series),Alex_Van_Halen
Wizards_of_the_Lost_Kingdom_2,Roger_Corman
Our_Leading_Citizen_(1922_film),William_P._Carleton
Tiger_Cage_(film),Wang_Lung-wei
Parvarrish_-_Season_2,Tony_Singh_(director)
Julie_and_Carol_at_Carnegie_Hall,Mike_Nichols
XXX:_Return_of_Xander_Cage,Deepika_Padukone
Hollywood_Hotel_(film),Richard_A._Whiting
Saddle_Rash,Loren_Bouchard
Slayers_Return,Maria_Kawamura
Swing_Ding_Amigo,Friz_Freleng
The_Many_Loves_of_Dobie_Gillis_(season_1),H._Bruce_Humberstone
Molière_(1978_film),Claude_Lelouch
The_Dance_of_Death_(1948_film),Erich_von_Stroheim
The_Bells_(1926_film),Lionel_Barrymore
Double_Cross_(1951_film),Mario_Monicelli
The_Big_Game_(1936_film),Irwin_Shaw
¡Paso_a_la_juventud..!,Fernando_de_Fuentes
Animal_Crackers_(1930_film),Harry_Ruby
Hollywood_Steps_Out,Robert_McKimson
Jeannie_(TV_series),William_Hanna
The_Three_Kings_(film),Henry_Edwards_(actor)
FlashForward,Michael_Nankin
Cash_and_Carry_(film),Clyde_Bruckman
Total_Siyapaa,Yami_Gautam
O'Malley_of_the_Mounted_(1936_film),William_S._Hart
Samurai_Sentai_Shinkenger_the_Movie:_The_Fateful_War,Chō
Now_—_The_Peace,Lorne_Greene
Poovilangu,K._Balachander
Rajrani_Meera,Nitin_Bose
Pretty_Little_Liars_(season_2),Chris_Grismer
Swoon_(film),Hilton_Als
Bolero_(1984_film),George_Kennedy
Garuda_Saukiyama,Thiagarajan
Geeks_(film),Irvin_Kershner
Porto_of_My_Childhood,Maria_de_Medeiros
Getting_Gertie's_Garter,Hugo_Friedhofer
Pick_a_Star,Hal_Roach
Plunder_(1931_film),Herbert_Wilcox
Termites_from_Mars,Walter_Lantz
Adam_&_Paul,Tom_Murphy_(actor)
Stark_Raving_Mad_(TV_series),Steven_Levitan
The_Wall_(TV_film),Scott_Abbott_(screenwriter)
Kit_for_Cat,Hawley_Pratt
Paddington_Bear_(1989_TV_series),William_Hanna
Little_Dorrit_(1920_film),Charles_Dickens
Jude_(film),Eduardo_Serra
Chora_Chittha_Chora,V._Ravichandran
Let's_Get_Harry,James_A._Contner
Come_Back_Mrs._Noah,David_Croft_(TV_producer)
Mr._3_Minutes,Ronald_Cheng
Jack_&_Bobby,John_Slattery
Her_Favourite_Husband,Steno_(director)
Will_&_Grace_(season_6),James_Burrows
Thirteen_Conversations_About_One_Thing,Alan_Arkin
NYPD_Blue_(season_2),Daniel_Sackheim
The_Adventures_of_Teddy_Ruxpin,George_Wilkins_(composer)
Hoodoo_Ann,D._W._Griffith
Manhunter_(film),Tom_Noonan
Salon_Kitty_(film),Fiorenzo_Carpi
Kung_Fu:_The_Next_Generation,Paul_De_Meo
Cimarron_Strip,Philip_Leacock
The_Gale_Storm_Show,Hal_Roach
ER_(season_1),Fred_Gerber
"Legally_Blonde_2:_Red,_White_&_Blonde",Mary_Lynn_Rajskub
He_Walked_by_Night,Crane_Wilbur
Chapter_2:_The_Voice,R._Kelly
New_Tales_of_the_Flying_Fox,Wong_Jing
Cast_Away,Nick_Searcy
Itha_Ivide_Vare,Madhu_(actor)
Miracle_at_St._Anna,Pierfrancesco_Favino
On_aura_tout_vu,Pierre_Richard
The_Freshman_(1925_film),Harold_Lloyd
Salakhain,Saud_(actor)
Don't_Bet_on_Blondes,Warren_William
Mr._Novak,Carol_Sobieski
Lego_Marvel_Super_Heroes:_Maximum_Overload,Greg_Cipes
List_of_The_Tonight_Show_with_Jay_Leno_episodes_(1992–99),Mel_Gibson
A_Woman_in_Pawn,Maurice_Elvey
The_Wonderful_Ice_Cream_Suit,Roy_E._Disney
Sacco_e_Vanzetti_(1971_film),Vicente_Aranda
Discord_(film),Herbert_Wilcox
Helping_Hands_(film),Robert_A._McGowan
Method_&_Red,Peter_Lauer
The_Bad_Man_(1941_film),Lionel_Barrymore
Devata_(1941_film),Chittor_V._Nagaiah
The_Best_Man_(1999_film),Spike_Lee
Vivahithare_Ithile,Jagathy_Sreekumar
Threshold_(TV_series),Peter_Hyams
Nenapina_Doni,Girish_Karnad
Short_Kilts,Stan_Laurel
The_Tall_Men_(film),Robert_Ryan
Ocho_apellidos_vascos,Clara_Lago
White_Shoulders,J._Walter_Ruben
Electrocuting_an_Elephant,Edwin_S._Porter
The_Korven,David_Caesar
Never_Weaken,Hal_Roach
Kaalam_Maari_Pochu_(1996_film),Vadivelu
Derby_Day_(1923_film),H._M._Walker
One_Meat_Brawl,Arthur_Davis_(animator)
"Wanted_–_$5,000",Hal_Roach
The_Red_Lily,Enid_Bennett
Platinum_High_School,Albert_Zugsmith
Shootin'_Injuns,Hal_Roach
The_Thrill_Hunter,Buck_Jones
Sun_Tea_(30_Rock),Gail_Mancuso
Miss_Grant_Takes_Richmond,Frank_Tashlin
The_Crime_Doctor_(1934_film),Karen_Morley
Campbell's_Kingdom,Frederick_Wilson
Father_Gets_in_the_Game,Mack_Sennett
A_Nightmare_on_Elm_Street_4:_The_Dream_Master,Rachel_Talalay
Bindaas,V._Nagendra_Prasad
Quiet_Cool,Nick_Cassavetes
Step_Up:_All_In,Adam_Shankman
La_Morte_Vivante,Françoise_Blanchard
The_Solid_Tin_Coyote,Friz_Freleng
Nightbreed,Charles_Haid
Manal_Kayiru_2,Visu
Twin_Peaks_Music:_Season_Two_Music_and_More,David_Lynch
Last_Date_(Emmylou_Harris_album),Bruce_Springsteen
Resurrection_(season_1),Ron_Underwood
Dumb_Bell_of_the_Yukon,Ernie_Nordli
Holy_Land_Hardball,Ken_Holtzman
Phyllis_(TV_series),Dick_DeBenedictis
Bright_Lights_(1916_film),Mack_Sennett
No_More_Love,Rick_Rubin
Galatta_Kalyanam,C._V._Sridhar
Terror_in_the_Crypt,Tonino_Valerii
A_Ball_at_the_Anjo_House,Kaneto_Shindo
Will_&_Grace_(season_4),James_Burrows
Morgan_Spurlock's_New_Britannia,Morgan_Spurlock
The_Forgotten_(TV_series),Nathan_Hope
The_Myth_(film),Jackie_Chan
Under_Your_Hat,Anthony_Kimmins
A_Voice_from_the_Deep,Roscoe_Arbuckle
Losing_Isaiah,Cuba_Gooding_Jr.
The_Jungle_Book:_Mowgli's_Story,Fred_Savage
Violette_Nozière,Hervé_Bromberger
Richie_Rich_(1980_TV_series),William_Hanna
Shastra_(film),Teja_(film_director)
Fast_Freight_(film),Robert_F._McGowan
In_the_Twilight,B._Reeves_Eason
Love_Is_Blind_(House),Margo_Harshman
Best_Man_Wins,Ted_Richmond
Babu_(1975_film),K._Chakravarthy
Tom_and_Jerry:_The_Fast_and_the_Furry,Joseph_Barbera
Some_Nerve,Roscoe_Arbuckle
American_McGee's_Grimm,American_McGee
The_Way_We_Are_(film),Clifton_Ko
Dangerous_Dan_McFoo,Carl_Stalling
Still_Waters_(1915_film),Marguerite_Clark
Skidoo_(film),Frankie_Avalon
Out_West_(1918_film),Roscoe_Arbuckle
Tanner_'88,Robert_Altman
El_Cid_(film),Gary_Raymond
Calcutta_Mail,Allu_Aravind
The_Man_Unconquerable,Jack_Holt_(actor)
"Lucy_Must_Be_Traded,_Charlie_Brown",Bill_Melendez
After_Dark_(comics),Antoine_Fuqua
Challenge_of_the_GoBots,William_Hanna
Revenge_(season_2),David_Grossman_(director)
That's_My_Bush!,Trey_Parker
Just_Shoot_Me!_(season_5),Pamela_Fryman
Apollo_Theatre_(film),Juan_Espantaleón
Swandam_Enna_Padam,Madhu_(actor)
Twixt_Love_and_Fire,Mack_Sennett
Ma_chi_t'ha_dato_la_patente%3F,Mario_Amendola
The_Adventures_of_Pluto_Nash,Paul_Hirsch_(film_editor)
Sunday_Go_to_Meetin'_Time,Robert_McKimson
Surviving_My_Mother,Caroline_Dhavernas
Buddy_of_the_Legion,Bob_Clampett
Fugitive_Road,Leslie_Fenton
The_Great_Game_(1953_film),Thora_Hird
List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1963),Woody_Allen
Gaayam_2,Ram_Gopal_Varma
The_Killer_Is_on_the_Phone,Joe_D'Amato
Straight_to_Hell_(film),Dennis_Hopper
Zeyda_and_the_Hitman,Mercedes_Ruehl
Tamizh_Selvan,Manivannan
High_Diving_Hare,Hawley_Pratt
Star_of_the_Sea_(film),Akos_Farkas_(cinematographer)
Devotion_(1946_film),Edward_Chodorov
The_Fabulous_Senorita,Estelita_Rodriguez
Palace_of_Desire_(TV_series),Kuei_Ya-lei
The_Kwicky_Koala_Show,William_Hanna
Guru_(2012_film),Karthik_(singer)
The_Secret_Mark_of_D'Artagnan,George_Nader
Kolangal_(1995_film),R._Sundarrajan_(director)
Ballyhooey,Laverne_Harding
Aberdeen_(2014_film),Louis_Koo
Pillow_Talk_(film),Russell_Rouse
One_Night_in_Supermarket,Xu_Zheng_(actor)
Project_X_(1968_film),Joseph_Barbera
Muthukkal_Moondru,Pandiarajan
The_New_Scooby_and_Scrappy-Doo_Show,William_Hanna
Rustlers'_Rhapsody,Tom_Berenger
Help_Me_Help_You,Matthew_Diamond
Elephant_White,Kevin_Bernhardt
Mujeres_asesinas_(Mexican_TV_series),Pedro_Damián
The_Doombolt_Chase,Don_Houghton
The_Truth_About_Emanuel,Alfred_Molina
A_Night_at_the_Opera_(film),Irving_Thalberg
The_Conquering_Horde,Arthur_Stone_(actor)
Queens_Supreme,James_Madio
Woh_Jo_Hasina,Mithun_Chakraborty
Pandem,Hariharan_(singer)
Blotto_(film),Leo_McCarey
Intruders_(TV_series),Mira_Sorvino
Betty_Boop's_Birthday_Party,Seymour_Kneitel
La_steppa,Charles_Vanel
Boardwalk_Empire,Tim_Van_Patten
The_Cat_and_the_Canary_(1927_film),Robert_F._Hill
In_Caliente,Ralph_Block
Bunny_and_the_Bull,Verónica_Echegui
Uma_Chandi_Gowri_Shankarula_Katha,N._T._Rama_Rao
Martyrs_of_the_Alamo,D._W._Griffith
This_Is_My_Best,Orson_Welles
Every_Day_(film),Liev_Schreiber
L'immorale,Alfredo_Giannetti
It_Ain't_Hay,Lou_Costello
Costume_Contest,David_Koechner
23_Blast,Mark_Hapka
Building_Bombs,Jane_Alexander
Bonnie_and_Clyde_(film),Robert_Benton
King_of_the_Hill,Mike_Judge
Bourne_(film_series),Scott_Z._Burns
Un'estate_ai_Caraibi,Maurizio_Mattioli
Rio_Sex_Comedy,Santiago_Amigorena
NCIS_(season_10),Terrence_O'Hara
Jew_Süss_(1934_film),Michael_Balcon
Holy_Rat_Race,Gary_Owens
Virus_(1995_film),Roger_Young_(director)
Pilot_(The_Flash),David_Nutter
Circus_Fever,Hal_Roach
Dr._Jack,Hal_Roach
Panthea_(1917_film),Joseph_M._Schenck
The_Moth_Diaries_(film),Declan_Quinn
Anna_Christie_(1930_German-language_film),Greta_Garbo
Peacock_Alley_(1922_film),Edmund_Goulding
Naked_Lunch_(film),Gabriella_Martinelli
Kodiak_(TV_series),Clint_Walker
The_Beautiful_Days_of_Aranjuez,Benoît_Debie
Mr._Adams_and_Eve,Sol_Saks
Bullet_(1984_film),Bheeman_Raghu
Tom_and_Jerry:_Spy_Quest,Joseph_Barbera
The_Big_Combo,Cornel_Wilde
Histoire(s)_du_cinéma,György_Kurtág
Newsfront,Philippe_Mora
Now_and_Again,Christopher_Misiano
American_Venus,Matt_Craven
C.H.O.M.P.S.,Joseph_Barbera
"Boy,_Did_I_Get_a_Wrong_Number!",Albert_Lewin
Lust_for_Life_(film),James_Donald
Goober_and_the_Ghost_Chasers,Joseph_Barbera
Toonsylvania,Steven_Spielberg
Love_My_Dog,Hal_Roach
The_Red_Rider,Henry_MacRae
Cavalcade_of_America,Robert_Stevenson_(director)
Black_Light_Attack!,Don_Scardino
Walky_Talky_Hawky,Cal_Dalton
To_Save_Her_Soul,Mary_Pickford
Dangers_of_a_Bride,Mack_Sennett
Porky's_Five_&_Ten,Chuck_Jones
Traffic_(2011_film),Mejo_Joseph
The_Sign_of_Venus,Franca_Valeri
Sudden_Impact,Charles_B._Pierce
Deranged_(1974_film),Bob_Clark
The_Flintstones_&_WWE:_Stone_Age_SmackDown!,Joseph_Barbera
Ladies_of_the_Mob,John_Farrow
Cracked_Ice,Robert_McKimson
It's_Never_Too_Late_to_Mend,George_King_(film_director)
There_Was_a_Father,Tadao_Ikeda
Spanky_(film),Hal_Roach
Raped_by_an_Angel_2:_The_Uniform_Fan,Wong_Jing
Riders_of_Death_Valley,George_H._Plympton
Christmas_at_Camp_119,Vittorio_De_Sica
Bushy_Hare,Cornett_Wood
The_Class_(TV_series),James_Burrows
Bharat_Ek_Khoj,Shyam_Benegal
Herod's_Law,Alex_Cox
The_Twilight_Zone_(1959_TV_series)_(season_5),Robert_Butler_(director)
"Occhio,_malocchio,_prezzemolo_e_finocchio",Mario_Amendola
"No_Risk,_No_Gain",Wong_Jing
Raa_(film),Upendra_(actor)
The_Reader_(2008_film),Sydney_Pollack
Brenner_(TV_series),Sydney_Pollack
Perazhagan,Manobala
Lovesick_(1983_film),John_Huston
The_Magnificent_Fraud,Harlan_Thompson
The_Choice_(2016_film),Joe_Klotz
Hot_and_Cold_Penguin,Don_Patterson_(animator)
Baby_Bottleneck,Bill_Melendez
Extreme_Prejudice_(film),John_Milius
Sibling_Rivalry_(film),Reynaldo_Villalobos
Three_Kings_(1999_film),Spike_Jonze
Clippety_Clobbered,Friz_Freleng
Inside_the_Forbidden_City,Chang_Cheh
The_Big_Town_(1925_film),Hal_Roach
Pressure_Point_(film),Stanley_Kramer
The_Following_(season_1),Joshua_Butler
The_New_People,Aaron_Spelling
The_Big_Town_(1925_film),Hal_Roach
Nabbie's_Love,Jun_Murakami
Masters_of_Horror,Tobe_Hooper
Independence_(1999_film),Cochin_Haneefa
Millions_(1937_film),Herbert_Wilcox
Olympus_Has_Fallen,Robert_Forster
SlamNation,Beau_Sia
The_Singing_Fool,Byron_Haskin
Countryman_(film),Peter_Boyle_(film_editor)
Wildfire_(1986_TV_series),William_Hanna
Drive_(Star_Trek:_Voyager),Winrich_Kolbe
Tesha,María_Corda
Saigon:_Year_of_the_Cat,David_Hare_(playwright)
Slaughter_High,Harry_Manfredini
Pest_from_the_West,Jules_White
Sea_Devils,Borden_Chase
The_Girl_from_Alaska,Armand_Schaefer
Mr._Hobbs_Takes_a_Vacation,Nunnally_Johnson
Three_Ages,Joseph_M._Schenck
Forever_Amber_(film),Philip_Dunne_(writer)
Itsy_Bitsy_Spider_(TV_series),Jonathan_Taylor_Thomas
The_Bridal_Path_(film),Sidney_Gilliat
Heathcliff_(1984_TV_series),Andy_Heyward
The_Hard_Life_of_an_Adventurer,Otomar_Korbelář
Margadarshi,Narasimharaju_(Kannada_actor)
The_Bride_with_White_Hair_2,Ronny_Yu
The_Incredible_Kung_Fu_Master,Sammo_Hung
Ace_in_the_Hole_(1942_film),Ben_Hardaway
The_Trust_(film),Jerry_Lewis
Street_Fighter_(1994_film),William_A._Fraker
Grand_Larceny,Peter_Stone
The_Twilight_Saga:_New_Moon,Alexandre_Desplat
The_Harvey_Korman_Show,Alan_Myerson
Law_Breakers,Jacques_Brel
Endu_Ninnavane,Jayanthi_(actress)
Raped_by_an_Angel_2:_The_Uniform_Fan,Wong_Jing
My_Name_Is_Barbra_(TV_special),Barbra_Streisand
30_Rock_(season_3),Beth_McCarthy-Miller
Senior_Trip_(1981_film),Scott_Baio
Gülen_Gözler,Münir_Özkul
Little_Quacker,Ray_Patterson_(animator)
The_Three_Caballeros,Roy_Williams_(artist)
Hostiles_(film),John_Lesher_(producer)
Guilt_Is_My_Shadow,John_Gilling
The_Fossil_Island,Osamu_Tezuka
Violantha_(film),William_Dieterle
Rainy_Days_(film),Hal_Roach
The_13_Ghosts_of_Scooby-Doo,Joseph_Barbera
Laff-A-Lympics,Joseph_Barbera
Silly_People_(Desperate_Housewives),Carol_Mansell
The_Stranger_(1946_film),John_Huston
Dweepu,Hrishikesh_Mukherjee
Charlie_Chalk,Ivor_Wood
Three_Strangers,John_Huston
Early_to_Bed_(1928_film),George_Stevens
Aithalakkadi,Sadhu_Kokila
Richie_Rich_Show,Joseph_Barbera
Marco_Polo_(TV_series),Michelle_Yeoh
Amor_en_silencio,Eric_Vonn
Everyone_Has_a_Cobblepot,Dash_Mihok
Junior_Senior_(2005_film),Mukesh_(actor)
Children_of_Time,Allan_Kroeker
Flatliners_(2017_film),Nina_Dobrev
Ma_(Anjan_Dutt_album),Anjan_Dutt
Omen_III:_The_Final_Conflict,Robert_Paynter
A_Mad_Idea,Rosy_Barsony
Let's_Do_It_Again_(1953_film),George_Duning
The_Warning_(1980_film),Nicola_Badalucco
Ferry_to_Hong_Kong,Orson_Welles
How_Sweet_It_Is!,Garry_Marshall
Half_Shot_at_Sunrise,Roscoe_Arbuckle
Well-Matched:_The_Best_of_Merl_Saunders_&_Jerry_Garcia,Jerry_Garcia
Trip_for_Tat,Hawley_Pratt
The_Sea_of_Trees,F._Gary_Gray
Dallas_(1978_TV_series)_(season_9),Jerry_Jameson
Unaccustomed_As_We_Are,Edgar_Kennedy
The_Many_Loves_of_Dobie_Gillis_(season_1),Ralph_Murphy
Two-Gun_Gussie,Hal_Roach
The_Kwicky_Koala_Show,Joseph_Barbera
"Kiss_Me,_Guido",Craig_Chester
Visappinte_Vili,J._Sasikumar
Hope_&_Faith_(season_1),Don_Scardino
The_Trouble_with_Wives,Florence_Vidor
The_Tinted_Venus,George_Dewhurst
Rise_of_the_Legend,Sammo_Hung
Jagratha,Prathapachandran
The_Flintstone_Kids'_%22Just_Say_No%22_Special,Joseph_Barbera
Wild_West_Days,Henry_MacRae
Farewell_My_Concubine_(film),Zhao_Jiping
Udhar_Ka_Sindur,L._V._Prasad
Daffy's_Diner,Friz_Freleng
Top_Cat_and_the_Beverly_Hills_Cats,Joseph_Barbera
A_Aa_E_Ee_(2009_Tamil_film),Krishna_Vamsi
The_Anti-Detective,Hans_Behrendt
Lower_City,Walter_Salles
Choo-Choo!,Hal_Roach
Tapeheads,Peter_McCarthy
The_Private_Life_of_Helen_of_Troy,Harold_Young_(director)
Goodbye_Darling,Alex_Joffé
Jack_the_Bear,Steven_Zaillian
Harper's_Island,Sanford_Bookstaver
A_Bad_Son,Yves_Robert
No_(Glee),Brad_Falchuk
The_Dressmaker_from_Paris,Cecil_B._DeMille
The_President_(1961_film),Bernard_Blier
Big_Trouble_(1986_film),Bill_Conti
Resurrecting_the_Champ,Rachel_Nichols_(actress)
When_Doctors_Disagree,Mabel_Normand
The_Siege_at_Ruby_Ridge,Kirsten_Dunst
The_Fearless_Hyena,Dean_Shek
The_Wacky_Adventures_of_Ronald_McDonald,Arlene_Klasky
Suicide_(Purple_Jumping_Man),Andy_Warhol
1914_(film),Reinhold_Schünzel
The_Touch_(1971_film),Max_von_Sydow
The_Lorax_(TV_special),Friz_Freleng
Private_Practice_(season_5),Jeannot_Szwarc
Myna_(film),Geethapriya
Daffy's_Diner,Friz_Freleng
Arjunan_Saakshi,Jagathy_Sreekumar
Glove_Taps,Hal_Roach
Invasion_of_the_Bee_Girls,Gary_Graver
Dark_Waters_(1944_film),Franchot_Tone
Diversity_Day_(The_Office),B._J._Novak
The_Vanishing_Shadow,George_Morgan_(screenwriter)
Desperately_Seeking_Susan,Edward_Lachman
The_Merger_(The_Office),Brent_Forrester
The_Heart_of_Justice,Dennis_Hopper
The_Exorcist_(film_series),Ennio_Morricone
Burnt_by_Frost,Katja_Medbøe
Troopers_Three,Benjamin_H._Kline
Le_Parti_des_Choses,Fritz_Lang
Antz,Paul_Weitz_(filmmaker)
JAG_(season_4),Greg_Beeman
The_Poet_and_the_Little_Mother,Henning_Moritzen
Gilmore_Girls_(season_4),Marita_Grabiak
Kentucky_(film),Walter_Brennan
A_Flirt's_Mistake,Mack_Sennett
The_Cobbler_(1923_film),Hal_Roach
Evil_Town,Doria_Cook-Nelson
List_of_The_Tonight_Show_Starring_Johnny_Carson_episodes_(1967),Peter_Ustinov
Jake_in_Progress,Paul_Lazarus
Vietnam!_Vietnam!,John_Ford
