Murder_Will_Out_(1939_film),Roy_William_Neill
Night_Riders_of_Montana,Fred_C._Brannon
Wild_Brian_Kent,Howard_Bretherton
Bekhudi,Rahul_Rawail
De_Danadan,Mahesh_Kothare
May_33rd,David_Attwood
The_Thief_of_Bagdad_(1940_film),Michael_Powell
Eaux_d'Artifice,Kenneth_Anger
"Teta,_Alf_Marra",Mahmoud_Kaabour
Pom_Pom_(film),Joe_Cheung
Azhar_(film),Tony_D'Souza
Good_Morning_(film),Yasujirō_Ozu
Sleep_Dealer,Alex_Rivera
Cocktails_(The_Office),J._J._Abrams
Sabotage_(Stargate_Universe),Peter_DeLuise
The_Judgement_House,J._Stuart_Blackton
Strange_Triangle,Ray_McCarey
Star_Spangled_Girl,Jerry_Paris
Gowdru,S._Mahendar
Do-Over,Don_Scardino
Napoléon_(1927_film),Abel_Gance
Massacre_at_Central_High,Rene_Daalder
The_Ancient_Highway,Irvin_Willat
Lost_in_Space,Sobey_Martin
Deepa_&_Rupa:_A_Fairy_Tale_from_India,Manick_Sorcar
The_Voyager_Conspiracy,Terry_Windell
NBC_Matinee_Theater,John_Drew_Barrymore
All_You_Need_Is_Cash,Eric_Idle
Polishuk,Shmuel_Hasfari
A_Killer_Among_Friends,Charles_Robert_Carner
Birdemic_2:_The_Resurrection,James_Nguyen
Curiosity_Kills_the_Cat_(film),Zhang_Yibai
Perfect_Body,Douglas_Barr
From_Janet_to_Damita_Jo:_The_Videos,Paul_Hunter_(director)
Sleeping_Car_to_Trieste,John_Paddy_Carstairs
In_This_Our_Life,John_Huston
English_as_a_Second_Language_(Community),Gail_Mancuso
Super_Friends:_The_Legendary_Super_Powers_Show,Ray_Patterson_(animator)
Bad_Ass_(film),Craig_Moss
Themmadi_Velappan,Hariharan_(director)
Teenage_Mutant_Ninja_Turtles_II:_The_Secret_of_the_Ooze,Michael_Pressman
Death_Hunt,Peter_R._Hunt
Don't_Let_It_Get_You,John_O'Shea_(director)
Red_River_Renegades,Thomas_Carr_(director)
Obsessed_(2014_film),Kim_Dae-woo
On_the_Run_(1982_film),Mende_Brown
House_Party_2,Doug_McHenry
Cairo_(1963_film),Wolf_Rilla
Afternoon_Delight_(film),Jill_Soloway
La_Captive,Chantal_Akerman
Rise_of_the_Gargoyles,Bill_Corcoran
Brewster_Place,Bill_Duke
Ten_Modern_Commandments,Dorothy_Arzner
The_Valley_of_the_Giants_(1927_film),Charles_Brabin
Amazing_Journey:_The_Story_of_The_Who,Paul_Crowder_(filmmaker)
All_About_Actresses,Maïwenn
The_Stranger_and_the_Gunfighter,Antonio_Margheriti
The_White_Sister_(1960_film),Tito_Davison
The_Mary_Tyler_Moore_Hour,Walter_C._Miller
Wild_Romance_(2006_film),Jean_van_de_Velde_(director)
Transcendence_(2014_film),Wally_Pfister
Mediterranea_(film),Jonas_Carpignano
Song_for_Marion,Paul_Andrew_Williams
Ourselves_Alone_(Boardwalk_Empire),David_Petrarca
Lethal_Weapon_3,Richard_Donner
H_(1990_film),Darrell_Wasyk
I'll_CKBC,Itsuro_Kawasaki
Nallathai_Naadu_Kekum,Jeppiaar
Comedians_(film),Juan_Antonio_Bardem
The_Battle_of_Brains,Stanley_Hawes
"Jack_McCall,_Desperado",Sidney_Salkow
Joseph_and_the_Amazing_Technicolor_Dreamcoat_(film),David_Mallet_(director)
Janumada_Gelathi,Dinesh_Baboo
Houp_La!_(film),Frank_Miller_(screenwriter)
19:19,Thomas_J._Wright
Happy_Killers,Kim_Dong-wook
It_Follows,David_Robert_Mitchell
Georgia_(1988_film),Ben_Lewin
Ikiteiru_Koheiji,Nobuo_Aoyagi
If_I_See_You_in_My_Dreams__tv_series__1,Takeshi_Yamaguchi
Feeding_Frenzy_(Magic_City),Ed_Bianchi
Kidnapping_Freddy_Heineken,Daniel_Alfredson
Can't_Complain,Richard_Johnson_(director)
Police_Story_4:_First_Strike,Stanley_Tong
Across_the_Line_(2000_film),Martin_Spottl
Sorry_Baby,Feng_Xiaogang
Chuck_Versus_the_Sensei,Jonas_Pate
The_Fabulous_Baron_Munchausen,Karel_Zeman
Unfolding_Florence:_The_Many_Lives_of_Florence_Broadhurst,Gillian_Armstrong
Birthright_(Star_Trek:_The_Next_Generation),Winrich_Kolbe
South_of_the_Clouds,Zhu_Wen_(director)
The_Raggedy_Rawney,Bob_Hoskins
Bugs_Bunny_Gets_the_Boid,Bob_Clampett
The_Guns_of_Fort_Petticoat,George_Marshall_(director)
Chandi_Kori,Devadas_Kapikad
Three_Missing_Links,Jules_White
Un_prete_tra_noi,Giorgio_Capitani
Flo,Dick_Martin_(comedian)
Totally_Bill_Hicks,Kevin_Booth
London_Town_(film),Wesley_Ruggles
Babylon_A.D.,Mathieu_Kassovitz
Regrets..._I've_Had_a_Few,Gus_Trikonis
Zulmi,Kuku_Kohli
Arvingen,Jon_Iversen
Ponni_(film),Thoppil_Bhasi
Dragonfly_(2002_film),Tom_Shadyac
Lenin_in_Paris,Sergei_Yutkevich
Tom_at_the_Farm,Xavier_Dolan
The_Don_Is_Dead,Richard_Fleischer
I_Am_a_Sex_Addict,Caveh_Zahedi
Though_None_Go_with_Me,Armand_Mastroianni
TMNT_(film),Kevin_Munroe
Because_I_Love_You_(film),Johannes_Guter
Travels_in_the_Congo,Marc_Allégret
Love_in_the_Ring,Reinhold_Schünzel
The_Oxford_Murders_(film),Álex_de_la_Iglesia
Something_Nice_Back_Home,Stephen_Williams_(director)
Sepet,Yasmin_Ahmad
Fifty_Pills,Theo_Avgerinos
I_morti_non_pagano_tasse,Sergio_Grieco
Janumada_Jodi,T._S._Nagabharana
Blue_Grass_of_Kentucky,William_Beaudine
Deliver_Us_from_Evil_(2014_film),Scott_Derrickson
Ong_Bak_2,Tony_Jaa
The_House_of_Fortescue,Frank_Wilson_(director)
Hatter's_Castle_(film),Lance_Comfort
Miss_Nobody_(2010_film),Tim_Cox
Asew,Phil_Jutzi
The_Terrible_Lovers,Marc_Allégret
The_Nun_and_the_Devil,Domenico_Paolella
The_Cure_(Fringe),Bill_Eagles
Getting_Even_(1986_film),Dwight_H._Little
A_Patch_of_Fog,Michael_Lennox
HeartCatch_PreCure!,Rie_Matsumoto
A_Son_Is_Born,Eric_Porter_(filmmaker)
Rumpelstiltskin_(1955_film),Herbert_B._Fredersdorf
The_Madwoman_of_Chaillot_(film),Bryan_Forbes
Love_and_Curses,Cal_Dalton
Princess_Olala,Robert_Land
The_Joker_King,Enrico_Guazzoni
The_Idiot_(1946_film),Georges_Lampin
Gunga_Jumna,Nitin_Bose
Go_Go_Tales,Abel_Ferrara
Versailles_(TV_series),Jalil_Lespert
Laaj_(TV_series),Fahim_Burney
Where_Do_We_Go_from_Here%3F_(2015_film),John_McPhail_(director)
Double_Barrel_(film),Lijo_Jose_Pellissery
Kallang_Roar_the_Movie,Cheng_Ding_An
Sous_le_même_toit,Dominique_Farrugia
All_or_Nothing_(film),Mike_Leigh
Certain_Chapters,Abbas_Akbar
Chantha,Sunil_(director)
Tennen_Shōjo_Man,Takashi_Miike
Duel_of_Champions,Ferdinando_Baldi
The_Hare_Census,Eduard_Zahariev
Tutto_il_mondo_ride,Ignazio_Ferronetti
Running_Mates_(Family_Guy),John_Holmquist
It's_Tomorrow_-_The_Film,Zanane_Rajsingh
Dick_Tracy_(serial),Alan_James
The_Band_Master_(1917_film),Arvid_E._Gillstrom
The_Gown_Shop,Larry_Semon
The_Uninvited_Guest_(1924_film),Ralph_Ince
The_Bronze_(film),Bryan_Buckley
Good_News_(TV_series),Ed._Weinberger
Five_Thousand_Dollars_on_One_Ace,Alfonso_Balcázar
Stolen_Assignment,Terence_Fisher
Count_Dracula_(1970_film),Jesús_Franco
My_Poor_Beloved_Mother,Homero_Manzi
Mahanagar@Kolkata,Suman_Mukhopadhyay
Dandakaranyam,R._Narayana_Murthy
Girl_Slaves_of_Morgana_Le_Fay,Bruno_Gantillon
Man_About_Town_(2006_film),Mike_Binder
Thirteen_at_Dinner_(film),Lou_Antonio
Abroad_with_Two_Yanks,John_E._Burch
Predator_(franchise),Stephen_Hopkins_(director)
Valiant_Is_the_Word_for_Carrie,Wesley_Ruggles
The_Vesuvians,Pappi_Corsicato
La_Vie_de_Jésus,Bruno_Dumont
Moonlighting_(film),Jerzy_Skolimowski
Dreams_of_Love_(1935_film),José_Bohr
The_King's_Cup,Alan_Cobham
Smoked_Hams,Dick_Lundy_(animator)
The_Mongols_(film),Leopoldo_Savona
Statistical_Probabilities,Anson_Williams
Empty_Socks,Ub_Iwerks
The_Vertical_Ray_of_the_Sun,Tran_Anh_Hung
Les_Bons_Vivants,Gilles_Grangier
Hit_and_Run_(NCIS),Dennis_Smith_(director)
Endless_Horizons,Jean_Dréville
Voyage_to_the_Prehistoric_Planet,Curtis_Harrington
De_kroon_der_schande,Maurits_Binger
I_Saw_the_Devil,Kim_Jee-woon
Mr._Theertha,Sadhu_Kokila
The_Red_Horses,Jon_Iversen
The_Marihuana_Story,León_Klimovsky
A_Change_Is_Gonna_Come_(Grey's_Anatomy),Michael_Grossman
The_Merry_Widow_(1918_film),Michael_Curtiz
A_Farewell_to_Arms_(1932_film),Frank_Borzage
Baby's_Day_Out,Patrick_Read_Johnson
Stagecoach_War,Lesley_Selander
Front_Page_(film),Philip_Chan
