The_Best_of_Times_(2002_film),Chang_Tso-chi
USS_Indianapolis:_Men_of_Courage,Mario_Van_Peebles
Alissa_in_Concert,Erik_van_Zuylen
No_Time_for_Sergeants_(1958_film),Mervyn_LeRoy
Messi_(film),Álex_de_la_Iglesia
Two_for_Tonight,Frank_Tuttle
The_Flat_(2011_film),Arnon_Goldfinger
Lise_kommer_til_Byen,Lau_Lauritzen_Jr.
Payback_(Law_&_Order:_Special_Victims_Unit),Jean_de_Segonzac
Cool_as_Ice,David_Kellogg
Robin_of_Sherwood:_The_Knights_Of_The_Apocalypse,Robert_Young_(director)
Forrest_Gump,Robert_Zemeckis
Get-Rich-Quick_Wallingford_(1921_film),Frank_Borzage
Independence_Day_(Young_Justice),Jay_Oliva
Detective_(2007_film),Jeethu_Joseph
Inspector_Pink_Dragon,Gordon_Chan
You_Could_Drive_a_Person_Crazy,David_Grossman_(director)
Some_Assembly_Required_(Buffy_the_Vampire_Slayer),Bruce_Seth_Green
Kaibutsu-kun__tv_series__1,Hiroshi_Fukutomi
Dhand_(film),Ranjith_Bajpe
Baby_Sitters_Jitters,Jules_White
Death_and_the_Maiden_(The_Vampire_Diaries),Leslie_Libman
In_the_Family_(1971_film),Paulo_Porto
Darling_Anatole,Claude_Heymann
The_Three_Wishes,Kurt_Gerron
No_Way_Back_(1995_film),Frank_Cappello
The_Delinquents_(1960_film),Carlos_Saura
Nikodem_Dyzma_(film),Jan_Rybkowski
Linnaisten_vihreä_kamari,Valentin_Vaala
Sins_of_the_Father_(2002_film),Robert_Dornhelm
Series_7:_The_Contenders,Daniel_Minahan
Kangaroo_(2015_film),Samy_(director)
Veteran_(2015_film),Ryoo_Seung-wan
Chimps:_So_Like_Us,Karen_Goodman
Many_Happy_Returns_(The_Prisoner),Patrick_McGoohan
Taxi_(1998_film),Gérard_Pirès
The_Legend_of_Zelda:_A_Link_to_the_Past,Takashi_Tezuka
The_Unseen_(1980_film),Danny_Steinmann
Iddaru_Asadhyule,K._S._R._Das
Take_Down_(1979_film),Kieth_Merrill
Lullaby_(2014_film),Andrew_Levitas
Meghamalhar,Kamal_(director)
S.W.A.T._(film),Clark_Johnson
The_Bachelor's_Daughters,Andrew_L._Stone
Basta_guardarla,Luciano_Salce
Iris_(TV_series),Kim_Kyu-tae
Black_Snow_(1990_film),Xie_Fei_(director)
El_aula_vacía,Pablo_Stoll
Kittur_Chennamma_(film),B._R._Panthulu
An_Unfinished_Affair,Rod_Hardy
Flatfoot_in_Egypt,Steno_(director)
Revelation_(2001_film),Stuart_Urban
Krazana,Kote_Marjanishvili
The_Midnight_Flyer,George_Marshall_(director)
Les_Amours_de_la_reine_Élisabeth,Louis_Mercanton
The_Last_Train_from_Madrid,James_P._Hogan_(director)
Aayirathil_Iruvar,Saran_(director)
First_Knight,Jerry_Zucker_(film_director)
The_Big_Shot_(1931_film),Ralph_Murphy
Indiana_Jones_and_the_Fate_of_Atlantis,Hal_Barwood
If_You_Knew_Susie_(film),Gordon_Douglas_(director)
Paternity_Leave_(film),Matt_Riddlehoover
Chad_Hanna,Henry_King_(director)
Love_You_(film),John_Derek
Nelavanka,Jandhyala_Subramanya_Sastry
A_Night's_Adventure,Harry_Piel
West_Side,Daniel_Petrie
Walk_on_the_Wild_Side_(film),Edward_Dmytryk
The_Phantom_and_Dona_Juanita,Rafael_Gil
Soul_Hunter_(Babylon_5),Jim_Johnston_(director)
Tiktok,Usama_Mukwaya
The_Groomsmen,Edward_Burns
The_Treasure_of_the_Sierra_Madre_(film),John_Huston
The_Big_Town_(1925_film),Robert_F._McGowan
Dream_Flight,Nadia_Magnenat_Thalmann
The_All_New_Popeye_Hour,Carl_Urbano
Mystery_Man_(film),George_Archainbaud
Statistical_Probabilities,Anson_Williams
Gross_Misconduct_(film),George_T._Miller
The_Covered_Wagon,James_Cruze
Furia_(film),Alexandre_Aja
A_Bloody_Battle_for_Revenge,Lee_Kyung-kyu
Antonia:_A_Portrait_of_the_Woman,Judy_Collins
A_White_Dress_for_Marialé,Romano_Scavolini
Devasuram,I._V._Sasi
Gemeni_(film),Saran_(director)
Watchhouse_in_the_Carpathians,Alexander_Korda
Connect!_Connect!,Ken_Whittingham
Karna_(1986_film),H._R._Bhargava
Kamikaze_Taxi,Masato_Harada
Of_Mice_and_Men_(1992_film),Gary_Sinise
Dangerous_Medicine,Arthur_B._Woods
Jamila_dan_Sang_Presiden,Ratna_Sarumpaet
Space_Battleship_Yamato_(1977_film),Leiji_Matsumoto
Katnip_Kollege,Cal_Dalton
Everything_I_Have_Is_Yours_(film),Robert_Z._Leonard
The_Dark_Night_(film),Carlos_Saura
99_(1918_film),Michael_Curtiz
A_Plumbing_We_Will_Go,Del_Lord
Slave_of_Rome,Sergio_Grieco
Can_This_Be_Dixie%3F,George_Marshall_(director)
Unearthed_(film),Matthew_Leutwyler
Lipsett_Diaries,Theodore_Ushev
Ricos_y_Famosos,Hugo_Moser
I've_Always_Loved_You,Frank_Borzage
Ekalavyan_(film),Shaji_Kailas
King_of_the_Ants,Stuart_Gordon
Your_Favorite_Story,Lew_Landers
Compassionate_Sex,Laura_Mañá
Creezy_(film),Pierre_Granier-Deferre
In_the_Family_(2011_film),Patrick_Wang
A_Deadly_Adoption,Rachel_Lee_Goldenberg
A_Time_to_Sing_(film),Arthur_Dreifuss
Anna_Christie_(1930_English-language_film),Clarence_Brown
The_Strange_Marchioness,Eusebio_Fernández_Ardavín
Catatan_Si_Boy,Nasri_Cheppy
Sati_Sulochana,Yaragudipati_Varada_Rao
Fräulein_Veronika,Veit_Harlan
Agnisaram,A._B._Raj
The_Price_(Prison_Break),Bobby_Roth
She_Couldn't_Say_No_(1939_film),Graham_Cutts
Bophana:_A_Cambodian_Tragedy,Rithy_Panh
Billion_Dollar_Limited,Dave_Fleischer
Rhythm_Thief,Matthew_Harrison_(director)
Hercules_(1997_film),John_Musker
It's_Impossible_to_Learn_to_Plow_by_Reading_Books,Richard_Linklater
The_Guard_Post,Kong_Su-chang
Forget_Me_Not_(2010_Japanese_film),Hideyuki_Hirayama
Rosenmontag_(film),Rudolf_Meinert
Priyasakhi,K._S._Adhiyaman
Skin_&_Bone_(film),Everett_Lewis
The_Hayseeds,Raymond_Longford
Adventures_of_Frank_and_Jesse_James,Yakima_Canutt
Without_Orders,Lew_Landers
Jackson_(2008_film),J._F._Lawton
Wee-Willie_Wildcat,Dick_Lundy_(animator)
The_Skulls_(film),Rob_Cohen
Why_Men_Leave_Home,John_M._Stahl
"Rip,_Sew_and_Stitch",Jules_White
Underworld_(film_series),Len_Wiseman
First_Family_(film),Buck_Henry
Chavez_Cage_of_Glory,Héctor_Echavarría
Balibo_(film),Robert_Connolly
Diamond_Cut_Diamond_(film),Fred_Niblo
Kidnapped_(1938_film),Alfred_L._Werker
Geliebte_Hochstaplerin,Ákos_Ráthonyi
Or_(My_Treasure),Keren_Yedaya
MPD_Psycho_(miniseries),Takashi_Miike
See_(Preacher),Evan_Goldberg
Rosie_the_Riveter_(film),Joseph_Santley
Should_a_Doctor_Tell%3F_(1923_film),P.J._Ramster
Botany_Bay_(film),John_Farrow
12_Dates_of_Christmas,James_Hayman
Winter_Storms_(film),Otto_Rippert
Seven_Guns_for_the_MacGregors,Franco_Giraldi
The_Drover's_Sweetheart,John_Gavin_(director)
Sortilegio,Mónica_Miguel
Soundless_Wind_Chime,Kit_Hung
El_barro_humano,Luis_César_Amadori
Christmas_Child,Bill_Ewing
Hell's_Outpost,Joseph_Kane
Uneasy_Money_(film),Berthold_Viertel
Consolation_Marriage,Paul_Sloane_(director)
Chinese_Odyssey_2002,Jeffrey_Lau
Urban_Legends:_Bloody_Mary,Mary_Lambert_(director)
American_Flyers,John_Badham
Manmani,Sarvottam_Badami
Leo_the_Last,John_Boorman
Elephant_Song_(film),Charles_Binamé
Altid_ballade,Gabriel_Axel
Diary_for_My_Mother_and_Father,Márta_Mészáros
Born_in_68,Jacques_Martineau
The_Other_Boleyn_Girl_(2003_film),Philippa_Lowthorpe
Raggedy_Ann_&_Andy:_A_Musical_Adventure,Richard_Williams_(animator)
Woman_to_Woman_(1923_film),Alfred_Hitchcock
Heat_Lightning_(film),Mervyn_LeRoy
Levy_and_Company,André_Hugon
The_Eye_(2008_film),David_Moreau
Who's_Gonna_Love_Me_Now%3F,Barak_Heymann
Martha_(1974_film),Rainer_Werner_Fassbinder
The_White_Angel_(1955_film),Raffaello_Matarazzo
The_Woman_on_Trial,Mauritz_Stiller
Grim_&_Evil,John_McIntyre_(cartoonist)
The_Crimes_of_Stephen_Hawke,George_King_(film_director)
The_Whores,Aurelio_Grimaldi
La_liceale,Michele_Massimo_Tarantini
Circle_of_Friends_(Dexter),Steve_Shill
Shadowzone_(film),J._S._Cardone
Misunderstood_(1984_film),Jerry_Schatzberg
Flash_(2007_film),Sibi_Malayil
Robbery_Under_Arms_(1985_film),Ken_Hannam
Breaking_Point_(1989_film),Peter_Markle
Heebee_Jeebees,Robert_A._McGowan
Sticky_Fingers_(2009_film),Ken_Scott_(filmmaker)
Father_of_Four_and_Uncle_Sofus,Alice_O'Fredericks
Violet_&_Daisy,Geoffrey_S._Fletcher
The_Bear_of_the_Baskervilles,Harry_Piel
"No_Fear,_No_Die",Claire_Denis
Defiance_(2008_film),Edward_Zwick
A_Woman_in_Flames,Robert_van_Ackeren
Honor_Thy_Father_(film),Erik_Matti
The_Lone_Ranger_(animated_TV_series),John_Halas
Bustin'_Loose_(film),Michael_Schultz
The_Homeless_(film),Kōichi_Saitō_(film_director)
Three_Tickets_to_Lani,Robert_Altman
Sarah_Maldoror_ou_la_nostalgie_de_l'utopie,Anne-Laure_Folly
Fathers'_Day_(1997_film),Ivan_Reitman
Gamera_vs._Viras,Noriaki_Yuasa
Ceremony_(film),Max_Winkler_(director)
Mamele,Konrad_Tom
Ikaw_Ang_Pag-ibig,Marilou_Diaz-Abaya
Muž_v_povětří,Miroslav_Cikán
The_Seventh_Son_(1926_film),Franz_Osten
The_Twin_Girls,Antonio_del_Amo
J:_Beyond_Flamenco,Carlos_Saura
All_the_Real_Girls,David_Gordon_Green
Doosukeltha,Veeru_Potla
Once_a_Hero,Kevin_Hooks
The_Eye_of_the_Monocle,Georges_Lautner
Assassination_Classroom__Film__1,Seiji_Kishi
Josie_and_the_Pussycats_(film),Harry_Elfont
Valmiki_(film),C._S._Rao
The_Harder_They_Fall,Mark_Robson
Divorce_Invitation,S._V._Krishna_Reddy
Rhythm_(2000_film),Vasanth
Young_at_Heart_(The_X-Files),Michael_Lange
Anaachadanam,M._Krishnan_Nair_(director)
Bungee_Jumping_of_Their_Own,Kim_Dae-seung
Black_Dalia,Baburaj_(actor)
Infernal_Affairs,Alan_Mak_(director)
Will_(2011_film),Ellen_Perry
Sozin's_Comet:_The_Final_Battle,Joaquim_Dos_Santos
National_Lampoon's_Thanksgiving_Family_Reunion,Neal_Israel
The_Darkness_(film),Greg_McLean
Laila_Majnu_(1962_film),P._Bhaskaran
Johnny_Got_His_Gun_(film),Dalton_Trumbo
HotMen_CoolBoyz,Knud_Vesterskov
So_Can_I,Abbas_Kiarostami
Love_Actually,Richard_Curtis
The_Green_Salon,Boleslaw_Barlog
The_Carnival_(1911_film),Sidney_Olcott
China_Clipper_(1936_film),Ray_Enright
The_Beatniks_(film),Paul_Frees
Time_of_Violence,Ludmil_Staikov
Where_the_River_Runs_Black,Christopher_Cain
From_Nurse_to_Worse_(1940_film),Jules_White
1001_Arabian_Nights_(1959_film),Jack_Kinney
Broken_English_(1981_film),Michie_Gleason
The_Woman_God_Forgot,Cecil_B._DeMille
Seven_Wonders_of_the_World_(film),Andrew_Marton
1860_(film),Alessandro_Blasetti
The_Perfect_Dictatorship,Luis_Estrada_(director)
The_Guy_Who_Came_Back,Joseph_M._Newman
Spy_Kids_2:_The_Island_of_Lost_Dreams,Robert_Rodriguez
Mother_Holly,Fritz_Genschow
Barney_Bear,Michael_Lah
Love_and_Marriage_(M*A*S*H),Lee_Philips
Double_Trouble_(U.S._TV_series),John_Bowab
High_Strung_(1991_film),Roger_Nygard
The_Lost_Child,Humberto_Gómez_Landero
Futureworld,Richard_T._Heffron
Crime_and_Punishment_(1983_film),Aki_Kaurismäki
"Young,_Violent,_Dangerous",Romolo_Guerrieri
"Hogar,_dulce_hogar",Luis_Moglia_Barth
Stranglehold_(1931_film),Henry_Edwards_(actor)
Paris_Interlude,Edwin_L._Marin
Vanity_(1927_film),Donald_Crisp
City_Hunter__tv_film__1,Kenji_Kodama
"4_Months,_3_Weeks_and_2_Days",Cristian_Mungiu
Suburban_Commando,Burt_Kennedy
Three_Seasons,Tony_Bui
Faithful_(1936_film),Paul_L._Stein
Year_of_the_Devil,Petr_Zelenka
The_Happening_(1967_film),Elliot_Silverstein
Blood_Alley,William_A._Wellman
Instinct_(1930_film),André_Liabel
El_Greco_(2007_film),Yannis_Smaragdis
In_Vanda's_Room,Pedro_Costa
Samurai_Johnny_Frankenstein,Scott_Shaw
Halo_4,Josh_Holmes_(video_game_designer)
Kaliyuga_Seethe,Vijay_(director)
South_Sea_Rose,Allan_Dwan
Lovesick_(TV_series),Elliot_Hegarty
Projections_(film),Zrinko_Ogresta
Katta_Panchayathu,R._Raghu
The_Harbour_Lights_(1923_film),Tom_Terriss
Sigh_(film),Feng_Xiaogang
Cause_and_Effect_(Star_Trek:_The_Next_Generation),Jonathan_Frakes
Change_Nothing,Pedro_Costa
Moster_fra_Mols,Poul_Bang
Oscar_(1967_film),Édouard_Molinaro
No_Offence,David_Kerr_(director)
The_Closed_Circuit,Ryszard_Bugajski
The_Dark_Tower_(2017_film),Nikolaj_Arcel
Tsst,Trey_Parker
Kiskrajcár,Márton_Keleti
Live_at_the_Grand_Olympic_Auditorium,Jeff_Richter
Marco_Polo_(TV_series),Daniel_Minahan
Pirates_of_the_Caribbean_(film_series),Rob_Marshall
Muppets_Most_Wanted,James_Bobin
Shaky_Ground,Art_Wolff
An_Over-Incubated_Baby,Walter_R._Booth
Stree_(1961_film),V._Shantaram
Fair_Lady_(film),Kenneth_Webb
Queen_Millennia__film__1,Masayuki_Akehi
Plop_Goes_the_Weasel,Robert_McKimson
Lavangi,Yaragudipati_Varada_Rao
Oh_Sailor_Behave,Archie_Mayo
The_Prince_and_the_Pauper_(1937_film),William_Keighley
Dear_Mr._Wonderful,Peter_Lilienthal
A_Fantastic_Fear_of_Everything,Chris_Hopewell
Fighting_Youth,Hamilton_MacFadden
Blessed_(2009_film),Ana_Kokkinos
Goodbye_Christopher_Robin,Simon_Curtis_(filmmaker)
St_Trinian's_2:_The_Legend_of_Fritton's_Gold,Oliver_Parker
The_Wind_Rises,Hayao_Miyazaki
The_Ball_of_Letters,Andrés_López_Forero
Manila_(2009_film),Raya_Martin
Please_Don't_Eat_the_Daisies_(TV_series),Tay_Garnett
El_Mundo_Gira,Tucker_Gates
Irish_and_Proud_of_It_(film),Donovan_Pedelty
We'll_Live_Till_Monday,Stanislav_Rostotsky
Tales_of_Poe,Bart_Mastronardi
You_Are_There_(series),John_Frankenheimer
The_Locket,John_Brahm
Paan_Singh_Tomar_(film),Tigmanshu_Dhulia
Pork_Chop_Hill,Gregory_Peck
Born_to_Kill_(1947_film),Robert_Wise
Double_Trouble_(1967_film),Norman_Taurog
Panam_(film),N._S._Krishnan
Emperor_(film),Peter_Webber
Charlie's_Angels_(film),McG
Such_a_Little_Pirate,George_Melford
"Run,_Angel,_Run!",Jack_Starrett
Hrdina_jedné_noci,Martin_Frič
Lord_Love_a_Duck,George_Axelrod
Maduve_Madi_Nodu,Hunsur_Krishnamurthy
The_Flying_Doctors,Kendal_Flanagan
A_War,Tobias_Lindholm
Al_Maslaha,Sandra_Nashaat
To_Rome_with_Love_(TV_series),Earl_Bellamy
Eyes_Behind_the_Stars,Mario_Gariazzo
Lost_in_a_Harem,Charles_Reisner
The_Solution_to_the_Mystery,B._Reeves_Eason
Maxime_(film),Henri_Verneuil
The_Pallbearer,Matt_Reeves
Tokimeki_Tonight__tv_series__1,Hiroshi_Sasagawa
The_Whole_Town's_Talking,John_Ford
The_Gregory_Hines_Show,Bob_Delegall
Idhuthanda_Sattam,Senthilnathan
A_Successful_Calamity,John_G._Adolfi
Aanai,Selva_(director)
Sergeant_Murphy,B._Reeves_Eason
Puravrutham,Lenin_Rajendran
Ninja_Scroll,Yoshiaki_Kawajiri
The_Hand_(1960_film),Henry_Cass
Agnisakshi_(1999_film),Shyamaprasad
Brooklyn's_Finest,Antoine_Fuqua
Madea's_Big_Happy_Family_(film),Tyler_Perry
Nirvana_(film),Gabriele_Salvatores
White_Diamond:_A_Personal_Portrait_of_Kylie_Minogue,William_Baker_(fashion_designer)
The_New_York_Peacock,Kenean_Buel
Tora-san_Takes_a_Vacation,Yoji_Yamada
Sherlock_Holmes_(2009_film),Guy_Ritchie
OHMS_(1980_film),Dick_Lowry
Arrah-na-Pogue,Sidney_Olcott
The_Wanderers_(1979_film),Philip_Kaufman
Black_Butler__tv_series__1,Noriyuki_Abe
Peter_Gunn_(1989_film),Blake_Edwards
Savat_Mazi_Ladki,Smita_Talwalkar
A_Man_Escaped,Robert_Bresson
Hannele's_Journey_to_Heaven,Urban_Gad
Ghunghat_(1960_film),Ramanand_Sagar
The_Kiss_of_the_Vampire,Don_Sharp
Honey_and_Clover__drama__1,Hiroaki_Matsuyama
Julie_(1956_film),Andrew_L._Stone
The_White_Tower_(film),Ted_Tetzlaff
Bharathi_(film),Gnana_Rajasekaran
Cloudy_with_a_Chance_of_Meatballs_2,Cody_Cameron
Powers_of_Ten_(film),Charles_and_Ray_Eames
Happy_Birthday_(2002_film),Yen_Tan
Son_of_the_Hunchback,Fernando_Cerchio
The_Woman_God_Changed,Robert_G._Vignola
Cutie_Honey:_The_Live,Ryuta_Tasaki
The_Dolly_Sisters_(film),Irving_Cummings
Oisin_(film),Patrick_Carey_(cinematographer)
God_Is_in_the_T.V.,Marilyn_Manson
St._Val's_Mystery,René_Le_Hénaff
Senti_Aur_Mental,Yasra_Rizvi
A.I._Artificial_Intelligence,Steven_Spielberg
The_Upthrown_Stone,Sándor_Sára
Fireworks_(1947_film),Kenneth_Anger
Aalolam,Mohan_(director)
The_Mighty_Heroes,Ralph_Bakshi
Violanta_(1942_film),Paul_May
Who_Wants_to_Kill_Jessie%3F,Václav_Vorlíček
Crimes_of_Passion_(TV_series),Birger_Larsen_(director)
The_Tenth_One_in_Hiding,Lina_Wertmüller
Princess_O'Hara,David_Burton_(director)
Schubert's_Dream_of_Spring,Richard_Oswald
Rags_(2012_film),Bille_Woodruff
Fear_Chamber,Juan_Ibáñez
Mob_Boss_(film),Fred_Olen_Ray
Refugee_(2006_film),Haranath_Chakraborty
Les_Gaz_mortels,Abel_Gance
Obiettivo_ragazze,Mario_Mattoli
Carlton_Your_Doorman,Charles_Swenson
Bungs_and_Bunglers,Noel_M._Smith
Electric_Earthquake,Dave_Fleischer
Cowboy_Up,Xavier_Koller
Renegade_Girl,William_Berke
Q.R.R_(Quien_resulte_responsable),Gustavo_Alatriste
The_Northerners,Alex_van_Warmerdam
Shahada_(film),Burhan_Qurbani
The_War_Room,Chris_Hegedus
It's_a_Big_Country,Richard_Thorpe
The_Ice_Flood_(1926_film),George_B._Seitz
Don_Quixote_(1957_film),Grigori_Kozintsev
Blondie_(1968_TV_series),Bruce_Bilson
Milton_the_Monster,Hal_Seeger
"Free,_Blonde_and_21",Ricardo_Cortez
Born_to_Be_Bad_(1934_film),Lowell_Sherman
This_Is_England_'88,Shane_Meadows
La_familia_P._Luche,Eugenio_Derbez
Mother_Carey's_Chickens_(film),Rowland_V._Lee
Take_This_Waltz_(film),Sarah_Polley
Command_and_Control_(film),Robert_Kenner
Elvira_Madigan_(1967_film),Bo_Widerberg
Samudhayam,Ambili
The_Alley_Cat_(1985_film),Jean_Beaudin
Carried_Away_(1996_film),Bruno_Barreto
Land_of_the_Lost_(film),Brad_Silberling
Chrono_Cross,Masato_Kato
You're_the_Doctor,Roy_Lockwood
Ab_Tumhare_Hawale_Watan_Saathiyo,Anil_Sharma
Red_Wedding,Guillaume_Suon
Kiss_the_Girls_(1997_film),Gary_Fleder
Crime_Unlimited,Ralph_Ince
Ma'_Rosa,Brillante_Mendoza
Sinbad_and_the_Eye_of_the_Tiger,Sam_Wanamaker
The_Foxtrot,Philip_Saville
Five_Hours_from_Paris,Leonid_Prudovsky
Pappi_(film),Arthur_Maria_Rabenalt
The_Green_Slime,Kinji_Fukasaku
Moone_Moonu_Varthai,Madhumitha_(director)
The_Great_Caruso,Richard_Thorpe
Benidorm_(TV_series),Robin_Shepperd
Forgotten_Bird_of_Paradise,Dominic_Brown_(filmmaker)
The_Sleeping_Car_Murders,Costa-Gavras
The_Man_Who_Wouldn't_Talk_(1940_film),David_Burton_(director)
She_Had_to_Eat,Malcolm_St._Clair_(filmmaker)
Mupperum_Deviyar,K._Shankar
The_Betrayal_Knows_My_Name__tv_series__1,Katsushi_Sakurabi
Nyayam_Ketkirom,C._V._Rajendran
Life_with_Roger,James_Hampton_(actor)
Detropia,Rachel_Grady
A_Great_Mistake,Abner_Pastoll
Six_Lessons_from_Madame_La_Zonga,John_Rawlins_(director)
The_Princess_and_the_Plumber,Alexander_Korda
Earthly_Possessions_(film),James_Lapine
The_Italian_(2005_film),Andrei_Kravchuk
Stars_Over_Broadway,William_Keighley
Les_Raisins_de_la_Mort,Jean_Rollin
The_Gypsy_Queen,Mack_Sennett
The_Nightmare_Begins,Steve_Ressel
Get_Crazy,Allan_Arkush
Au_Revoir_Taipei,Arvin_Chen
Wasted!,Aryan_Kaganof
Man_with_the_Steel_Whip,Franklin_Adreon
Musafir_(2004_film),Sanjay_Gupta_(director)
"Toi,_le_venin",Robert_Hossein
Alive_Day_Memories,Ellen_Goosenberg_Kent
The_Oscar_(film),Russell_Rouse
Crimson_Dragon,Yukio_Futatsugi
Paramore's_Videos._All_of_Them._Ever,Shane_Drake
Land_of_Love,Reinhold_Schünzel
The_Ugly_Ones,Eugenio_Martín
David_Livingstone_(film),James_A._FitzPatrick
Lament_of_the_Lamb__ova__1,Gisaburō_Sugii
Angel's_Feather,Yasuhiro_Kuroda
Conquest_(1983_film),Lucio_Fulci
Rome-Paris-Rome,Luigi_Zampa
Terminal_Entry,John_Kincade
May_Minamahal_(film),Jose_Javier_Reyes
God_Is_My_Colt_.45,Luigi_Batzella
The_Boy_Who_Turned_Yellow,Michael_Powell
Kali_Ghata_(1951_film),Kishore_Sahu
Tristan_&_Isolde_(film),Kevin_Reynolds_(director)
Cleopatra_Jones,Jack_Starrett
My_Piece_of_the_Pie,Cédric_Klapisch
The_Great_Swindle,José_Antonio_Nieves_Conde
La_Mujer_y_el_jockey_(Hipódromo),José_Suárez
Treacle_Jr.,Jamie_Thraves
The_Valiant_Hombre,Wallace_Fox
Hashimura_Togo,William_C._deMille
The_Sport_Parade,Dudley_Murphy
Bewafa_Sanam,Gulshan_Kumar
My_Hero_(1990_film),Bryan_Leung
Ma_6-T_va_crack-er,Jean-François_Richet
Impulse_(1954_film),Cy_Endfield
Joseph_Smith:_The_Prophet_of_the_Restoration,T._C._Christensen
I_Married_Dora,Peter_H._Hunt
The_Joy_That_Kills,Tina_Rathborne
Beautiful_Dreamers,John_Kent_Harrison
Keep_Young_and_Beautiful_(Dad's_Army),David_Croft_(TV_producer)
Candid_Eye,Terence_Macartney-Filgate
Jannat_(film),Kunal_Deshmukh
Hercule_(film),Alexander_Esway
Amma_Nanna_O_Tamila_Ammayi,Puri_Jagannadh
James_Blunt:_Return_to_Kosovo,Steven_Cantor
Frisk_(film),Todd_Verow
Main_Street_to_Broadway,Tay_Garnett
Coimbatore_Mappillai,C._Ranganathan
The_Handmaiden,Park_Chan-wook
Kai_Koduttha_Dheivam,K._S._Gopalakrishnan
Aaj_Ka_Goonda_Raj,Ravi_Raja_Pinisetty
"It's_a_Mad,_Mad,_Mad,_Mad_World",Stanley_Kramer
Vacation_(2015_film),John_Francis_Daley
Made_of_Honor,Paul_Weiland
Happy_Ever_After_(1954_film),Mario_Zampi
The_Colbert_Report,Jim_Hoskinson
Tiny_Times_2,Guo_Jingming
Unseen_Wonder,Živko_Nikolić
Aksar,Anant_Mahadevan
Chimpui__film__1,Mitsuru_Hongo
"Jasper,_Texas_(film)",Jeffrey_W._Byrd
Det_kære_legetøj,Gabriel_Axel
Il_Sorpasso,Dino_Risi
The_Crew_of_the_Dora,Karl_Ritter_(director)
The_Lost_Squadron,Paul_Sloane_(director)
Ozhivukaalam,Bharathan
Camp_Runamuck,Charles_Barton_(director)
Chalte_Chalte_(2003_film),Aziz_Mirza
The_Time_Machine_(1960_film),George_Pal
"Salome,_Where_She_Danced",Charles_Lamont
The_Doorman,Andy_Ackerman
Macunaíma_(film),Joaquim_Pedro_de_Andrade
White_Lies_(2013_New_Zealand_film),Dana_Rotberg
Moon_Lake_(film),Ivan_Stanev
Crazy_(1999_film),Heddy_Honigmann
"On_a_Day_of_Ordinary_Violence,_My_Friend_Michel_Seurat...",Omar_Amiralay
Whisper_of_the_Heart,Yoshifumi_Kondō
Men_in_Black_(film),Barry_Sonnenfeld
Summer_in_the_City_(film),Wim_Wenders
Isabel_(film),Paul_Almond
One_or_the_Other_of_Us,Wolfgang_Petersen
Seaway_(TV_series),Daniel_Petrie
Karate_(film),Deb_Mukherjee
Once_Upon_a_Time_in_High_School,Yoo_Ha
The_Fashion_Show_(The_Inbetweeners_episode),Ben_Palmer
The_Alaskans,Jesse_Hibbs
Seven_Vengeful_Women,Sidney_W._Pink
The_Queen_of_Versailles,Lauren_Greenfield
Raggedy_Ann_and_Raggedy_Andy_(1941_film),Dave_Fleischer
Candles_on_Bay_Street,John_Erman
The_Last_Days_of_Pompeii_(1908_film),Arturo_Ambrosio
La_Ciénaga_(film),Lucrecia_Martel
A_Single_Blade_of_Grass,Rodman_Flender
Drugstore_Girl,Katsuhide_Motoki
Because_He's_My_Friend,Ralph_Nelson
Whistleblower_(The_Office),Paul_Lieberstein
Wild_City,Ringo_Lam
The_Tamale_Vendor,Roscoe_Arbuckle
Reunion_in_Vienna,Sidney_Franklin_(director)
Sun_Probe,David_Lane_(director)
Gosford_Park,Robert_Altman
Moneyball_(film),Bennett_Miller
Beastmaster_III:_The_Eye_of_Braxus,Gabrielle_Beaumont
Hamilchama_al_hashalom,Jules_Dassin
Jesus_–_The_Film,Jörg_Buttgereit
Metal_Gear_Solid_V:_The_Phantom_Pain,Hideo_Kojima
Felice...Felice...,Peter_Delpeut
What_We_Did_on_Our_Holiday,Andy_Hamilton
Lilting_(film),Hong_Khaou
Two_Evil_Eyes,Dario_Argento
Halloween_III:_Season_of_the_Witch,Tommy_Lee_Wallace
Saber_of_London,Max_Varnel
Geordie_(film),Frank_Launder
A_Waltz_Through_the_Hills,Frank_Arnold
"Wehe,_wenn_er_losgelassen",Martin_Frič
All_Screwed_Up,Lina_Wertmüller
Shiki_Natsuko,Yōichi_Higashi
Até_que_a_Sbórnia_nos_Separe,Otto_Guerra
The_Beauty_Jungle,Val_Guest
Devils_of_Monza,Luciano_Odorisio
The_Tiger_Man,William_S._Hart
Seshu,Jeevitha
Trinetrudu,A._Kodandarami_Reddy
Stratos_4,Takeshi_Mori_(director)
The_Night_Stalker_(2016_film),Megan_Griffiths
Mickey's_Tent_Show,Jesse_Duffy
Muriel_(film),Alain_Resnais
Poltergay,Éric_Lavaine
Surya_Putrulu,C._Umamaheswara_Rao
Green_Hat,Liu_Fendou
Head_over_Heels_(2001_film),Mark_Waters_(director)
Forbidden_(1949_film),George_King_(film_director)
"See_You_in_Hell,_My_Darling",Nikos_Nikolaidis
Lone_Rider,David_S._Cass_Sr.
Bunshinsaba_3,Ahn_Byeong-ki
