Imperial_Noble_Consort_Zhuangjing,Xianfeng_Emperor
Francis_McDonald,Mae_Busch
Ahmed_Khadr,Maha_el-Samnah
Heather_Stewart-Whyte,Yannick_Noah
Anna_Mahler,Anatole_Fistoulari
"Emily_FitzGerald,_Duchess_of_Leinster",William_Ogilvie_(Ardglass)
Miho_Fujima,Terunosuke_Takezai
Ève_Francis,Louis_Delluc
Wendy_Crewson,Michael_Murphy_(actor)
"Ernest_Louis,_Grand_Duke_of_Hesse",Princess_Victoria_Melita_of_Saxe-Coburg_and_Gotha
Louise_Bryant,"William_Christian_Bullitt,_Jr."
Princess_Irina_Alexandrovna_of_Russia,Felix_Yusupov
Constantine_V,"Eudokia,_wife_of_Constantine_V"
Yvonne_Craig,Jimmy_Boyd
Veronica_Belmont,Ryan_Block
Lee_Hall_(playwright),Beeban_Kidron
Michael_Williams_(actor),Judi_Dench
Mika_Tan,Alec_Knight_(actor)
David_Dimbleby,Josceline_Dimbleby
Justine_Bartolini-Baldelli,Jérôme_Bonaparte
Beryl_Mercer,Holmes_Herbert
Peter_Land,Gillian_Lynne
Leslie_Dixon,Tom_Ropelewski
Alessia_Merz,Fabio_Bazzani
Louise_Johnson,Abdus_Salam
Sara_Radcliffe,J.D._Kleinke
Betty_Astell,Cyril_Fletcher
Park_Sol-mi,Han_Jae-suk
Maria_Theresa_of_Austria_(1801–1855),Charles_Albert_of_Sardinia
Euphrosyne_of_Bulgaria,Theodore_Svetoslav_of_Bulgaria
Keith_Reddin,Leslie_Lyles
Sheikh_Haikel,Anna_Belle_Francis
Lady_Dorothy_Macmillan,Harold_Macmillan
Priscilla_Chan_(philanthropist),Mark_Zuckerberg
Edward_Gallagher_(actor),Helen_Gallagher_(Solomon)
Viktor_Yushchenko,Kateryna_Yushchenko
J._Frederick_Motz,Diana_Gribbon_Motz
Maud_Gage_Baum,L._Frank_Baum
Pete_Wilson,Gayle_Wilson
Barry_J._Beck,Marla_Malcolm_Beck
Keith_Carradine,Sandra_Will_Carradine
Ester_Krumbachová,Jan_Němec
Paul_Tse,Pamela_Peck
Shilpa_Shetty,Raj_Kundra
Duchess_Helene_of_Mecklenburg-Schwerin,"Ferdinand_Philippe,_Duke_of_Orléans"
Maria_Theresa_of_Spain,Louis_XIV_of_France
Louise_Tracy,Spencer_Tracy
David_Poe_Jr.,Eliza_Poe
Robert_D._Webb,Barbara_McLean
Tom_Courtenay,Cheryl_Kennedy
Bill_W.,Lois_W.
Rhodri_Owen,Lucy_Owen
Helen_J._Farabee,Ray_Farabee
Clara_Bow,Rex_Bell
Patricia_Quinn,Robert_Stephens
Lionel_Shriver,Jeff_Williams_(musician)
Rebecca_Gernhardt_Cox,Christopher_Cox
David_Gregory_(journalist),Beth_Wilkinson
Princess_Louise_of_Anhalt-Dessau_(1798–1858),"Gustav,_Landgrave_of_Hesse-Homburg"
Nicolas_Roeg,Susan_Stephen
"Maximilian_I,_Holy_Roman_Emperor",Anne_of_Brittany
Louise_Goff_Reece,B._Carroll_Reece
Boki_(Hawaiian_chief),Kuini_Liliha
Princess_Louise_of_Stolberg-Gedern_(1764-1834),Duke_Eugen_of_Württemberg_(1758–1822)
Kingsley_Amis,Hilary_Bardwell
Chelsea_Winstanley,Taika_Waititi
Jeanne_d'Albret,"William,_Duke_of_Jülich-Cleves-Berg"
Ingrid_Ragnvaldsdotter,Henrik_Skadelår
"Jennie_Lee,_Baroness_Lee_of_Asheridge",Aneurin_Bevan
Julia_Yeomans,Peter_Hore_(professor)
Philip_III_of_Navarre,Joan_II_of_Navarre
Louise_Sorel,Herb_Edelman
Charles_S._Deneen,Bina_Deneen
George_Hearst,Phoebe_Hearst
Jean-Pierre_Aumont,Maria_Montez
Sweta_Keswani,Alexx_O'Nell
"Philip_I,_Margrave_of_Baden","Elisabeth_of_the_Palatinate,_Landgravine_of_Hesse"
"Françoise,_duchesse_de_Praslin",Charles_de_Choiseul-Praslin
Glen_Meadows,Beverly_Lynne
Consort_Donggo,Shunzhi_Emperor
Corinne_Griffith,George_Preston_Marshall
Gertrude_Bambrick,Marshall_Neilan
Ann_Rutherford,William_Dozier
Emese,Ügyek
Salma_Hayek,François-Henri_Pinault
Phyllis_Coates,Richard_L._Bare
Sonia_Gandhi,Rajiv_Gandhi
Shvarn,Mindaugas
Kaela_Kimura,Eita
Marie_Bell,Jean_Chevrier
Dimitri_Jorjadze,Audrey_Emery
Bernd_Eichinger,Katja_Eichinger
John_Thaw,Sheila_Hancock
Robert_Muldoon,Thea_Muldoon
Bernard_Kouchner,Christine_Ockrent
Rikissa_Birgersdotter,Henry_I_of_Werle
Barbara_of_Portugal,Ferdinand_VI_of_Spain
Queen_Mathilde_of_Belgium,Philippe_of_Belgium
Jérôme_Napoléon_Bonaparte,Susan_May_Williams
Eleanor_of_Austria,Manuel_I_of_Portugal
Stan_Grant_(journalist),Karla_Grant
Marianne_Stokes,Adrian_Scott_Stokes
Rafe_Spall,Elize_du_Toit
Henny_Backus,Jim_Backus
Helen_Blau,David_Spiegel
Gene_Markey,Myrna_Loy
"Philip_II,_Count_of_Nevers",Bonne_of_Artois
Ursula_Parrott,John_Wildberg
Joseph_Morgan_(actor),Persia_White
David_Feuerwerker,Antoinette_Feuerwerker
"James_Stewart,_1st_Earl_of_Moray","Agnes_Keith,_Countess_of_Moray"
Ramakrishna_(Telugu_actor),Geetanjali_(actress)
Michael_Burns_(actor_and_historian),Elizabeth_Topham_Kennan
Jack_Dromey,Harriet_Harman
Benedicta_Ebbesdotter_of_Hvide,Sverker_II_of_Sweden
Louise_Élisabeth_de_Bourbon,"Louis_Armand_II,_Prince_of_Conti"
Mim_Persson,Edvard_Persson
Keiko_Aizawa,Shigeru_Ushiyama
Princess_Hermine_of_Anhalt-Bernburg-Schaumburg-Hoym,"Archduke_Joseph,_Palatine_of_Hungary"
"Anne_Grosvenor,_Duchess_of_Westminster","Hugh_Grosvenor,_2nd_Duke_of_Westminster"
Charlotta_Almlöf,Nils_Almlöf
Mary_Blair,Lee_Blair_(artist)
Kelli_Williams,Ajay_Sahgal
Carole_Lombard,Clark_Gable
Douglas_E._Soltis,Pamela_S._Soltis
Bambi_(character),Faline
Olimpiada_Bodiu,Filimon_Bodiu
Bella_Akhmadulina,Eldar_Kuliev
Eva_Taylor,Clarence_Williams_(musician)
Brian_Miller_(actor),Elisabeth_Sladen
Elvira_Menéndez_(died_921),Ordoño_II_of_León
Zalman_Shazar,Rachel_Katznelson-Shazar
Noble_Consort_Xin,Qianlong_Emperor
Princess_Therese_of_Nassau-Weilburg,Duke_Peter_Georgievich_of_Oldenburg
Michael_Yeats,Gráinne_Yeats
Kaaren_Verne,Peter_Lorre
Michelle_Chen,Chen_Xiao
Mark_Gatiss,Ian_Hallard
Selma_Kurz,Josef_von_Halban
Alexander_Fu_Sheng,Jenny_Tseng
Jacqueline_Schultz,Stephen_Sachs
Marie-Josée_Kravis,Henry_Kravis
William_James_Whipper,Frances_Rollin_Whipper
Maya_Plisetskaya,Rodion_Shchedrin
Margarete_of_Brunswick-Wolfenbüttel,"John,_Duke_of_Münsterberg-Oels"
Gertrude_of_Saxony,"Floris_I,_Count_of_Holland"
Richard_Atkinson_(bishop),Helen_Atkinson
Tekla_Róża_Radziwiłł,Jacob_Heinrich_von_Flemming
Season_Hubley,Kurt_Russell
Angela_Rockwood,Dustin_Nguyen
Renny_Lister,Kenneth_Cope
Janny_Wurts,Don_Maitz
"Anna_of_Trebizond,_Queen_of_Georgia",Bagrat_V_of_Georgia
Raj_Babbar,Nadira_Babbar
Dorji_Wangmo,Jigme_Singye_Wangchuck
Joan_Woodbury,Henry_Wilcoxon
Virbhadra_Singh,Pratibha_Singh
Howard_Baker,Nancy_Kassebaum
Susan_Shaw,Bonar_Colleano
Natalie_Zea,Travis_Schuldt
Adelle_Lutz,David_Byrne
"Alexander_Cambridge,_1st_Earl_of_Athlone","Princess_Alice,_Countess_of_Athlone"
Leigh_Taylor-Young,Ryan_O'Neal
"Leopold_I,_Holy_Roman_Emperor",Margaret_Theresa_of_Spain
"Constance_of_Aragon,_Lady_of_Villena",Manuel_of_Castile
Janet_Maslin,Benjamin_Cheever
Keiko_Awaji,Yorozuya_Kinnosuke
Louise_Caroline_of_Hochberg,"Charles_Frederick,_Grand_Duke_of_Baden"
Jaime_Bravo,Ann_Robinson
Nancy_Kress,Jack_Skillingstead
Burt_Reynolds,Judy_Carne
Marie_of_Évreux,"John_III,_Duke_of_Brabant"
Jennie_Maria_Arms_Sheldon,George_Sheldon_(preservationist)
Gyda_of_Sweden,Sweyn_II_of_Denmark
Mary_Allerton,Thomas_Cushman
Rajendra_of_Nepal,Samrajya_Laxmi_Devi
Joan_Lowell,Thompson_Buchanan
Princess_Charlotte_Sophie_of_Saxe-Coburg-Saalfeld,Duke_Louis_of_Mecklenburg-Schwerin
Marguerite_Churchill,Peter_Ganine
Ludger_Stühlmeyer,Barbara_Stühlmeyer
Christopher_Nolan,Emma_Thomas
Harley_Knoles,Pinna_Nesbit
Ephraim_Kishon,Sara_Kishon
Paul_McCartney,Heather_Mills
Margaret_McWade,Edward_McWade
Joyce_Giraud,Michael_Ohoven
Jake_Kasdan,Inara_George
Anne_Braden,Carl_Braden
Dax_Shepard,Kristen_Bell
Kerry_Kennedy,Andrew_Cuomo
Mitică_Popescu,Leopoldina_Bălănuță
Brent_Butt,Nancy_Robertson_(actress)
Claudia_Dey,Don_Kerr
William_Massey,Christina_Allan_Massey
Kabir_Khan_(director),Mini_Mathur
John_Clark_(actor),Kay_Hawtrey
George_Arundale,Rukmini_Devi_Arundale
Harry_Davenport_(actor),Phyllis_Rankin
Andy_Samberg,Joanna_Newsom
Gustaf_Skarsgård,Hanna_Alström
Bill_Paxon,Susan_Molinari
Mercy_Ravi,Vayalar_Ravi
Vittoria_Farnese_d'Este,"Francesco_I_d'Este,_Duke_of_Modena"
Maria_Timmer,Reed_Timmer
Alan_of_Galloway,"Margaret_of_Huntingdon,_Lady_of_Galloway"
William_E._Glasscock,Mary_Miller_Glasscock
Margaret_Keane,Walter_Keane
Hadia_Tajik,Stefan_Heggelund
Sawlu,Usaukpan_(Sawlu)
Pauline_Latham,Derek_Latham
John_L._Marion,Anne_Windfohr_Marion
Airey_Neave,"Diana_Neave,_Baroness_Airey_of_Abingdon"
Bill_Henrickson,Margene_Heffman
Gurdeep_Kohli,Arjun_Punj
Preetha_Vijayakumar,Hari_(director)
Kamehameha_I,Peleuli
Walter_Bodmer,Julia_Bodmer
Gene_Persson,Shirley_Knight
Fatmawati,Sukarno
Vikram_Vij,Meeru_Dhalwala
Sanchia_of_Provence,"Richard,_1st_Earl_of_Cornwall"
Astrid_Kirchherr,Stuart_Sutcliffe
Archduchess_Barbara_of_Austria,"Alfonso_II_d'Este,_Duke_of_Ferrara"
George_Agnew_Reid,Mary_Hiester_Reid
Stacia,Roy_Dyke
Ruhollah_Khomeini,Khadijeh_Saqafi
Raymond_Massey,Adrianne_Allen
Clio_Goldsmith,Mark_Shand
Victoria_Ruffo,Eugenio_Derbez
Eleonora_Gonzaga_(1630–1686),"Ferdinand_III,_Holy_Roman_Emperor"
Jon_Wiener,Judy_Fiskin
"Prince_Carlo,_Duke_of_Castro","Princess_Camilla,_Duchess_of_Castro"
Rosemary_Forbes_Kerry,Richard_Kerry
Esther_Kwan,Nick_Cheung
Sarah_Tabrizi,Michael_Nath
Auguste_Louise_of_Württemberg-Oels,"Georg_Albrecht_of_Saxe-Weissenfels,_Count_of_Barby"
Janet_Sheen,Martin_Sheen
Jennifer_Schwalbach_Smith,Kevin_Smith
Anne_Brolly,Francie_Brolly
Birgit_Zotz,Volker_Zotz
Gruffudd_ap_Cynan,Angharad_ferch_Owain
Warren_Christie,Sonya_Salomaa
"Elisabeth_of_Bavaria,_Queen_of_Belgium",Albert_I_of_Belgium
"Elizabeth_Wellesley,_Duchess_of_Wellington","Arthur_Wellesley,_2nd_Duke_of_Wellington"
Tom_Butcher,Corrinne_Wicks
Lütfi_Pasha,Şah_Sultan_(daughter_of_Selim_I)
Viveca_Lindfors,Folke_Rogard
Christian_Sugiono,Titi_Kamal
Edvard_Persson,Mim_Persson
Elliott_Wilson_(journalist),Danyel_Smith
Princess_Joséphine_Charlotte_of_Belgium,"Jean,_Grand_Duke_of_Luxembourg"
Andrew_II_of_Hungary,Yolanda_de_Courtenay
Laurie_Metcalf,Matt_Roth_(actor)
E._Gerald_Corrigan,Cathy_Minehan
Bruce_Elmegreen,Debra_Elmegreen
Daniel_Inouye,Irene_Hirano
Dean_Tavoularis,Aurore_Clément
Lisa_Chess,Michael_Pressman
Kasumi_Nakane,Tsuyoshi_Wada
Charles_Blackstone,Alpana_Singh
Gratian,Flavia_Maxima_Constantia
Jeremi_Wiśniowiecki,Gryzelda_Konstancja_Zamoyska
Léopoldine_Hugo,Charles_Vacquerie
Bernhard_Förster,Elisabeth_Förster-Nietzsche
Valentine_Penrose,Roland_Penrose
Richard_Madeley,Judy_Finnigan
Robin_Wright,Dane_Witherspoon
Béla_III_of_Hungary,Agnes_of_Antioch
Prince_Karl_Borromäus_of_Liechtenstein,Eleonore_of_Liechtenstein
Nandi_(mother_of_Shaka),Senzangakhona_kaJama
Mike_Farrell,Judy_Farrell
"Charles_II,_Margrave_of_Baden-Durlach",Anna_of_Veldenz
Jon_Lynn_Christensen,Tara_Dawn_Holland
Eudokia_Ingerina,Michael_III
Patrick_St._Esprit,Tawny_Moyer
Subhalekha_Sudhakar,S._P._Sailaja
Priscilla_Rattazzi,Chris_Whittle
Patricia_Wettig,Ken_Olin
Charlie_Ruggles,Adele_Rowland
"John_William_Friso,_Prince_of_Orange",Landgravine_Marie_Louise_of_Hesse-Kassel
David_R._Courtney,Chandra_Courtney
Prince_Michael_of_Kent,Princess_Michael_of_Kent
Gloria_Amon_Nikoi,Amon_Nikoi
Taryn_Simon,Jake_Paltrow
"Stella_Isaacs,_Marchioness_of_Reading","Rufus_Isaacs,_1st_Marquess_of_Reading"
Sanjay_Mitra,Suparna_Anand
Indrajith_Sukumaran,Poornima_Indrajith
Michael_Beschloss,Afsaneh_Mashayekhi_Beschloss
Lin_Meijiao,Huang_Yiliang
Callie_Torres,George_O'Malley
Marjorie_Jackson-Nelson,Peter_Nelson_(cyclist)
Michael_Denison,Dulcie_Gray
Mitch_Leery,Gail_Leery
Lionel_Jospin,Sylviane_Agacinski
Resham_Tipnis,Sanjeev_Seth
Suzanne_Neve,Richard_Martin_(television_director)
Harald_Bluetooth,Tove_of_the_Obotrites
Thomas_Quiney,Judith_Quiney
"Katherine_FitzGerald,_Viscountess_Grandison",Edward_FitzGerald-Villiers
Henry_Morgenthau_Jr.,Elinor_Morgenthau
Megawati_Sukarnoputri,Taufiq_Kiemas
Peter_I_of_Serbia,Princess_Zorka_of_Montenegro
Imperial_Noble_Consort_Gongsu,Tongzhi_Emperor
Inger_McCabe_Elliott,Osborn_Elliott
"William_II,_Count_of_Hainaut","Joanna,_Duchess_of_Brabant"
Richard_Long_(actor),Mara_Corday
Kathleen_Vinehout,Doug_Kane
Robert_Wagner,Natalie_Wood
Brandon_Douglas,Julie_Condra
Phyllis_Gotlieb,Calvin_Gotlieb
Sarala_Roy,Prasanna_Kumar_Roy
Jill_Kargman,Harry_Kargman
Sendhil_Ramamurthy,Olga_Sosnovska
Elizabeth_Finkel,Alan_Finkel
"Ida,_Countess_of_Boulogne","Berthold_IV,_Duke_of_Zähringen"
Intekhab_Dinar,Bijori_Barkatullah
Fiona_Stewart_(author),Philip_Nitschke
Shin_Saw_Gyi_of_Sagaing,Kyawswa_II_of_Pinya
Cacilda_Becker,Walmor_Chagas
Alexandra_Zhukovskaya,Grand_Duke_Alexei_Alexandrovich_of_Russia
George_Tabori,Viveca_Lindfors
Maurice_Kaufmann,Honor_Blackman
Ernest_Borgnine,Katy_Jurado
Zayed_bin_Sultan_Al_Nahyan,Fatima_bint_Mubarak_Al_Ketbi
Gisela_of_Swabia,"Conrad_II,_Holy_Roman_Emperor"
Eric_I_of_Denmark,Boedil_Thurgotsdatter
Ian_Keith,Ethel_Clayton
Jack_Donaghy,Liz_Lemon
Hedwiga,"Otto_I,_Duke_of_Saxony"
Christian_IV_of_Denmark,Anne_Catherine_of_Brandenburg
Winifred_Bryson,Warner_Baxter
Chris_Benoit,Nancy_Benoit
Donald_Sussman,Chellie_Pingree
FanFan,Blackie_Chen
Nanako_Matsushima,Takashi_Sorimachi
Chad_Sweeney,Jennifer_K._Sweeney
Patricio_Aylwin,Leonor_Oyarzún
Hodding_Carter_III,Patricia_M._Derian
Kanchi_Kaul,Shabbir_Ahluwalia
Miklós_Jancsó,Márta_Mészáros
James_de_Rothschild_(politician),Dorothy_de_Rothschild
"Jobst_Herman,_Count_of_Schaumburg","Otto_II,_Duke_of_Brunswick-Harburg"
"Jane_Howard,_Countess_of_Westmorland","Charles_Neville,_6th_Earl_of_Westmorland"
Andjar_Asmara,Ratna_Asmara
Frank_Bonner,Lillian_Garrett-Groag
Russell_Banks,Chase_Twichell
John_Derek,Bo_Derek
Princess_Isabel_Maria_of_Braganza,"Franz_Joseph,_9th_Prince_of_Thurn_and_Taxis"
Robbie_Amell,Italia_Ricci
Michelle_Chia,Shaun_Chen
Sean_Eldridge,Chris_Hughes
Ana_Pauker,Marcel_Pauker
Jonathan_Ross,Jane_Goldman
Tao_Lin,Megan_Boyle
Pieter_van_Vollenhoven,Princess_Margriet_of_the_Netherlands
Princess_Magdalena_Reuss_of_Köstritz,Prince_Hubertus_of_Prussia
Terry_Norris_(actor),Julia_Blake
Tatiana_Sorokko,Serge_Sorokko
Matteo_Renzi,Agnese_Landini
Lorenzo_Berardinetti,Michelle_Holland
Andrew_Honeycutt,Deborah_Honeycutt
"Anne_Seymour,_Duchess_of_Somerset","Edward_Seymour,_1st_Duke_of_Somerset"
Princess_Sophie_Antoinette_of_Brunswick-Wolfenbüttel,"Ernest_Frederick,_Duke_of_Saxe-Coburg-Saalfeld"
"Hsiao_Li_Lindsay,_Baroness_Lindsay_of_Birker","Michael_Lindsay,_2nd_Baron_Lindsay_of_Birker"
Tom_Ruegger,Adrienne_Alexander
Michael_Madsen,Georganne_LaPiere
"Charles_II,_Margrave_of_Baden-Durlach",Kunigunde_of_Brandenburg-Kulmbach
Abdul_Razak_Hussein,Rahah_Noah
"Margaret_Wake,_3rd_Baroness_Wake_of_Liddell","Edmund_of_Woodstock,_1st_Earl_of_Kent"
Kamakaimoku,Kalaninuiamamao
Liu_Xia_(intellectual),Liu_Xiaobo
Ted_McGinley,Gigi_Rice
John_Gilpin_(dancer),"Princess_Antoinette,_Baroness_of_Massy"
Princess_Stéphanie_of_Monaco,Adans_Lopez_Peres
"William_IV,_Prince_of_Orange","Anne,_Princess_Royal_and_Princess_of_Orange"
Shakuntala,Dushyanta
Martin_Cummins,Brandy_Ledford
Romy_Schneider,Harry_Meyen
Mahdi_Pakdel,Behnoosh_Tabatabaei
Herbert_Simon_(real_estate),Bui_Simon
Kajol,Ajay_Devgan
Isabella_Jagiellon,John_Zápolya
Les_Crane,Tina_Louise
Joanna_Barnes,Lawrence_Dobkin
Prince_William_of_Schaumburg-Lippe,Princess_Bathildis_of_Anhalt-Dessau
Lady_Randolph_Churchill,Lord_Randolph_Churchill
Robert_Wagner,Marion_Marshall_(actress)
"Christopher_II,_Margrave_of_Baden-Rodemachern",Princess_Cecilia_of_Sweden
Robert_Guéï,Rose_Doudou_Guéï
Princess_Louise_of_Denmark_(1726–1756),"Ernest_Frederick_III,_Duke_of_Saxe-Hildburghausen"
"Josias,_Hereditary_Prince_of_Waldeck_and_Pyrmont__Prince_Josias__1",Duchess_Altburg_of_Oldenburg
Roland_Penrose,Lee_Miller
Francis_Walsingham,Ursula_St._Barbe
John_Copp,John_Belding
Josh_Simpson_(glass_artist),Catherine_Coleman
Alexandra_Remenco,Dumitru_Remenco
John_Bromfield,Larri_Thomas
Aleksander_Stanisław_Potocki,Anna_Tyszkiewicz
"Hester_Pitt,_Countess_of_Chatham","William_Pitt,_1st_Earl_of_Chatham"
Ibrahim_Nasir,Naseema_Mohamed
Christopher_Mayer_(American_actor),Teri_Copley
Mike_Holm,Virginia_Paul_Holm
Sofía_Vergara,Joe_Manganiello
"Charles,_Duke_of_Berry_(1686–1714)",Marie_Louise_Élisabeth_d'Orléans
Lady_Annabel_Goldsmith,Mark_Birley
Empress_Xiaoduanwen,Hong_Taiji
"Augustus,_Elector_of_Saxony",Agnes_Hedwig_of_Anhalt
Gemma_Teller_Morrow,Clay_Morrow
Wanda_Nara,Maxi_López
Osman_II,Ayşe_Hatun_(wife_of_Osman_II)
Benedict_Zilliacus,Jutta_Zilliacus
Eduardo_Palomo,Carina_Ricco
Melissa_Howard,Justin_Beck
Moshe_Katsav,Gila_Katsav
Kalaniʻōpuʻu,Kalola_Pupuka
"Amelia_Cary,_Viscountess_Falkland","Lucius_Cary,_10th_Viscount_Falkland"
"Noel_Lemass,_Jnr",Eileen_Lemass
Timothy_West,Prunella_Scales
Catherine_de_Bourbon,"Henry_II,_Duke_of_Lorraine"
Iwikauikaua,Keakamahana
Bill_Johnston_(politician),Kate_Doust
Growth_of_Pedro_II_of_Brazil,Teresa_Cristina_of_the_Two_Sicilies
Rubem_Robierb,Sam_Champion
"Robert_Sidney,_2nd_Earl_of_Leicester","Dorothy_Sidney,_Countess_of_Leicester"
Sala_Burton,Phillip_Burton
Eliza_Osgood_Vanderbilt_Webb,William_Seward_Webb
Raghuvaran,Rohini_(actress)
Kirsty_Bertarelli,Ernesto_Bertarelli
Madame_Nhu,Ngô_Đình_Nhu
Karla_DeVito,Robby_Benson
Lucy_Skidmore_Scribner,John_Blair_Scribner
Riteish_Deshmukh,Genelia_D'Souza
Hans-Wilhelm_Koepcke,Maria_Koepcke
Betty_Lou_Keim,Warren_Berlinger
Vern_Swanson,Susie_Swanson_(politician)
Princess_Fiona,Shrek_(character)
Anthony_Bamford,Carole_Bamford
Éléonore_Desmier_d'Olbreuse,"George_William,_Duke_of_Brunswick-Lüneburg"
Al_Quie,Gretchen_Quie
Harry_Beresford,Emma_Dunn
Nicola_Walker,Barnaby_Kay
George_Vasiliou,Androulla_Vassiliou
Ada_Lovelace,"William_King-Noel,_1st_Earl_of_Lovelace"
Gizella_Lutz,Ferenc_Szálasi
"Christiane_Henriette,_Countess_Palatine_of_Zweibrücken","Karl_August,_Prince_of_Waldeck_and_Pyrmont"
Nick_Ross,Sarah_Caplin
Uttarā_(Mahabharata),Abhimanyu
"Edward_of_Norwich,_2nd_Duke_of_York",Philippa_de_Mohun
Cali_Timmins,Geoff_Pierson
Catherine_Oxenberg,Robert_Evans
Yashodhara_Dasappa,H._C._Dasappa
Chan_Parker,Charlie_Parker
James_Boggs_(activist),Grace_Lee_Boggs
Philip_Dunning,Edna_Hibbard
Shannon_Wilson,Chip_Wilson
Dona_Ganguly,Sourav_Ganguly
Amelia_Earhart,George_P._Putnam
Madeleine_Carroll,Henri_Lavorel
Patsy_Stone,Edina_Monsoon
Jorge_Gutierrez_(animator),Sandra_Equihua
Rik_Van_Nutter,Anita_Ekberg
Karthik_Kumar,Suchitra
Marian_Thayer,John_Thayer_(cricketer)
Christina_of_Holstein-Gottorp,Charles_IX_of_Sweden
Lisa_Howard_(Canadian_actress),Daniel_Cerone
"David_Vogel_Uihlein,_Sr.",Jane_Bradley_Pettit
Nicéphore_Soglo,Rosine_Vieyra_Soglo
Ehud_Olmert,Aliza_Olmert
Yoo_Ji-tae,Kim_Hyo-jin
Floyd_Odlum,Hortense_Odlum
Peter_Davison,Sandra_Dickinson
"Frederick_II,_Count_of_Celje",Veronika_of_Desenice
Prince_Bernhard_of_Lippe-Biesterfeld,Juliana_of_the_Netherlands
Bayezid_II,Muhtereme_Hatun
Shams_Pahlavi,Fereydoun_Djam
Nick_Pippenger,Maria_Klawe
Mary_Todd_Lincoln,Abraham_Lincoln
Katarzyna_Kostka,Adam_Hieronim_Sieniawski_(1576–1616)
Orson_Welles,Rita_Hayworth
Charlie_Day,Mary_Elizabeth_Ellis
"Ferdinando_II_de'_Medici,_Grand_Duke_of_Tuscany",Vittoria_della_Rovere
Joanna_Trollope,Ian_Curteis
Audrey_Emery,Grand_Duke_Dmitri_Pavlovich_of_Russia
Pony_Verma,Prakash_Raj
Ruth_Gordon,Garson_Kanin
Rex_Ingram_(director),Alice_Terry
William_Penn,Hannah_Callowhill_Penn
Ronald_Ferguson,Susan_Barrantes
"Ealdgyth,_daughter_of_Earl_Ælfgar",Harold_Godwinson
Louise_de_Mérode,"Carlo_Emmanuele_dal_Pozzo,_5th_Prince_of_Cisterna"
Maharani_Jaiwanta_Bai,Udai_Singh_II
Constantin_Brun,Friederike_Brun
Ann_Mara,Wellington_Mara
Robert_James_McMordie,Julia_McMordie
John_McCook,Laurette_Spang-McCook
Xu_Zhimo,Lu_Xiaoman
Veronica_Lazăr,Adolfo_Celi
Megan_Ganz,Humphrey_Ker
Mark_Adams_(artist),Beth_Van_Hoesen
Kwok_Tak-Seng,Kwong_Siu-hing
Jeremy_Irons,Sinéad_Cusack
Edward_Schreyer,Lily_Schreyer
Vidhu_Vinod_Chopra,Anupama_Chopra
"Anne_Bourchier,_Baroness_Dacre","Thomas_Fiennes,_8th_Baron_Dacre"
Rachel_Roberts_(actress),Alan_Dobie
Raihaanun,Teddy_Soeriaatmadja
Dougray_Scott,Claire_Forlani
Cláudia_Raia,Alexandre_Frota
Gavin_Grant_(editor),Kelly_Link
Takeo_Miki,Mutsuko_Miki
Suborna_Mustafa,Humayun_Faridi
Buff_Cobb,Mike_Wallace
Fred_R._Harris,LaDonna_Harris
Sindika_Dokolo,Isabel_dos_Santos
Synnøve_Anker_Aurdal,Ludvig_Eikaas
Nicole_Mitchell_Murphy,Eddie_Murphy
Dawn_Bender,Warren_Vanders
Lilian_Constantini,Charles_Schneider_(businessman)
Noel_Curran,Eimear_Quinn
Gregory_Peck,Veronique_Peck
Shawn_Ryan,Cathy_Cahlin_Ryan
List_of_The_Cleveland_Show_characters,Cleveland_Brown
Ghulam_Mustafa_Khar,Tehmina_Durrani
Edmond_O'Brien,Nancy_Kelly
Sona_Mohapatra,Ram_Sampath
John_Craig_Eaton,Flora_Eaton
James_Goldsmith,Antenor_Patiño
Susan_Bluestein,Brad_Davis_(actor)
Anne_Heywood,Raymond_Stross
Joanna_of_Castile,Philip_I_of_Castile
LeRoy_Collins,Mary_Call_Darby_Collins
Yuchi_Chifan,Emperor_Xuan_of_Northern_Zhou
Martha_Raye,Bud_Westmore
"Charles_Gordon-Lennox,_8th_Duke_of_Richmond","Hilda_Gordon-Lennox,_Duchess_of_Richmond"
John_D._Cherry,Pam_Faris
Emi_Wakui,Masato_Hagiwara
Nelson_Mandela,Winnie_Madikizela-Mandela
Siobhan_Finneran,Mark_Jordon
Al_Jolson,Ruby_Keeler
Jonathan_Powell_(Labour_adviser),Sarah_Helm
Cliff_Michelmore,Jean_Metcalfe
Nicol_Williamson,Jill_Townsend
Kathleen_Sebelius,K._Gary_Sebelius
Stacey_Bendet,Eric_Eisner
Stan_Smith_(American_Dad!),Francine_Smith
Catherine_Disher,Cedric_Smith_(actor)
Taufiq_Kiemas,Megawati_Sukarnoputri
Susan_Macdowell_Eakins,Thomas_Eakins
Ruth_Peetoom,René_Paas
Fred_Flintstone,Wilma_Flintstone
Richard_Walton_Tully,Eleanor_Gates
Arianne_Zucker,Kyle_Lowder
Almanzo_Wilder,Laura_Ingalls_Wilder
Victor_Drai,Loryn_Locklin
Larisa_Golubkina,Andrei_Mironov_(actor)
Khin_Pyezon,Bayinnaung
Kate_Pang,Andie_Chen
Don_Gordon_(actor),Helen_Westcott
Benjamin_Cheever,Janet_Maslin
Winifred_Westover,William_S._Hart
