Robert_Z._Leonard,Mae_Murray
Britt_Ekland,Slim_Jim_Phantom
Candy_Spelling,Aaron_Spelling
"Francis_II,_Holy_Roman_Emperor",Caroline_Augusta_of_Bavaria
Kenichi_Suzumura,Maaya_Sakamoto
James_Stewart,Gloria_Hatrick_McLean
Tom_Atkins_(actor),Garn_Stephens
Andrei_Sannikov,Iryna_Khalip
Lia_Boysen,Anders_Ekborg
Mir_Qasim,Mir_Jafar
"Catherine_Hyde,_Duchess_of_Queensberry","Charles_Douglas,_3rd_Duke_of_Queensberry"
Cynthia_Weil,Barry_Mann
Rachel_Qitsualik-Tinsley,Sean_Qitsualik-Tinsley
Hardeep_Singh_Puri,Lakshmi_Puri
Curd_Jürgens,Eva_Bartok
Emmanuelle_Seigner,Roman_Polanski
Alexa_Havins,Justin_Bruening
"Eleanor_Beauchamp,_Duchess_of_Somerset","Thomas_de_Ros,_8th_Baron_de_Ros"
Elijah_Muhammad,Clara_Muhammad
Alexander_Mackenzie_(politician),Jane_Mackenzie
Jonathan_Taplin,Rosanna_DeSoto
Vuslat_Doğan_Sabancı,Ali_Sabancı
Eugene_O'Neill,Agnes_Boulton
Effie_Gray,John_Everett_Millais
Jiaqing_Emperor,Empress_Xiaoherui
Kim_Seung-woo,Lee_Mi-yeon
Katharina_von_Bora,Martin_Luther
Gemini_Ganesan,Savitri_(actress)
Báb,Khadíjih-Bagum
Lisa_Kirk,Robert_Wells_(songwriter)
Ebba_Bernadotte,Prince_Oscar_Bernadotte
Janice_de_Belen,John_Estrada
"Louise_Marie_Adélaïde_de_Bourbon,_Duchess_of_Orléans","Louis_Philippe_II,_Duke_of_Orléans"
Princess_Anna_of_Prussia,Prince_Frederick_William_of_Hesse-Kassel
Nancy_Douglas_Bowditch,William_Robert_Pearmain
Archie_Kao,Zhou_Xun
Victor_Sjöström,Lili_Bech
Izabella_Poniatowska,Jan_Klemens_Branicki
Maria_of_the_Palatinate-Simmern,Charles_IX_of_Sweden
Leonila_Garcia,Carlos_P._Garcia
Bill_Ayers,Bernardine_Dohrn
Louise_Jefferson,George_Jefferson
Omar_Sharif,Faten_Hamama
Andrew_Ziolkowski,Gabrielle_Harrison
Saul_Landau,Nina_Serrano
Gloria_Vanderbilt,Sidney_Lumet
Fiona_Gubelmann,Alex_Weed
"Ernest_Frederick_III,_Duke_of_Saxe-Hildburghausen",Christiane_Sophie_Charlotte_of_Brandenburg-Bayreuth
Marianne_Stokes,Adrian_Scott_Stokes
Kathleen_Widdoes,Richard_Jordan
Dean_Potter,Steph_Davis
Mary_Cholmondeley_(heiress),Hugh_Cholmondeley_(soldier)
Natalya_Kaspersky,Eugene_Kaspersky
Annia_Faustina,Pomponius_Bassus_(consul_211)
Rita_Pavone,Teddy_Reno
Sharad_Kelkar,Keerti_Gaekwad_Kelkar
Maryam_d'Abo,Hugh_Hudson
Lalu_Prasad_Yadav,Rabri_Devi
Marcy_Walker,Billy_Warlock
Gerald_David_Lascelles,Angela_Lascelles
Jon_Wiener,Judy_Fiskin
Matteo_Renzi,Agnese_Landini
Krystyna_Drohojowska,Hassling-Ketling_of_Elgin
Hans_Grundig,Lea_Grundig
J._Christopher_Burch,Tory_Burch
Millard_Fillmore,Abigail_Fillmore
"Henry_II,_Duke_of_Lorraine",Catherine_de_Bourbon
Chen_Yunshang,Tang_Yuhan
Ana_María_de_Huarte_y_Muñiz,Agustín_de_Iturbide
Tutte_Lemkow,Sara_Luzita
Anne_Brolly,Francie_Brolly
Odile_Slynn,"Gordon_Slynn,_Baron_Slynn_of_Hadley"
"Otto_I,_Duke_of_Bavaria",Agnes_of_Loon
Kim_Ho-jin,Kim_Ji-ho
Sona_Mohapatra,Ram_Sampath
"Charles_Howard,_1st_Earl_of_Nottingham","Margaret_Howard,_Countess_of_Nottingham"
Francisco_Rivera_Ordóñez,"Eugenia_Martínez_de_Irujo,_12th_Duchess_of_Montoro"
Terry_Duggan,Anna_Karen
George_Maxwell_Richards,Jean_Ramjohn-Richards
Brennan_Brown,Jenna_Stern
Paul_Bettany,Jennifer_Connelly
Chloe_Shorten,Bill_Shorten
Spiro_Agnew,Judy_Agnew
Gerry_Anderson,Sylvia_Anderson
Nadine_Lewington,Michael_Malarkey
Nicole_Poolman,Jim_Poolman
Amanda_Bennett,Donald_E._Graham
Abolfazl_Poorarab,Anahita_Nemati
"Frederick_III,_Holy_Roman_Emperor","Eleanor_of_Portugal,_Holy_Roman_Empress"
Annette_de_la_Renta,Oscar_de_la_Renta
Nestor_Carbonell,Shannon_Kenny
Karen_Carlson,David_Soul
Soong_Ching-ling,Sun_Yat-sen
Nicole_Ménard,Réjean_Lefebvre
Jean_Wallace,Cornel_Wilde
Robert_Badinter,Élisabeth_Badinter
Andrea_Mitchell,Alan_Greenspan
Djamila_Bouhired,Jacques_Vergès
Jack_Hodgins_(Bones),Angela_Montenegro
Isobel_Elsom,Carl_Harbord
Larry_Parks,Betty_Garrett
Bellamy_Storer_(1847–1922),Maria_Longworth_Nichols_Storer
Beth_Brooke-Marciniak,Michelle_Brooke-Marciniak
Mia_Farrow,Frank_Sinatra
"Geoffrey_Fitz_Peter,_1st_Earl_of_Essex","Aveline_de_Clare,_Countess_of_Essex"
"Claude_Bowes-Lyon,_13th_Earl_of_Strathmore_and_Kinghorne","Frances_Bowes-Lyon,_Countess_of_Strathmore_and_Kinghorne"
Moody_Currier,Hannah_Slade_Currier
Cathy_Shim,Robert_Ben_Garant
Porsha_Williams,Kordell_Stewart
Margarete_Heymann,Harold_Marks
Gustavo_Balcázar_Monzón,Nydia_Quintero_Turbay
Charlotte_Ouisconsin_Clark_Van_Cleve,Horatio_P._Van_Cleve
Omar_Bongo,Patience_Dabany
Kris_Zimmerman,Patric_Zimmerman
Lady_Shuiqiu,Qian_Kuan
Ferdinand_Kettler,Johanna_Magdalene_of_Saxe-Weissenfels
Corky_Ballas,Shirley_Ballas
Carol_Rice_Allen,Nelson_Allen
Countess_Charlotte_of_Dohna-Leistenau,Prince_Karl_Anton_August_of_Schleswig-Holstein-Sonderburg-Beck
Anna_Porphyrogenita,Vladimir_the_Great
Shyama,Fali_Mistry
Lily_Aldrin,Marshall_Eriksen
Tracy_Nelson_(actress),William_R._Moses
G._V._Raja,Karthika_Thirunal_Lakshmi_Bayi
Richard_Epcar,Ellyn_Stern
Tony_Shalhoub,Brooke_Adams_(actress)
Sigourney_Weaver,Jim_Simpson_(director)
Mingyi_Swe,Shin_Myo_Myat
Eric_Eisner,Stacey_Bendet
Bryan_Forbes,Constance_Smith
Estelle_Lefébure,Arthur_(TV_presenter)
Wadanthika,Narapatisithu
"Anne_Blunt,_15th_Baroness_Wentworth",Wilfrid_Scawen_Blunt
Saw_Beza,Swa_Saw_Ke
Anthony_of_Saxony,Maria_Theresa_of_Austria_(1767–1827)
Jörn_Weisbrodt,Rufus_Wainwright
"Wilhelm_Heinrich,_Duke_of_Saxe-Eisenach",Anna_Sophie_Charlotte_of_Brandenburg-Schwedt
Duanmu_Hongliang,Xiao_Hong
Heather_McHugh,Nikolai_B._Popov
Tim_Biskup,Seonna_Hong
Carolyn_Bessette-Kennedy,John_F._Kennedy_Jr.
Carol_Hughes_(actress),Frank_Faylen
Princess_Marianne_of_Prussia,Prince_Wilhelm_of_Hesse-Philippsthal-Barchfeld
Boaz_Yakin,Alma_Har'el
Peter_Mews,Richard_Baylie
Cecilia_Hart,Bruce_Weitz
Lesley_Ann_Warren,Jon_Peters
Bernard_Miles,Josephine_Wilson
Stella_Kowalski,Stanley_Kowalski
Carmen_Binladin,Yeslam_bin_Ladin
Zhao_Tao,Jia_Zhangke
John_Challis,Debbie_Arnold
"Sizzo,_Prince_of_Schwarzburg",Princess_Alexandra_of_Anhalt
"Wilhelmina_of_Prussia,_Princess_of_Orange","William_V,_Prince_of_Orange"
Lotte_Reiniger,Carl_Koch_(director)
Jenny_Seagrove,Madhav_Sharma
Louise_Stanley,Dennis_O'Keefe
Eleanor_Gladys_Copenhaver,Sherwood_Anderson
Eleanor_Oglethorpe,Theophilus_Oglethorpe
Alfred_Ryder,Kim_Stanley
Joe_Costello_(politician),Emer_Costello
Sandra_Echeverría,Leonardo_de_Lozanne
Emperor_Wen_of_Sui,Consort_Chen_(Wen)
Boota_Singh,Zainab_Singh
Mira_Sorvino,Christopher_Backus
Hedy_Lamarr,Friedrich_Mandl
Ingrid_van_Houten-Groeneveld,Cornelis_Johannes_van_Houten
Nancy_Pelosi,Paul_Pelosi
Philip_Kaufman,Rose_Kaufman
Amara_(singer),Frans_Mohede
Ingerid_of_Denmark,Olaf_III_of_Norway
Peter_Robinson_(Northern_Ireland_politician),Iris_Robinson
Sanoe_Lake,Michael_Sterling_Eaton
Brian_Cox_(physicist),Gia_Milinovich
Maria_van_Eicken,Edward_Fortunatus
Peter_Facinelli,Jennie_Garth
Ralph_Merkle,Carol_Shaw_(video_game_designer)
Ann_M._O'Leary,Goodwin_Liu
Cynthia_Klitbo,Francisco_Gattorno
Kinoiki_Kekaulike,Kūhiō_Kalanianaole
Kris_Williams_(filmmaker),Joe_Swanberg
Karan_Singh_Grover,Jennifer_Winget
Shelley_Smith_Mydans,Carl_Mydans
Milton_Viorst,Judith_Viorst
Sissel_Benneche_Osvold,Totto_Osvold
Peter_Brook,Natasha_Parry
Roy_Campbell_(poet),Mary_Garman
Tuanku_Ja'afar_of_Negeri_Sembilan,Tuanku_Najihah
Noshi_Gilani,Saeed_Khan
Unique_Priscilla,Bucek_Depp
LaTanya_Richardson,Samuel_L._Jackson
James_Duff_(writer),Phillip_P._Keene
Sam_Nujoma,Kovambo_Nujoma
Jin_Goo,Kim_Ji-won_(actress)
Demi_Moore,Ashton_Kutcher
Barbara_of_Cilli,"Sigismund,_Holy_Roman_Emperor"
Lawrence_Pressman,Lanna_Saunders
John_Myhers,Joan_Benedict_Steiger
Milonia_Caesonia,Caligula
Enrique_Guzmán,Silvia_Pinal
Tanit_Phoenix,Sharlto_Copley
Elizabeth_Morgan_(actress),Jeremy_Child
Adrian_Scott,Joan_LaCour_Scott
Claude_Kirkpatrick,Edith_Killgore_Kirkpatrick
Kamala_Devi_(actress),Subodh_Mukherjee
Nicholas_Tse,Cecilia_Cheung
"Charles,_Prince_of_Soubise",Anne_Marie_Louise_de_La_Tour_d'Auvergne
Mahasweta_Devi,Bijon_Bhattacharya
Lyda_Salmonova,Paul_Wegener
Shirley_Sherrod,Charles_Sherrod
Chloe_O'Brian,Morris_O'Brian
"Leopold,_Prince_of_Salerno",Archduchess_Clementina_of_Austria
Rishi_Kapoor,Neetu_Singh
Elena_Cué,Alberto_Cortina
Ali_Bongo_Ondimba,Sylvia_Bongo_Ondimba
"Louis,_Count_of_Leiningen-Westerburg",Bernardine_of_Lippe
Wyatt_Emory_Cooper,Gloria_Vanderbilt
Princess_Elisabeth_Albertine_of_Anhalt-Dessau,"Heinrich_of_Saxe-Weissenfels,_Count_of_Barby"
Emibai_Jinnah,Muhammad_Ali_Jinnah
Laodice_IV,Seleucus_IV_Philopator
Tawny_Kitaen,Chuck_Finley
Nick_Raynsford,Alison_Seabeck
Michael_Bennett,Donna_McKechnie
Helen_Lynd,Robert_Staughton_Lynd
Collien_Ulmen-Fernandes,Christian_Ulmen
George_Goodman,Sally_Brophy
Brenda_Bruce,Roy_Rich
Joan_Collins,Peter_Holm
Ashraf_Sinclair,Bunga_Citra_Lestari
Philip_Glenister,Beth_Goddard
Booker_T._Washington,Margaret_Murray_Washington
Henry_Champ,Karen_DeYoung
Hilton_McRae,Lindsay_Duncan
William_Cohen,Janet_Langhart
"Henry_X,_Duke_of_Bavaria",Gertrude_of_Süpplingenburg
"James_II,_Count_of_La_Marche",Joanna_II_of_Naples
Matt_Passmore,Natalia_Cigliuti
Judy_Garland,Mark_Herron
"Eleanor_of_Aragon,_Queen_of_Castile",John_I_of_Castile
Lucy_Cohu,Corey_Johnson_(actor)
Deborra-Lee_Furness,Hugh_Jackman
Göran_Stangertz,Nina_Gunke
Griffon_Ramsey,Geoff_Ramsey
A._J._Liebling,Jean_Stafford
David_Morgan_(businessman),Ros_Kelly
Sonia_Humphrey,Ian_MacDougall
Elisabetta_Visconti,"Ernest,_Duke_of_Bavaria"
