Terry_Rhoads,Lise_Simms
Stephen_Tomašević_of_Bosnia,"Maria_of_Serbia,_Queen_of_Bosnia"
Princess_Henriette_Adelaide_of_Savoy,"Ferdinand_Maria,_Elector_of_Bavaria"
Daniela_Lavender,Ben_Kingsley
Jane_McGrath,Glenn_McGrath
"Arthur_III,_Duke_of_Brittany",Catherine_of_Luxembourg-Saint-Pol
Louis_XI_of_France,Charlotte_of_Savoy
Joan_Allen,Peter_Friedman
Polly_Toynbee,Peter_Jenkins_(journalist)
Nurhaci,Empress_Xiaocigao_(Qing_dynasty)
John_Deans_(pioneer),Jane_Deans
Zhang_Hanzhi,Qiao_Guanhua
Veronica_Porché_Ali,Muhammad_Ali
David_Richmond-Peck,Alisen_Down
Edith_Johnson,William_Duncan_(actor)
Liya_Akhedzhakova,Valery_Nosik
Yang_Xianyi,Gladys_Yang
Uche_Azikiwe,Nnamdi_Azikiwe
Gia_Long,Thừa_Thiên_(empress)
Andrew_J._Crevolin,Dolores_Gray
Hubert_Humphrey,Muriel_Humphrey_Brown
"James_Carnegie,_3rd_Duke_of_Fife","Caroline,_Lady_Worsley"
Karl_Bühler,Charlotte_Bühler
Charlotte_Goodall,Thomas_Goodall
Jules_Asner,Steven_Soderbergh
Gisela_Agnes_of_Rath,"Emmanuel_Lebrecht,_Prince_of_Anhalt-Köthen"
Jim_Bennett_(politician),Sandra_Pupatello
Marie_Favart,Charles_Simon_Favart
"Theodora_Angelina,_Duchess_of_Austria","Leopold_VI,_Duke_of_Austria"
Barbara_Snelling,Richard_A._Snelling
Lee_Wulff,Joan_Wulff
Avice_Landone,Bruno_Barnabe
Savjibhai_Korat,Jashumatiben_Korat
Rachel_Griffiths,Andrew_Taylor_(painter)
Steve_McQueen,Neile_Adams
Jeffrey_Holland,Judy_Buxton
Carol_Arthur,Dom_DeLuise
Mehmet_Oz,Lisa_Oz
Lord_Henry_Somerset,Lady_Henry_Somerset
Hudson_Taylor,Maria_Jane_Taylor
Tamayo_Marukawa,Taku_Otsuka
Aisha,Muhammad
"William,_Prince_of_Wied",Princess_Marie_of_the_Netherlands
Robert_III_of_Worms,Waldrada_of_Worms
Nechama_Rivlin,Reuven_Rivlin
Anna_Karolina_Orzelska,"Charles_Louis,_Duke_of_Schleswig-Holstein-Sonderburg-Beck"
Sarath_Babu,Rama_Prabha
"Adolph,_Landgrave_of_Hesse-Philippsthal-Barchfeld",Princess_Louise_of_Saxe-Meiningen
Edgar_Bodenheimer,Brigitte_Bodenheimer
John_Clements_(actor),Kay_Hammond
Molly_Ringwald,Panio_Gianopoulos
"Elisabeth_Christine_of_Brunswick-Wolfenbüttel,_Crown_Princess_of_Prussia",Frederick_William_II_of_Prussia
"Sizzo,_Prince_of_Schwarzburg",Princess_Alexandra_of_Anhalt
Brother_Blue,Ruth_Edmonds_Hill
Countess_Charlotte_Johanna_of_Waldeck-Wildungen,"John_Ernest_IV,_Duke_of_Saxe-Coburg-Saalfeld"
Agnes_of_Austria_(1154–1182),"Herman,_Duke_of_Carinthia"
Princess_Marie_Adelheid_of_Lippe,Prince_Heinrich_XXXII_Reuss_of_Köstritz
Lynn_Davis_(photographer),Rudy_Wurlitzer
"Eleanor_of_Portugal,_Holy_Roman_Empress","Frederick_III,_Holy_Roman_Emperor"
Munsur_Ali,Dilruba_Yasmeen_Ruhee
Michael_Emerson,Carrie_Preston
Irving_Penn,Lisa_Fonssagrives
Chrissie_White,Henry_Edwards_(actor)
Nida_Yasir,Yasir_Nawaz
John_of_Bohemia,Elizabeth_of_Bohemia_(1292–1330)
Prince_Nicholas_of_Greece_and_Denmark,Grand_Duchess_Elena_Vladimirovna_of_Russia
"Otto_Henry,_Elector_Palatine",Susanna_of_Bavaria
Princess_Sophia_Dorothea_of_Prussia,"Frederick_William,_Margrave_of_Brandenburg-Schwedt"
Robert_Cosgrove,Gertrude_Cosgrove
Suha_Arafat,Yasser_Arafat
Princess_Victoria_Melita_of_Saxe-Coburg_and_Gotha,"Ernest_Louis,_Grand_Duke_of_Hesse"
Martin_Gabel,Arlene_Francis
Jesse_Itzler,Sara_Blakely
Prince_Constantijn_of_the_Netherlands,Princess_Laurentien_of_the_Netherlands
Robert_Stephens,Maggie_Smith
Ellen_G._White,James_Springer_White
Alessandra_Negrini,Murilo_Benício
Iriana_Joko_Widodo,Joko_Widodo
"Beatrice_of_Savoy,_Dame_of_Faucigny",Guigues_VII_of_Viennois
Franchot_Tone,Jean_Wallace
Michael_Mead,Toni_Redpath
Koji_Yamamoto_(actor),Maki_Horikita
Maria_Echaveste,"Christopher_Edley,_Jr."
"Theobald_V,_Count_of_Blois",Alix_of_France
Ivan_III_of_Russia,Maria_of_Tver
Susan_Anton,Jeff_Lester
Lon_Johnson,Julianna_Smoot
Mary_Victoria_Douglas-Hamilton,Tasziló_Festetics
Lex_Lang,Sandy_Fox
Shari_Shattuck,Ronn_Moss
Basil_I,Eudokia_Ingerina
"Otto_VI,_Margrave_of_Brandenburg-Salzwedel",Hedwig_of_Habsburg
Charles_Tilly,Louise_A._Tilly
Misty_Rowe,James_DePaiva
Jane_Barton,Edmund_Barton
Rachel_Roberts_(model),Andrew_Niccol
Carleton_Young,Noel_Toy
"Catherine_Woodville,_Duchess_of_Buckingham","Henry_Stafford,_2nd_Duke_of_Buckingham"
Pocahontas_(character),John_Rolfe
Maria_Cosway,Richard_Cosway
Zofia_Mielecka,Jan_Karol_Chodkiewicz
Claude_Chabrol,Stéphane_Audran
Anne_Barton,John_Barton_(director)
Marion_Leonard,Stanner_E.V._Taylor
Helmut_Ringelmann,Evelyn_Opela
"Alfonso,_Prince_of_Asturias_(1907–1938)",Marta_Esther_Rocafort-Altuzarra
Minbyauk_Thihapate,Soe_Min_Kodawgyi
Allegra_Goodman,David_Karger
"Otto_I,_Margrave_of_Brandenburg",Ada_of_Holland
Lyudmila_Maksakova,Lev_Zbarsky
Blair_Hughes-Stanton,Gertrude_Hermes
Edith_Schaeffer,Francis_Schaeffer
Andrew_Parker_Bowles,"Camilla,_Duchess_of_Cornwall"
Omi_Minami,Yūji_Ueda
Gösta_Ekman,Marie-Louise_Ekman
Harald_III_of_Denmark,Margareta_Hasbjörnsdatter
Hilaria_Aguinaldo,Emilio_Aguinaldo
"Henry_Stuart,_Lord_Darnley","Mary,_Queen_of_Scots"
Sydnee_Steele,Michael_Raven
Shirley_Hazzard,Francis_Steegmuller
Briony_Scott,Mark_Scott_(businessman)
Henry_Jaglom,Victoria_Foyt
Eugenio_Derbez,Victoria_Ruffo
Mary_Agnes_Donoghue,Christopher_Robbins
Millicent_Baxter,Archibald_Baxter
Mortimer_Sellers,Frances_Stead_Sellers
Odoardo_Di_Santo,Maria_Augimeri
Prince_Max_Emanuel_of_Thurn_and_Taxis_(b._1935),Princess_Christa_of_Thurn_and_Taxis
Richard_Egan_(actor),Patricia_Hardy
Katherine_Mansfield,John_Middleton_Murry
Carlos_Romero_Barceló,Kate_Donnelly
Lori_Otter,Butch_Otter
Bidipta_Chakraborty,Birsa_Dasgupta
Susan_Kohner,John_Weitz
Ahmed_Osman_(politician),Princess_Lalla_Nuzha_of_Morocco
Prince_Ernst_Heinrich_of_Saxony,Princess_Sophie_of_Luxembourg
Arlene_Kramer_Richards,Arnold_Richards
Mahmud_Shah_of_Malacca,Tun_Fatimah
Abdul_Hamid_II,Bidar_Kadın
Roy_Watson,Jane_Keckley
William_Howitt,Mary_Howitt
Archduchess_Maria_Henrietta_of_Austria,Prince_Gottfried_von_Hohenlohe-Schillingsfürst
Jonathan_Kaufer,Pia_Zadora
Margrethe_II_of_Denmark,"Henrik,_Prince_of_Denmark"
Edu_Manzano,Vilma_Santos
Kitty_Dukakis,Michael_Dukakis
Manuel_Velasco_Coello,Anahí
"Josefa_de_Tudó,_1st_Countess_of_Castillo_Fiel",Manuel_Godoy
Harry_Hughes,Patricia_Donoho_Hughes
Benita_Hume,Ronald_Colman
"Lindy_Hamilton-Temple-Blackwood,_Marchioness_of_Dufferin_and_Ava","Sheridan_Hamilton-Temple-Blackwood,_5th_Marquess_of_Dufferin_and_Ava"
Reno_Browne,Lash_LaRue
Kelly_Preston,Kevin_Gage_(actor)
"Ursula_Pole,_Baroness_Stafford","Henry_Stafford,_1st_Baron_Stafford"
Eva_de_Braose,William_III_de_Cantilupe
Wilhelmine_Amalia_of_Brunswick-Lüneburg,"Joseph_I,_Holy_Roman_Emperor"
Emperor_Wen_of_Han,Empress_Dou_(Wen)
Marquis_de_Condorcet,Sophie_de_Condorcet
Eadgyth,"Otto_I,_Holy_Roman_Emperor"
Akhil_Mishra,Suzanne_Bernert
Jan_Sterling,Paul_Douglas_(actor)
"Maurice,_Elector_of_Saxony",Agnes_of_Hesse
Nancy_Huston,Tzvetan_Todorov
"Sophie,_Hereditary_Princess_of_Liechtenstein","Alois,_Hereditary_Prince_of_Liechtenstein"
"Augustus_the_Younger,_Duke_of_Brunswick-Lüneburg",Clara_Maria_of_Pomerania-Barth
Vic_Sotto,Dina_Bonnevie
Wally_Kurth,Rena_Sofer
Elisabetta_Visconti,"Ernest,_Duke_of_Bavaria"
Michaëlle_Jean,Jean-Daniel_Lafond
Claudia_Mori,Adriano_Celentano
Harry_Solter,Florence_Lawrence
Gołda_Tencer,Szymon_Szurmiej
Robert_Stout,Anna_Stout
Alexander_Raikhel,Natasha_Raikhel
Evelyn_de_Rothschild,Lynn_Forester_de_Rothschild
America_Olivo,Christian_Campbell
Sofia_Imber,Carlos_Rangel
Maria_Theresa_of_Austria_(1801–1855),Charles_Albert_of_Sardinia
Ginette_Garcin,Robert_Beauvais
"Ranulf_de_Blondeville,_6th_Earl_of_Chester","Constance,_Duchess_of_Brittany"
John_II_of_Cyprus,Helena_Palaiologina
Nirmal_Pandey,Kausar_Munir
Pete_Wilder,Violet_Turner
"James_Stuart-Wortley,_1st_Baron_Wharncliffe",Lady_Wharncliffe_(née_Caroline_Mary_Elizabeth_Creighton)
Fauzia_Yasmin,Mobarak_Hossain_Khan
Cecilia_Renata_of_Austria,Władysław_IV_Vasa
Patrycja_Mikula,Krzysztof_Król
Stanisław_Bohdan_Grabiński,Jadwiga_Maria_Potocka
Faustina_the_Younger,Marcus_Aurelius
Vrajesh_Hirjee,Rohini_Banerjee
Lee_Min-jung,Lee_Byung-hun
Steven_Hartley,Abby_Francis
Devon_Jersild,Jay_Parini
Kaori_Manabe,Kazuya_Yoshii
"Hugh_I,_Count_of_Blois","Mary,_Countess_of_Blois"
Rhea_Durham,Mark_Wahlberg
Roger_Needham,Karen_Spärck_Jones
"Richard,_6th_Prince_of_Sayn-Wittgenstein-Berleburg",Princess_Benedikte_of_Denmark
Louis_VI_of_France,Lucienne_de_Rochefort
Don_Siegel,Doe_Avedon
Julie_Bruck,Lewis_Buzbee
Sam_Shepard,O-Lan_Jones
Jack_Baer_(art_dealer),Jean_St._Clair
Violet_Alva,Joachim_Alva
Fern_Andra,Ian_Keith
Venu_Srinivasan,Mallika_Srinivasan
Diana_Barrymore,Robert_Wilcox_(actor)
Hannelore_Auer,Heino
Joan_Sutherland,Richard_Bonynge
Ali_MacGraw,Steve_McQueen
Martin_Melin,Camilla_Läckberg
Sarah_Kernochan,James_Lapine
Zayed_bin_Sultan_Al_Nahyan,Hassa_bint_Mohammed_bin_Khalifa_Al_Nahyan
Jack_White_(film_producer),Pauline_Starke
Esperanza_Osmeña,Sergio_Osmeña
Joachim_Gasquet,Marie_Gasquet
Patty_Stonesifer,Michael_Kinsley
Hafez_al-Assad,Anisa_Makhlouf
Eva_Marie_Saint,Jeffrey_Hayden
Diane_Greene,Mendel_Rosenblum
Yang_Lihua,Emperor_Xuan_of_Northern_Zhou
Claire_Windsor,Bert_Lytell
Jack_Ryder_(actor),Kym_Marsh
Emperor_Saga,Tachibana_no_Kachiko
Carl_Reiner,Estelle_Reiner
Hyman_B._Samuels,Lynne_Roberts
Karen_Kain,Ross_Petty
Susan_Renouf,Frank_Renouf
"Nikolaus,_Count_Esterházy",Orsolya_Dersffy
Stephen_Harper,Laureen_Harper
Heidi_Horten,Helmut_Horten
Anne_Twomey,John_Bedford_Lloyd
Adinath_Kothare,Urmila_Kanitkar
Wilhelm_Carl_von_Rothschild,Mathilde_Hannah_von_Rothschild
Ada_of_Huntingdon,"Floris_III,_Count_of_Holland"
Ranvir_Shorey,Konkona_Sen_Sharma
Robert_A._Altman,Lynda_Carter
Pat_O'Connor_(director),Mary_Elizabeth_Mastrantonio
Germanicus,Agrippina_the_Elder
Bernd_Eichinger,Katja_Eichinger
Jamie_Kilstein,Allison_Kilkenny
David_LeRoy_Anderson,Heather_Langenkamp
Bernhard_Müller,Countess_Leon
Saif_Ali_Khan,Kareena_Kapoor
Anna_Harrison,William_Henry_Harrison
William_Kerr_Fraser,Marion_Fraser
"Louis_II,_Duke_of_Bavaria",Anna_of_Glogau
Duke_Robert_of_Württemberg,Archduchess_Maria_Immakulata_of_Austria
Eduardo_Yáñez,Francesca_Cruz
Sia_Koroma,Ernest_Bai_Koroma
"Frances_Bowes-Lyon,_Countess_of_Strathmore_and_Kinghorne","Claude_Bowes-Lyon,_13th_Earl_of_Strathmore_and_Kinghorne"
Norman_Cook,Zoë_Ball
Harriet_Sims,Bud_Roberts
Vic_Reeves,Nancy_Sorrell
Glenn_Ford,Eleanor_Powell
William_McMahon,Sonia_McMahon
Lady_Sarah_Lennox,"Sir_Charles_Bunbury,_6th_Baronet"
Nancy_Guild,Charles_Russell_(actor)
Abigail_Kuaihelani_Campbell,James_Campbell_(industrialist)
Zaida_Luthey-Schulten,Klaus_Schulten
Frank_Doran_(British_politician),Joan_Ruddock
Russell_Wortley,Dana_Wortley
Joanne_Woodward,Paul_Newman
Valerie_Jackson,Maynard_Jackson
Saud_(actor),Javeria_Saud
Dai_Ailian,Ye_Qianyu
"Margaret_of_Scotland,_Queen_of_Norway",Eric_II_of_Norway
Ua_(singer),Jun_Murakami
Hilda_González_de_Duhalde,Eduardo_Duhalde
Viola_Slaughter,John_Horton_Slaughter
Shin_Shwe_of_Pagan,Narathihapate
Szymon_Szurmiej,Gołda_Tencer
Nero,Pythagoras_(freedman)
Lee_Teng-hui,Tseng_Wen-hui
Joyce_Heron,Ralph_Michael
Arvind_Deshpande,Sulabha_Deshpande
Presidency_of_Cristina_Fernández_de_Kirchner,Néstor_Kirchner
"William_Bridgeman,_1st_Viscount_Bridgeman","Caroline_Bridgeman,_Viscountess_Bridgeman"
Saffron_Aldridge,Ian_Wace
Jan_Sterling,John_Merivale
Lee_Ji-ah,Seo_Taiji
Kate_Burton_(actress),Michael_Ritchie_(artistic_director)
"Leopold,_Prince_of_Salerno",Archduchess_Clementina_of_Austria
Lorinda_de_Roulet,Vincent_de_Roulet
Berengaria_of_Portugal,Valdemar_II_of_Denmark
Kate_Carnell,Ian_Carnell
Pujie,Hiro_Saga
Mikheil_Saakashvili,Sandra_Roelofs
Joe_McHugh,Olwyn_Enright
Jim_Bakker,Tammy_Faye_Messner
Jennifer_Saunders,Ade_Edmondson
"Matilda_of_Brabant,_Countess_of_Artois","Guy_III,_Count_of_Saint-Pol"
Pamela_Ropner,Thomas_Stuttaford
"Ernest_Augustus,_King_of_Hanover",Frederica_of_Mecklenburg-Strelitz
Ann_Rutherford,William_Dozier
Gandhari_(character),Dhritarashtra
Cornelius_Vanderbilt_Whitney,Marylou_Whitney
Sean_Gullette,Yto_Barrada
Veronika_of_Desenice,"Frederick_II,_Count_of_Celje"
Kurt_Russell,Season_Hubley
"Michael_Stewart,_Baron_Stewart_of_Fulham","Mary_Stewart,_Baroness_Stewart_of_Alvechurch"
Princess_Marie_Melita_of_Hohenlohe-Langenburg,"Wilhelm_Friedrich,_Duke_of_Schleswig-Holstein"
Marlene_Clark,Billy_Dee_Williams
Patricia_Marmont,Nigel_Green
William_Hutchinson_(Rhode_Island),Anne_Hutchinson
H._John_Heinz_III,Teresa_Heinz
Sverre_of_Norway,"Margaret_of_Sweden,_Queen_of_Norway"
Elena_Varzi,Raf_Vallone
Melissa_Howard,Justin_Beck
"Claude_Bowes-Lyon,_13th_Earl_of_Strathmore_and_Kinghorne","Frances_Bowes-Lyon,_Countess_of_Strathmore_and_Kinghorne"
Torrey_DeVitto,Paul_Wesley
Gujarmal_Modi,Dayawati_Modi
Suzanne_Storrs,Lionel_Pincus
Mildred_Cooke,"William_Cecil,_1st_Baron_Burghley"
Louise_Rasmussen,Frederick_VII_of_Denmark
Federica_Panicucci,Fargetta
Mary_Shelley,Percy_Bysshe_Shelley
Prakash_Raj,Pony_Verma
Jeff_Hordley,Zoe_Henry
Unique_Priscilla,Bucek_Depp
Joseph_Platt,Thomas_Hanford
Thandie_Newton,Ol_Parker
Jill_Schoelen,Anthony_Marinelli
Ramakrishna_(Telugu_actor),Geetanjali_(actress)
James_K._Polk,Sarah_Childress_Polk
Kelly_Overton_(actress),Judson_Pearce_Morgan
Christine_Daaé,Viscount_Raoul_de_Chagny
Judith_of_Hohenstaufen,"Louis_II,_Landgrave_of_Thuringia"
Debbi_Morgan,Charles_S._Dutton
Mel_Carnahan,Jean_Carnahan
Mike_Vasilinda,Michelle_Rehwinkel_Vasilinda
Danielle_von_Zerneck,James_Fearnley
Masataka_Taketsuru,Rita_Taketsuru
Jada_Pinkett_Smith,Will_Smith
Swizz_Beatz,Mashonda
Esad_Mekuli,Sehadete_Mekuli
"Rudolf_I,_Duke_of_Bavaria",Mechtild_of_Nassau
Bernard_Heuvelmans,Monique_Watteau
Charlie_Hamilton_James,Philippa_Forrester
Maria_Grocholska,Witold_Czartoryski
Hassa_bint_Mohammed_bin_Khalifa_Al_Nahyan,Zayed_bin_Sultan_Al_Nahyan
Rahul_Ravindran,Chinmayi
Jonathan_Ross,Jane_Goldman
Hugo_Wolfram,Sybil_Wolfram
"Lothair_II,_Holy_Roman_Emperor",Richenza_of_Northeim
Meredith_MacRae,Greg_Mullavey
George_Bures_Miller,Janet_Cardiff
Ralph_Paget,Louise_Paget
Salim_Khan,Helen_(actress)
Gordon_Cressy,Joanne_Campbell_(politician)
Oliver_Lee_(actor),Linzey_Cocker
Raphaël_Enthoven,Justine_Lévy
"Leopold_III,_Margrave_of_Austria__Leopold_III__1",Agnes_of_Germany
Zachary_Levi,Missy_Peregrym
Soong_Ai-ling,H._H._Kung
Joan_Lowell,Thompson_Buchanan
"Bogislaw_X,_Duke_of_Pomerania","Anna_Jagiellon,_Duchess_of_Pomerania"
Aleš_Debeljak,Erica_Johnson_Debeljak
Pia_Miller,Brad_Miller_(footballer)
Maya_Alagh,Sunil_Alagh
Rose_Plumer,Lincoln_Plumer
Nadia_Benois,Jona_von_Ustinov
"Lionel_of_Antwerp,_1st_Duke_of_Clarence","Elizabeth_de_Burgh,_4th_Countess_of_Ulster"
Nero,Claudia_Octavia
Sandra_Dorne,Patrick_Holt
Carla_Hughes_(Winners_&_Losers),Doug_Graham_(Winners_&_Losers)
Alma_Muriel,José_María_Napoleón
Michele_Ferrero,Maria_Franca_Fissolo
Shahar_Banu_Begum,Muhammad_Azam_Shah
Princess_Majeedah_Bolkiah,Khairul_Khalil
Tim_Campbell_(actor),Anthony_Callea
Sybilla_of_Conversano,Robert_Curthose
John_Osborne,Jill_Bennett_(British_actress)
Norika_Fujiwara,Kataoka_Ainosuke_VI
John_Nelson_(lawyer),William_Ward_Burrows_I
Michael_the_Brave,Doamna_Stanca
Jessie_Ball_duPont,Alfred_I._du_Pont
Erzsébet_Thurzó,István_Esterházy_(1616–1641)
Li_Shuxian,Puyi
John_Bailey_(cinematographer),Carol_Littleton
David_Westin,Sherrie_Rollins_Westin
Alexis_Ayala,Karla_Álvarez
Mireille_Hartuch,Emmanuel_Berl
Kate_Jackson,Andrew_Stevens
Medferiashwork_Abebe,Amha_Selassie
Teresa_A._Sullivan,Douglas_Laycock
Nancy_Kyes,Tommy_Lee_Wallace
Zhou_Enlai,Deng_Yingchao
Count_Dracula,Brides_of_Dracula
Thomas_Todd,Lucy_Washington
Selim_I,Ayşe_Hatun_(wife_of_Selim_I)
Brienne_Pedigo,Tyler_Christopher_(actor)
Philip_Kaufman,Rose_Kaufman
Liang_Sicheng,Lin_Huiyin
Clyde_Klotz,Gillian_Anderson
Matthew_Warchus,Lauren_Ward
William_E._Glasscock,Mary_Miller_Glasscock
Serkalem_Fasil,Eskinder_Nega
Tina_Albanese,Patrick_Labyorteaux
Bejoy_Nambiar,Sheetal_Menon
Mary_Jane_Irving,Robert_Carson_(writer)
Gary_Webster,Wendy_Turner_Webster
Emma_Rabbe,Daniel_Alvarado
Ania_Wiśniewska,Michał_Wiśniewski
Marie-Anne_Horthemels,Nicolas-Henri_Tardieu
Emma_Lampert_Cooper,Colin_Campbell_Cooper
Lars_Holst,Fernanda_Nissen
Patricia_Farrar,Frank_Farrar
Yang_Xianrong,Liu_Yao
Pihla_Viitala,Kerkko_Koskinen
Anders_Danielsen_Lie,Iselin_Steiro
Viva_Birkett,Philip_Merivale
Fernando_Errázuriz_Aldunate,María_del_Carmen_Sotomayor
"Victor,_Prince_Napoléon",Princess_Clémentine_of_Belgium
Maite_Nkoana-Mashabane,Norman_Mashabane
Bruce_Roberts_(photographer),Nancy_Roberts_(author)
Antoinette_Polk,Athanase-Charles-Marie_Charette_de_la_Contrie
Jeanne_d'Albret,"William,_Duke_of_Jülich-Cleves-Berg"
Richard_Levins,Aurora_Levins_Morales
Princess_Maria_Ferdinanda_of_Saxony,"Ferdinand_III,_Grand_Duke_of_Tuscany"
John_Lennon,Yoko_Ono
Emetullah_Rabia_Gülnuş_Sultan,Mehmed_IV
Indiana_Jones,Marion_Ravenwood
Anne_Igartiburu,Igor_Yebra
"Charles_I,_Duke_of_Münsterberg-Oels",Anna_of_Sagan
Sanjeev_Seth,Lata_Sabharwal
Daniel_Barenboim,Jacqueline_du_Pré
Betty_Hutton,Pete_Candoli
John_Myhers,Joan_Benedict_Steiger
"Eustace_III,_Count_of_Boulogne","Mary_of_Scotland,_Countess_of_Boulogne"
Rob_Sitch,Jane_Kennedy_(actress)
Liza_Goddard,David_Cobham
"Friedrich_Franz,_Hereditary_Grand_Duke_of_Mecklenburg-Schwerin",Karin_Elisabeth_von_Schaper
Mayte_Garcia,Prince_(musician)
Mary_Ann_Nyberg,Arthur_Knight_(film_critic)
Jeetendra,Shobha_Kapoor
Marianne_Wiggins,Salman_Rushdie
Yi_Gu,Julia_Mullock
Julia_the_Elder,Tiberius
Aaron_Frenkel,Maja_Ruth_Frenkel
Paul_Rusesabagina,Tatiana_Rusesabagina
Elliott_Dexter,Marie_Doro
Herman_G._Kump,Edna_Hall_Scott_Kump
"Frederick_III,_German_Emperor","Victoria,_Princess_Royal"
Cliff_Robertson,Dina_Merrill
Jon_Ford_(Australian_politician),Sally_Talbot
Effie_Gray,John_Everett_Millais
"Anne_Seymour,_Countess_of_Warwick",Edward_Unton_(high_sheriff)
Marie-Louise_Ekman,Carl_Johan_De_Geer
Ann_Morgan_Guilbert,George_Eckstein
Janet_Key,Gawn_Grainger
Ismail_Nasiruddin_of_Terengganu,Tengku_Intan_Zaharah
Elizabeth_of_Kuyavia,"Stephen_II,_Ban_of_Bosnia"
Dominique-France_Loeb-Picard,Fuad_II_of_Egypt
Lady_Caroline_Blackwood,Lucian_Freud
"William_Frederick,_Prince_of_Wied",Princess_Pauline_of_Württemberg_(1877–1965)
Kendrick_Meek,Leslie_Meek
Adélaïde_Binart,Alexandre_Lenoir
Eric_Haze,Rosie_Perez
Neil_Marshall,Axelle_Carolyn
Karan_Singh_Grover,Shraddha_Nigam
Baldwin_I_of_Jerusalem,Adelaide_del_Vasto
Jaime_Bravo,Ann_Robinson
Nina_Sibal,Kapil_Sibal
Honey_Bruce,Lenny_Bruce
Tristan_MacManus,Tahyna_Tozzi
Ata'ollah_Mohajerani,Jamileh_Kadivar
Barbara_Robb,Brian_Robb
Larry_Flynt,Althea_Flynt
Sarath_Fonseka,Anoma_Fonseka
Viggo_Mortensen,Exene_Cervenka
Amyntas_III_of_Macedon,Eurydice_I_of_Macedon
"Louis,_Count_of_Évreux",Margaret_of_Artois
Princess_Maria_Amalia_of_Saxony,"Charles_II_August,_Duke_of_Zweibrücken"
"John_William,_Duke_of_Jülich-Cleves-Berg",Jakobea_of_Baden
Kamal_Hossain,Hameeda_Hossain
Jack_Hodgins_(Bones),Angela_Montenegro
Parakala_Prabhakar,Nirmala_Sitharaman
Samar_Badawi,Waleed_Abulkhair
Olga_Drahonowska-Małkowska,Andrzej_Małkowski
Kaneto_Shindo,Nobuko_Otowa
W._Carter_Merbreier,Patricia_Merbreier
Cass_Phang,Jan_Lamb
Lester_B._Pearson,Maryon_Pearson
Dickie_Moore_(actor),Jane_Powell
Liz_Feldman,Rachael_Cantu
Ximena_Armas,Henri_Richelet
"Thomas_Howard,_3rd_Duke_of_Norfolk",Anne_of_York_(daughter_of_Edward_IV)
Henry_Thomas,Marie_Zielcke
"Frederick_II,_Holy_Roman_Emperor",Bianca_Lancia
Eustachy_Erazm_Sanguszko,Klementyna_Czartoryska
Bud_Yorkin,Cynthia_Sikes
Satyajit_Ray,Bijoya_Ray
Thado_Minbya,Saw_Omma_of_Pinya
Robert_Sterling,Ann_Sothern
Barbro_Sachs-Osher,Bernard_Osher
Leopoldina_Bălănuță,Mitică_Popescu
Susan_Strasberg,Christopher_Jones_(actor)
Flavia_Maxima_Constantia,Gratian
Robert_Henry_Newell,Adah_Isaacs_Menken
"Thomas_Howard,_3rd_Duke_of_Norfolk","Elizabeth_Stafford,_Duchess_of_Norfolk"
Anne_Gust,Jerry_Brown
Howard_Eisenberg,Arlene_Eisenberg
Nick_Flynn,Lili_Taylor
Nurjahan_Begum,Rokanuzzaman_Khan
Henry_Quastler,Gertrude_Quastler
Paige_Davis,Patrick_Page
"Francis_II,_Holy_Roman_Emperor",Duchess_Elisabeth_of_Württemberg
Robin_Kelley,Lisa_Gay_Hamilton
Muhriz_of_Negeri_Sembilan,Tuanku_Aishah_Rohani
"Noel_Noel-Buxton,_1st_Baron_Noel-Buxton","Lucy_Noel-Buxton,_Baroness_Noel-Buxton"
John_IV_of_Portugal,Luisa_de_Guzmán
Karla_Álvarez,Alexis_Ayala
Farley_Mowat,Claire_Mowat
"Edward_Fitzalan-Howard,_18th_Duke_of_Norfolk","Georgina_Fitzalan-Howard,_Duchess_of_Norfolk"
Gene_Lockhart,Kathleen_Lockhart
Helen_Bentwich,Norman_Bentwich
Paul_Sparks,Annie_Parisse
Thomas_Koppel,Annisette_Koppel
Charles_Lang,Helen_Parrish
"Nuno_José_Severo_de_Mendoça_Rolim_de_Moura_Barreto,_1st_Duke_of_Loulé",Infanta_Ana_de_Jesus_Maria_of_Portugal
Ahmet_Necdet_Sezer,Semra_Sezer
Christina_Magdalena_of_the_Palatinate-Zweibrücken,"Frederick_VI,_Margrave_of_Baden-Durlach"
Matilda_of_Savoy,"Louis_III,_Elector_Palatine"
Mahaut_of_Albon,"Amadeus_III,_Count_of_Savoy"
Rip_Torn,Amy_Wright
William_Grant_Sherry,Bette_Davis
Praskovia_Saltykova,Ivan_V_of_Russia
María_Elena_Holly,Buddy_Holly
Larry_Semon,Dorothy_Dwan
Pamela_S._Soltis,Douglas_E._Soltis
"Vincenzo_Gonzaga,_Duke_of_Mantua",Margherita_Farnese
Ahmad_Shah_II_of_Pahang,Muhammad_Hassan_(Brunei)
Marianna_Török,Abbas_II_of_Egypt
"Elisabeth_of_Bavaria,_Electress_of_Saxony","Ernest,_Elector_of_Saxony"
Fear_Brewster,Isaac_Allerton
James_Earl_Carter_Sr.,Lillian_Gordy_Carter
Ravi_Dubey,Sargun_Mehta
Thuận_Thiên_(Trần_dynasty_empress),Trần_Liễu
Robert_Warwick,Josephine_Whittell
