"Sydney_Buxton,_1st_Earl_Buxton",Prince_Arthur_of_Connaught
Saad_Zaghloul,Fuad_I_of_Egypt
Mark_Bomani,Julius_Nyerere
Princess_Maria_de_los_Dolores_of_Bourbon-Two_Sicilies,Princess_Louise_of_Orléans
Jennie_Eisenhower,Edward_F._Cox
List_of_Modern_Family_characters,Andrea_Anders
Paul_Keating,Elizabeth_II
Elyse_Knox,Kelly_Harmon
John_C._Calhoun,Joseph_Calhoun
"Blanche_of_France,_Duchess_of_Orléans",Charles_IV_of_France
Sophie_of_Solms-Laubach,Sophie_of_Brunswick-Lüneburg
"Anne_de_Laval,_Viscountess_of_Thouars",Guy_XVI_de_Laval
2Baba,R._Kelly
Nikitin_Dheer,Pankaj_Dheer
James_G._Blaine,Hannibal_Hamlin
Tom_Petty,Bob_Dylan
Lady_Randolph_Churchill,Winston_Churchill
Chishimba_Kambwili,Edgar_Lungu
Olivia_de_Havilland,Walter_Augustus_de_Havilland
Tuanku_Fauziah,Permaisuri_Siti_Aishah_Abdul_Rahman
Groucho_Marx,Bill_Cosby
"Otto_I,_Holy_Roman_Emperor","Otto_II,_Holy_Roman_Emperor"
Oscar_de_la_Renta,Viriato_Fiallo
Joseph_William_Martin_Jr.,Dwight_D._Eisenhower
Xi_Qia,Puyi
Charles_Arbuthnot,James_Halse
Elizabeth_of_Bohemia_(1292–1330),Wenceslaus_II_of_Bohemia
James_Stansfeld,"Sir_James_Fergusson,_6th_Baronet"
Leo_Robin,Sam_Coslow
Humehume,Kaumualii
Mohamed_Hadid,Gigi_Hadid
Maria_Alexandrovna_(Marie_of_Hesse_and_by_Rhine),"Louis_II,_Grand_Duke_of_Hesse"
Marilyn_Van_Derbur,Mary_Ann_Mobley
Cynthia_Villar,Mark_Villar
William_Hague,George_Osborne
Victor_Frankenstein,Helen_McCrory
Andrew_Caldecott,Edward_VIII
Renato_de_Villa,Corazon_Aquino
Ulf_Adelsohn,Carl_Bildt
Leonard_Jones,Sherwood_Rideout
John_Profumo,"Alexander_Lloyd,_2nd_Baron_Lloyd"
Helen_Connon,Archibald_Baxter
Princess_Maria_Luisa_of_Bourbon-Two_Sicilies,Ferdinand_II_of_the_Two_Sicilies
Raymond_Poincaré,Augustine_Birrell
Prince_George_William_of_Hanover_(1915–2006),"Ernest_Augustus,_Duke_of_Brunswick"
Kwame_Nkrumah,Elizabeth_II
Brian_Rix,Louisa_Rix
Keith_Murdoch,Elisabeth_Murdoch_(businesswoman)
Felicity_Okpete_Ovai,Peter_Odili
Keith_Harris_(record_producer),Michael_Jackson
Arthur_Johnston_(composer),Bing_Crosby
Chris_Patten,Diane_Coyle
Jake_Gyllenhaal,Peter_Sarsgaard
Speedy_(Mia_Dearden),Kevin_Smith
Sofia_Samatar,James_Joyce
India_Hicks,Lady_Pamela_Hicks
Fat_Joe,R._Kelly
Hugh_Capet,"Hedwig_of_France,_Countess_of_Mons"
Tiny_Timbrell,Rosemary_Clooney
"Lionel_of_Antwerp,_1st_Duke_of_Clarence","Philippa,_5th_Countess_of_Ulster"
Seth_Rogen,LeBron_James
Henry_IV_of_England,"John_of_Lancaster,_1st_Duke_of_Bedford"
Peter_MacKay,Maxime_Bernier
Prince_Louis_Ferdinand_of_Prussia_(1944–1977),"Georg_Friedrich,_Prince_of_Prussia"
Jonathan_Evans_(politician),Julie_Morgan
Ludmilla_Elisabeth_of_Schwarzburg-Rudolstadt,Emilie_of_Oldenburg-Delmenhorst
Kiren_Rijiju,R._P._N._Singh
Æthelberht_of_Kent,Eadbald_of_Kent
Mr._Edwards,Victor_French
Tofilau_Eti_Alesana,Tufuga_Efi
Margravine_Elisabeth_Fredericka_Sophie_of_Brandenburg-Bayreuth,Franziska_von_Hohenheim
Susan_Roosevelt_Weld,Kitty_Dukakis
Dinah_Sheridan,Jenny_Hanley
Misael_Pastrana_Borrero,Alfonso_López_Michelsen
Margaret_of_Bavaria,"Albert_I,_Duke_of_Bavaria"
Shunzhi_Emperor,Kangxi_Emperor
Kukrit_Pramoj,Bhumibol_Adulyadej
Rainilaiarivony,Rainivoninahitriniony
Adelaide_of_Hungary,Adelaide_of_Hungary_(d._1140)
John_Avalos,Gavin_Newsom
Brooke_Burke,Mark_Ballas
Abdülmecid_I,Mahmud_II
Mrs._Dorothy_Quimby,Beezus_Quimby
Philip_Marlowe,Humphrey_Bogart
Peter_Mancini,Mark_Eyking
Michael_the_Brave,Ieremia_Movilă
Emilia_Fox,Joanna_David
2001–02_Paris_Saint-Germain_F.C._season__Mikel_Arteta__1,Mikel_Arteta
Frances_Fitzgerald_(politician),Michael_McDowell_(politician)
"Samuel_Hoare,_1st_Viscount_Templewood",Anthony_Eden
William_S._Fulton,Andrew_Jackson
J._William_Fulbright,James_William_Trimble
Duncan_II_of_Scotland,Ingibiorg_Finnsdottir
Narcisse-Fortunat_Belleau,"Frederick_Hamilton-Temple-Blackwood,_1st_Marquess_of_Dufferin_and_Ava"
Garret_Hobart,John_R._McPherson
Harold_Jeffreys,Sydney_Goldstein
Maria_of_Navarre,"Eleanor_of_Portugal,_Queen_of_Aragon"
Asajj_Ventress,George_Lucas
Cyrus_the_Great,Achaemenes
John_Connally,George_P._Shultz
Thonlula,Kyaswa
Jimmie_Davis,Nellie_Tayloe_Ross
Catherine_of_Cleves,"Claude,_Duke_of_Chevreuse"
Christina_Fulton,Nicolas_Cage
Duchess_Helene_in_Bavaria,Princess_Ludovika_of_Bavaria
Harold_Pinter,Václav_Havel
Willem_Hondius,Władysław_IV_Vasa
Lee_Teng-hui,Chen_Shui-bian
Princess_Eleonore_Erdmuthe_of_Saxe-Eisenach,Caroline_of_Ansbach
"Henrik,_Prince_of_Denmark","Frederik,_Crown_Prince_of_Denmark"
Bindusara,Ashoka
Teodor_Meleșcanu,Ion_Iliescu
Kesang_Choden_Wangchuck,Jigme_Singye_Wangchuck
Carrie_Fisher,Debbie_Reynolds
Louis_the_Pious,Lothair_I
Béla_IV_of_Hungary,Andrew_II_of_Hungary
Queen_Inwon,Yeongjo_of_Joseon
Prince_Frederick_Augustus_of_Anhalt-Dessau,"Frederick,_Hereditary_Prince_of_Anhalt-Dessau"
Thomas_Brackett_Reed,Benjamin_Harrison
Zillur_Rahman,Abdul_Hamid_(politician)
Emperor_Jingzong_of_Liao,Emperor_Shizong_of_Liao
Meadow_Soprano,Carmela_Soprano
Kim_Jong-un,Kim_Jong-il
Wolf_Frankenstein,Basil_Rathbone
Simon_II_of_Clermont,Guy_I_of_Clermont
"Guy,_Count_of_Flanders",Henry_V_of_Luxembourg
Zayed_bin_Sultan_Al_Nahyan,Mohammed_bin_Zayed_Al_Nahyan
"Louis,_Grand_Dauphin","Charles,_Duke_of_Berry_(1686–1714)"
"Joseph_I,_Holy_Roman_Emperor","Leopold_I,_Holy_Roman_Emperor"
Frank_Sartor,Lucy_Turnbull
John_Belding,Thomas_Betts
John_M._Walker_Jr.,Ronald_Reagan
Govind_Ballabh_Pant,Jawaharlal_Nehru
Annisa_Pohan,Susilo_Bambang_Yudhoyono
Bảo_Đại,Bảo_Long
Bob_Rae,Bill_Graham_(Canadian_politician)
Jean_Chrétien,Jean-Pierre_Côté
Gabriela_Rivadeneira,Rafael_Correa
Lyndon_B._Johnson,Leverett_Saltonstall
Min_Shin_Saw,Alaungsithu
Prince_Frederick_Augustus_of_Anhalt-Dessau,Princess_Adelheid-Marie_of_Anhalt-Dessau
Olof_Palme,Ingvar_Carlsson
Frederica_of_Mecklenburg-Strelitz,Adelaide_of_Saxe-Meiningen
"Ernest_I,_Duke_of_Saxe-Gotha","Bernhard_I,_Duke_of_Saxe-Meiningen"
Michaëlle_Jean,Stephen_Harper
Raimonds_Vējonis,Artis_Pabriks
Queen_Sofía_of_Spain,Paul_of_Greece
Urbano_Rattazzi,Luigi_Federico_Menabrea
Anna_Dandolo,Stefan_the_First-Crowned
Sigismund_III_Vasa,Anna_Catherine_Constance_Vasa
Richard_Pryor,Lewis_Black
Phil_Margera,Jess_Margera
Wu_Den-yih,Liao_Feng-teh
"Frederick_III,_Holy_Roman_Emperor",Kunigunde_of_Austria
Armida_Alisjahbana,Susilo_Bambang_Yudhoyono
Justin_Lassen,David_Bowie
"John,_3rd_Earl_of_Kent",Joan_of_Kent
"John_Donaldson,_Baron_Donaldson_of_Lymington","Alfred_Denning,_Baron_Denning"
Princess_Ludovika_of_Bavaria,Duke_Maximilian_Emanuel_in_Bavaria
Carl_Reiner,Rob_Reiner
Tapoa_II,Teriimaevarua_II
Sargent_Shriver,Lyndon_B._Johnson
Li_Keqiang,Wen_Jiabao
John_Damer,Edward_Harvey_(British_Army_officer)
Rodney_Jerkins,Janet_Jackson
Vicki_Sue_Robinson,Irene_Cara
Philip_V_of_France,Joan_I_of_Navarre
Douglas_Hurd,John_Major
Chuck_Perkins,Gil_Scott-Heron
"William_II,_Landgrave_of_Hesse","Philip_I,_Landgrave_of_Hesse"
Narciso_Ramos,Ferdinand_Marcos
"Albrecht,_Duke_of_Bavaria","Rupprecht,_Crown_Prince_of_Bavaria"
"John,_King_of_Denmark",Charles_VIII_of_Sweden
Timothy_Daunt,Elizabeth_II
Daliyetemishi,Danashri
Pugong,Huang_Shixiang
Shofry_Abdul_Ghafor,Hassanal_Bolkiah
Duchess_Helene_in_Bavaria,Princess_Elisabeth_of_Thurn_and_Taxis
Jann_Turner,Barbara_Follett_(politician)
John_Platt_(settler),Daniel_Kellogg_(settler)
Pearl_Slaghoople,Elizabeth_Taylor
Joshua_Bolten,George_W._Bush
Basto,Britney_Spears
List_of_Transformers_film_series_characters,Megan_Fox
Victoria_of_Baden,Gustaf_VI_Adolf_of_Sweden
Bruce_Howe_Hendricks,Barack_Obama
Kingman_Brewster_Jr.,Ronald_Reagan
List_of_Queer_as_Folk_characters,Makyla_Smith
Carrie_Grant,Cary_Grant
Marjorie_Vincent,Jeri_Ryan
"J._C._C._Davidson,_1st_Viscount_Davidson","Edward_Turnour,_6th_Earl_Winterton"
Vimolnaka_Nabisi,Chulalongkorn
Margaret_of_Hungary,Demetrius_of_Montferrat
Loi_Ejercito,Jose_Miguel_Arroyo
Park_Chung-hee,Yun_Posun
Princess_Charlotte_Wilhelmine_of_Saxe-Coburg-Saalfeld,"John_Ernest_IV,_Duke_of_Saxe-Coburg-Saalfeld"
Aneurin_Bevan,Hugh_Gaitskell
Anoop_Kumar,Kishore_Kumar
Tony_Valeri,David_Collenette
Seeley_Booth,David_Boreanaz
George_M._Dallas,Andrew_Jackson
Pedro_V_of_Portugal,Maria_II_of_Portugal
Thomas_Lee_(Virginia_colonist),Arthur_Lee_(diplomat)
Dmitry_Medvedev,Sergey_Sobyanin
"Sir_Thomas_Littleton,_2nd_Baronet",John_Weld
Hissène_Habré,Djidingar_Dono_Ngardoum
Andrew_Jacobs_Jr.,Donald_C._Bruce
Jacqueline_Kennedy_Onassis,Janet_Lee_Bouvier
Mesih_Pasha,Bayezid_II
Sancho_II_of_Castile_and_León,Alfonso_VI_of_León_and_Castile
"William_Herbert,_3rd_Earl_of_Pembroke","George_Villiers,_1st_Duke_of_Buckingham"
George_M._Dallas,George_Wolf
Milan_Gorkić,Josip_Broz_Tito
Śuddhodana,Sihahanu
Jemima_Goldsmith,Ben_Goldsmith
"Charles_I,_Duke_of_Bourbon","John_II,_Duke_of_Bourbon"
Tom_Hayden,Mel_Levine
William_Aberhart,George_VI
Rex_Connor,Gough_Whitlam
Tommy_Torres,Alicia_Keys
"Maria,_Queen_of_Sicily","Constance_of_Aragon,_Queen_of_Sicily"
Katharine_Abraham,Barack_Obama
Mark_Gatiss,Anthony_Head
William_Howard_Taft_IV,Reginald_Bartholomew
Khaleda_Zia,Rowshan_Ershad
"Diana_Wellesley,_Duchess_of_Wellington","Charles_Wellesley,_9th_Duke_of_Wellington"
Josephine_Siao,Anita_Yuen
Adrian_Fulford,Tony_Blair
Ajrabarni_Rajkanya,Chulalongkorn
William_H._Crawford,James_Monroe
Robert_Tickner,Paul_Keating
Viktor_Yushchenko,Yuriy_Yekhanurov
William_Dudley_Ward,"Sir_John_Simeon,_4th_Baronet"
Kenneth_Clarke,David_Cameron
Gwyneth_Dunwoody,Neil_Kinnock
Michael_Johnson_(Australian_politician),Jane_Prentice
Farrukhsiyar,Jahandar_Shah
List_of_The_Bill_characters_(A–D),Ali_Bastian
Waddy_Wachtel,Keith_Richards
List_of_Dune_secondary_characters,Wensicia
Gustav_I_of_Sweden,Cecilia_Månsdotter
Hamdamsaltaneh_Pahlavi,Reza_Shah
"William_Slim,_1st_Viscount_Slim",Robert_Menzies
"Louis,_Duke_of_Vendôme","César,_Duke_of_Vendôme"
Tim_Pawlenty,Carol_Molnau
Christopher_%22Deep%22_Henderson,R._Kelly
"Duarte_of_Portugal,_4th_Duke_of_Guimarães",Manuel_I_of_Portugal
"Urraca_of_Castile,_Queen_of_Portugal",Alfonso_VIII_of_Castile
Kevin_Conroy,Jeremy_Sisto
"Leopold_Greville,_6th_Earl_of_Warwick","Francis_Greville,_5th_Earl_of_Warwick"
Prince_Faisal_bin_Hussein,Princess_Ayah_bint_Faisal
Alice_Eve,Sharon_Maughan
Amanullah_Jahanbani,Khosrow_Jahanbani
Ōkubo_Tadayoshi_(I),Ōkubo_Tadaaki
Todd_Field,Phillip_Noyce
Ann_Gerry,James_Madison
"John_Ernest,_Duke_of_Saxe-Coburg","John_Frederick_II,_Duke_of_Saxony"
Cameron_R._Hume,George_W._Bush
Harley_High_Cartter,Andrew_Johnson
Goddard_Lieberson,Walter_Yetnikoff
"Albert_Casimir,_Duke_of_Teschen","Joseph_II,_Holy_Roman_Emperor"
Ferdinand_I_of_Aragon,John_I_of_Castile
Princess_Augusta_of_Great_Britain,Caroline_of_Brunswick
"Peter_II,_Grand_Duke_of_Oldenburg","Frederick_Augustus_II,_Grand_Duke_of_Oldenburg"
Princess_Friederike_of_Schleswig-Holstein-Sonderburg-Glücksburg,Marie_Friederike_of_Hesse-Kassel
Prince_Victor_of_Hohenlohe-Langenburg,"Ernst_I,_Prince_of_Hohenlohe-Langenburg"
Ahmad_Tejan_Kabbah,Solomon_Berewa
"Arthur_Peel,_2nd_Earl_Peel","Edward_Stanley,_17th_Earl_of_Derby"
Joyce_Carol_Oates,Chris_Bohjalian
Duke_Carl_Alexander_of_Württemberg,"Albrecht,_Duke_of_Württemberg"
Robert_Sanderson_McCormick,Joseph_M._McCormick
Snooky_Young,Quincy_Jones
Siedah_Garrett,Michael_Jackson
Tommy_Dorsey,Dick_Haymes
Purachatra_Jayakara,Purachatra_Jayakara
James_C._Smith,Jeb_Bush
"Margaret_de_Audley,_2nd_Baroness_Audley","Hugh_de_Audley,_1st_Earl_of_Gloucester"
Shelley_Riley_Moore,Mary_Alice_Tieche_Smith
Mieszko_I_Tanglefoot,Bolesław_IV_the_Curly
Khloé_Kardashian,Kris_Jenner
Maleficent,Angelina_Jolie
Elizabeth_Jennings_(The_Americans),Joe_Weisberg
Patricia_M._Derian,"James_M._Wilson,_Jr."
Joseph_Habersham,Thomas_Jefferson
"Adelaide,_Countess_of_Vermandois","Ralph_I,_Count_of_Vermandois"
Jenny_Seagrove,Bill_Kenwright
Phil_Bredesen,Jim_Bryson_(politician)
Ladislaus_of_Naples,Charles_III_of_Naples
John_C._Calhoun,George_McDuffie
Koca_Davud_Pasha,Bayezid_II
Ron_Dellums,Charles_Diggs
Peter_of_Aragon_(heir_of_Sicily),"Maria,_Queen_of_Sicily"
Catherine_Ebert-Gray,Barack_Obama
Daniel_Ortega,Violeta_Chamorro
Charles_G._Dawes,Alanson_B._Houghton
Charles_Bagot,"Charles_Poulett_Thomson,_1st_Baron_Sydenham"
Anthony_Eden,"Thomas_Inskip,_1st_Viscount_Caldecote"
Frederick_William_II_of_Prussia,Prince_Augustus_William_of_Prussia
José_P._Laurel,José_Laurel_III
William_the_Silent,Maximilian_of_Burgundy
Wenceslaus_I_of_Bohemia,Beatrice_of_Bohemia
Ronald_Isley,R._Kelly
Alexandros_Koumoundouros,George_I_of_Greece
George_Sanders,Gary_Raymond
"Alexander_Windsor,_Earl_of_Ulster","Prince_Richard,_Duke_of_Gloucester"
Peter_II_of_Yugoslavia,Ivan_Ribar
Elbridge_Gerry,Christopher_Gore
"Louis_IV,_Landgrave_of_Hesse-Marburg",Christine_of_Saxony
Mara_Carfagna,Silvio_Berlusconi
Narathu,Yadanabon_I_of_Pagan
Mitch_McConnell,Gerald_Ford
"Pavlos,_Crown_Prince_of_Greece",Constantine_II_of_Greece
Indra_Kumari,Nawab_Singh_Chauhan
Annette_Strauss,Starke_Taylor
George_Stephanopoulos,Bill_Clinton
Jayne_Mansfield,Mariska_Hargitay
Abdul_Hamid_II,Perestu_Kadın
Clement_Claiborne_Clay,Jeremiah_Clemens
List_of_The_Bill_characters_(E–L),Daniel_Flynn_(actor)
Margaret_of_Hungary,Béla_III_of_Hungary
Thodoris_Dritsas,Christos_Zois
Kâzım_Özalp,İsmet_İnönü
"Sir_John_Gilmour,_2nd_Baronet",Stanley_Baldwin
Clarence_Dill,Jacob_Falconer
William_Dudley_Ward,Cecil_Beck
Eleanor_of_Anjou,"Mary_of_Hungary,_Queen_of_Naples"
"Charles_Wellesley,_9th_Duke_of_Wellington","Diana_Wellesley,_Duchess_of_Wellington"
Qianlong_Emperor,Jiaqing_Emperor
Benjamin_Harrison,Levi_P._Morton
Wu_Po-hsiung,Ma_Ying-jeou
Nyaung-u_Sawrahan,Theinhko
August_von_Mackensen,Prince_Leopold_of_Bavaria
Kim_Il-sung,Choe_Yong-gon_(army_commander)
Samuel_Meredith,Thomas_Jefferson
Haakon_V_of_Norway,Magnus_IV_of_Sweden
Ahmet_Necdet_Sezer,Recep_Tayyip_Erdoğan
Sancho_IV_of_Castile,Ferdinand_IV_of_Castile
Enid_Hammerman,Joanne_H._Alter
Empress_Quan_(Song_dynasty),Chabi
David_Kahalepouli_Piikoi,David_Kawānanakoa
Queen_Divyeshwari_of_Nepal,Queen_Kanti_of_Nepal
Ian_Diamond,Duncan_Rice
Suzie_McNeil,Steven_Tyler
Joan_Cook,Paul_Martin
Tony_Leung_Chiu-wai,Andy_Lau
"William_de_Mandeville,_3rd_Earl_of_Essex",Richard_I_of_England
Barbara_Henrickson,Mark_V._Olsen
Francis_I_of_the_Two_Sicilies,Ferdinand_II_of_the_Two_Sicilies
Anthony_Preston_(record_producer),Britney_Spears
Sigvard_Bernadotte,Gustaf_VI_Adolf_of_Sweden
Thawun_Gyi,Thawun_Nge
Tryphaena,Cleopatra_Selene_I
Richard_Kerry,Vanessa_Kerry
Keōua,Kamakaimoku
Cassidy_Gifford,Frank_Gifford
Berengar_II_of_Italy,Adalbert_of_Italy
Jean-Paul_Elkann,Ettore_Ovazza
Charles_Francis_Adams_Sr.,Abraham_Lincoln
Theobald_I_of_Navarre,Theobald_II_of_Navarre
Constance_of_Aragon,Alfonso_II_of_Aragon
George_Birmingham,Michael_D._Higgins
Chang_Ch'ung-ho,Zhang_Wuling
Gerberga_of_Saxony,Matilda_of_France
Elmore_Leonard,Stephen_King
Béla_III_of_Hungary,Euphrosyne_of_Kiev
Salin_Mibaya,Shwe_Zin_Gon
Hussein_Kamel_of_Egypt,Mehmed_V
"Katharine,_Duchess_of_Kent","George_Windsor,_Earl_of_St_Andrews"
John_P._Walters,Bill_Clinton
David_Gilmour,Paul_McCartney
Jesse_Jackson,Bruce_Babbitt
Richard_Brinsley_Sheridan,George_Canning
Peter_III_of_Aragon,James_II_of_Aragon
Cowboy_Pink_Williams,George_Nigh
Early_life_of_Augustus,Julius_Caesar
Bolesław_III_Wrymouth,Władysław_I_Herman
Ali_MacGraw,Josh_Evans_(film_producer)
Gus_O'Donnell,David_Cameron
"Teresa_of_León,_Countess_of_Portugal",Afonso_I_of_Portugal
Birger_Jarl,Ulf_Fase
Yuthasak_Sasiprapha,Yingluck_Shinawatra
Marie_Leszczyńska,Princess_Sophie_of_France
Alan_Lowenthal,Loretta_Sanchez
Matilde_Muñoz_Sampedro,Pilar_Bardem
Dolley_Madison,Martha_Jefferson_Randolph
Maria_Leopoldina_of_Austria,Princess_Francisca_of_Brazil
Princess_Louise_Auguste_of_Denmark,Caroline_Amalie_of_Augustenburg
Charles_VII_of_France,Louis_XI_of_France
Maria_Theresa_of_Naples_and_Sicily,Maria_Ludovika_of_Austria-Este
James_I_of_Aragon,Maria_of_Montpellier
George_Wallace,Fob_James
Gamini_Lokuge,Ranil_Wickremesinghe
Shanta,Vershini
Tony_Garza,Ron_Kirk
Frank_DeArmon_Whitney,George_W._Bush
Paul_Bremer,Ibrahim_al-Jaafari
Elizabeth_of_Pomerania,Joanna_of_Bavaria
"Anne_Seymour,_Duchess_of_Somerset","Edward_Seymour,_1st_Earl_of_Hertford"
Brunhilda_of_Austrasia,Ingund_(wife_of_Hermenegild)
James_Ryan_(Irish_politician),Gerard_Sweetman
Maria_Theresa,"Charles_VII,_Holy_Roman_Emperor"
Frank_Lavin,George_W._Bush
Kalākaua,Kapaakea
Abigail_Adams,Ann_Gerry
Summer_Roberts,Sophie_Cohen
Dubois_family,Jill_Talley
"Henry_Fitzalan-Howard,_14th_Duke_of_Norfolk","Charlotte_Fitzalan-Howard,_Duchess_of_Norfolk"
Victor_Frankenstein,Frankenstein's_monster
Talhah,Muhammad
Maria_Josepha_of_Bavaria,Maria_Amalia_of_Austria
"Louis_IV,_Holy_Roman_Emperor","Stephen_II,_Duke_of_Bavaria"
Jacques_Chirac,Nicolas_Sarkozy
"Leopold_IV,_Duke_of_Anhalt",Princess_Maria_Anna_of_Anhalt-Dessau
Kapaakea,Liliuokalani
Sam_Marx,Groucho_Marx
Carole_Middleton,James_William_Middleton
Jocelyn_Herbert,Laurence_Olivier
Taddea_Visconti,Bernabò_Visconti
Soe_Maung,Aung_San_Suu_Kyi
Lydia_Davis,Herman_Melville
Gaius_Caesar,Marcus_Vipsanius_Agrippa
George_H._W._Bush,Edward_Rell_Madigan
Anna_of_Brandenburg,Margaret_of_Thuringia
Walter_Stewart_Owen,Elizabeth_II
Charles_de_Hovyne,Philip_IV_of_Spain
"Adolph_John_I,_Count_Palatine_of_Kleeburg",Charles_X_Gustav_of_Sweden
Kevin_Newman_(politician),Campbell_Newman
Marcheline_Bertrand,Angelina_Jolie
James_II_of_Scotland,James_III_of_Scotland
William_Purington_Cole_Jr.,Harry_S._Truman
"Augustus_George,_Margrave_of_Baden-Baden","Charles_Frederick,_Grand_Duke_of_Baden"
John_Lahr,Jane_Lahr
Enos_H._Nebecker,Benjamin_Harrison
Jim_Carr,Justin_Trudeau
"Thomas_Howard,_2nd_Duke_of_Norfolk","William_Howard,_1st_Baron_Howard_of_Effingham"
Mitch_Daniels,Jill_Long_Thompson
Joseph_Smith_III,Joseph_Smith
Liao_Zhongkai,Sun_Yat-sen
Tom_Daschle,Larry_Pressler
Michael_Corleone,Al_Pacino
"Elizabeth_Stanley,_Countess_of_Huntingdon","Ferdinando_Hastings,_6th_Earl_of_Huntingdon"
Qianlong_Emperor,Yongzheng_Emperor
Barbara_Radziwiłł,Jerzy_Radziwiłł
Grand_Duchess_Elena_Pavlovna_of_Russia,Paul_I_of_Russia
Grant_Morrison,Judd_Winick
Conor_Cruise_O'Brien,Kate_Cruise_O'Brien
1995–96_Leeds_United_A.F.C._season__Lee_Chapman__1,Lee_Chapman
"William,_Duke_of_Nassau","Frederick_Augustus,_Duke_of_Nassau"
Nanda_Bayin,Bayinnaung
Olin_E._Teague,Phil_Gramm
"Peter_II,_Duke_of_Bourbon","Agnes_of_Burgundy,_Duchess_of_Bourbon"
"Matilda_of_Brabant,_Countess_of_Artois","Henry_II,_Duke_of_Brabant"
James_I_of_Cyprus,Janus_of_Cyprus
Lee_Hsien_Loong,Richard_Hu
Mary_Fedden,Anne_Redpath
Henry_Knox,George_Washington
Ibrahim_of_the_Ottoman_Empire,Suleiman_II
Bagrat_IV_of_Georgia,George_II_of_Georgia
Ahmed_Mohamed_Mohamoud,Abdirahman_Saylici
Feroze_Gandhi,Rajiv_Gandhi
Don_DeLillo,Jean-Luc_Godard
"William_the_Hardy,_Lord_of_Douglas","James_Douglas,_Lord_of_Douglas"
Thom_Racina,Joyce_Hooper_Corrington
Ramesh_Chandra_Sen,Sheikh_Hasina
Liliana_Ayalde,George_W._Bush
Peter_Costello,John_Howard
"Beatrice_of_Portugal,_Duchess_of_Savoy",Manuel_I_of_Portugal
Casimir_IV_Jagiellon,Barbara_Jagiellon
Ranil_Wickremesinghe,Ranasinghe_Premadasa
Judy_Lewis,Clark_Gable
Thomas_R._Marshall,Woodrow_Wilson
"Francis_Seymour-Conway,_3rd_Marquess_of_Hertford","Robert_Jenkinson,_2nd_Earl_of_Liverpool"
Silvio_Dante,David_Chase
Maisie_Ward,Wilfrid_Sheed
Jeffrey_A._Meyer,Barack_Obama
Julia_Barretto,Claudine_Barretto
Anne_d'Harnoncourt,Timothy_Rub
Paul_Ehrenfest,Samuel_Goudsmit
"Henri,_Prince_of_Condé_(1588–1646)",Charlotte_Catherine_de_La_Trémoille
Ma_Ying-jeou,Wu_Den-yih
Ian_Kennison,Malcolm_Fraser
"Julian_Byng,_1st_Viscount_Byng_of_Vimy","Hugh_Dawnay,_8th_Viscount_Downe"
Susanna_Clarke,Charles_Dickens
"Charles_Somerset,_4th_Duke_of_Beaufort",John_Hanbury_(1664–1734)
Tony_Lovink,Juliana_of_the_Netherlands
Sarah_Bloom_Raskin,Mary_J._Miller
Alexander_Zhurbin,Vladimir_Nabokov
"Julian_Byng,_1st_Viscount_Byng_of_Vimy",George_V
Dylan_Wissing,Kanye_West
Grand_Duke_Vladimir_Kirillovich_of_Russia,"Maria_Vladimirovna,_Grand_Duchess_of_Russia"
Anne_d'Alençon,Margaret_of_Lorraine
Thomas_R._Marshall,John_W._Kern
John_Tyler,George_M._Dallas
Barrett_Strong,Marvin_Gaye
Clyde_McKnight,Wiz_Khalifa
William_Kneass,Andrew_Jackson
Dennis_Hastert,Bill_Clinton
Gifford_Pinchot,William_McKinley
Tsarevich_Ivan_Dmitriyevich,Marina_Mniszech
Kunti,Bhima
Andrew_Cornell_Robinson,Grayson_Perry
Gregorio_Fernandez,Rudy_Fernandez_(actor)
Wertha_Pendleton_Cole,William_Frederic_Pendleton
Ōkubo_Tadazane,Sakai_Tadayuki
Chantal_Jouanno,Nicolas_Sarkozy
Mohamed_Rajabdeen,T._Maheswaran
"Gertrude_of_Babenberg,_Duchess_of_Bohemia","Leopold_III,_Margrave_of_Austria"
Lucrezia_Borgia,Pope_Alexander_VI
Vadym_Hetman,Viktor_Yushchenko
Emperor_Wu_of_Jin,Cao_Huan
John_Edwards,Richard_Burr
José_Pampuro,Beatriz_Rojkés_de_Alperovich
"William_Cavendish-Bentinck,_3rd_Duke_of_Portland","Henry_Carteret,_1st_Baron_Carteret"
Chuck_Schumer,Dianne_Feinstein
Nancy_Gertner,Bill_Clinton
Thomas_Brackett_Reed,Benjamin_Harrison
Vernon_Singer,Odoardo_Di_Santo
Joan_of_Kent,"John_Holland,_1st_Duke_of_Exeter"
William_Eustis,James_Madison
Gloria_Deukmejian,Nancy_Reagan
Alboin,Audoin
Prince_Gong,Empress_Xiaojingcheng
"Albert,_8th_Prince_of_Thurn_and_Taxis","Karl_August,_10th_Prince_of_Thurn_and_Taxis"
"Cecily_Neville,_Duchess_of_York","Joan_Beaufort,_Countess_of_Westmorland"
Joséphine_de_Beauharnais,Eugène_de_Beauharnais
William_Dudley_Ward,Tankerville_Chamberlayne
Trevor_LeBlanc,Katherine_Fugate
Wayne_W._Williams,John_Hickenlooper
Bob_Marley,Damian_Marley
Carlos_Albán_Holguín,Virgilio_Barco_Vargas
Princess_Jasmine,Linda_Larkin
Bob_Edwards_(British_journalist),Michael_Foot
