Death_of_a_Gossip,Marion_Chesney
The_Dark_Between_the_Stars_(short_story_collection),Poul_Anderson
The_Secret_River_(Rawlings_book),Marjorie_Kinnan_Rawlings
The_Night_Side,August_Derleth
In_the_Kingdom_of_Ice,Hampton_Sides
The_Fall_of_Chronopolis,Barrington_J._Bayley
On_the_Principles_of_Political_Economy_and_Taxation,David_Ricardo
Down_(novel),Lawrence_Miles
What_to_Expect_When_You're_Expecting,Heidi_Murkoff
Silver_Diamond,Shiho_Sugiura
Scorpius_(novel),John_Gardner_(British_writer)
River_of_Fortune,Elizabeth_Haran
Off_Season_(novel),Jack_Ketchum
Heart_of_TARDIS,Dave_Stone
Occasional_Wife,Bernie_Kahn
Office_in_a_Small_City,Edward_Hopper
The_Tallons,William_March
The_Iron_Heel,Jack_London
The_Man_from_Outback,Edmund_Duggan_(playwright)
Thought_and_Action,Stuart_Hampshire
A_Poet_in_New_York,Andrew_Davies_(writer)
Short_Trips:_The_Solar_System,Gary_Russell
National_Velvet,Enid_Bagnold
Mullumbimby_(novel),Melissa_Lucashenko
The_Treatment_(novel),Mo_Hayder
"Stiff_Upper_Lip,_Jeeves",P._G._Wodehouse
The_Wizzard_of_Krudd,Greg_Miller_(animator)
Face_Forward,Kevyn_Aucoin
Orson_Welles_and_People,Orson_Welles
Seduction_of_the_Innocent,Fredric_Wertham
The_Village_Headmaster,Olusegun_Olusola
Pigeons_from_Hell,Robert_E._Howard
The_Third_Eye_(novel),Lois_Duncan
Hero:_108,Nicole_Dubuc
The_Big_Hunt,Lance_Parkin
The_Royal_Swordsmen,Wong_Jing
Shining_Harvest,E._V._Timms
The_Shadows_of_Avalon,Paul_Cornell
Moon_Museum,John_Chamberlain_(sculptor)
"Family_Guy:_Brian's_Guide_to_Booze,_Broads,_and_the_Lost_Art_of_Being_a_Man",Andrew_Goldberg_(writer)
The_Gypsy_Girl,Frans_Hals
Blueberries_for_Sal,Robert_McCloskey
Sidetracked_(novel),Henning_Mankell
The_Road_to_Character,David_Brooks_(journalist)
Napoleon_Disentimed,Hayford_Peirce
The_Mummy's_Foot,Théophile_Gautier
Paying_It_Forward,Michael_A._Burstein
The_Diddakoi,Rumer_Godden
Oculus_Sacerdotis,William_of_Pagula
Portrait_of_Marten_Soolmans,Rembrandt
Nightmare_Abbey,Thomas_Love_Peacock
The_Wall_(TV_film),Scott_Abbott_(screenwriter)
First_Folio,William_Shakespeare
Hostile_Waters_(book),Peter_Huchthausen
And_Both_Were_Young,Madeleine_L'Engle
A_German_Requiem_(novel),Philip_Kerr
Veil's_Visit:_a_Taste_of_Hap_and_Leonard,Joe_R._Lansdale
Winter_in_the_Blood,James_Welch_(writer)
Tommy_Trouble_and_the_Magic_Marble,Ralph_Fletcher
The_Face_of_War,Salvador_Dalí
The_One_Tree,Stephen_R._Donaldson
Brothers_(Yu_Hua_novel),Yu_Hua_(author)
Grease_(musical),Jim_Jacobs
The_Saint_and_the_People_Importers,Leslie_Charteris
Understand_(story),Ted_Chiang
Garth_Marenghi's_Darkplace,Richard_Ayoade
The_War_Between_the_Classes,Gloria_D._Miklowitz
The_Star_of_Khorala,L._Sprague_de_Camp
Obedience_to_Authority:_An_Experimental_View,Stanley_Milgram
A_Street_in_Brittany,Stanhope_Forbes
Roman_Blood,Steven_Saylor
Mitte_1,Albrecht_Behmel
The_Good_Muslim,Tahmima_Anam
Shakuntala_(Raja_Ravi_Varma),Raja_Ravi_Varma
Ebbie,Ed_Redlich
Battleaxe_(novel),Sara_Douglass
La_Blue_Girl,Toshio_Maeda
La_Toya:_Growing_Up_in_the_Jackson_Family,La_Toya_Jackson
Head_of_a_Halberdier,Hieronymus_Bosch
China_Mountain_Zhang,Maureen_F._McHugh
Bert_och_brorsorna,Anders_Jacobsson_and_Sören_Olsson
Beyond_the_Pleasure_Principle,Sigmund_Freud
The_Wench_Is_Dead,Colin_Dexter
Baby_Boom_(U.S._TV_series),Nancy_Meyers
The_Saint_Steps_In,Leslie_Charteris
The_Uplift_War,David_Brin
Lucky_Star_(manga),Kagami_Yoshimizu
Sound_the_Retreat,Simon_Raven
Venus_Blindfolding_Cupid,Titian
Night_and_Day_(TV_series),Adrian_Pagan
Invitation_to_Murder,Rex_Stout
Medaka_Box,Nisio_Isin
Loving_(novel),Henry_Green
The_Stu_Erwin_Show,Erna_Lazarus
Shadows_of_the_Mind,Roger_Penrose
Dark_Journey_(novel),Elaine_Cunningham
Primal_Fear_(novel),William_Diehl
The_Martyr_(sculpture),Auguste_Rodin
Juliet_(novel),Anne_Fortier
Stallerhof,Franz_Xaver_Kroetz
Why_Call_Them_Back_from_Heaven%3F,Clifford_D._Simak
The_Story_Girl,Lucy_Maud_Montgomery
Princess_Jellyfish,Akiko_Higashimura
Tomb_of_Valdemar,Simon_Messingham
St._Fidgeta_and_Other_Parodies,John_Bellairs
The_Bassoon_King,Rainn_Wilson
Kushiel's_Chosen,Jacqueline_Carey
A_Forest_Apart,Troy_Denning
The_Crowd:_A_Study_of_the_Popular_Mind,Gustave_Le_Bon
Orleans_(TV_series),Pam_Veasey
Glamour_Girl_(novel),Kerry_Katona
The_Duchess_of_Padua,Oscar_Wilde
Gastrotypographicalassemblage,Lou_Dorfsman
Great_Cities_of_the_Ancient_World,L._Sprague_de_Camp
Broadway_(play),George_Abbott
Musashino-sen_no_Shimai,Yukiwo
Birds_of_Prey_(Smith_novel),Wilbur_Smith
Trust_Territory_(novel),Janet_Morris
Assassin's_Quest,Robin_Hobb
Manhattan_Nocturne,Colin_Harrison_(writer)
Family_Complex,Mikiyo_Tsuda
Mistborn:_Secret_History,Brandon_Sanderson
The_Naama_War,Charles_R._Saunders
The_Handbook_of_Australian_Sea-birds,Dominic_Serventy
House_to_House,David_Bellavia
Outposts:_Journeys_to_the_Surviving_Relics_of_the_British_Empire,Simon_Winchester
Amy's_View,David_Hare_(playwright)
Camber_the_Heretic,Katherine_Kurtz
Lovecraft's_Providence_and_Adjacent_Parts,"Henry_L._P._Beckwith,_Jr."
Psychology_of_art,Leonardo_da_Vinci
Die_Sexualität_im_Kulturkampf,Wilhelm_Reich
The_Short-Timers,Gustav_Hasford
Intruder_(play),Maurice_Maeterlinck
The_Denial_of_Death,Ernest_Becker
Character_Strengths_and_Virtues,Martin_Seligman
Lean_Mean_Thirteen,Janet_Evanovich
The_Swiss_Family_Robinson,Johann_David_Wyss
Psychoanalysis:_The_Impossible_Profession,Janet_Malcolm
Gait_Analysis:_Normal_and_Pathological_Function,Judith_M._Burnfield
The_Awesome_80s_Prom,Ken_Davenport
No_Reservations:_Around_the_World_on_an_Empty_Stomach,Anthony_Bourdain
The_Charlie_Drake_Show,Richard_Waring
Our_South_African_Birds,Austin_Roberts
The_Tiger_Warrior,David_Gibbins
Shōgun_(novel),James_Clavell
The_Yellow_Christ,Paul_Gauguin
My_Brother_Sam_Is_Dead,Christopher_Collier_(historian)
"A_History_of_the_Civil_War,_1861–1865",James_Ford_Rhodes
Touch_(manga),Mitsuru_Adachi
One_and_One_(musical),Richard_O'Donnell_(playwright)
Dogger_(book),Shirley_Hughes
Larva_(film),Boaz_Davidson
Kekkaishi,Yellow_Tanabe
Jason_and_Medea,John_William_Waterhouse
The_Use_Of_Restricted_Significance_Tests_In_Clinical_Trials,David_Salsburg
Lunatic_(novel),Ted_Dekker
The_Race_(novel),Richard_North_Patterson
The_World_Economy:_Historical_Statistics,Angus_Maddison
Sahib_Biwi_Gulam,Bimal_Mitra
The_Sickness_Unto_Death,Søren_Kierkegaard
Amelia_Bedelia_(book),Peggy_Parish
Romance_of_Darkness,Chie_Shinohara
Imprisoned_with_the_Pharaohs,H._P._Lovecraft
Tome_of_Magic,Carl_Sargent
Kosher_Jesus,Shmuley_Boteach
The_Arctic_Patrol_Mystery,Franklin_W._Dixon
Kitty_(novel),Warwick_Deeping
The_Viking_Symbol_Mystery,Franklin_W._Dixon
Birdsong_(novel),Sebastian_Faulks
"Sex,_Drugs_and_Magick",Robert_Anton_Wilson
The_Joseph_Smith_Papers_(TV_series),Glenn_Rawson
The_Howling,Gary_Brandner
Black_Juice,Margo_Lanagan
Queen_of_the_Black_Coast,Robert_E._Howard
Spinneret_(novel),Timothy_Zahn
The_Breaking_Point_(play),Mary_Roberts_Rinehart
Selected_Letters_of_H._P._Lovecraft_IV_(1932–1934),H._P._Lovecraft
Saath_Nibhaana_Saathiya,Bhavna_Vyas
The_Love_Song_(Rockwell),Norman_Rockwell
The_School_for_Scandal,Richard_Brinsley_Sheridan
Saving_Grace_(short_story),Orson_Scott_Card
The_Harp_in_the_South__Poor_Man's_Orange__1,George_Whaley_(actor)
Everything_and_More_(book),David_Foster_Wallace
Way_Out_(TV_series),Robert_van_Scoyk
Persona:_A_Biography_of_Yukio_Mishima,Naoki_Inose
Occupy_(book),Noam_Chomsky
Into_the_Labyrinth_(TV_series),Robert_Holmes_(scriptwriter)
Hokey_Wolf,Michael_Maltese
La_Sanfelice,Alexandre_Dumas
Neo_Gomanism_Manifesto_Special_–_On_Taiwan,Yoshinori_Kobayashi
Orphans_of_Chaos,John_C._Wright_(author)
The_Carved_Lions,Mary_Louisa_Molesworth
Palace_3:_The_Lost_Daughter,Yu_Zheng
A_Negress,Anna_Bilińska-Bohdanowicz
Billy_(novel),Whitley_Strieber
Ned's_Newt,Kenn_Scott
The_Shattered_Mask,Richard_Lee_Byers
Dream_Jungle,Jessica_Hagedorn
Sumomomo_Momomo,Shinobu_Ohtaka
Beyond_the_Farthest_Star_(novel),Edgar_Rice_Burroughs
Woman's_World_(novel),Graham_Rawle
The_Stolen_Lake,Joan_Aiken
A_Girl_with_a_Watering_Can,Pierre-Auguste_Renoir
The_Integral_Trees,Larry_Niven
Rum_Punch,Elmore_Leonard
The_Garments_of_Caean,Barrington_J._Bayley
The_Ghost_from_the_Grand_Banks,Arthur_C._Clarke
The_Dying_Sun,Gary_Blackwood_(author)
The_Conan_Chronicles_II,Robert_Jordan
Tender_Shoots,Paul_Morand
Christ_on_the_Mount_of_Olives_(Caravaggio),Caravaggio
Gem_of_the_Ocean,August_Wilson
The_Flight_of_Dragons_(book),Peter_Dickinson
The_Gospel_According_to_Adam,Muhammad_Aladdin
Tales_of_Zorro,Richard_Dean_Starr
Taken_(novel),Kathleen_George
The_Evitable_Conflict,Isaac_Asimov
The_David_Kopay_Story,Perry_Deane_Young
The_War_in_the_Air,H._G._Wells
The_Education_of_Little_Tree,Asa_Earl_Carter
Triple_Feature,Joe_R._Lansdale
Herbert_West–Reanimator,H._P._Lovecraft
The_Sarah_Jane_Adventures_Collection,Gary_Russell
The_New_Scooby_and_Scrappy-Doo_Show,John_Semper
The_Gate_of_Angels,Penelope_Fitzgerald
A_Short_History_of_Christianity,Geoffrey_Blainey
The_Doctor_In_War,Woods_Hutchinson
Dexter's_Laboratory,Amy_Keating_Rogers
